"","p_values","adj_pvalue"
"Cloacibacillus porcorum",0.0107930153676041,0.0255996160978968
"Fusobacterium necrophorum",0.00059132922626359,0.00210531691248021
"Fusobacterium periodonticum",2.63337764814826e-07,2.79526712791868e-06
"Fusobacterium mortiferum",0.378737822373557,0.522199118727177
"Fusobacterium varium",0.641128831674378,0.784879690794194
"Fusobacterium ulcerans",0.586378678452609,0.741117496377603
"Fusobacterium nucleatum",3.20558905350089e-24,8.75125811605743e-22
"Brachyspira pilosicoli",5.02155571032802e-08,7.61602616066416e-07
"Akkermansia muciniphila",0.170889552282177,0.272823671187336
"Campylobacter jejuni",0.00146985150050639,0.00436162456128526
"Campylobacter coli",0.00110210640126607,0.00357668733896611
"Desulfovibrio fairfieldensis",0.00383860097594704,0.0101741559847917
"Desulfovibrio desulfuricans",0.000534666098441033,0.00194618459832536
"Desulfovibrio piger",0.0133664702834771,0.0304071785264108
"Sutterella sp. KGMB03119",0.863500666501204,0.919152703332033
"Sutterella megalosphaeroides",0.805478386584545,0.883114857580645
"Oxalobacter formigenes",0.90806310243553,0.939019799109469
"Ralstonia pickettii",0.0544990617244703,0.103321137852642
"Burkholderia dolosa",0.757630288000664,0.851731027706822
"Photobacterium damselae",2.66215916944636e-07,2.79526712791868e-06
"Haemophilus parainfluenzae",0.00818054170141676,0.0199400703972034
"Succinivibrio dextrinosolvens",2.35113348446916e-05,0.000142635431391129
"Aeromonas hydrophila",0.7686906098301,0.856540965239254
"Aeromonas veronii",0.906087298179466,0.939019799109469
"Aeromonas salmonicida",0.592946098277197,0.7459644462197
"Acinetobacter johnsonii",0.00079272125808227,0.00270516129320575
"Pseudomonas aeruginosa",0.84926815743596,0.915851464618088
"Hafnia alvei",0.024816389486299,0.0517165979370964
"Raoultella planticola",0.618907135537627,0.771514374437316
"Raoultella ornithinolytica",0.487311143970939,0.643435493087472
"Kosakonia cowanii",0.245804780426214,0.368345833026568
"Shigella sp. PAMC 28760",0.655143236138983,0.793817967112063
"Shigella sonnei",0.313426094159655,0.445652727633259
"Shigella flexneri",0.114437946896286,0.189342784864764
"Citrobacter sp. TSA-1",0.760390810349839,0.851731027706822
"Citrobacter koseri",0.443143621870364,0.595951767342903
"Citrobacter braakii",0.00735976974130935,0.0182656103579768
"Citrobacter freundii complex sp. CFNIH3",0.372265846239809,0.515881096565826
"Citrobacter portucalensis",0.0812353930920763,0.143079111704109
"Citrobacter freundii",0.0771297601102101,0.138529108618996
"Enterobacter cloacae complex sp. ECNIH7",0.945156346775694,0.967318218337099
"Enterobacter kobei",0.287822676578963,0.422449412398155
"Enterobacter roggenkampii",0.997196885092341,0.997196885092341
"Enterobacter hormaechei",0.632554883289723,0.777871545667092
"Enterobacter ludwigii",0.0477073132737141,0.0917189896036898
"Enterobacter asburiae",0.0215636816709113,0.0456347681872774
"Enterobacter cloacae",0.205109317703373,0.318152521210345
"Klebsiella grimontii",0.332960783799402,0.468547907099158
"Klebsiella michiganensis",0.845717504629944,0.915851464618088
"Klebsiella variicola",0.852110886494485,0.915851464618088
"Klebsiella quasipneumoniae",0.104836000861176,0.178876426469382
"Klebsiella aerogenes",0.27011319617561,0.398599473275359
"Klebsiella pneumoniae",0.0171739063627409,0.0375078114962262
"Klebsiella oxytoca",0.946058477274745,0.967318218337099
"Salmonella enterica",0.113297888986186,0.188599534714809
"Escherichia coli",0.00352425679909154,0.00943256966815677
"Ornithobacterium rhinotracheale",0.432569968525536,0.586409779466559
"Petrimonas mucosa",0.955083396398935,0.96928537998851
"Porphyromonas asaccharolytica",6.75729981730997e-08,9.22371425062811e-07
"Porphyromonas gingivalis",0.00533321057363115,0.0136071634261804
"Alloprevotella sp. E39",0.0811958478357916,0.143079111704109
"Paraprevotella xylaniphila",0.293305735368456,0.425917371040364
"Prevotella sp. oral taxon 299",0.865282947825394,0.919152703332033
