,p_values,adj_pvalue,mFC,AbsLog2FC
Parvimonas micra,1.32E-22,1.81E-20,2.594821019,1.375635031
Gemella morbillorum,8.53E-19,7.76E-17,2.455449225,1.29598699
Fusobacterium nucleatum,3.21E-24,8.75E-22,2.425569834,1.278323716
Bifidobacterium pseudocatenulatum,6.49E-06,4.43E-05,0.490660183,1.027203893
Romboutsia ilealis,6.20E-08,8.91E-07,0.502166983,0.993760918
Dialister pneumosintes,2.27E-09,5.16E-08,1.897791905,0.924321808
Bifidobacterium adolescentis,0.001408954,0.004273827,0.533548297,0.906309224
Bifidobacterium catenulatum,3.50E-07,3.54E-06,0.538278739,0.893574651
Anaerostipes hadrus,2.31E-13,1.57E-11,0.540613603,0.887330282
Streptococcus salivarius,5.92E-06,4.14E-05,0.541443184,0.885118138
Streptococcus sp. HSISS1,0.000291454,0.001187567,0.579482061,0.787164094
[Eubacterium] eligens,1.39E-07,1.80E-06,0.586836873,0.768968572
Porphyromonas asaccharolytica,6.76E-08,9.22E-07,1.682991607,0.751027982
Streptococcus sp. FDAARGOS 192,0.000366405,0.001370254,0.595658977,0.747441492
Bifidobacterium angulatum,5.51E-07,5.01E-06,0.597749535,0.742386992
Longibaculum sp. KGMB06250,5.50E-10,1.50E-08,0.599568217,0.738004187
Fusobacterium periodonticum,2.63E-07,2.80E-06,1.632469292,0.707055854
Streptococcus sp. I-P16,2.74E-05,0.000162853,0.612873147,0.7063396
Streptococcus anginosus,2.50E-07,2.80E-06,1.622906954,0.698580288
Alistipes sp. 3BBH6,0.000173868,0.000804506,1.606357769,0.683793246
Streptococcus sp. A12,3.61E-05,0.000205272,0.623067673,0.682539228
Streptococcus sp. JS71,6.12E-05,0.000321044,0.627081959,0.673274082
Streptococcus sp. I-G2,6.26E-05,0.00032232,0.627685857,0.671885393
Bifidobacterium bifidum,0.000105911,0.000535437,0.640337508,0.643095575
Ruminococcus bicirculans,0.002553536,0.007073225,0.64882736,0.624093439
Roseburia intestinalis,2.61E-10,7.91E-09,0.651258286,0.618698271
Adlercreutzia equolifaciens,0.001441363,0.004324089,0.658417229,0.602926006
Streptococcus sp. HSISS3,0.001327182,0.004117279,0.662288638,0.594467987
Prevotella intermedia,0.000276011,0.001141683,1.506401112,0.59110597
Streptococcus milleri,3.90E-05,0.000212994,1.501816207,0.586708266
Streptococcus sp. HSISS2,0.001345083,0.004125929,0.66961143,0.57860394
Streptococcus thermophilus,0.000893005,0.002973052,0.672357676,0.572699182
Lactococcus garvieae,1.71E-08,2.92E-07,0.675394418,0.566197839
Escherichia coli,0.003524257,0.00943257,1.477837089,0.563487241
Pseudobutyrivibrio xylanivorans,5.25E-11,2.82E-09,0.677854823,0.560951771
Haemophilus parainfluenzae,0.008180542,0.01994007,0.67857484,0.559420156
Streptococcus equinus,8.45E-06,5.60E-05,0.681434109,0.553353931
Blautia sp. SC05B48,2.78E-08,4.47E-07,0.682346387,0.551423797
Bifidobacterium longum,0.003071536,0.008302269,0.690388978,0.534518663
Brachyspira pilosicoli,5.02E-08,7.62E-07,0.69305843,0.528951107
Lactobacillus ruminis,3.83E-07,3.73E-06,0.700704632,0.513121663
Butyrivibrio proteoclasticus,6.20E-11,2.82E-09,0.701888361,0.510686513
Clostridium beijerinckii,1.80E-07,2.22E-06,0.705998692,0.502262585
Streptococcus australis,0.00109245,0.003576687,0.708691702,0.496769937
Parabacteroides sp. CT06,0.000366405,0.001370254,1.401481893,0.486953105
Butyrivibrio fibrisolvens,1.80E-10,6.16E-09,0.71394265,0.486119905
