,p_values,adj_pvalue,mFC,AbsLog2FC
Aspergillus rambellii,3.49E-16,1.03E-13,2.789632148,1.480074895
Aspergillus ochraceoroseus,0.000341516,0.007974427,1.559338633,0.640934265
Aspergillus kawachii,0.001568703,0.022111236,0.674994679,0.567051965
Cryptococcus neoformans,5.00E-05,0.001851692,0.703054449,0.50829167
Erysiphe pulchra,2.22E-09,3.29E-07,1.370734984,0.454949669
Malassezia restricta,0.003270113,0.034569762,0.74111479,0.432231078
Protomyces lactucaedebilis,0.009008736,0.07206989,0.746217842,0.422331239
Moniliophthora perniciosa,8.35E-05,0.002746255,1.324738471,0.405707572
Pseudocercospora eumusae,1.31E-05,0.000774773,1.311912284,0.391671262
Blumeria graminis,2.54E-06,0.000250418,1.276673351,0.352389445
Saccharomyces cerevisiae,0.018990838,0.114720165,0.785330236,0.348628651
Candida dubliniensis,0.00064584,0.011245221,1.270659105,0.345577033
Rosellinia necatrix,8.30E-06,0.000614292,1.257511131,0.330571171
Sphaerulina musiva,0.000245375,0.007263099,1.256317461,0.329201068
Trichophyton mentagrophytes,0.003897881,0.037218473,0.797460521,0.326514995
Elsinoe australis,0.002852046,0.033441101,1.252907018,0.325279352
Fusarium pseudograminearum,0.00062441,0.011245221,0.798987753,0.323754705
Colletotrichum incanum,3.89E-05,0.001644939,1.236007881,0.305687942
Colletotrichum simmondsii,0.003250764,0.034569762,1.22718471,0.295352413
Encephalitozoon romaleae,0.050200014,0.200800055,1.225845435,0.293777083
Thielaviopsis punctulata,3.02E-05,0.001491851,1.221353504,0.288480829
Peniophora sp. CONT,0.000350228,0.007974427,1.217995578,0.284508896
Kluyveromyces dobzhanskii,0.030705723,0.151116879,0.822141016,0.282542225
Zygosaccharomyces rouxii,0.050959144,0.201118756,1.215817742,0.281926977
Pseudogymnoascus sp. VKM F-3808,0.002342505,0.029409723,0.823480427,0.280193736
Hypoxylon sp. CO27-5,0.010891008,0.080593456,1.210364008,0.275440992
Tolypocladium paradoxum,0.006830703,0.057768229,1.20912493,0.273963316
Grosmannia clavigera,0.000287338,0.007731991,1.199475939,0.262404218
Coniochaeta ligniaria,0.000517904,0.01021998,1.199229422,0.262107684
Lentinula edodes,0.000399769,0.008452267,0.834468974,0.261069684
Sporisorium reilianum,0.00359431,0.036686748,1.190359703,0.251397593
Saprolegnia diclina,0.002384572,0.029409723,1.187155179,0.247508529
Hesseltinella vesiculosa,0.007031703,0.057816227,1.186013117,0.246119966
Phytophthora capsici,0.001405509,0.020801531,1.180590831,0.239509042
Saitoella complicata,0.024005563,0.129193577,0.847941669,0.237963072
Sordaria macrospora,0.005417507,0.048593394,1.179034081,0.237605421
Ceratocystis platani,0.011493024,0.082974028,0.849687739,0.234995349
Lipomyces starkeyi,0.01084808,0.080593456,0.85098502,0.232794359
Sclerotinia borealis,0.001714861,0.023072674,1.170429904,0.227038535
Coniosporium apollinis,0.017254457,0.106402486,1.168748818,0.224964907
Diplodia seriata,0.000747679,0.012295167,1.167736056,0.223714218
Stemphylium lycopersici,0.004624383,0.042775545,1.165858228,0.221392363
Sclerotinia sclerotiorum,0.003837609,0.037218473,1.164164844,0.219295356
Pneumocystis murina,0.055561857,0.213588439,0.863401589,0.211896347
Calocera cornea,0.015764639,0.101442022,1.15590355,0.209021022
Marssonina brunnea,0.015024922,0.101076748,1.154700742,0.207519004
Penicillium nalgiovense,0.073044324,0.255142267,0.866427986,0.206848252
Zymoseptoria tritici,0.028239379,0.14792585,1.152147627,0.204325584
Globisporangium ultimum,0.000821532,0.0127986,1.149001681,0.200380909
Cordyceps sp. RAO-2017,0.031531599,0.151116879,1.148311572,0.199514143
Hanseniaspora guilliermondii,0.023682139,0.129193577,0.871477909,0.198464001
Colletotrichum tofieldiae,0.013942898,0.095979016,0.87160075,0.198260657
Spraguea lophii,0.040395374,0.170814724,0.872197344,0.197273497
Lachancea thermotolerans,0.144395092,0.358514951,0.872804423,0.196269683
[Candida] intermedia,0.092157034,0.290196617,0.873281383,0.19548151
Exserohilum turcicum,0.016633203,0.104753788,1.14371504,0.193727645
Candida maltosa,0.03165286,0.151116879,0.874759941,0.193040939
Paxillus rubicundulus,0.012513473,0.08819019,1.143089959,0.192938945
Aspergillus udagawae,0.036074602,0.164278187,0.875157311,0.192385727
Metarhizium album,0.015501519,0.101442022,1.141558916,0.19100532
Aspergillus fumigatus,0.037468832,0.168042035,0.878012752,0.187686203
Arthrobotrys oligospora,0.020325261,0.120325544,0.882156549,0.180893394
Dichomitus squalens,0.035911922,0.164278187,1.131809598,0.178631277
Amorphotheca resinae,0.049344066,0.200080048,1.130811062,0.177357901
[Candida] glabrata,0.070674734,0.255142267,1.130067236,0.176408611
Piromyces finnis,0.010417801,0.080593456,1.127227665,0.172778924
Cordyceps fumosorosea,0.033038505,0.155228533,1.126571885,0.171939373
Sporothrix brasiliensis,0.028582505,0.14792585,1.123973116,0.168607528
Elaphomyces granulatus,0.002937394,0.033441101,1.12352738,0.168035282
Tilletia walkeri,0.3023408,0.504202783,0.890754991,0.166899433
Macrophomina phaseolina,0.005681256,0.049460344,1.122294876,0.166451784
Pyricularia oryzae,0.021150862,0.122757944,1.121582553,0.165535812
Aspergillus sydowii,0.117587307,0.314943203,1.121079951,0.164889169
Verticillium alfalfae,0.073708472,0.255142267,1.120965927,0.164742426
Aspergillus taichungensis,0.051654238,0.201179662,1.120677735,0.164371473
Pachysolen tannophilus,0.071537764,0.255142267,1.117936969,0.160838849
Pythium irregulare,0.039815737,0.170814724,1.115992187,0.158326926
Sporisorium graminicola,0.10347616,0.303405143,0.897461469,0.156078095
Saccharomyces eubayanus,0.119502633,0.314943203,0.898171051,0.154937871
Pythium arrhenomanes,0.038047831,0.168091912,1.113122939,0.15461294
Hyaloscypha bicolor,0.022041039,0.123097124,1.112120848,0.153313567
Neonectria ditissima,0.04452657,0.185631899,1.110438038,0.151128893
Batrachochytrium dendrobatidis,0.241930217,0.46000164,0.90128599,0.14994313
Rhodotorula graminis,0.089756171,0.286413934,1.107263332,0.146998368
Trichoderma asperellum,0.19781903,0.412792674,1.106849663,0.146459282
Aspergillus heteromorphus,0.088145684,0.286413934,1.106641046,0.14618734
Beauveria bassiana,0.074129172,0.255142267,1.105206759,0.14431629
Talaromyces rugulosus,0.076643743,0.260764918,1.105027822,0.144082694
Ophiocordyceps sinensis,0.021653121,0.123097124,1.104636959,0.143572303
Candida albicans,0.129913301,0.33728648,1.104455015,0.143334658
Trichosporon asahii,0.131199163,0.33728648,0.905535843,0.143156347
Trametes versicolor,0.119757421,0.314943203,1.103543853,0.142143961
Aspergillus steynii,0.039904451,0.170814724,1.1034284,0.141993018
Aphanomyces astaci,0.030177173,0.151116879,1.102505435,0.140785768
Lachancea fermentati,0.176535913,0.392891956,0.907676797,0.139749417
Aureobasidium namibiae,0.146555098,0.358514951,0.907992963,0.139246979
Scheffersomyces stipitis,0.119393572,0.314943203,1.100549012,0.138223395
Schizosaccharomyces pombe,0.152216597,0.360448903,0.909205109,0.137322304
Botrytis cinerea,0.064051608,0.239990834,1.099460916,0.136796319
Pisolithus microcarpus,0.09509373,0.294654927,1.098247609,0.135203358
Emergomyces pasteurianus,0.047138244,0.193790558,1.097928046,0.134783508
Debaryomyces hansenii,0.201253335,0.41368741,0.911449088,0.133766022
Hortaea werneckii,0.096559216,0.294654927,1.096784343,0.133279881
Ascochyta rabiei,0.089988162,0.286413934,1.09558971,0.131707621
Metarhizium rileyi,0.109417456,0.311418914,1.095375182,0.131425099
Naumovozyma dairenensis,0.112296993,0.314943203,0.913039773,0.131250389
Capronia epimyces,0.132179837,0.33728648,1.095174561,0.131160841
Polytolypa hystricis,0.102409367,0.303405143,1.093872046,0.129443991
Spizellomyces punctatus,0.181539276,0.401012133,0.914456344,0.129013797
Exidia glandulosa,0.069820261,0.255142267,1.093477343,0.128923328
Cordyceps confragosa,0.028985471,0.14792585,1.093302816,0.128693045
Trichoderma atroviride,0.148309432,0.35983272,0.915129703,0.127951861
Phytophthora cinnamomi,0.103703584,0.303405143,1.092713956,0.127915791
Kwoniella bestiolae,0.198620072,0.412792674,0.915232742,0.12778943
Schizopora paradoxa,0.11403917,0.314943203,1.091534443,0.126357655
Microdochium bolleyi,0.099198622,0.299620329,1.090873409,0.125483694
Pezoloma ericae,0.085327824,0.280633733,1.090071235,0.124422416
Exophiala aquamarina,0.107396621,0.308634948,1.090000632,0.124328972
Stachybotrys chartarum,0.120231696,0.314943203,0.920076422,0.120174398
Trichoderma reesei,0.228049496,0.450834452,1.086833471,0.120130902
Erysiphe necator,0.118415505,0.314943203,1.086371553,0.119517608
Cyberlindnera fabianii,0.220748001,0.447543893,0.921084544,0.118594511
Coniella lustricola,0.079542172,0.267550943,1.085304854,0.118100341
Rozella allomycis,0.223240564,0.449518414,0.922333642,0.116639374
Chaetomium thermophilum,0.166228614,0.378148452,0.922586953,0.116243204
Penicillium subrubescens,0.145577938,0.358514951,1.083062194,0.115116091
Metarhizium anisopliae,0.254858485,0.463225806,1.081947985,0.113631142
Penicillium camemberti,0.354890745,0.538705951,0.924666302,0.112995282
Pichia kudriavzevii,0.239474576,0.46000164,0.925141005,0.112254825
Rhizoclosmatium globosum,0.104551772,0.303405143,0.925341315,0.111942488
Phytopythium vexans,0.176437887,0.392891956,1.08065841,0.111910567
Anaeromyces robustus,0.083344413,0.277190407,1.080522934,0.111729693
Anthracocystis flocculosa,0.25537008,0.463225806,1.080168408,0.111256259
Pneumocystis carinii,0.270650092,0.475673296,0.926048498,0.110840344
Sporothrix insectorum,0.143890418,0.358514951,1.078178541,0.108596101
Tolypocladium ophioglossoides,0.167356241,0.378148452,1.078014385,0.10837643
Aspergillus nidulans,0.228463405,0.450834452,0.927686561,0.108290652
Batrachochytrium salamandrivorans,0.161912992,0.374423794,1.076875865,0.106851956
Absidia repens,0.118668474,0.314943203,1.076456362,0.106289836
Tetrapisispora phaffii,0.212490109,0.433772913,1.076185036,0.105926151
Allomyces macrogynus,0.151822392,0.360448903,1.075796327,0.105404968
Escovopsis weberi,0.226046665,0.450834452,1.075030577,0.104377694
Periconia macrospinosa,0.144985591,0.358514951,1.074875003,0.104168899
Mortierella verticillata,0.096375048,0.294654927,0.931365818,0.10258016
Colletotrichum chlorophyti,0.185322191,0.406336064,0.932889674,0.100221621
Fusarium venenatum,0.243536188,0.46000164,1.071691953,0.099890277
Histoplasma capsulatum,0.072214965,0.255142267,1.06957263,0.097034453
Rutstroemia sp. NJR-2017a BBW,0.328160323,0.51944094,1.069515248,0.096957051
Albugo candida,0.19803241,0.412792674,0.935139503,0.096746494
Ascoidea rubescens,0.341047335,0.531315849,1.069166886,0.09648706
Dactylellina haptotyla,0.187260976,0.407568007,1.068689584,0.095842863
Sphaerobolus stellatus,0.062894425,0.238676281,1.068452607,0.095522916
Hypholoma sublateritium,0.190663866,0.411945288,1.067864527,0.094728633
Pseudomassariella vexata,0.307103278,0.507835588,0.936570317,0.09454078
Ophiostoma piceae,0.196967191,0.412792674,1.067544731,0.094296521
Pythium aphanidermatum,0.267201523,0.473602699,0.937763349,0.092704201
Fusarium verticillioides,0.471190254,0.670539977,1.065731315,0.091843762
Conidiobolus coronatus,0.24664522,0.46000164,1.065444969,0.091456079
Paracoccidioides brasiliensis,0.309430145,0.508840683,0.938812348,0.091091278
Fibularhizoctonia sp. CBS 109695,0.161821121,0.374423794,1.064836494,0.090631922
Neofusicoccum parvum,0.199423488,0.412792674,1.064216338,0.089791457
Diaporthe ampelina,0.165339971,0.378148452,1.064018357,0.089523042
Pyricularia pennisetigena,0.247270349,0.46000164,1.063795247,0.089220496
Penicillium oxalicum,0.351872192,0.53760271,1.06378769,0.089210247
Blastomyces gilchristii,0.265751648,0.473602699,1.063594115,0.088947699
Saprolegnia parasitica,0.256652136,0.463225806,1.062296602,0.087186634
Phialophora americana,0.317962451,0.510880187,1.061671199,0.08633703
Phaeomoniella chlamydospora,0.303203025,0.504202783,1.061664589,0.086328048
Lichtheimia corymbifera,0.290440916,0.493627882,0.943301764,0.084208729
Phytophthora palmivora,0.156649262,0.368001442,1.059785031,0.083771655
Colletotrichum gloeosporioides,0.27158374,0.475673296,1.057385301,0.080501177
Piloderma croceum,0.29550172,0.496980165,1.056042113,0.078667368
Penicillium decumbens,0.528971981,0.72226519,1.055999667,0.078609379
Piromyces sp. E2,0.291840809,0.493627882,1.054124816,0.076045703
Thielavia terrestris,0.382872401,0.569871333,1.053726729,0.07550077
Kluyveromyces marxianus,0.536011243,0.72226519,1.053722167,0.075494524
Chaetomium globosum,0.350132063,0.53760271,1.053065289,0.074594885
Puccinia sorghi,0.312355066,0.509797537,1.052944154,0.074428921
Phytophthora parasitica,0.242547138,0.46000164,1.052902796,0.074372254
Edhazardia aedis,0.266541816,0.473602699,1.052576374,0.073924917
Trichoderma guizhouense,0.326496438,0.51944094,0.950455758,0.073308621
Cercospora zeina,0.317591527,0.510880187,0.950902285,0.072630999
Puccinia coronata,0.19369168,0.412792674,1.051341284,0.072231069
Phytophthora sojae,0.313456594,0.509797537,1.051112147,0.071916604
Clohesyomyces aquaticus,0.333031934,0.524348151,1.050891486,0.071613705
Corynespora cassiicola,0.361782349,0.543591753,1.050768907,0.071445416
Leucosporidium creatinivorum,0.423962172,0.6212515,0.951982068,0.070993697
Blastomyces dermatitidis,0.277367396,0.48012134,1.049866182,0.070205451
Colletotrichum nymphaeae,0.467240764,0.66813172,1.049807025,0.070124156
