"","p_values","adj_pvalue","mFC","AbsLog2FC"
"Aspergillus rambellii",2.48885191920312e-16,7.36700168084125e-14,3.03432858902722,1.60137732424394
"Aspergillus kawachii",1.68096157733905e-08,2.4878231344618e-06,0.386280444619169,1.37227945165627
"Saitoella complicata",0.000138666011886698,0.00342042829320521,0.556346664755701,0.845943975116212
"Fusarium pseudograminearum",7.34452713769682e-06,0.00036233000545971,0.592382994748412,0.75539786841365
"Lentinula edodes",1.42511680690868e-05,0.000527293218556212,0.630473217246491,0.665493009292414
"Hanseniaspora guilliermondii",0.000618459673151743,0.00856343119663953,0.63317785013626,0.659317306969914
"Trichosporon asahii",0.00350201367124487,0.029865389384926,0.656589218083588,0.606937035419742
"Cryptococcus neoformans",0.0002154987371724,0.00425250841353535,0.693504636573293,0.528022566860568
"Spraguea lophii",0.00242486486663242,0.0231535484039741,0.704000941299535,0.5063507370372
"Moniliophthora perniciosa",3.57254032583514e-05,0.0010574719364472,1.40273502451499,0.488242510795318
"Pseudocercospora eumusae",2.31203601494584e-06,0.000141802895529117,1.37635095319393,0.460848387099879
"Aspergillus fumigatus",0.037022197713773,0.135901288952449,0.741154990624403,0.432152823849532
"Pseudogymnoascus sp. VKM F-3808",0.00515263625685539,0.0363138174292666,0.75258750697789,0.410068754153691
"Elsinoe australis",0.000757296641728076,0.00933999191464627,1.31857841793839,0.398983373103622
"Erysiphe pulchra",2.39531918123509e-06,0.000141802895529117,1.30782232960581,0.387166561014195
"Sphaerulina musiva",0.000206074344565501,0.00425250841353535,1.2865290569595,0.363484041492987
"Grosmannia clavigera",1.16078190274432e-05,0.000490844918874742,1.28124997371305,0.357551975018818
"Aspergillus udagawae",0.000190912530691182,0.00425250841353535,0.781874124993151,0.354991730149269
"Phytophthora capsici",1.81628790194224e-05,0.000597356909972113,1.27771186038718,0.353562527631213
"Cordyceps sp. RAO-2017",0.000636471237588073,0.00856343119663953,1.25827195932704,0.33144377592802
"Sporisorium reilianum",0.000497038330239224,0.00735616728754051,1.25423563992534,0.326808420400723
"Rosellinia necatrix",6.98340955256343e-05,0.00187917202505343,1.2474332037292,0.318962565679844
"Saprolegnia diclina",0.000319013993413514,0.00524600789168889,1.23983287759209,0.31014566664579
"Pneumocystis murina",0.00884464902954496,0.0525721934080549,0.809066871797574,0.30566914424246
"Aspergillus ochraceoroseus",0.026202632845896,0.109239145385707,1.23151251268582,0.300431286300596
"Hesseltinella vesiculosa",0.00188610961671496,0.0186096148849209,1.23074659469349,0.299533747839597
