"","p_values","adj_pvalue","mFC","AbsLog2FC"
"Saitoella complicata",2.14818396555416e-08,3.17931226902015e-06,2.28877617195416,1.1945763832078
"Fusarium pseudograminearum",1.15641166171125e-06,7.75964211600187e-05,1.75525314796762,0.811679115418724
"Trichosporon asahii",0.000149622824898559,0.00480599750830801,1.64357065151135,0.716833474303375
"Lentinula edodes",2.54023016147631e-06,0.000125318021299498,1.62831313661467,0.703378167171645
"Cryptococcus neoformans",1.31075035743275e-06,7.75964211600187e-05,1.55974814085031,0.641313089804833
"Hanseniaspora guilliermondii",0.0010763110560399,0.0265490060489842,1.53959009807105,0.622546297546316
"Saccharomyces cerevisiae",0.000649337590319166,0.0174730842485885,0.670547459696951,0.576588648743726
"Pseudogymnoascus sp. VKM F-3808",9.77410859724511e-05,0.00361642018098069,1.44371093020987,0.529781904758899
"Talaromyces islandicus",2.54434202842361e-10,7.53125240413389e-08,0.709525818174826,0.495072912962222
"Spraguea lophii",0.00743424887515069,0.0916890694601919,1.35364440885221,0.436848804672674
"Aspergillus kawachii",0.0237569240522011,0.171513402913452,1.28714557203212,0.364175226963676
"Fusarium venenatum",6.96043680424524e-05,0.00294327042008084,0.779038471573435,0.360233519645694
"Puccinia striiformis",0.000162364780686081,0.00480599750830801,1.27638120599772,0.3520592710054
"Encephalitozoon romaleae",0.0160731840630728,0.139931249490281,0.791076432306042,0.338111002993655
"Ustilaginoidea virens",0.00294786167954324,0.0484759476191554,0.808322045578706,0.306997899691074
"Anncaliia algerae",0.00195165372143051,0.0385126334362286,1.23062550286876,0.299391795653389
"Batrachochytrium dendrobatidis",0.0316921612427097,0.208463993952046,1.22338763146605,0.290881595514937
"Hypoxylon sp. CO27-5",0.00731695777426229,0.0916890694601919,0.821932851897321,0.282907557661328
"Colletotrichum tofieldiae",0.00161268860524379,0.034096844796583,0.823877026514256,0.279499080874387
"Lichtheimia corymbifera",0.0100945159561547,0.113118478432938,1.19830863912575,0.260999539836683
"Amorphotheca resinae",0.00540030279260479,0.0841310329795273,1.19307350937841,0.254682935194515
"Grosmannia clavigera",0.00134773733307013,0.0306869423529814,0.840679752320704,0.250371768519031
"Aspergillus heteromorphus",0.00739798153945018,0.0916890694601919,0.847090612028933,0.239411794122356
"Sporothrix insectorum",0.00602598425147793,0.0891845669218733,0.851748946697129,0.231499836652348
"Trichoderma reesei",0.0387172634413866,0.238756457888551,0.851941351826489,0.231173977043487
"Conidiobolus coronatus",0.00268274961352167,0.0467114050354362,1.1727378682449,0.229880576499253
"Aspergillus udagawae",0.011464710651987,0.113118478432938,1.17248206239175,0.22956585135777
"Hesseltinella vesiculosa",0.0133402766031749,0.125211105183564,0.854910468584989,0.226154754762225
"Colletotrichum salicis",0.0135559439996249,0.125211105183564,0.859370463423422,0.218647902375043
"Aureobasidium subglaciale",0.0181937128028819,0.145549702423056,0.859597968976922,0.218266020858734
"Enterocytozoon bieneusi",0.02957677761496,0.203598283116934,0.860944501183646,0.21600785430098
"Moesziomyces antarcticus",0.054753104111348,0.31167151571075,1.15964469786708,0.213682847470538
"Aspergillus saccharolyticus",0.0222850450460497,0.164909333340768,1.15827779034577,0.211981297102933
"Metarhizium acridum",0.0107160713535595,0.113118478432938,1.15609692903441,0.20926236079268
"Aspergillus steynii",0.00256256834024555,0.0467114050354362,0.866089827105406,0.207411432061396
"Encephalitozoon cuniculi",3.41047502291013e-08,3.36500202260466e-06,0.866099312849421,0.207395631205089
"Escovopsis weberi",0.0181870137225009,0.145549702423056,0.866682574023544,0.206424397558654
"Pseudocercospora eumusae",0.0267205510357072,0.188316264442127,0.866744359736924,0.206321551640442
"Phytophthora infestans",0.0098269994803091,0.113118478432938,0.86801192482052,0.204213232216165
"Pochonia chlamydosporia",0.0139593461860054,0.125211105183564,0.872050578532538,0.197516281809552
"Saprolegnia diclina",0.0175669597638859,0.145549702423056,0.87242452837386,0.196897762705731
"Botrytis cinerea",0.00669139737208011,0.0916890694601919,1.14442794118852,0.194626626578358
"Debaryomyces hansenii",0.101857590292981,0.431830168024863,0.873837652061076,0.194562824683748
"Trichophyton mentagrophytes",0.287128036078816,0.690307129217342,0.876878641861393,0.189550904326503
"Mortierella verticillata",0.0438301629917795,0.259474564911334,1.13985935668582,0.188855826206439
"Pythium aphanidermatum",0.0397445320748812,0.240089418248262,0.879182735994708,0.185765037694119
