"","2014_ZellerG","2015_FengQ","2016_VogtmannE","2019_Thom","2019_WirbelJ","2019_Yachida","2021_JunY_1","2021_JunY_2","Mean"
"Seed_1",88.33,81.83,76.34,70.93,91.98,76.5,86.59,84.95,82.18125
"Seed_2",88.22,81.27,76.47,70.19,92.16,76.51,86.7,84.78,82.0375
"Seed_3",88.55,82.16,75.67,69.26,89.66,76.99,87.06,85.15,81.8125
"Seed_4",88.13,81.21,75.67,68.89,91.44,76.36,86.66,86.05,81.80125
"Seed_5",87.85,80.78,75.36,69.44,89.22,76.15,86.84,84.65,81.28625
"Seed_6",88.25,82.78,77.5,68.98,91.18,76.93,86.62,84.6,82.105
"Seed_7",88.07,81.37,76.6,68.52,90.46,76.82,87.01,85.72,81.82125
"Seed_8",88.3,81.34,76.43,70.93,91.35,76.45,87.06,85.2,82.1325
"Seed_9",88.07,81.86,76.96,68.89,90.55,76.47,87.63,85.54,81.99625
"Seed_10",88.61,81.8,77.18,71.3,89.75,76.48,86.59,84.77,82.06
"Seed_11",88.3,81.86,76.74,69.91,90.55,76.33,86.73,85.18,81.95
"Seed_12",87.97,81.5,76.92,69.35,90.46,76.74,86.73,84.68,81.79375
"Seed_13",88.37,81.57,77.9,69.44,90.37,76.59,87.23,85.06,82.06625
"Seed_14",87.86,82.29,76.65,66.94,90.64,76.49,87.03,84.81,81.58875
"Seed_15",88.48,81.44,77.41,69.07,89.48,76.89,86.81,84.81,81.79875
"Seed_16",88.55,81.76,76.02,70.65,91.53,77.1,86.68,85.26,82.19375
"Seed_17",88.69,82.06,76.43,71.85,89.93,77.01,86.79,85.17,82.24125
"Seed_18",88.16,82.22,77.09,69.44,92.34,76.36,86.35,84.96,82.115
"Seed_19",87.73,81.44,76.69,68.89,91.27,76.43,86.42,85.13,81.75
"Seed_20",87.98,81.08,76.96,69.26,90.46,76.77,87.6,85.54,81.95625
"Seed_21",88.4,81.05,75.53,70,90.02,76.37,87.34,85.7,81.80125
"Seed_22",88.67,81.96,76.07,70.46,90.64,77.24,87.06,85.14,82.155
"Seed_23",88.09,80.56,76.38,69.63,90.55,76.52,87.01,85.09,81.72875
"Seed_24",87.92,82.65,76.83,70.19,90.91,76.71,87.19,84.97,82.17125
"Seed_25",88.66,81.99,77.14,69.72,90.46,76.64,86.77,85.24,82.0775
"Seed_26",88.49,80.26,76.83,69.63,91.27,76.52,86.97,85.23,81.9
"Seed_27",88.16,80.95,76.07,69.44,91.8,76.7,86.59,85.21,81.865
"Seed_28",88.16,81.99,77.05,70.56,92.69,76.85,85.59,84.48,82.17125
"Seed_29",88.6,80.88,76.29,72.59,91.09,76.65,86.59,84.58,82.15875
"Seed_30",88.67,82.45,77.32,69.54,89.04,76.73,86.77,85.31,81.97875
"Seed_31",87.98,81.93,76.25,68.61,89.48,76.7,87.47,85.17,81.69875
"Seed_32",88.28,81.05,76.92,71.57,91.53,76.94,86.68,84.82,82.22375
"Seed_33",88.06,82.16,76.69,68.33,89.3,76.73,87.38,85.36,81.75125
"Seed_34",88,81.37,76.2,71.48,90.82,76.54,86.97,85.1,82.06
"Seed_35",88.4,81.9,76.43,69.07,91.44,76.56,86.51,85.33,81.955
"Seed_36",88.22,82.22,77.45,69.35,90.82,76.84,87.32,85.62,82.23
"Seed_37",88.64,82.06,77.81,68.89,91.53,76.87,86.86,85.81,82.30875
"Seed_38",88.45,82.19,75.31,70.46,91,76.96,86.35,84.67,81.92375
"Seed_39",88.82,81.93,78.12,70.28,91.8,76.6,87.52,85.06,82.51625
"Seed_40",88.07,81.63,76.2,70.37,91.71,76.4,86.55,84.85,81.9725
"Seed_41",88.36,81.96,76.07,69.17,88.95,76.88,86.9,84.73,81.6275
"Seed_42",88.55,81.63,75.67,70.09,91.62,76.69,87.43,84.92,82.075
"Seed_43",88.57,80.59,76.83,69.63,90.29,76.86,86.86,85.3,81.86625
"Seed_44",88.63,82.03,77.67,68.33,90.64,76.62,86.44,85.09,81.93125
"Seed_45",88.22,80.2,76.11,67.96,89.84,76.56,86.42,85.01,81.29
"Seed_46",88.61,81.63,77.14,70.93,90.73,76.12,86.81,84.62,82.07375
"Seed_47",88.64,80.42,76.07,68.89,91.35,77.12,86.75,85.05,81.78625
"Seed_48",88.58,81.8,77.99,69.63,89.22,76.67,86.57,85.19,81.95625
"Seed_49",88.18,82.55,76.11,69.81,90.29,76.6,86.75,84.9,81.89875
"Seed_50",88.12,81.21,76.56,69.35,91,76.47,87.32,84.95,81.8725
"Seed_51",87.97,81.6,77.23,68.52,91.98,76.7,86.51,84.89,81.925
"Seed_52",88.33,81.11,76.96,69.63,91.62,76.62,86.51,85.36,82.0175
"Seed_53",88.46,80.85,76.96,69.17,91.09,76.56,87.01,84.98,81.885
"Seed_54",88.16,81.83,76.83,69.54,89.84,77.32,86.31,85.42,81.90625
"Seed_55",88.01,81.67,77.27,70.93,90.46,77.02,86.73,84.55,82.08
"Seed_56",89,81.57,77.5,70.19,91.89,76.78,86.9,84.92,82.34375
"Seed_57",88.63,79.84,76.2,69.81,90.82,76.67,86.05,85.21,81.65375
"Seed_58",88.25,83.46,76.11,70.93,91,76.5,86.75,84.82,82.2275
"Seed_59",88.16,80.39,75.36,68.61,90.02,77.03,86.13,84.98,81.335
"Seed_60",87.8,82.61,75.94,69.07,90.64,76.41,86.86,85.15,81.81
"Seed_61",88.84,80.92,76.87,70.37,91.35,76.48,87.23,84.67,82.09125
"Seed_62",88.63,81.99,76.69,69.26,89.57,76.78,86.84,84.99,81.84375
"Seed_63",88.78,81.5,76.78,69.07,91.27,76.2,86.75,85.45,81.975
"Seed_64",88.33,82.61,76.47,70.83,91.89,77.08,86.88,85,82.38625
"Seed_65",88.31,81.54,76.65,69.81,89.22,76.66,86.79,85.48,81.8075
"Seed_66",88.76,81.63,77.85,69.63,90.73,76.52,86.51,85.14,82.09625
"Seed_67",88.25,81.47,76.83,70.09,90.2,76.9,86.62,85.21,81.94625
"Seed_68",88.24,82.25,77.18,71.3,90.29,76.52,86.81,84.86,82.18125
"Seed_69",88.39,80.39,76.6,69.17,90.91,76.79,86.53,84.95,81.71625
"Seed_70",88.69,80.78,75.49,68.43,90.82,76.49,87.19,84.74,81.57875
"Seed_71",88.34,81.67,76.74,68.15,90.29,76.43,87.56,85.54,81.84
"Seed_72",87.8,81.24,76.83,68.61,89.84,77.08,86.79,85.32,81.68875
"Seed_73",87.85,81.7,78.21,69.07,90.73,76.9,86.86,85.29,82.07625
"Seed_74",88.69,81.44,76.47,70.93,90.55,76.78,86.66,85.26,82.0975
"Seed_75",87.82,81.5,77.09,70.19,90.91,76.56,86.57,85.63,82.03375
"Seed_76",88.42,81.31,77.58,69.72,91.44,76.54,87.56,84.98,82.19375
"Seed_77",88.22,82.32,77.58,70.65,90.73,76.27,86.66,85.36,82.22375
"Seed_78",88.34,82.42,76.43,70.46,89.66,76.33,87.28,85.28,82.025
"Seed_79",87.55,80.82,76.87,70.65,90.73,76.93,86.84,84.92,81.91375
"Seed_80",88.15,81.18,76.47,68.89,90.64,77.34,87.03,85.07,81.84625
"Seed_81",88.09,82.22,76.52,69.54,90.37,76.75,87.03,84.74,81.9075
"Seed_82",88.6,82.16,77.5,68.8,91.09,76.93,86.86,85.79,82.21625
"Seed_83",88.64,81.01,75.58,71.76,90.55,76.49,86.92,85.57,82.065
"Seed_84",87.89,82.55,76.78,70.28,91.09,76.78,86.24,85.22,82.10375
"Seed_85",88.34,81.47,76.47,68.33,91.09,77.12,86.66,85.08,81.82
"Seed_86",88.57,80.07,77.36,68.7,90.46,76.7,86.97,84.76,81.69875
"Seed_87",87.65,80.62,76.47,69.44,91.09,76.81,86.44,85.41,81.74125
"Seed_88",88.99,80.75,77.09,68.52,90.02,76.51,86.73,84.94,81.69375
"Seed_89",88.48,80.95,75.94,67.69,91.27,76.52,86.75,85.45,81.63125
"Seed_90",88.58,81.63,77.94,70,91.18,76.75,86.38,85.41,82.23375
"Seed_91",88.24,81.24,78.03,69.26,90.37,76.81,87.41,85.75,82.13875
"Seed_92",88,81.21,77.27,69.81,89.39,76.53,86.46,85.09,81.72
"Seed_93",88.43,83.01,77.01,68.7,91.18,76.93,86.66,85.15,82.13375
"Seed_94",88.64,81.63,76.43,68.06,91.27,77.23,86.31,85.42,81.87375
"Seed_95",88.07,81.63,76.78,70.19,91.09,76.51,86.97,84.93,82.02125
"Seed_96",87.91,81.86,77.45,68.43,89.93,76.63,86.73,84.89,81.72875
"Seed_97",87.5,80.29,78.83,68.98,90.91,76.9,86.46,84.6,81.80875
"Seed_98",88.12,81.86,76.43,69.72,90.55,76.9,86.49,84.94,81.87625
"Seed_99",87.85,81.7,76.11,69.72,89.22,76.53,86.49,85.48,81.6375
"Seed_100",87.89,81.54,76.34,69.63,90.73,76.63,86.95,85.61,81.915
