"","2014_ZellerG","2015_FengQ","2016_VogtmannE","2019_Thom","2019_WirbelJ","2019_Yachida","2021_JunY_1","2021_JunY_2","Mean"
"Seed_1",75.15,64.93,78.03,46.11,91.62,66.3,83.26,74.7,72.5125
"Seed_2",75.29,65.42,75.98,47.22,91.27,65.79,82.47,75.05,72.31125
"Seed_3",75.54,65.92,77.01,45.28,89.66,65.69,83.08,74.34,72.065
"Seed_4",73.98,65.52,77.14,45.56,91.09,66.4,82.14,75.3,72.14125
"Seed_5",75.27,66.6,75.71,45.83,89.66,66.32,82.01,76.04,72.18
"Seed_6",74.76,66.47,74.69,47.78,90.46,66.05,82.12,74.81,72.1425
"Seed_7",76.4,66.7,76.96,47.04,92.42,65.97,82.4,74.4,72.78625
"Seed_8",74.95,65.88,76.52,48.15,89.48,66.39,82.8,76.38,72.56875
"Seed_9",73.99,66.54,76.43,46.39,89.84,66.25,83,74.67,72.13875
"Seed_10",74.04,67.84,77.09,47.96,90.02,66.2,82.29,74.87,72.53875
"Seed_11",73.51,66.44,76.2,47.96,90.91,65.63,82.95,74.87,72.30875
"Seed_12",74.61,66.34,76.65,46.57,90.91,66.48,82.29,75.25,72.3875
"Seed_13",73.81,66.27,77.14,44.35,91.09,66.76,82.76,75.2,72.1725
"Seed_14",74.41,64.54,78.57,47.41,92.6,66.29,81.59,74.31,72.465
"Seed_15",75.14,65.13,77.23,47.13,91.18,66.37,82.58,75.48,72.53
"Seed_16",76.38,66.27,75.89,46.85,90.64,66.28,83.04,75.14,72.56125
"Seed_17",74.97,64.12,77.23,47.13,91,66.67,82.51,75.66,72.41125
"Seed_18",74.22,65.65,75.8,47.78,90.29,65.94,83.17,76.61,72.4325
"Seed_19",75.66,64.15,76.56,48.89,89.57,66.54,82.71,73.17,72.15625
"Seed_20",74.01,66.08,75.71,47.41,87.88,66.19,83.11,75.48,71.98375
"Seed_21",74.88,65.07,76.52,47.31,91.53,65.6,82.95,75.16,72.3775
"Seed_22",74.19,66.7,76.65,47.31,91.27,65.89,81.97,75.69,72.45875
"Seed_23",76.01,66.24,77.01,46.76,88.32,66.58,83.46,75.11,72.43625
"Seed_24",75.21,64.84,75.22,48.15,91.62,65.63,82.49,75.67,72.35375
"Seed_25",74.26,66.86,77.45,47.31,91.35,65.15,82.45,75.17,72.5
"Seed_26",75.41,66.86,77.58,47.69,91.53,66.31,82.95,75.08,72.92625
"Seed_27",75.42,65.75,76.16,45.28,91.09,65.73,83.04,74.56,72.12875
"Seed_28",74.34,65.95,76.25,45.46,91.09,65.79,83.13,74.89,72.1125
"Seed_29",74.55,66.11,76.92,47.04,92.51,66.18,82.58,74.27,72.52
"Seed_30",73.74,66.83,76.56,48.15,90.29,66.35,83.08,73.94,72.3675
"Seed_31",73.92,67.42,76.29,47.13,88.95,66.78,82.6,74.2,72.16125
"Seed_32",74.58,65.62,75.4,46.2,90.73,65.68,83.04,75.64,72.11125
"Seed_33",74.35,63.82,76.11,46.67,89.93,66.34,83.76,76.21,72.14875
"Seed_34",74.59,65.72,75.94,46.2,92.25,65.38,82.67,75.21,72.245
"Seed_35",74.64,65.2,76.83,44.81,90.64,66.72,82.32,75.01,72.02125
"Seed_36",75.09,67.03,75.58,46.85,90.55,64.81,83.26,75.05,72.2775
"Seed_37",74.35,64.25,76.02,48.8,90.55,66.17,82.71,75.14,72.24875
"Seed_38",74.35,67.42,76.96,49.81,91.62,67.06,82.43,76.13,73.2225
"Seed_39",74.67,66.8,76.25,47.96,91.18,65.74,82.38,75.29,72.53375
"Seed_40",75.38,65.78,75.94,48.06,92.34,66.48,81.79,74.12,72.48625
"Seed_41",75.14,65.03,75.53,46.2,92.07,65.93,83.02,75.73,72.33125
"Seed_42",73.89,65.2,76.83,47.5,91.98,65.86,82.69,75.06,72.37625
"Seed_43",75.03,65.46,76.92,46.3,92.96,66.07,82.84,75.28,72.6075
"Seed_44",74.38,65.52,75.49,46.2,92.96,66.56,81.72,74.33,72.145
"Seed_45",73.38,65.56,74.33,49.07,91.09,65.72,83.94,75.61,72.3375
"Seed_46",74.74,65.75,76.83,48.06,90.91,66,82.32,74.72,72.41625
"Seed_47",74.4,64.25,77.23,49.17,91.71,67.09,82.45,74.63,72.61625
"Seed_48",74.31,66.18,77.23,48.33,91.35,65.65,83.46,74.82,72.66625
"Seed_49",74.07,66.14,75.49,49.91,88.68,65.46,82.32,74.23,72.0375
"Seed_50",75.18,65.85,76.02,48.06,91.71,66.3,82.49,75.08,72.58625
"Seed_51",74.22,66.57,75.71,47.04,91,65.94,83.24,75.55,72.40875
"Seed_52",73.84,65.65,76.25,46.3,89.75,66.09,83.26,75.16,72.0375
"Seed_53",75.18,65.07,77.36,47.41,92.07,66.1,83.55,74.98,72.715
"Seed_54",75.11,65.72,78.03,46.85,90.64,66.75,82.47,75.44,72.62625
"Seed_55",75.06,65.13,76.65,46.76,90.73,66.96,81.42,75.77,72.31
"Seed_56",74.35,64.93,74.78,46.67,91.35,66.77,82.38,73.35,71.8225
"Seed_57",74.52,64.67,75.58,46.94,92.25,65.21,82.6,74.82,72.07375
"Seed_58",75.23,63.95,77.45,49.72,90.55,66.85,83.3,74.58,72.70375
"Seed_59",75.65,65.26,76.2,47.31,89.57,66.1,81.33,74.85,72.03375
"Seed_60",73.14,64.58,76.92,47.87,90.55,65.93,82.93,74.76,72.085
"Seed_61",74.88,66.05,75.27,48.33,90.29,65.97,83.68,75.23,72.4625
"Seed_62",74.85,65.1,75.71,46.02,92.25,66,82.49,76.23,72.33125
"Seed_63",75.45,64.93,77.01,48.43,92.51,66.25,81.86,74.76,72.65
