"","2014_ZellerG","2015_FengQ","2016_VogtmannE","2019_Thom","2019_WirbelJ","2019_Yachida","2021_JunY_1","2021_JunY_2","Mean_Index","Larger0.65_Counts"
"Parvimonas_micra",0.648859543817527,0.749019607843137,0.533868092691622,0.814814814814815,0.780748663101604,0.695850656232168,0.672663448881088,0.65625,0.694009353422745,6
"Fusobacterium_nucleatum",0.638055222088836,0.747058823529412,0.671122994652406,0.748148148148148,0.720142602495544,0.689940490747534,0.600263273365511,0.705520833333333,0.690031548545091,6
"Aspergillus_rambellii",0.698679471788715,0.656862745098039,0.764705882352941,0.583333333333333,0.729055258467023,0.66548463356974,0.691970162351909,0.659270833333333,0.681170290036879,7
"Gemella_morbillorum",0.542617046818727,0.741176470588235,0.557932263814617,0.82037037037037,0.770053475935829,0.707018831010027,0.681000438788943,0.620104166666667,0.680034132999177,5
"Pseudobutyrivibrio_xylanivorans",0.637154861944778,0.670588235294118,0.614973262032086,0.707407407407407,0.757575757575758,0.591383386321024,0.767880649407635,0.658020833333333,0.675623049164517,5
"Butyrivibrio_proteoclasticus",0.649159663865546,0.644444444444444,0.650623885918004,0.648148148148148,0.71301247771836,0.594766446563952,0.761737604212374,0.636979166666667,0.662358979692187,3
"Anaerostipes_hadrus",0.808523409363745,0.600653594771242,0.587344028520499,0.65,0.606060606060606,0.564278144615635,0.731899956121106,0.715520833333333,0.658035071598271,3
"Brachyspira_pilosicoli",0.684273709483794,0.601307189542484,0.698752228163993,0.692592592592593,0.632798573975045,0.536194668623135,0.742430890741553,0.602708333333333,0.648882273306991,4
"Roseburia_intestinalis",0.695378151260504,0.590196078431373,0.500891265597148,0.614814814814815,0.823529411764706,0.592239341322247,0.718736287845546,0.650729166666667,0.648314314712876,4
"Rhizophagus_clarus",0.70828331332533,0.620261437908497,0.602495543672014,0.65,0.730837789661319,0.543572185538436,0.712154453707767,0.61375,0.64766934047667,3
"Clostridium_beijerinckii",0.675870348139256,0.672549019607843,0.641711229946524,0.733333333333333,0.522281639928699,0.569902991766528,0.755594559017113,0.583229166666667,0.644309036050745,4
"Pseudocercospora_musae",0.631452581032413,0.663398692810457,0.614973262032086,0.583333333333333,0.737967914438503,0.533178446237874,0.683194383501536,0.627083333333333,0.634322743339942,3
"Lactococcus_garvieae",0.638955582232893,0.596078431372549,0.663992869875223,0.657407407407407,0.590017825311943,0.612619222303742,0.732777534006143,0.576041666666667,0.633486317397071,3
"Romboutsia_ilealis",0.689075630252101,0.533333333333333,0.629233511586453,0.646296296296296,0.611408199643494,0.542920029347029,0.759982448442299,0.6496875,0.632742118612626,2
"Rhizophagus_irregularis",0.726590636254502,0.513071895424837,0.602495543672014,0.637037037037037,0.661319073083779,0.624358033749083,0.612988152698552,0.671458333333333,0.631164838156642,3
"Tuber_magnatum",0.585834333733493,0.719607843137255,0.550802139037433,0.655555555555556,0.795008912655972,0.522540148365534,0.618253620008776,0.5928125,0.630051881561752,3
"Porphyromonas_asaccharolytica",0.721488595438175,0.854248366013072,0.595365418894831,0.62962962962963,0.552584670231729,0.535746311241542,0.556384379113646,0.551145833333333,0.624574150486995,2
"Moniliophthora_perniciosa",0.728091236494598,0.54640522875817,0.670231729055258,0.562962962962963,0.757575757575758,0.637931034482759,0.589293549802545,0.5021875,0.624334874891506,3
"Pichia_kudriavzevii",0.669867947178872,0.569281045751634,0.522281639928699,0.727777777777778,0.64349376114082,0.516181625499307,0.673979815708644,0.6715625,0.624303264123219,4
"Aspergillus_kawachii",0.630852340936375,0.573856209150327,0.67825311942959,0.62037037037037,0.689839572192513,0.544142822205918,0.638437911364634,0.613645833333333,0.623674772372882,2
"Lactobacillus_ruminis",0.713385354141657,0.577124183006536,0.513368983957219,0.698148148148148,0.513368983957219,0.513206162876009,0.792014041246161,0.667604166666667,0.623527502999952,4
"Aspergillus_ochraceoroseus",0.65546218487395,0.679738562091503,0.642602495543672,0.605555555555556,0.638146167557932,0.530651340996169,0.613426941641071,0.609895833333333,0.621934885199148,2
"Streptococcus_equinus",0.75360144057623,0.566666666666667,0.557932263814617,0.651851851851852,0.598930481283422,0.541371158392435,0.694602896007021,0.6040625,0.62112740732403,3
"Streptococcus_salivarius",0.752701080432173,0.61437908496732,0.550802139037433,0.635185185185185,0.584670231729055,0.549197032689329,0.664326458973234,0.6134375,0.620587339126716,2
"Schizosaccharomyces_pombe",0.689975990396158,0.579738562091503,0.593582887700535,0.661111111111111,0.641711229946524,0.52889867123176,0.641948222904783,0.624375,0.620167709422797,2
"Streptococcus_thermophilus",0.636854741896759,0.769934640522876,0.548128342245989,0.737037037037037,0.525846702317291,0.514184397163121,0.637121544537078,0.585,0.619263425715019,2
"Baudoinia_panamericana",0.735294117647059,0.711764705882353,0.607843137254902,0.537037037037037,0.511586452762923,0.545650933398549,0.683194383501536,0.589479166666667,0.615231241768878,3
"Dialister_pneumosintes",0.721788715486194,0.730065359477124,0.516042780748663,0.731481481481481,0.515151515151515,0.558164180321187,0.527424308907416,0.614791666666667,0.614363751030031,3
"Edhazardia_aedis",0.70828331332533,0.500653594771242,0.513368983957219,0.572222222222222,0.672014260249554,0.56448194342545,0.715225976305397,0.660208333333333,0.613307328448719,4
"Erysiphe_pulchra",0.530612244897959,0.708496732026144,0.71301247771836,0.635185185185185,0.522281639928699,0.593543653705062,0.624835454146556,0.576145833333333,0.613014152617662,2
"Streptococcus_anginosus",0.510204081632653,0.558169934640523,0.667557932263815,0.731481481481481,0.691622103386809,0.603040678242439,0.553312856516016,0.578645833333333,0.611754362687134,3
"Eubacterium_eligens",0.636854741896759,0.523529411764706,0.590909090909091,0.601851851851852,0.641711229946524,0.631327953044754,0.667836770513383,0.594895833333333,0.61111461040755,1
"Leucoagaricus_sp_SymC_cos",0.653961584633854,0.581699346405229,0.531194295900178,0.518518518518519,0.670231729055259,0.564196625091709,0.699429574374726,0.655,0.609278959247434,4
"Pneumocystis_murina",0.697779111644658,0.526143790849673,0.600713012477718,0.598148148148148,0.620320855614973,0.50313850167115,0.689776217639316,0.6303125,0.608291517255705,2
"Naumovozyma_dairenensis",0.624549819927971,0.665359477124183,0.516042780748663,0.655555555555556,0.572192513368984,0.51186109073123,0.700307152259763,0.615625,0.607686673714544,3
"Debaryomyces_hansenii",0.651860744297719,0.517647058823529,0.671122994652406,0.642592592592593,0.500891265597148,0.514184397163121,0.710399297937692,0.650520833333333,0.607402398049693,4
"Candida_arabinofermentans",0.683673469387755,0.533986928104575,0.589126559714795,0.653703703703704,0.57397504456328,0.515162631450232,0.688021061869241,0.62,0.607206174849198,3
"Colletotrichum_fioriniae",0.533013205282113,0.661437908496732,0.619429590017825,0.57037037037037,0.670231729055259,0.508620689655172,0.651601579640193,0.621875,0.604572509064708,3
"Trichoderma_atroviride",0.638955582232893,0.673202614379085,0.53921568627451,0.505555555555556,0.668449197860963,0.511086655253933,0.60070206230803,0.692916666666667,0.603760502566455,3
