"","2014_ZellerG_Mean","2015_FengQ_Mean","2016_VogtmannE_Mean","2019_Thom_Mean","2019_WirbelJ_Mean","2019_Yachida_Mean","2021_JunY_1_Mean","2021_JunY_2_Mean","2014_ZellerG_Rank","2015_FengQ_Rank","2016_VogtmannE_Rank","2019_Thom_Rank","2019_WirbelJ_Rank","2019_Yachida_Rank","2021_JunY_1_Rank","2021_JunY_2_Rank","Rank3","Rank5","Rank10"
"Aspergillus_rambellii",60.4530408311457,37.4461516798227,97.317770903148,31.5225765564737,36.8541692087189,54.3229579088428,51.2699655142803,17.9884617518182,13,27,3,29,8,4,24,26,"Sel","Sel","Sel"
"Rhizophagus_irregularis",54.8772080670211,24.7902962279252,20.8466613137538,23.7968333477687,23.5020191591623,36.6453379575166,30.2071652685076,21.3739953817752,16,39,57,40,22,5,48,18,"Ign","Sel","Sel"
"Moniliophthora_perniciosa",75.027493361775,0.491941328267995,14.1178595044934,53.828495332877,30.7837836607849,35.1784693478469,41.8496077685926,9.75431634350065,8,64,61,7,11,6,35,54,"Ign","Ign","Sel"
"Erysiphe_pulchra",23.7683188759969,51.0469755583783,91.9847176814462,52.8088631595822,21.0574240630655,25.7410936914691,27.0539739641546,21.7710364377491,49,14,4,8,28,20,51,17,"Ign","Sel","Sel"
"Sphaerulina_musiva",46.308644575478,38.9659131086088,87.3295577073476,9.97213316787127,17.9652839589429,11.5414114387734,38.7096419918924,14.0871663970639,22,23,6,61,36,53,38,43,"Ign","Ign","Sel"
"Phytophthora_capsici",43.2249555963436,11.8041686078262,21.349061034738,35.4809511262475,15.7635091407714,24.9484746330817,41.5317337545318,14.1640945693325,23,59,56,25,43,21,36,42,"Ign","Ign","Ign"
"Trichophyton_mentagrophytes",26.1126452152718,9.74218689764336,31.6720402008895,15.1801277653894,12.8779953005528,16.1831661610255,5.42562552985434,25.1174039759385,45,61,47,55,55,39,64,12,"Ign","Ign","Ign"
"Aspergillus_kawachii",39.3653645160957,24.9410645286548,100,41.9486833128609,10.7472263966072,12.2719729490398,36.0719347510678,8.05401573167751,28,38,1,19,60,52,44,58,"Sel","Sel","Sel"
"Pneumocystis_murina",40.4388453405739,12.2842534885561,73.6280334160334,15.0236176411461,27.2090056915806,10.1219861671383,50.3574677764849,14.85115294973,26,58,14,57,16,59,25,39,"Ign","Ign","Ign"
"Debaryomyces_hansenii",35.7217254852806,7.55062556728391,89.7373589840453,46.2242803732613,13.6880870350456,16.8939030326169,53.779062455543,31.8390386634403,33,62,5,14,51,36,21,8,"Ign","Sel","Sel"
"Trichoderma_atroviride",31.4711819332003,40.8302268329702,56.691555764519,6.8141878033509,22.0224741897509,13.4999973799493,17.0278384360785,40.7292218205947,40,18,23,64,26,49,59,3,"Sel","Sel","Sel"
"Pseudocercospora_musae",18.6063691898071,27.7559438565986,74.9303143676178,24.5954630222795,24.8792205789401,18.0462522786705,47.4608848818454,3.14542377073742,57,36,13,39,19,35,29,62,"Ign","Ign","Ign"
"Cordyceps_sp_RAO_2017",54.8043039997293,12.7246946381895,46.5448392932,19.6890917485934,15.961318189332,20.8205197393178,35.080918920069,27.6408685656018,17,57,33,47,42,25,45,11,"Ign","Ign","Ign"
"Rhizophagus_clarus",47.7331226992161,31.5418859792292,40.7199974398557,90.9374861511859,24.0302268829051,20.0551310486252,54.0309597761016,11.1476896228068,21,31,40,3,21,27,20,50,"Sel","Sel","Sel"
"Pichia_kudriavzevii",39.2909902791859,17.0868159322891,33.4951826519732,61.3771893902954,9.6412275422274,11.276062763597,52.3611194818596,39.2051373076257,29,52,46,6,62,54,22,4,"Ign","Sel","Sel"
"Paracoccidioides_brasiliensis",33.1463986394667,29.047674580761,49.1125686709312,20.8354173288476,42.0599675935021,7.25785637785996,57.2602341603207,16.0920877843006,36,32,30,44,5,62,15,35,"Ign","Sel","Sel"
"Albugo_candida",20.8901234073403,13.9946470324326,13.2391231932622,36.4688156079693,31.3999640614999,10.0821922407308,32.888608302205,10.475776294124,55,55,63,22,10,60,46,51,"Ign","Ign","Sel"
"Lipomyces_starkeyi",24.8186910972961,37.1665552529486,62.2230026035353,15.0302000947822,21.8906441126137,10.455476642195,46.6039518469688,12.4929069383655,48,28,18,56,27,57,30,45,"Ign","Ign","Ign"
"Naumovozyma_dairenensis",8.24833555466774,45.2908432078631,18.4247018846717,50.532484198326,17.2662826495925,12.6769477678683,49.6174729527828,6.45979205724012,64,15,58,10,39,51,27,60,"Ign","Ign","Sel"
"Phytopythium_vexans",49.3116283639619,35.2114473068714,53.3450546151644,22.9148015214804,15.063274737993,28.8022702939749,15.8513237040185,11.3318582212901,20,29,26,42,46,10,61,49,"Ign","Ign","Sel"
"Aspergillus_ochraceoroseus",32.1256370441397,39.0125968197064,43.000673507872,38.2971828620881,17.9205396845507,6.22706602302795,36.8903232785976,18.3132019092079,39,22,37,20,37,64,42,25,"Ign","Ign","Ign"
"Colletotrichum_fioriniae",16.1844361413098,56.361350217809,37.6185874601492,18.7130207577232,18.7508123037795,10.1476802061621,36.1555883460737,17.8501476755427,61,12,41,50,32,58,43,28,"Ign","Ign","Ign"
