"","Aspergillus_rambellii","Rhizophagus_irregularis","Moniliophthora_perniciosa","Erysiphe_pulchra","Sphaerulina_musiva","Phytophthora_capsici","Trichophyton_mentagrophytes","Aspergillus_kawachii","Pneumocystis_murina","Debaryomyces_hansenii","Trichoderma_atroviride","Pseudocercospora_musae","Cordyceps_sp_RAO_2017","Rhizophagus_clarus","Pichia_kudriavzevii","Paracoccidioides_brasiliensis","Albugo_candida","Lipomyces_starkeyi","Naumovozyma_dairenensis","Phytopythium_vexans","Aspergillus_ochraceoroseus","Colletotrichum_fioriniae","Coniochaeta_ligniaria","Leucoagaricus_sp_SymC_cos","Colletotrichum_salicis","Candida_arabinofermentans","Baudoinia_panamericana","Hyaloscypha_variabilis","Schizosaccharomyces_pombe","Tuber_magnatum","Thielaviopsis_punctulata","Edhazardia_aedis","Choanephora_cucurbitarum","Fusobacterium_nucleatum","Parvimonas_micra","Gemella_morbillorum","Anaerostipes_hadrus","Pseudobutyrivibrio_xylanivorans","Butyrivibrio_proteoclasticus","Roseburia_intestinalis","Dialister_pneumosintes","Lactococcus_garvieae","Brachyspira_pilosicoli","Romboutsia_ilealis","Porphyromonas_asaccharolytica","Eubacterium_eligens","Clostridium_beijerinckii","Fusobacterium_periodonticum","Streptococcus_anginosus","Bifidobacterium_catenulatum","Lactobacillus_ruminis","Bifidobacterium_angulatum","Streptococcus_salivarius","Bifidobacterium_pseudocatenulatum","Streptococcus_equinus","Streptococcus_milleri","Bifidobacterium_bifidum","Prevotella_intermedia","Streptococcus_thermophilus","Bifidobacterium_adolescentis","Adlercreutzia_equolifaciens","Ruminococcus_bicirculans","Bifidobacterium_longum","Escherichia_coli"
"Mean",60.4530408311457,54.8772080670211,75.027493361775,23.7683188759969,46.308644575478,43.2249555963436,26.1126452152718,39.3653645160957,40.4388453405739,35.7217254852806,31.4711819332003,18.6063691898071,54.8043039997293,47.7331226992161,39.2909902791859,33.1463986394667,20.8901234073403,24.8186910972961,8.24833555466774,49.3116283639619,32.1256370441397,16.1844361413098,40.1287227833537,28.6006566563066,19.7307758860665,32.5105476945149,89.6466638604238,33.2811532454339,41.1879410071503,21.4785478078354,30.6030590555582,49.3577602149391,32.6092118073253,82.5917765216617,79.498953743643,49.3805999897657,90.7764930820481,30.3492219297653,22.8554838041338,42.7524443754132,78.0426560306894,34.1022369765619,70.8502316309854,64.8380832825112,71.057827447702,36.0519306046115,63.9804089242954,30.7693620925934,18.2233746208078,59.0770765730303,56.1308302440896,38.3637338406539,98.1126109588099,38.3835665229569,79.7357944467072,25.6311331669684,25.3851148475461,10.0329425094272,18.2976660851138,23.557705581326,22.9169395513827,22.623087339926,18.2493009736687,14.7594033840318
"CRC.1",62.9174821536728,57.2955970920317,82.685803018222,21.4097167296801,50.0303465482407,48.0690897109967,29.0839595874475,62.5679955968724,61.3054859641167,44.1575392588562,40.2096660818966,20.0260753324739,44.5817273848438,37.7641708114155,57.2939742007753,27.0995915704094,13.2036283409797,39.6651999646084,8.75513960346935,48.6982480687222,15.2493156280039,25.5606707695555,26.2070819381429,17.7632147212343,34.7493953685359,40.6960182426752,93.280190462532,22.3953415613008,44.7451479441502,9.32899975428942,53.3465818833908,53.6266381375585,40.2242461649156,77.6740721164508,85.1044151039562,36.7106063685952,100,30.3081334572546,37.584952434663,42.8569973747279,93.9333870366958,24.1557818684032,76.0255162364729,59.8909409614694,89.4207918826722,41.403476105119,87.8575188351158,26.4641220059699,14.8853097760136,61.8774185979172,55.5998344895169,40.9909746524805,97.541697120827,57.1809866648455,80.0436167615058,35.5054312764267,26.319583411518,6.13474347457587,0,19.0462017854183,20.9863800131748,26.0284086456278,16.8190016095448,16.174002860588
"CRC.2",63.4992417361323,59.5841546409709,75.312218874077,21.3526929031267,37.8681218242174,30.4169541989131,25.8750684922763,31.3115420592692,36.5952360955016,24.5282999876914,39.9258525348966,0,68.1617872172593,41.9551213568843,26.5195815315497,30.6899872022894,20.74761846436,23.1691826219123,14.7345926556675,59.8169450123838,23.0226984072785,7.52218926602411,54.4775850295622,29.0128754986454,7.88236732965972,13.7481186774428,91.0259939602302,41.5150949708003,32.7343795343721,11.4198745938996,24.1743470665153,68.6667846748972,19.8070082108657,92.7154458121815,76.1331833844131,54.8155952754829,86.4142624815399,46.0737455611708,18.9312480125174,32.3336559433504,74.8349108737991,52.8390936748776,78.229814070456,71.7709693707509,47.3595962008834,41.2756924415695,70.4635996294357,22.1152365701158,18.6231577994498,65.196027907039,59.1723841540632,39.1347650899125,100,27.5118909190516,85.5854341536696,21.2352920685491,18.8422558754938,13.3232374829186,22.4397496959451,26.2364776058377,24.9205817209356,30.7526343614184,25.0733782480076,7.2316720978722
"CRC.3",54.2356149952605,64.5891813055154,75.7979542706018,26.7269002977267,62.6083069683574,48.1758867615642,17.407623310305,40.5900058760883,16.577364998557,35.5780175223897,38.8228613824624,23.6102820654259,62.8729943797095,38.9016628809466,52.9885403084362,46.9022004676079,18.348584033446,36.5480778618131,0,57.114244373707,35.874952791557,28.6728447271305,43.7676958554268,30.303762198219,30.5371114541972,49.2901061427977,98.3237276949119,25.9051451435883,44.3543249090534,34.7206987275165,29.5939109361962,56.9958389128201,23.8730286929474,77.0964377557915,92.7123978865033,63.3216808089518,100,21.9836330240725,23.1073127051932,62.4262188496604,74.2991302605659,40.10635216581,68.2289001259599,56.2163006559866,67.2772322821935,44.5320553415191,60.8453436989985,38.8557506817038,9.28232696594232,67.5231830005286,50.0186511934339,48.0887468205006,96.6721741798302,33.0568781994481,73.6217283882996,24.8625974252564,36.4261815911802,7.39400492341146,24.645387754282,36.0341319663497,14.2268976839006,16.220039000149,15.9049813666535,9.0028151185714
"CRC.4",64.315010170969,37.129526761738,73.7324573796526,23.4911508362235,44.2518203025987,41.2171266493886,26.9061573891049,29.106090921941,60.9148075186568,39.3492476852102,9.95132432876909,30.2083881563586,49.20328289037,70.6306829105786,34.3916210329589,26.3461230123496,31.2542626560801,17.9471094548882,13.2449671580289,43.9056085271231,51.284208386856,8.55153671684188,39.9489965605546,22.0166331156713,9.21493343154079,34.51667366063,80.9884219891282,34.4266931306378,47.9671162454261,24.8315945556391,27.188581271446,28.4621662418859,40.2269392480734,94.327965206788,66.7065320626704,56.5066694886795,80.6214247584483,26.1477546157741,10.3968138059646,29.1234852762846,81.5732528654113,24.3682846277384,73.9629696316404,68.8501553637074,74.7910601794903,36.5665627830255,62.639495783151,26.4432082121478,9.73129755397652,60.8390793202562,50.2709636039261,26.3629542882104,100,46.3141652919106,76.1507895667614,15.6075951377607,18.1951523274593,0,16.0713296754729,17.6627171766012,31.436500818754,17.7837285989661,2.01998341092379,29.4666158171592
"CRC.5",70.1692077632124,54.977984295642,81.148632360482,35.4504665484521,39.0605151740564,46.3612373321013,25.0617022855911,53.6190443537048,48.8815441690726,44.5360420056061,34.6130595994848,41.9099834098072,54.7019310645494,63.3014319623562,44.7579911172484,40.0684238777929,19.4113239044661,24.3920698122793,0,54.4351291145602,42.4931412119974,18.0909253258293,44.4543799529069,48.6303034615526,35.5026941549554,19.4152950838615,81.6097659538129,47.0121342788735,35.2743587835418,21.9659734346386,40.731667652716,48.0123377402743,34.7342621458257,77.3462015610181,85.7608222978951,41.8772024485667,88.8350628766232,42.1678792191486,26.686959099735,51.1979187270721,87.10333566602,38.4345792747327,74.331758173574,70.6152773890138,100,38.8983762465644,63.4295933512335,45.805544115103,24.7077956796412,44.3369429036301,63.9327938388139,50.4015017808445,95.7497714996773,45.8739460337034,90.0219107185255,34.9009006287975,45.3030638197386,24.3258980214953,14.0677551474222,22.9378127261307,26.5472241481471,42.7796748305566,45.3079892640335,25.1231851084429
"CRC.6",46.4336338324029,35.7828443938843,51.1013718114122,17.5803512383072,30.9793572791912,37.9728343751664,22.532824384025,22.9903218803608,25.3514273795425,29.3549530305693,23.0577927101275,0,40.3756360143606,20.4771932067735,32.0052132307668,22.7140326106597,22.1409016925552,5.15695179075013,1.957753938222,27.8345073393102,17.5983543308521,14.6890526245225,31.2778730799903,3.09400361749102,8.50104565355667,16.9125107046569,80.9003948993523,30.9649263607064,37.1568693781184,41.546169135316,24.5741231538388,28.4580255396061,35.6617290352751,62.0617190572533,66.7567927224842,36.3755724411567,100,13.047950886746,17.8190932248001,31.6494835360593,58.1102057131199,12.5354661548449,45.2973278539181,37.8230065855099,56.4170196370147,1.53457358069773,33.7678086847894,19.3641987790069,17.346077303258,34.9041510620289,66.875593879449,21.6862441349048,95.3894503083628,21.5180180704088,66.3911888579016,9.216864672206,7.72166803648622,13.3944020461408,3.04927983413056,14.0345327010412,11.2584678461496,2.02328561304574,1.806556043015,0.343971529605048
"CRC.7",60.9103507574447,78.1099294722047,85.6538653789706,20.1011661693761,53.5597285629451,60.2264593254401,44.0702675122825,52.4610056154222,40.6751786675762,40.2575901671922,39.4312244482378,16.4902927122211,47.9076165588615,52.8134967147969,31.053238497179,33.7053169713115,13.4444498276297,23.6439495280955,15.8113423775932,40.4748032905992,25.5518400991606,14.0105712731974,22.959337971409,53.8525031377168,23.2857992528211,52.9718559522147,100,28.7452637634057,44.5913925879897,0,25.4645393173214,55.2310210727455,47.6579284234638,80.5560749323732,86.2632806449208,29.5547274931095,84.8584934638814,29.5579893324689,41.5930842347893,54.0533239776822,79.8650438915054,31.2690815307862,72.0043463897763,86.3767571082293,85.8846856321983,33.9342589815059,66.8522901486449,41.2313650979196,50.0209988104283,62.5356727110798,55.97608233027,43.3856854410623,99.1008422995717,45.4968456397907,90.1853239116784,53.2771658291215,27.5796536194512,15.0398967394,39.5466916181854,19.6918551030927,29.2093630591749,25.8867003889622,32.5627767689242,14.5506682744766
"CRC.8",63.4992417361323,59.5841546409709,75.312218874077,21.3526929031267,37.8681218242174,30.4169541989131,25.8750684922763,31.3115420592692,36.5952360955016,24.5282999876914,39.9258525348966,0,68.1617872172593,41.9551213568843,26.5195815315497,30.6899872022894,20.74761846436,23.1691826219123,14.7345926556675,59.8169450123838,23.0226984072785,7.52218926602411,54.4775850295622,29.0128754986454,7.88236732965972,13.7481186774428,91.0259939602302,41.5150949708003,32.7343795343721,11.4198745938996,24.1743470665153,68.6667846748972,19.8070082108657,92.7154458121815,76.1331833844131,54.8155952754829,86.4142624815399,46.0737455611708,18.9312480125174,32.3336559433504,74.8349108737991,52.8390936748776,78.229814070456,71.7709693707509,47.3595962008834,41.2756924415695,70.4635996294357,22.1152365701158,18.6231577994498,65.196027907039,59.1723841540632,39.1347650899125,100,27.5118909190516,85.5854341536696,21.2352920685491,18.8422558754938,13.3232374829186,22.4397496959451,26.2364776058377,24.9205817209356,30.7526343614184,25.0733782480076,7.2316720978722
"CRC.9",54.2356149952605,64.5891813055154,75.7979542706018,26.7269002977267,62.6083069683574,48.1758867615642,17.407623310305,40.5900058760883,16.577364998557,35.5780175223897,38.8228613824624,23.6102820654259,62.8729943797095,38.9016628809466,52.9885403084362,46.9022004676079,18.348584033446,36.5480778618131,0,57.114244373707,35.874952791557,28.6728447271305,43.7676958554268,30.303762198219,30.5371114541972,49.2901061427977,98.3237276949119,25.9051451435883,44.3543249090534,34.7206987275165,29.5939109361962,56.9958389128201,23.8730286929474,77.0964377557915,92.7123978865033,63.3216808089518,100,21.9836330240725,23.1073127051932,62.4262188496604,74.2991302605659,40.10635216581,68.2289001259599,56.2163006559866,67.2772322821935,44.5320553415191,60.8453436989985,38.8557506817038,9.28232696594232,67.5231830005286,50.0186511934339,48.0887468205006,96.6721741798302,33.0568781994481,73.6217283882996,24.8625974252564,36.4261815911802,7.39400492341146,24.645387754282,36.0341319663497,14.2268976839006,16.220039000149,15.9049813666535,9.0028151185714
"CRC.10",64.315010170969,37.129526761738,73.7324573796526,23.4911508362235,44.2518203025987,41.2171266493886,26.9061573891049,29.106090921941,60.9148075186568,39.3492476852102,9.95132432876909,30.2083881563586,49.20328289037,70.6306829105786,34.3916210329589,26.3461230123496,31.2542626560801,17.9471094548882,13.2449671580289,43.9056085271231,51.284208386856,8.55153671684188,39.9489965605546,22.0166331156713,9.21493343154079,34.51667366063,80.9884219891282,34.4266931306378,47.9671162454261,24.8315945556391,27.188581271446,28.4621662418859,40.2269392480734,94.327965206788,66.7065320626704,56.5066694886795,80.6214247584483,26.1477546157741,10.3968138059646,29.1234852762846,81.5732528654113,24.3682846277384,73.9629696316404,68.8501553637074,74.7910601794903,36.5665627830255,62.639495783151,26.4432082121478,9.73129755397652,60.8390793202562,50.2709636039261,26.3629542882104,100,46.3141652919106,76.1507895667614,15.6075951377607,18.1951523274593,0,16.0713296754729,17.6627171766012,31.436500818754,17.7837285989661,2.01998341092379,29.4666158171592
