"","Aspergillus_rambellii","Rhizophagus_irregularis","Moniliophthora_perniciosa","Erysiphe_pulchra","Sphaerulina_musiva","Phytophthora_capsici","Trichophyton_mentagrophytes","Aspergillus_kawachii","Pneumocystis_murina","Debaryomyces_hansenii","Trichoderma_atroviride","Pseudocercospora_musae","Cordyceps_sp_RAO_2017","Rhizophagus_clarus","Pichia_kudriavzevii","Paracoccidioides_brasiliensis","Albugo_candida","Lipomyces_starkeyi","Naumovozyma_dairenensis","Phytopythium_vexans","Aspergillus_ochraceoroseus","Colletotrichum_fioriniae","Coniochaeta_ligniaria","Leucoagaricus_sp_SymC_cos","Colletotrichum_salicis","Candida_arabinofermentans","Baudoinia_panamericana","Hyaloscypha_variabilis","Schizosaccharomyces_pombe","Tuber_magnatum","Thielaviopsis_punctulata","Edhazardia_aedis","Choanephora_cucurbitarum","Fusobacterium_nucleatum","Parvimonas_micra","Gemella_morbillorum","Anaerostipes_hadrus","Pseudobutyrivibrio_xylanivorans","Butyrivibrio_proteoclasticus","Roseburia_intestinalis","Dialister_pneumosintes","Lactococcus_garvieae","Brachyspira_pilosicoli","Romboutsia_ilealis","Porphyromonas_asaccharolytica","Eubacterium_eligens","Clostridium_beijerinckii","Fusobacterium_periodonticum","Streptococcus_anginosus","Bifidobacterium_catenulatum","Lactobacillus_ruminis","Bifidobacterium_angulatum","Streptococcus_salivarius","Bifidobacterium_pseudocatenulatum","Streptococcus_equinus","Streptococcus_milleri","Bifidobacterium_bifidum","Prevotella_intermedia","Streptococcus_thermophilus","Bifidobacterium_adolescentis","Adlercreutzia_equolifaciens","Ruminococcus_bicirculans","Bifidobacterium_longum","Escherichia_coli"
"Mean",37.4461516798227,24.7902962279252,0.491941328267995,51.0469755583783,38.9659131086088,11.8041686078262,9.74218689764336,24.9410645286548,12.2842534885561,7.55062556728391,40.8302268329702,27.7559438565986,12.7246946381895,31.5418859792292,17.0868159322891,29.047674580761,13.9946470324326,37.1665552529486,45.2908432078631,35.2114473068714,39.0125968197064,56.361350217809,17.5278309359819,23.5993135622046,28.6192973856184,18.4289575542896,40.5219652667112,19.0845682082016,11.493783773823,60.1197343071429,23.2070537426031,34.1058339975346,17.0645471397873,88.6336451476652,84.6058897683915,95.6008948865058,22.5457584480243,66.1658208777928,40.4181310850869,17.584717538234,66.6654635708875,38.475131941222,38.6262209081382,28.8909472869585,100,16.1587840527553,57.6448093644483,40.9957473614867,17.5247426012455,57.0263378421955,52.8214612339403,28.4561919761642,21.0360351977181,44.3551291937221,5.74802682885751,22.5860672295298,39.8969439332071,88.3374336910197,81.1584507450581,22.4872238225941,12.997474848776,38.17049156591,17.9431860874207,26.2357445068047
"CRC.1",41.0330081724663,19.2721415634839,4.91941328267995,48.9353441241503,34.5225557790869,22.8888773529768,11.2353274370405,24.367043679564,22.5702736913299,10.2418543038304,40.519457755591,44.6218863489145,15.6651258780797,15.7267336625404,17.7456088313117,15.9161062310723,8.48444356082026,15.4313392607542,31.7648880341559,26.3174271428947,38.6458887118563,49.7431159697227,0.328952795401656,29.5184622863539,28.853763709937,28.1228246821584,39.8915529790459,17.8679857876711,9.31453461433983,45.686209176536,27.4908249075665,13.7226136627839,8.58130448640263,84.0586591491359,64.7694937511051,78.8554465231617,23.8252969993037,49.875686082243,38.4513229398604,11.8145539898765,44.1602658536828,29.1212288881009,48.0455842820722,11.4576049836105,100,27.2074216056192,61.6204505011963,34.0958080001762,29.5804244637924,50.4538542996518,32.3127109103416,37.1005846183408,9.34596473223431,26.2644665676729,11.9317579592407,0,23.2719395277964,68.0435614145417,80.787163374637,17.5160635024626,11.0310127210087,28.3094995985747,18.1015275753137,16.3834702074756
"CRC.2",37.047612069529,25.4034245239742,0,51.2816012732925,39.4596194785556,10.5725343028095,9.5762823932659,25.0048446229982,11.1413623549146,7.25160015211207,40.8647567304568,25.8819502463413,12.3979800559794,33.299125125528,17.0136167212866,30.5067377307265,14.6068918626117,39.5815792520813,46.7937271160528,36.1996717695355,39.0533421650231,57.0967095787075,19.4388173960464,22.9416303706324,28.5932455718053,17.3518612067486,40.5920110764518,19.219744032705,11.7359225693212,61.7234593216548,22.7310791687183,36.3706362569513,18.0071296568301,89.1419769252796,86.8099337703122,97.4615002602107,22.4035874978821,67.9758358550762,40.6366653234454,18.2258468213849,69.1660410950213,39.5144545026799,37.5796249777011,30.8279853206639,100,14.9311576579926,57.2030714603652,41.7624072905212,16.1852223942958,57.756613791367,55.1002112698957,27.4957039048113,22.3349319161052,46.3652028188387,5.06094559214826,25.0956302550331,41.7441666449194,90.5923083884062,81.1997048973271,23.0395749692754,13.2159706407502,39.2661573400584,17.9255925887659,27.3304416511746
"CRC.3",37.047612069529,25.4034245239742,0,51.2816012732925,39.4596194785556,10.5725343028095,9.5762823932659,25.0048446229982,11.1413623549146,7.25160015211207,40.8647567304568,25.8819502463413,12.3979800559794,33.299125125528,17.0136167212866,30.5067377307265,14.6068918626117,39.5815792520813,46.7937271160528,36.1996717695355,39.0533421650231,57.0967095787075,19.4388173960464,22.9416303706324,28.5932455718053,17.3518612067486,40.5920110764518,19.219744032705,11.7359225693212,61.7234593216548,22.7310791687183,36.3706362569513,18.0071296568301,89.1419769252796,86.8099337703122,97.4615002602107,22.4035874978821,67.9758358550762,40.6366653234454,18.2258468213849,69.1660410950213,39.5144545026799,37.5796249777011,30.8279853206639,100,14.9311576579926,57.2030714603652,41.7624072905212,16.1852223942958,57.756613791367,55.1002112698957,27.4957039048113,22.3349319161052,46.3652028188387,5.06094559214826,25.0956302550331,41.7441666449194,90.5923083884062,81.1997048973271,23.0395749692754,13.2159706407502,39.2661573400584,17.9255925887659,27.3304416511746
"CRC.4",37.047612069529,25.4034245239742,0,51.2816012732925,39.4596194785556,10.5725343028095,9.5762823932659,25.0048446229982,11.1413623549146,7.25160015211207,40.8647567304568,25.8819502463413,12.3979800559794,33.299125125528,17.0136167212866,30.5067377307265,14.6068918626117,39.5815792520813,46.7937271160528,36.1996717695355,39.0533421650231,57.0967095787075,19.4388173960464,22.9416303706324,28.5932455718053,17.3518612067486,40.5920110764518,19.219744032705,11.7359225693212,61.7234593216548,22.7310791687183,36.3706362569513,18.0071296568301,89.1419769252796,86.8099337703122,97.4615002602107,22.4035874978821,67.9758358550762,40.6366653234454,18.2258468213849,69.1660410950213,39.5144545026799,37.5796249777011,30.8279853206639,100,14.9311576579926,57.2030714603652,41.7624072905212,16.1852223942958,57.756613791367,55.1002112698957,27.4957039048113,22.3349319161052,46.3652028188387,5.06094559214826,25.0956302550331,41.7441666449194,90.5923083884062,81.1997048973271,23.0395749692754,13.2159706407502,39.2661573400584,17.9255925887659,27.3304416511746
"CRC.5",37.047612069529,25.4034245239742,0,51.2816012732925,39.4596194785556,10.5725343028095,9.5762823932659,25.0048446229982,11.1413623549146,7.25160015211207,40.8647567304568,25.8819502463413,12.3979800559794,33.299125125528,17.0136167212866,30.5067377307265,14.6068918626117,39.5815792520813,46.7937271160528,36.1996717695355,39.0533421650231,57.0967095787075,19.4388173960464,22.9416303706324,28.5932455718053,17.3518612067486,40.5920110764518,19.219744032705,11.7359225693212,61.7234593216548,22.7310791687183,36.3706362569513,18.0071296568301,89.1419769252796,86.8099337703122,97.4615002602107,22.4035874978821,67.9758358550762,40.6366653234454,18.2258468213849,69.1660410950213,39.5144545026799,37.5796249777011,30.8279853206639,100,14.9311576579926,57.2030714603652,41.7624072905212,16.1852223942958,57.756613791367,55.1002112698957,27.4957039048113,22.3349319161052,46.3652028188387,5.06094559214826,25.0956302550331,41.7441666449194,90.5923083884062,81.1997048973271,23.0395749692754,13.2159706407502,39.2661573400584,17.9255925887659,27.3304416511746
"CRC.6",37.047612069529,25.4034245239742,0,51.2816012732925,39.4596194785556,10.5725343028095,9.5762823932659,25.0048446229982,11.1413623549146,7.25160015211207,40.8647567304568,25.8819502463413,12.3979800559794,33.299125125528,17.0136167212866,30.5067377307265,14.6068918626117,39.5815792520813,46.7937271160528,36.1996717695355,39.0533421650231,57.0967095787075,19.4388173960464,22.9416303706324,28.5932455718053,17.3518612067486,40.5920110764518,19.219744032705,11.7359225693212,61.7234593216548,22.7310791687183,36.3706362569513,18.0071296568301,89.1419769252796,86.8099337703122,97.4615002602107,22.4035874978821,67.9758358550762,40.6366653234454,18.2258468213849,69.1660410950213,39.5144545026799,37.5796249777011,30.8279853206639,100,14.9311576579926,57.2030714603652,41.7624072905212,16.1852223942958,57.756613791367,55.1002112698957,27.4957039048113,22.3349319161052,46.3652028188387,5.06094559214826,25.0956302550331,41.7441666449194,90.5923083884062,81.1997048973271,23.0395749692754,13.2159706407502,39.2661573400584,17.9255925887659,27.3304416511746
"CRC.7",37.047612069529,25.4034245239742,0,51.2816012732925,39.4596194785556,10.5725343028095,9.5762823932659,25.0048446229982,11.1413623549146,7.25160015211207,40.8647567304568,25.8819502463413,12.3979800559794,33.299125125528,17.0136167212866,30.5067377307265,14.6068918626117,39.5815792520813,46.7937271160528,36.1996717695355,39.0533421650231,57.0967095787075,19.4388173960464,22.9416303706324,28.5932455718053,17.3518612067486,40.5920110764518,19.219744032705,11.7359225693212,61.7234593216548,22.7310791687183,36.3706362569513,18.0071296568301,89.1419769252796,86.8099337703122,97.4615002602107,22.4035874978821,67.9758358550762,40.6366653234454,18.2258468213849,69.1660410950213,39.5144545026799,37.5796249777011,30.8279853206639,100,14.9311576579926,57.2030714603652,41.7624072905212,16.1852223942958,57.756613791367,55.1002112698957,27.4957039048113,22.3349319161052,46.3652028188387,5.06094559214826,25.0956302550331,41.7441666449194,90.5923083884062,81.1997048973271,23.0395749692754,13.2159706407502,39.2661573400584,17.9255925887659,27.3304416511746
"CRC.8",37.047612069529,25.4034245239742,0,51.2816012732925,39.4596194785556,10.5725343028095,9.5762823932659,25.0048446229982,11.1413623549146,7.25160015211207,40.8647567304568,25.8819502463413,12.3979800559794,33.299125125528,17.0136167212866,30.5067377307265,14.6068918626117,39.5815792520813,46.7937271160528,36.1996717695355,39.0533421650231,57.0967095787075,19.4388173960464,22.9416303706324,28.5932455718053,17.3518612067486,40.5920110764518,19.219744032705,11.7359225693212,61.7234593216548,22.7310791687183,36.3706362569513,18.0071296568301,89.1419769252796,86.8099337703122,97.4615002602107,22.4035874978821,67.9758358550762,40.6366653234454,18.2258468213849,69.1660410950213,39.5144545026799,37.5796249777011,30.8279853206639,100,14.9311576579926,57.2030714603652,41.7624072905212,16.1852223942958,57.756613791367,55.1002112698957,27.4957039048113,22.3349319161052,46.3652028188387,5.06094559214826,25.0956302550331,41.7441666449194,90.5923083884062,81.1997048973271,23.0395749692754,13.2159706407502,39.2661573400584,17.9255925887659,27.3304416511746
"CRC.9",37.047612069529,25.4034245239742,0,51.2816012732925,39.4596194785556,10.5725343028095,9.5762823932659,25.0048446229982,11.1413623549146,7.25160015211207,40.8647567304568,25.8819502463413,12.3979800559794,33.299125125528,17.0136167212866,30.5067377307265,14.6068918626117,39.5815792520813,46.7937271160528,36.1996717695355,39.0533421650231,57.0967095787075,19.4388173960464,22.9416303706324,28.5932455718053,17.3518612067486,40.5920110764518,19.219744032705,11.7359225693212,61.7234593216548,22.7310791687183,36.3706362569513,18.0071296568301,89.1419769252796,86.8099337703122,97.4615002602107,22.4035874978821,67.9758358550762,40.6366653234454,18.2258468213849,69.1660410950213,39.5144545026799,37.5796249777011,30.8279853206639,100,14.9311576579926,57.2030714603652,41.7624072905212,16.1852223942958,57.756613791367,55.1002112698957,27.4957039048113,22.3349319161052,46.3652028188387,5.06094559214826,25.0956302550331,41.7441666449194,90.5923083884062,81.1997048973271,23.0395749692754,13.2159706407502,39.2661573400584,17.9255925887659,27.3304416511746
