"","Aspergillus_rambellii","Rhizophagus_irregularis","Moniliophthora_perniciosa","Erysiphe_pulchra","Sphaerulina_musiva","Phytophthora_capsici","Trichophyton_mentagrophytes","Aspergillus_kawachii","Pneumocystis_murina","Debaryomyces_hansenii","Trichoderma_atroviride","Pseudocercospora_musae","Cordyceps_sp_RAO_2017","Rhizophagus_clarus","Pichia_kudriavzevii","Paracoccidioides_brasiliensis","Albugo_candida","Lipomyces_starkeyi","Naumovozyma_dairenensis","Phytopythium_vexans","Aspergillus_ochraceoroseus","Colletotrichum_fioriniae","Coniochaeta_ligniaria","Leucoagaricus_sp_SymC_cos","Colletotrichum_salicis","Candida_arabinofermentans","Baudoinia_panamericana","Hyaloscypha_variabilis","Schizosaccharomyces_pombe","Tuber_magnatum","Thielaviopsis_punctulata","Edhazardia_aedis","Choanephora_cucurbitarum","Fusobacterium_nucleatum","Parvimonas_micra","Gemella_morbillorum","Anaerostipes_hadrus","Pseudobutyrivibrio_xylanivorans","Butyrivibrio_proteoclasticus","Roseburia_intestinalis","Dialister_pneumosintes","Lactococcus_garvieae","Brachyspira_pilosicoli","Romboutsia_ilealis","Porphyromonas_asaccharolytica","Eubacterium_eligens","Clostridium_beijerinckii","Fusobacterium_periodonticum","Streptococcus_anginosus","Bifidobacterium_catenulatum","Lactobacillus_ruminis","Bifidobacterium_angulatum","Streptococcus_salivarius","Bifidobacterium_pseudocatenulatum","Streptococcus_equinus","Streptococcus_milleri","Bifidobacterium_bifidum","Prevotella_intermedia","Streptococcus_thermophilus","Bifidobacterium_adolescentis","Adlercreutzia_equolifaciens","Ruminococcus_bicirculans","Bifidobacterium_longum","Escherichia_coli"
"Mean",97.317770903148,20.8466613137538,14.1178595044934,91.9847176814462,87.3295577073476,21.349061034738,31.6720402008895,100,73.6280334160334,89.7373589840453,56.691555764519,74.9303143676178,46.5448392932,40.7199974398557,33.4951826519732,49.1125686709312,13.2391231932622,62.2230026035353,18.4247018846717,53.3450546151644,43.000673507872,37.6185874601492,28.9288422811973,26.3905113113549,83.4762624051385,76.3805839842067,57.4901103959011,64.0566879281329,30.7175140218367,14.6925166304163,55.4273717193062,18.1318285714184,13.9042869345513,78.6530381017109,47.4287096315234,28.3661459098898,37.3825654264275,35.7645372257616,77.2186936781664,59.8344807033387,43.4829065460581,54.585663462407,98.3138336665549,66.3204966912651,47.8566094515276,36.0719298176836,59.8084923500236,52.0924822676861,77.7792670821829,46.4492019108125,57.476758308376,26.5042287262689,0,27.8249986824618,34.1522936881661,81.1012711172254,49.7099109389226,45.9627809815146,50.4112028221351,40.723071862002,62.3699897023954,41.2504291654319,29.0554892668363,29.6737727532287
"CRC.1",97.317770903148,20.8466613137538,14.1178595044934,91.9847176814462,87.3295577073476,21.349061034738,31.6720402008895,100,73.6280334160334,89.7373589840453,56.691555764519,74.9303143676178,46.5448392932,40.7199974398557,33.4951826519732,49.1125686709312,13.2391231932622,62.2230026035353,18.4247018846717,53.3450546151644,43.000673507872,37.6185874601492,28.9288422811973,26.3905113113549,83.4762624051385,76.3805839842067,57.4901103959011,64.0566879281329,30.7175140218367,14.6925166304163,55.4273717193062,18.1318285714184,13.9042869345513,78.6530381017109,47.4287096315234,28.3661459098898,37.3825654264275,35.7645372257616,77.2186936781664,59.8344807033387,43.4829065460581,54.585663462407,98.3138336665549,66.3204966912651,47.8566094515276,36.0719298176836,59.8084923500236,52.0924822676861,77.7792670821829,46.4492019108125,57.476758308376,26.5042287262689,0,27.8249986824618,34.1522936881661,81.1012711172254,49.7099109389226,45.9627809815146,50.4112028221351,40.723071862002,62.3699897023954,41.2504291654319,29.0554892668363,29.6737727532287
"CRC.2",97.317770903148,20.8466613137538,14.1178595044934,91.9847176814462,87.3295577073476,21.349061034738,31.6720402008895,100,73.6280334160334,89.7373589840453,56.691555764519,74.9303143676178,46.5448392932,40.7199974398557,33.4951826519732,49.1125686709312,13.2391231932622,62.2230026035353,18.4247018846717,53.3450546151644,43.000673507872,37.6185874601492,28.9288422811973,26.3905113113549,83.4762624051385,76.3805839842067,57.4901103959011,64.0566879281329,30.7175140218367,14.6925166304163,55.4273717193062,18.1318285714184,13.9042869345513,78.6530381017109,47.4287096315234,28.3661459098898,37.3825654264275,35.7645372257616,77.2186936781664,59.8344807033387,43.4829065460581,54.585663462407,98.3138336665549,66.3204966912651,47.8566094515276,36.0719298176836,59.8084923500236,52.0924822676861,77.7792670821829,46.4492019108125,57.476758308376,26.5042287262689,0,27.8249986824618,34.1522936881661,81.1012711172254,49.7099109389226,45.9627809815146,50.4112028221351,40.723071862002,62.3699897023954,41.2504291654319,29.0554892668363,29.6737727532287
"CRC.3",97.317770903148,20.8466613137538,14.1178595044934,91.9847176814462,87.3295577073476,21.349061034738,31.6720402008895,100,73.6280334160334,89.7373589840453,56.691555764519,74.9303143676178,46.5448392932,40.7199974398557,33.4951826519732,49.1125686709312,13.2391231932622,62.2230026035353,18.4247018846717,53.3450546151644,43.000673507872,37.6185874601492,28.9288422811973,26.3905113113549,83.4762624051385,76.3805839842067,57.4901103959011,64.0566879281329,30.7175140218367,14.6925166304163,55.4273717193062,18.1318285714184,13.9042869345513,78.6530381017109,47.4287096315234,28.3661459098898,37.3825654264275,35.7645372257616,77.2186936781664,59.8344807033387,43.4829065460581,54.585663462407,98.3138336665549,66.3204966912651,47.8566094515276,36.0719298176836,59.8084923500236,52.0924822676861,77.7792670821829,46.4492019108125,57.476758308376,26.5042287262689,0,27.8249986824618,34.1522936881661,81.1012711172254,49.7099109389226,45.9627809815146,50.4112028221351,40.723071862002,62.3699897023954,41.2504291654319,29.0554892668363,29.6737727532287
"CRC.4",97.317770903148,20.8466613137538,14.1178595044934,91.9847176814462,87.3295577073476,21.349061034738,31.6720402008895,100,73.6280334160334,89.7373589840453,56.691555764519,74.9303143676178,46.5448392932,40.7199974398557,33.4951826519732,49.1125686709312,13.2391231932622,62.2230026035353,18.4247018846717,53.3450546151644,43.000673507872,37.6185874601492,28.9288422811973,26.3905113113549,83.4762624051385,76.3805839842067,57.4901103959011,64.0566879281329,30.7175140218367,14.6925166304163,55.4273717193062,18.1318285714184,13.9042869345513,78.6530381017109,47.4287096315234,28.3661459098898,37.3825654264275,35.7645372257616,77.2186936781664,59.8344807033387,43.4829065460581,54.585663462407,98.3138336665549,66.3204966912651,47.8566094515276,36.0719298176836,59.8084923500236,52.0924822676861,77.7792670821829,46.4492019108125,57.476758308376,26.5042287262689,0,27.8249986824618,34.1522936881661,81.1012711172254,49.7099109389226,45.9627809815146,50.4112028221351,40.723071862002,62.3699897023954,41.2504291654319,29.0554892668363,29.6737727532287
"CRC.5",97.317770903148,20.8466613137538,14.1178595044934,91.9847176814462,87.3295577073476,21.349061034738,31.6720402008895,100,73.6280334160334,89.7373589840453,56.691555764519,74.9303143676178,46.5448392932,40.7199974398557,33.4951826519732,49.1125686709312,13.2391231932622,62.2230026035353,18.4247018846717,53.3450546151644,43.000673507872,37.6185874601492,28.9288422811973,26.3905113113549,83.4762624051385,76.3805839842067,57.4901103959011,64.0566879281329,30.7175140218367,14.6925166304163,55.4273717193062,18.1318285714184,13.9042869345513,78.6530381017109,47.4287096315234,28.3661459098898,37.3825654264275,35.7645372257616,77.2186936781664,59.8344807033387,43.4829065460581,54.585663462407,98.3138336665549,66.3204966912651,47.8566094515276,36.0719298176836,59.8084923500236,52.0924822676861,77.7792670821829,46.4492019108125,57.476758308376,26.5042287262689,0,27.8249986824618,34.1522936881661,81.1012711172254,49.7099109389226,45.9627809815146,50.4112028221351,40.723071862002,62.3699897023954,41.2504291654319,29.0554892668363,29.6737727532287
"CRC.6",97.317770903148,20.8466613137538,14.1178595044934,91.9847176814462,87.3295577073476,21.349061034738,31.6720402008895,100,73.6280334160334,89.7373589840453,56.691555764519,74.9303143676178,46.5448392932,40.7199974398557,33.4951826519732,49.1125686709312,13.2391231932622,62.2230026035353,18.4247018846717,53.3450546151644,43.000673507872,37.6185874601492,28.9288422811973,26.3905113113549,83.4762624051385,76.3805839842067,57.4901103959011,64.0566879281329,30.7175140218367,14.6925166304163,55.4273717193062,18.1318285714184,13.9042869345513,78.6530381017109,47.4287096315234,28.3661459098898,37.3825654264275,35.7645372257616,77.2186936781664,59.8344807033387,43.4829065460581,54.585663462407,98.3138336665549,66.3204966912651,47.8566094515276,36.0719298176836,59.8084923500236,52.0924822676861,77.7792670821829,46.4492019108125,57.476758308376,26.5042287262689,0,27.8249986824618,34.1522936881661,81.1012711172254,49.7099109389226,45.9627809815146,50.4112028221351,40.723071862002,62.3699897023954,41.2504291654319,29.0554892668363,29.6737727532287
"CRC.7",97.317770903148,20.8466613137538,14.1178595044934,91.9847176814462,87.3295577073476,21.349061034738,31.6720402008895,100,73.6280334160334,89.7373589840453,56.691555764519,74.9303143676178,46.5448392932,40.7199974398557,33.4951826519732,49.1125686709312,13.2391231932622,62.2230026035353,18.4247018846717,53.3450546151644,43.000673507872,37.6185874601492,28.9288422811973,26.3905113113549,83.4762624051385,76.3805839842067,57.4901103959011,64.0566879281329,30.7175140218367,14.6925166304163,55.4273717193062,18.1318285714184,13.9042869345513,78.6530381017109,47.4287096315234,28.3661459098898,37.3825654264275,35.7645372257616,77.2186936781664,59.8344807033387,43.4829065460581,54.585663462407,98.3138336665549,66.3204966912651,47.8566094515276,36.0719298176836,59.8084923500236,52.0924822676861,77.7792670821829,46.4492019108125,57.476758308376,26.5042287262689,0,27.8249986824618,34.1522936881661,81.1012711172254,49.7099109389226,45.9627809815146,50.4112028221351,40.723071862002,62.3699897023954,41.2504291654319,29.0554892668363,29.6737727532287
"CRC.8",97.317770903148,20.8466613137538,14.1178595044934,91.9847176814462,87.3295577073476,21.349061034738,31.6720402008895,100,73.6280334160334,89.7373589840453,56.691555764519,74.9303143676178,46.5448392932,40.7199974398557,33.4951826519732,49.1125686709312,13.2391231932622,62.2230026035353,18.4247018846717,53.3450546151644,43.000673507872,37.6185874601492,28.9288422811973,26.3905113113549,83.4762624051385,76.3805839842067,57.4901103959011,64.0566879281329,30.7175140218367,14.6925166304163,55.4273717193062,18.1318285714184,13.9042869345513,78.6530381017109,47.4287096315234,28.3661459098898,37.3825654264275,35.7645372257616,77.2186936781664,59.8344807033387,43.4829065460581,54.585663462407,98.3138336665549,66.3204966912651,47.8566094515276,36.0719298176836,59.8084923500236,52.0924822676861,77.7792670821829,46.4492019108125,57.476758308376,26.5042287262689,0,27.8249986824618,34.1522936881661,81.1012711172254,49.7099109389226,45.9627809815146,50.4112028221351,40.723071862002,62.3699897023954,41.2504291654319,29.0554892668363,29.6737727532287
"CRC.9",97.317770903148,20.8466613137538,14.1178595044934,91.9847176814462,87.3295577073476,21.349061034738,31.6720402008895,100,73.6280334160334,89.7373589840453,56.691555764519,74.9303143676178,46.5448392932,40.7199974398557,33.4951826519732,49.1125686709312,13.2391231932622,62.2230026035353,18.4247018846717,53.3450546151644,43.000673507872,37.6185874601492,28.9288422811973,26.3905113113549,83.4762624051385,76.3805839842067,57.4901103959011,64.0566879281329,30.7175140218367,14.6925166304163,55.4273717193062,18.1318285714184,13.9042869345513,78.6530381017109,47.4287096315234,28.3661459098898,37.3825654264275,35.7645372257616,77.2186936781664,59.8344807033387,43.4829065460581,54.585663462407,98.3138336665549,66.3204966912651,47.8566094515276,36.0719298176836,59.8084923500236,52.0924822676861,77.7792670821829,46.4492019108125,57.476758308376,26.5042287262689,0,27.8249986824618,34.1522936881661,81.1012711172254,49.7099109389226,45.9627809815146,50.4112028221351,40.723071862002,62.3699897023954,41.2504291654319,29.0554892668363,29.6737727532287
