"","Aspergillus_rambellii","Rhizophagus_irregularis","Moniliophthora_perniciosa","Erysiphe_pulchra","Sphaerulina_musiva","Phytophthora_capsici","Trichophyton_mentagrophytes","Aspergillus_kawachii","Pneumocystis_murina","Debaryomyces_hansenii","Trichoderma_atroviride","Pseudocercospora_musae","Cordyceps_sp_RAO_2017","Rhizophagus_clarus","Pichia_kudriavzevii","Paracoccidioides_brasiliensis","Albugo_candida","Lipomyces_starkeyi","Naumovozyma_dairenensis","Phytopythium_vexans","Aspergillus_ochraceoroseus","Colletotrichum_fioriniae","Coniochaeta_ligniaria","Leucoagaricus_sp_SymC_cos","Colletotrichum_salicis","Candida_arabinofermentans","Baudoinia_panamericana","Hyaloscypha_variabilis","Schizosaccharomyces_pombe","Tuber_magnatum","Thielaviopsis_punctulata","Edhazardia_aedis","Choanephora_cucurbitarum","Fusobacterium_nucleatum","Parvimonas_micra","Gemella_morbillorum","Anaerostipes_hadrus","Pseudobutyrivibrio_xylanivorans","Butyrivibrio_proteoclasticus","Roseburia_intestinalis","Dialister_pneumosintes","Lactococcus_garvieae","Brachyspira_pilosicoli","Romboutsia_ilealis","Porphyromonas_asaccharolytica","Eubacterium_eligens","Clostridium_beijerinckii","Fusobacterium_periodonticum","Streptococcus_anginosus","Bifidobacterium_catenulatum","Lactobacillus_ruminis","Bifidobacterium_angulatum","Streptococcus_salivarius","Bifidobacterium_pseudocatenulatum","Streptococcus_equinus","Streptococcus_milleri","Bifidobacterium_bifidum","Prevotella_intermedia","Streptococcus_thermophilus","Bifidobacterium_adolescentis","Adlercreutzia_equolifaciens","Ruminococcus_bicirculans","Bifidobacterium_longum","Escherichia_coli"
"Mean",31.5225765564737,23.7968333477687,53.828495332877,52.8088631595822,9.97213316787127,35.4809511262475,15.1801277653894,41.9486833128609,15.0236176411461,46.2242803732613,6.8141878033509,24.5954630222795,19.6890917485934,90.9374861511859,61.3771893902954,20.8354173288476,36.4688156079693,15.0302000947822,50.532484198326,22.9148015214804,38.2971828620881,18.7130207577232,20.2321229125403,42.6721644477813,18.1753771383743,23.7019733058544,19.1725124002099,32.1063287257474,37.3039534030409,20.5080898128109,18.1567886103802,28.182049404474,13.8996396916991,48.0799748478526,88.8314918568235,99.5481134702588,44.9808002952529,34.4896259711668,19.0279128583843,27.7371612582335,97.0593248547731,27.5047578867296,36.4133035275481,30.6515042663717,30.0653661433352,17.7621581370826,34.0284235748976,47.8838589338648,43.3462455991725,25.8490781525477,47.6486654056952,25.3609952425809,13.4615780509708,14.5324623376642,26.9575349760973,66.9021800012809,28.687327228291,22.2056585192614,46.0323426105094,9.88912767286786,9.14832677514064,35.5354244685885,17.331719499093,51.7455930387892
"CRC.1",27.2386329281162,36.2684162879484,34.6841405173407,43.2252891917541,4.77861119810925,43.7907239268292,17.6328382337201,46.7155446568094,1.72729895522322,41.3959534517372,12.7147271535186,29.054076184692,15.7689336632879,89.0639693002074,69.6768738776874,10.0234542074268,53.6940988713663,0,60.2452255988047,27.6197081454156,42.2154862356755,16.7434114900904,35.4494518498481,35.0556589171888,25.5339942592705,30.7164093478614,8.38603915015142,37.6003810130135,33.531923349117,3.09075848777664,16.2945292886371,25.8975607428456,13.0382479498703,46.2704528775135,87.4457039892486,100,57.6400976773452,43.8456273434391,9.76341090508112,38.4765642428752,94.1186497095461,27.8012615052835,24.8401972601555,40.0186561176624,13.3050267077151,8.03185322118283,34.9732032502278,69.4054049944367,41.9565895107049,32.1946233273484,39.6890469100188,22.6495741508497,21.5408965231823,6.01303524512672,32.1949575589578,85.1499989103968,24.5772037568511,11.9944862982531,52.8429246568652,9.72848553699568,18.2966535502813,48.1560609417872,6.33500830921679,59.5953577013775
"CRC.2",35.8065201848313,11.3252504075891,72.9728501484132,62.3924371274103,15.1656551376333,27.1711783256659,12.7274172970587,37.1818219689124,28.3199363270689,51.0526072947855,0.913648453183229,20.1368498598669,23.6092498338989,92.8110030021645,53.0775049029035,31.6473804502685,19.2435323445724,30.0604001895643,40.8197427978473,18.2098948975451,34.3788794885006,20.6826300253561,5.0147939752325,50.2886699783738,10.816760017478,16.6875372638475,29.9589856502685,26.6122764384812,41.0759834569648,37.9254211378451,20.0190479321233,30.4665380661023,14.7610314335278,49.8894968181917,90.2172797243985,99.0962269405176,32.3215029131607,25.1336245988945,28.2924148116875,16.9977582735918,100,27.2082542681758,47.9864097949407,21.284352415081,46.8257055789553,27.4924630529823,33.0836438995673,26.3623128732929,44.7359016876401,19.503532977747,55.6082839013715,28.0724163343121,5.38225957875917,23.0518894302017,21.7201123932368,48.6543610921649,32.797450699731,32.4168307402697,39.2217605641536,10.04976980874,0,22.9147879953899,28.3284306889692,43.8958283762009
"CRC.3",27.2386329281162,36.2684162879484,34.6841405173407,43.2252891917541,4.77861119810925,43.7907239268292,17.6328382337201,46.7155446568094,1.72729895522322,41.3959534517372,12.7147271535186,29.054076184692,15.7689336632879,89.0639693002074,69.6768738776874,10.0234542074268,53.6940988713663,0,60.2452255988047,27.6197081454156,42.2154862356755,16.7434114900904,35.4494518498481,35.0556589171888,25.5339942592705,30.7164093478614,8.38603915015142,37.6003810130135,33.531923349117,3.09075848777664,16.2945292886371,25.8975607428456,13.0382479498703,46.2704528775135,87.4457039892486,100,57.6400976773452,43.8456273434391,9.76341090508112,38.4765642428752,94.1186497095461,27.8012615052835,24.8401972601555,40.0186561176624,13.3050267077151,8.03185322118283,34.9732032502278,69.4054049944367,41.9565895107049,32.1946233273484,39.6890469100188,22.6495741508497,21.5408965231823,6.01303524512672,32.1949575589578,85.1499989103968,24.5772037568511,11.9944862982531,52.8429246568652,9.72848553699568,18.2966535502813,48.1560609417872,6.33500830921679,59.5953577013775
"CRC.4",35.8065201848313,11.3252504075891,72.9728501484132,62.3924371274103,15.1656551376333,27.1711783256659,12.7274172970587,37.1818219689124,28.3199363270689,51.0526072947855,0.913648453183229,20.1368498598669,23.6092498338989,92.8110030021645,53.0775049029035,31.6473804502685,19.2435323445724,30.0604001895643,40.8197427978473,18.2098948975451,34.3788794885006,20.6826300253561,5.0147939752325,50.2886699783738,10.816760017478,16.6875372638475,29.9589856502685,26.6122764384812,41.0759834569648,37.9254211378451,20.0190479321233,30.4665380661023,14.7610314335278,49.8894968181917,90.2172797243985,99.0962269405176,32.3215029131607,25.1336245988945,28.2924148116875,16.9977582735918,100,27.2082542681758,47.9864097949407,21.284352415081,46.8257055789553,27.4924630529823,33.0836438995673,26.3623128732929,44.7359016876401,19.503532977747,55.6082839013715,28.0724163343121,5.38225957875917,23.0518894302017,21.7201123932368,48.6543610921649,32.797450699731,32.4168307402697,39.2217605641536,10.04976980874,0,22.9147879953899,28.3284306889692,43.8958283762009
"CRC.5",27.2386329281162,36.2684162879484,34.6841405173407,43.2252891917541,4.77861119810925,43.7907239268292,17.6328382337201,46.7155446568094,1.72729895522322,41.3959534517372,12.7147271535186,29.054076184692,15.7689336632879,89.0639693002074,69.6768738776874,10.0234542074268,53.6940988713663,0,60.2452255988047,27.6197081454156,42.2154862356755,16.7434114900904,35.4494518498481,35.0556589171888,25.5339942592705,30.7164093478614,8.38603915015142,37.6003810130135,33.531923349117,3.09075848777664,16.2945292886371,25.8975607428456,13.0382479498703,46.2704528775135,87.4457039892486,100,57.6400976773452,43.8456273434391,9.76341090508112,38.4765642428752,94.1186497095461,27.8012615052835,24.8401972601555,40.0186561176624,13.3050267077151,8.03185322118283,34.9732032502278,69.4054049944367,41.9565895107049,32.1946233273484,39.6890469100188,22.6495741508497,21.5408965231823,6.01303524512672,32.1949575589578,85.1499989103968,24.5772037568511,11.9944862982531,52.8429246568652,9.72848553699568,18.2966535502813,48.1560609417872,6.33500830921679,59.5953577013775
"CRC.6",35.8065201848313,11.3252504075891,72.9728501484132,62.3924371274103,15.1656551376333,27.1711783256659,12.7274172970587,37.1818219689124,28.3199363270689,51.0526072947855,0.913648453183229,20.1368498598669,23.6092498338989,92.8110030021645,53.0775049029035,31.6473804502685,19.2435323445724,30.0604001895643,40.8197427978473,18.2098948975451,34.3788794885006,20.6826300253561,5.0147939752325,50.2886699783738,10.816760017478,16.6875372638475,29.9589856502685,26.6122764384812,41.0759834569648,37.9254211378451,20.0190479321233,30.4665380661023,14.7610314335278,49.8894968181917,90.2172797243985,99.0962269405176,32.3215029131607,25.1336245988945,28.2924148116875,16.9977582735918,100,27.2082542681758,47.9864097949407,21.284352415081,46.8257055789553,27.4924630529823,33.0836438995673,26.3623128732929,44.7359016876401,19.503532977747,55.6082839013715,28.0724163343121,5.38225957875917,23.0518894302017,21.7201123932368,48.6543610921649,32.797450699731,32.4168307402697,39.2217605641536,10.04976980874,0,22.9147879953899,28.3284306889692,43.8958283762009
"CRC.7",27.2386329281162,36.2684162879484,34.6841405173407,43.2252891917541,4.77861119810925,43.7907239268292,17.6328382337201,46.7155446568094,1.72729895522322,41.3959534517372,12.7147271535186,29.054076184692,15.7689336632879,89.0639693002074,69.6768738776874,10.0234542074268,53.6940988713663,0,60.2452255988047,27.6197081454156,42.2154862356755,16.7434114900904,35.4494518498481,35.0556589171888,25.5339942592705,30.7164093478614,8.38603915015142,37.6003810130135,33.531923349117,3.09075848777664,16.2945292886371,25.8975607428456,13.0382479498703,46.2704528775135,87.4457039892486,100,57.6400976773452,43.8456273434391,9.76341090508112,38.4765642428752,94.1186497095461,27.8012615052835,24.8401972601555,40.0186561176624,13.3050267077151,8.03185322118283,34.9732032502278,69.4054049944367,41.9565895107049,32.1946233273484,39.6890469100188,22.6495741508497,21.5408965231823,6.01303524512672,32.1949575589578,85.1499989103968,24.5772037568511,11.9944862982531,52.8429246568652,9.72848553699568,18.2966535502813,48.1560609417872,6.33500830921679,59.5953577013775
"CRC.8",35.8065201848313,11.3252504075891,72.9728501484132,62.3924371274103,15.1656551376333,27.1711783256659,12.7274172970587,37.1818219689124,28.3199363270689,51.0526072947855,0.913648453183229,20.1368498598669,23.6092498338989,92.8110030021645,53.0775049029035,31.6473804502685,19.2435323445724,30.0604001895643,40.8197427978473,18.2098948975451,34.3788794885006,20.6826300253561,5.0147939752325,50.2886699783738,10.816760017478,16.6875372638475,29.9589856502685,26.6122764384812,41.0759834569648,37.9254211378451,20.0190479321233,30.4665380661023,14.7610314335278,49.8894968181917,90.2172797243985,99.0962269405176,32.3215029131607,25.1336245988945,28.2924148116875,16.9977582735918,100,27.2082542681758,47.9864097949407,21.284352415081,46.8257055789553,27.4924630529823,33.0836438995673,26.3623128732929,44.7359016876401,19.503532977747,55.6082839013715,28.0724163343121,5.38225957875917,23.0518894302017,21.7201123932368,48.6543610921649,32.797450699731,32.4168307402697,39.2217605641536,10.04976980874,0,22.9147879953899,28.3284306889692,43.8958283762009
"CRC.9",27.2386329281162,36.2684162879484,34.6841405173407,43.2252891917541,4.77861119810925,43.7907239268292,17.6328382337201,46.7155446568094,1.72729895522322,41.3959534517372,12.7147271535186,29.054076184692,15.7689336632879,89.0639693002074,69.6768738776874,10.0234542074268,53.6940988713663,0,60.2452255988047,27.6197081454156,42.2154862356755,16.7434114900904,35.4494518498481,35.0556589171888,25.5339942592705,30.7164093478614,8.38603915015142,37.6003810130135,33.531923349117,3.09075848777664,16.2945292886371,25.8975607428456,13.0382479498703,46.2704528775135,87.4457039892486,100,57.6400976773452,43.8456273434391,9.76341090508112,38.4765642428752,94.1186497095461,27.8012615052835,24.8401972601555,40.0186561176624,13.3050267077151,8.03185322118283,34.9732032502278,69.4054049944367,41.9565895107049,32.1946233273484,39.6890469100188,22.6495741508497,21.5408965231823,6.01303524512672,32.1949575589578,85.1499989103968,24.5772037568511,11.9944862982531,52.8429246568652,9.72848553699568,18.2966535502813,48.1560609417872,6.33500830921679,59.5953577013775
