"","Aspergillus_rambellii","Rhizophagus_irregularis","Moniliophthora_perniciosa","Erysiphe_pulchra","Sphaerulina_musiva","Phytophthora_capsici","Trichophyton_mentagrophytes","Aspergillus_kawachii","Pneumocystis_murina","Debaryomyces_hansenii","Trichoderma_atroviride","Pseudocercospora_musae","Cordyceps_sp_RAO_2017","Rhizophagus_clarus","Pichia_kudriavzevii","Paracoccidioides_brasiliensis","Albugo_candida","Lipomyces_starkeyi","Naumovozyma_dairenensis","Phytopythium_vexans","Aspergillus_ochraceoroseus","Colletotrichum_fioriniae","Coniochaeta_ligniaria","Leucoagaricus_sp_SymC_cos","Colletotrichum_salicis","Candida_arabinofermentans","Baudoinia_panamericana","Hyaloscypha_variabilis","Schizosaccharomyces_pombe","Tuber_magnatum","Thielaviopsis_punctulata","Edhazardia_aedis","Choanephora_cucurbitarum","Fusobacterium_nucleatum","Parvimonas_micra","Gemella_morbillorum","Anaerostipes_hadrus","Pseudobutyrivibrio_xylanivorans","Butyrivibrio_proteoclasticus","Roseburia_intestinalis","Dialister_pneumosintes","Lactococcus_garvieae","Brachyspira_pilosicoli","Romboutsia_ilealis","Porphyromonas_asaccharolytica","Eubacterium_eligens","Clostridium_beijerinckii","Fusobacterium_periodonticum","Streptococcus_anginosus","Bifidobacterium_catenulatum","Lactobacillus_ruminis","Bifidobacterium_angulatum","Streptococcus_salivarius","Bifidobacterium_pseudocatenulatum","Streptococcus_equinus","Streptococcus_milleri","Bifidobacterium_bifidum","Prevotella_intermedia","Streptococcus_thermophilus","Bifidobacterium_adolescentis","Adlercreutzia_equolifaciens","Ruminococcus_bicirculans","Bifidobacterium_longum","Escherichia_coli"
"Mean",36.8541692087189,23.5020191591623,30.7837836607849,21.0574240630655,17.9652839589429,15.7635091407714,12.8779953005528,10.7472263966072,27.2090056915806,13.6880870350456,22.0224741897509,24.8792205789401,15.961318189332,24.0302268829051,9.6412275422274,42.0599675935021,31.3999640614999,21.8906441126137,17.2662826495925,15.063274737993,17.9205396845507,18.7508123037795,15.1172689158151,45.0803317211314,18.4122928570767,22.8165399994019,9.08268272753517,15.4819402255317,13.629743086431,41.2529186012446,9.99108532789751,16.847157085654,20.5768487499045,75.8482689355583,99.7539902587208,57.7766109283975,18.1261335506936,31.8737426569543,28.4057362548231,41.2184272856207,4.23548458873877,18.9545427413504,18.7479621504965,20.3224928589605,30.2612175921791,14.539757568333,14.9918800502931,12.1910535946064,30.0497159538676,23.0231521039883,15.9930028019164,14.8373485321882,13.6108009988456,11.8589057413974,11.8245637841159,26.8651711525635,11.5161209681011,24.3515671193451,13.6453852262443,26.1081570754372,14.9221423620562,29.0824635699218,17.8751121606123,23.2036360931196
"CRC.1",57.3786271610989,51.2726811359959,70.9888353865435,42.9590002544846,55.6901651155751,26.67486179103,15.4613923035773,44.4305717376069,67.4921346390704,46.5667159624291,64.5203818355762,47.5273351590612,25.0844078891298,27.2374062746061,33.7648013931639,73.4058118482665,60.6269997968036,37.2684972133566,34.869453270133,22.7619061597121,49.0067200770469,28.3498948845447,11.1472692121422,52.0881469103321,46.0025940874554,26.9501769520161,15.5291520235886,37.2632593986328,30.1537262518118,71.5993941710976,29.1652598546806,50.7858138824642,55.4802410680077,100,97.5399025872083,82.4832376975454,61.9124237733173,48.6851421985859,56.4533724648607,54.2880074132937,15.5695125052852,30.3203415889836,49.1885182870842,18.0439387104737,55.9107976982841,41.1101999738055,30.6110763766828,13.6149158278303,68.05361464642,27.4313047126262,0,10.8612499983464,12.2254381450513,46.2817855510032,51.9065556025882,43.9606776189971,32.220343405886,38.2014480908917,3.22524498433169,14.1850208301504,24.5129692570753,51.062379902947,19.6241674098806,23.4954628196691
"CRC.2",29.1100772810869,14.7341491913476,15.9216745215537,12.2498086031172,7.9107884943684,14.6415367933583,4.70236628493191,7.10174576835287,20.9298959653771,5.84528719193881,16.9993732014825,15.8650408249507,10.9172599448031,29.1009324603006,4.23630948009747,38.2894960172109,25.4537467569899,4.34913032632765,15.2443244045807,13.4727970250907,0,13.4238815111861,17.5940954605212,45.5807877465774,11.7201095514181,20.2443811160734,9.39120665855946,22.8543665975871,17.8730236697868,29.0545178228654,12.7030337692417,10.3862979160308,14.7084350218715,67.9947680583456,100,42.0465696929399,8.58023576609648,24.1617638847444,18.6162981676006,36.5617402372227,3.83071415186114,18.2007235801563,11.7767848383609,18.5398583512951,19.1956750834228,14.8857381400593,10.0700650092994,14.5441054761532,26.3005594940681,21.3127924992108,7.88858503102496,9.34474946217529,10.631596115398,10.9359795649985,6.01476066214038,22.9325603782587,16.588173255025,18.9332501621277,18.3315833716667,23.2821492527176,15.8753788928141,30.1988289775783,22.0242970712578,18.210481019124
"CRC.3",41.4031696301639,27.5191911247223,39.3101571533843,26.5915493401461,21.1021830005029,14.4381364124732,22.4516823193227,6.88324084667527,24.9871106124624,15.2719296070833,17.6768735136301,30.4849166263967,19.9856185700437,16.8900500632354,10.3664816571557,38.9365960001749,31.5259767583115,39.9730730702856,15.3929378007221,15.1267140236912,32.549669192115,23.00970514933,13.0137356608506,42.7028078920239,19.8799466815554,24.998329365409,7.08541048974147,0.821077467187152,4.19464656589104,48.9143006817554,1.8076061445215,16.4385668484803,19.1865178304199,79.6272122659637,100,71.2625057804325,19.111933225784,37.3108662368087,33.6306248113418,43.7718910642,1.90794065569919,17.0553669809348,19.851794756519,23.120424530664,37.6807507015983,7.46467125230704,17.2393497699378,8.89377318436688,25.235186855479,24.0590634578008,30.1217757160098,22.6971220031647,17.6811478166038,4.40684350949471,9.0663197319672,27.5070580038361,0,27.6619930729803,10.3926726049444,32.6214509151585,11.332889974854,22.1920277270949,12.2513672099884,29.3721232539767
"CRC.4",29.1100772810869,14.7341491913476,15.9216745215537,12.2498086031172,7.9107884943684,14.6415367933583,4.70236628493191,7.10174576835287,20.9298959653771,5.84528719193881,16.9993732014825,15.8650408249507,10.9172599448031,29.1009324603006,4.23630948009747,38.2894960172109,25.4537467569899,4.34913032632765,15.2443244045807,13.4727970250907,0,13.4238815111861,17.5940954605212,45.5807877465774,11.7201095514181,20.2443811160734,9.39120665855946,22.8543665975871,17.8730236697868,29.0545178228654,12.7030337692417,10.3862979160308,14.7084350218715,67.9947680583456,100,42.0465696929399,8.58023576609648,24.1617638847444,18.6162981676006,36.5617402372227,3.83071415186114,18.2007235801563,11.7767848383609,18.5398583512951,19.1956750834228,14.8857381400593,10.0700650092994,14.5441054761532,26.3005594940681,21.3127924992108,7.88858503102496,9.34474946217529,10.631596115398,10.9359795649985,6.01476066214038,22.9325603782587,16.588173255025,18.9332501621277,18.3315833716667,23.2821492527176,15.8753788928141,30.1988289775783,22.0242970712578,18.210481019124
"CRC.5",41.4031696301639,27.5191911247223,39.3101571533843,26.5915493401461,21.1021830005029,14.4381364124732,22.4516823193227,6.88324084667527,24.9871106124624,15.2719296070833,17.6768735136301,30.4849166263967,19.9856185700437,16.8900500632354,10.3664816571557,38.9365960001749,31.5259767583115,39.9730730702856,15.3929378007221,15.1267140236912,32.549669192115,23.00970514933,13.0137356608506,42.7028078920239,19.8799466815554,24.998329365409,7.08541048974147,0.821077467187152,4.19464656589104,48.9143006817554,1.8076061445215,16.4385668484803,19.1865178304199,79.6272122659637,100,71.2625057804325,19.111933225784,37.3108662368087,33.6306248113418,43.7718910642,1.90794065569919,17.0553669809348,19.851794756519,23.120424530664,37.6807507015983,7.46467125230704,17.2393497699378,8.89377318436688,25.235186855479,24.0590634578008,30.1217757160098,22.6971220031647,17.6811478166038,4.40684350949471,9.0663197319672,27.5070580038361,0,27.6619930729803,10.3926726049444,32.6214509151585,11.332889974854,22.1920277270949,12.2513672099884,29.3721232539767
"CRC.6",29.1100772810869,14.7341491913476,15.9216745215537,12.2498086031172,7.9107884943684,14.6415367933583,4.70236628493191,7.10174576835287,20.9298959653771,5.84528719193881,16.9993732014825,15.8650408249507,10.9172599448031,29.1009324603006,4.23630948009747,38.2894960172109,25.4537467569899,4.34913032632765,15.2443244045807,13.4727970250907,0,13.4238815111861,17.5940954605212,45.5807877465774,11.7201095514181,20.2443811160734,9.39120665855946,22.8543665975871,17.8730236697868,29.0545178228654,12.7030337692417,10.3862979160308,14.7084350218715,67.9947680583456,100,42.0465696929399,8.58023576609648,24.1617638847444,18.6162981676006,36.5617402372227,3.83071415186114,18.2007235801563,11.7767848383609,18.5398583512951,19.1956750834228,14.8857381400593,10.0700650092994,14.5441054761532,26.3005594940681,21.3127924992108,7.88858503102496,9.34474946217529,10.631596115398,10.9359795649985,6.01476066214038,22.9325603782587,16.588173255025,18.9332501621277,18.3315833716667,23.2821492527176,15.8753788928141,30.1988289775783,22.0242970712578,18.210481019124
"CRC.7",41.4031696301639,27.5191911247223,39.3101571533843,26.5915493401461,21.1021830005029,14.4381364124732,22.4516823193227,6.88324084667527,24.9871106124624,15.2719296070833,17.6768735136301,30.4849166263967,19.9856185700437,16.8900500632354,10.3664816571557,38.9365960001749,31.5259767583115,39.9730730702856,15.3929378007221,15.1267140236912,32.549669192115,23.00970514933,13.0137356608506,42.7028078920239,19.8799466815554,24.998329365409,7.08541048974147,0.821077467187152,4.19464656589104,48.9143006817554,1.8076061445215,16.4385668484803,19.1865178304199,79.6272122659637,100,71.2625057804325,19.111933225784,37.3108662368087,33.6306248113418,43.7718910642,1.90794065569919,17.0553669809348,19.851794756519,23.120424530664,37.6807507015983,7.46467125230704,17.2393497699378,8.89377318436688,25.235186855479,24.0590634578008,30.1217757160098,22.6971220031647,17.6811478166038,4.40684350949471,9.0663197319672,27.5070580038361,0,27.6619930729803,10.3926726049444,32.6214509151585,11.332889974854,22.1920277270949,12.2513672099884,29.3721232539767
"CRC.8",29.1100772810869,14.7341491913476,15.9216745215537,12.2498086031172,7.9107884943684,14.6415367933583,4.70236628493191,7.10174576835287,20.9298959653771,5.84528719193881,16.9993732014825,15.8650408249507,10.9172599448031,29.1009324603006,4.23630948009747,38.2894960172109,25.4537467569899,4.34913032632765,15.2443244045807,13.4727970250907,0,13.4238815111861,17.5940954605212,45.5807877465774,11.7201095514181,20.2443811160734,9.39120665855946,22.8543665975871,17.8730236697868,29.0545178228654,12.7030337692417,10.3862979160308,14.7084350218715,67.9947680583456,100,42.0465696929399,8.58023576609648,24.1617638847444,18.6162981676006,36.5617402372227,3.83071415186114,18.2007235801563,11.7767848383609,18.5398583512951,19.1956750834228,14.8857381400593,10.0700650092994,14.5441054761532,26.3005594940681,21.3127924992108,7.88858503102496,9.34474946217529,10.631596115398,10.9359795649985,6.01476066214038,22.9325603782587,16.588173255025,18.9332501621277,18.3315833716667,23.2821492527176,15.8753788928141,30.1988289775783,22.0242970712578,18.210481019124
"CRC.9",41.4031696301639,27.5191911247223,39.3101571533843,26.5915493401461,21.1021830005029,14.4381364124732,22.4516823193227,6.88324084667527,24.9871106124624,15.2719296070833,17.6768735136301,30.4849166263967,19.9856185700437,16.8900500632354,10.3664816571557,38.9365960001749,31.5259767583115,39.9730730702856,15.3929378007221,15.1267140236912,32.549669192115,23.00970514933,13.0137356608506,42.7028078920239,19.8799466815554,24.998329365409,7.08541048974147,0.821077467187152,4.19464656589104,48.9143006817554,1.8076061445215,16.4385668484803,19.1865178304199,79.6272122659637,100,71.2625057804325,19.111933225784,37.3108662368087,33.6306248113418,43.7718910642,1.90794065569919,17.0553669809348,19.851794756519,23.120424530664,37.6807507015983,7.46467125230704,17.2393497699378,8.89377318436688,25.235186855479,24.0590634578008,30.1217757160098,22.6971220031647,17.6811478166038,4.40684350949471,9.0663197319672,27.5070580038361,0,27.6619930729803,10.3926726049444,32.6214509151585,11.332889974854,22.1920277270949,12.2513672099884,29.3721232539767
