"","Aspergillus_rambellii","Rhizophagus_irregularis","Moniliophthora_perniciosa","Erysiphe_pulchra","Sphaerulina_musiva","Phytophthora_capsici","Trichophyton_mentagrophytes","Aspergillus_kawachii","Pneumocystis_murina","Debaryomyces_hansenii","Trichoderma_atroviride","Pseudocercospora_musae","Cordyceps_sp_RAO_2017","Rhizophagus_clarus","Pichia_kudriavzevii","Paracoccidioides_brasiliensis","Albugo_candida","Lipomyces_starkeyi","Naumovozyma_dairenensis","Phytopythium_vexans","Aspergillus_ochraceoroseus","Colletotrichum_fioriniae","Coniochaeta_ligniaria","Leucoagaricus_sp_SymC_cos","Colletotrichum_salicis","Candida_arabinofermentans","Baudoinia_panamericana","Hyaloscypha_variabilis","Schizosaccharomyces_pombe","Tuber_magnatum","Thielaviopsis_punctulata","Edhazardia_aedis","Choanephora_cucurbitarum","Fusobacterium_nucleatum","Parvimonas_micra","Gemella_morbillorum","Anaerostipes_hadrus","Pseudobutyrivibrio_xylanivorans","Butyrivibrio_proteoclasticus","Roseburia_intestinalis","Dialister_pneumosintes","Lactococcus_garvieae","Brachyspira_pilosicoli","Romboutsia_ilealis","Porphyromonas_asaccharolytica","Eubacterium_eligens","Clostridium_beijerinckii","Fusobacterium_periodonticum","Streptococcus_anginosus","Bifidobacterium_catenulatum","Lactobacillus_ruminis","Bifidobacterium_angulatum","Streptococcus_salivarius","Bifidobacterium_pseudocatenulatum","Streptococcus_equinus","Streptococcus_milleri","Bifidobacterium_bifidum","Prevotella_intermedia","Streptococcus_thermophilus","Bifidobacterium_adolescentis","Adlercreutzia_equolifaciens","Ruminococcus_bicirculans","Bifidobacterium_longum","Escherichia_coli"
"Mean",54.3229579088428,36.6453379575166,35.1784693478469,25.7410936914691,11.5414114387734,24.9484746330817,16.1831661610255,12.2719729490398,10.1219861671383,16.8939030326169,13.4999973799493,18.0462522786705,20.8205197393178,20.0551310486252,11.276062763597,7.25785637785996,10.0821922407308,10.455476642195,12.6769477678683,28.8022702939749,6.22706602302795,10.1476802061621,20.4949195932747,16.4083429557984,14.3180835333722,19.3400756131503,22.9899051467282,19.6179500604623,18.8585389116252,9.32742104741829,15.867399097922,19.7808290285598,16.1718263722326,81.8173248713685,78.2201189811338,96.8483466422139,18.1415421327147,26.3736537715366,28.4234102298326,22.4052364990161,27.7680368508152,31.3783581661271,13.0262348300562,26.0502440047728,19.7422059613141,34.9010740237438,28.4435112385192,31.2495961982661,26.436986222685,11.1769633168519,15.562404190709,15.1129398271328,28.2428697259622,15.3055553468192,16.3649958889729,28.4923269339464,14.7645379028107,21.8424005571754,19.4366234303392,11.1134657608661,15.541863452101,26.8907882975628,15.5920011515244,6.64172515790599
"CRC.1",57.4479782414121,43.9277462751382,39.8216919224214,33.1050831701514,13.2820021344938,32.526960479111,22.0196398901225,20.3141391111591,11.4309254876058,14.0010579639051,8.77049955995336,22.114754065804,24.189253621739,14.141559034342,16.7136128939108,6.33372384685789,16.330128564813,12.6404359442086,13.4091886830695,29.373717482109,0,14.6058908842991,25.7208825431302,20.938429582381,14.6645162803932,28.6366492857948,27.8325548339211,12.3438169405139,22.0323578355917,15.9134918733536,29.6775510618993,17.4211625679304,18.7134347121044,82.4853821927571,91.1042818785494,100,19.0809408826519,25.2376144109409,27.6736446131895,22.8722892420298,33.8714473874337,27.1839947699173,26.9985619306547,27.6961730348693,23.1602638760833,28.6081970493919,28.0015900973585,45.1835839804129,35.8521325183384,3.26675266676271,17.5508486936636,21.4164901264551,33.2332070385414,12.626115595252,21.5006282752713,39.9395006395313,19.1823619751897,26.1366316879543,25.3272576386332,21.0846361336117,17.7900733548718,30.0491807636894,15.7882422942576,10.9365374953458
"CRC.2",65.5069861722946,31.7150226622282,43.1295152731522,38.4621670973308,9.49138338047124,25.6618581805943,20.1286795057931,15.1262051068496,13.4112983781781,22.5964277715942,21.7629165814675,22.0621814738325,25.8328690794246,23.5215399093014,16.5688993333336,17.107381829157,15.6919782066645,15.3710696278734,21.7245281495642,37.6721853809587,28.2858426394846,16.9942080258588,31.8440659356653,15.8874999066221,18.2705828350335,23.4438955286033,24.9359122936913,28.5202700102915,33.7316398776162,8.24240333298854,22.4561241348822,29.1405630737016,16.8230238475061,93.3644344722597,91.6328666126925,100,40.7961779735693,29.1962387355536,37.1306080608055,32.785755524386,45.910064418114,39.6134238310386,16.9801055098409,33.803898877371,33.8168242236392,45.105887107671,35.0184504269881,51.0077491200484,39.2057069779281,18.3060984859346,37.8956584107396,11.2001000939717,37.6354325030541,29.1182612054121,26.8512171707425,38.6685860944306,22.909825484489,26.3195354422158,34.908448803782,0,23.3980107163676,38.2331322226983,25.2741356773739,12.7338869467126
"CRC.3",37.2261093852964,21.8275591528442,24.3299431207223,13.9976388389577,6.09700640089407,18.4902002009256,7.4819029959338,6.50930878662319,0.896817425790054,4.36739619266868,14.5677002578715,7.78172552566039,12.1944593242972,11.6668469461039,5.75244706678077,4.09039393716614,7.5057498426117,13.1243846804197,5.36461569175451,18.1947383706683,1.20679008884431,7.00726757326908,10.9888610372325,6.82891982374928,14.5643952861468,12.4646153532907,11.9306691771081,13.041678866466,14.4423391876424,2.98951877907953,6.51337203103216,20.8836934855187,12.9498061662317,69.8364110393168,43.512349475397,100,7.72072346861702,15.9367145353722,23.717333597212,11.6942786386782,7.42349226448067,21.2841899662289,4.01512672760213,17.9866096428489,14.8100418596739,30.792233448598,22.9803046994917,14.9365264995722,8.80779838381347,9.55488433229967,2.21185663750548,8.41642023427189,15.3953792801986,12.9547259089009,13.960408831992,8.0912652710226,10.7738892783144,11.620679324719,0,12.128844756928,11.5940982832742,19.1618824829074,8.21538941471425,0.303443435753143
"CRC.4",47.9067156932094,27.4416890560571,29.4012280142045,14.4326796230309,14.6396681815005,19.5708258791566,9.01134503210695,7.44474515750837,15.2288895622165,18.7834226553552,14.2338223946944,23.2868392955541,15.7420749908958,22.3336119343604,3.28880120809608,4.6161753358747,5.83824028760463,7.1350042881312,10.3234228564059,16.6307487318413,0.90711678353677,12.1310345473834,19.3619428186207,9.98397561315385,16.6388857465263,13.0927486109085,21.7626166732464,18.1215410624726,10.4971090773937,15.6846195204659,0,21.8730374817381,20.9214904696436,76.7292995044613,64.8510969390303,100,6.04476980239183,29.7422552932413,26.1113175004327,27.5809711458507,23.9235845225134,33.4976356214272,5.30977032874091,28.4427448775125,13.2955614258967,31.3230274483282,20.4548306295323,17.7795458579148,21.1830516200833,10.0592843735815,14.3546091723379,14.4112299426285,17.7647644865771,12.1312800160174,5.49541088273283,18.1365791181449,13.4596113170882,20.2846409613588,10.8491574608795,19.4117627586578,16.9511299065062,13.3977812884327,18.2817324383561,5.51550179395134
"CRC.5",63.5270000520013,58.3146726413154,39.209968408734,28.7078997278746,14.1969970965075,28.4925284256213,22.2742633811711,11.9654665830587,9.64199998190125,24.7212105795613,8.16504810575961,14.9857610325016,26.1439416802326,28.6120974190179,14.0565533158635,4.14160694024408,5.04486430196026,4.00648867034218,12.5629834585475,42.1399615042975,0.735580603274125,0,14.5588456317249,28.4028898530858,7.45203751876116,19.0624692871544,28.4877727556741,26.0624434225673,13.5892485798818,3.80707173120385,20.6899482617962,9.58568853391034,11.4513766656772,86.6710971480475,100,84.2417332110693,17.0650985363434,31.7554458825752,27.4841473775235,17.0928879441357,27.7115956615344,35.3125466420236,11.8276096534424,22.3217935912622,13.6283384212773,38.6760250647301,35.7623803392253,27.3405755333824,27.1362416132619,14.6977967256811,5.79904803929862,20.1204587383368,37.1855653214401,9.69739400851346,14.0173142841256,37.6257035466025,7.49700145897205,24.8505153696293,26.0982532484014,2.94208515513299,7.97600499948549,33.6119647300862,10.4005059329199,3.71925611776707
"CRC.6",57.4479782414121,43.9277462751382,39.8216919224214,33.1050831701514,13.2820021344938,32.526960479111,22.0196398901225,20.3141391111591,11.4309254876058,14.0010579639051,8.77049955995336,22.114754065804,24.189253621739,14.141559034342,16.7136128939108,6.33372384685789,16.330128564813,12.6404359442086,13.4091886830695,29.373717482109,0,14.6058908842991,25.7208825431302,20.938429582381,14.6645162803932,28.6366492857948,27.8325548339211,12.3438169405139,22.0323578355917,15.9134918733536,29.6775510618993,17.4211625679304,18.7134347121044,82.4853821927571,91.1042818785494,100,19.0809408826519,25.2376144109409,27.6736446131895,22.8722892420298,33.8714473874337,27.1839947699173,26.9985619306547,27.6961730348693,23.1602638760833,28.6081970493919,28.0015900973585,45.1835839804129,35.8521325183384,3.26675266676271,17.5508486936636,21.4164901264551,33.2332070385414,12.626115595252,21.5006282752713,39.9395006395313,19.1823619751897,26.1366316879543,25.3272576386332,21.0846361336117,17.7900733548718,30.0491807636894,15.7882422942576,10.9365374953458
"CRC.7",65.5069861722946,31.7150226622282,43.1295152731522,38.4621670973308,9.49138338047124,25.6618581805943,20.1286795057931,15.1262051068496,13.4112983781781,22.5964277715942,21.7629165814675,22.0621814738325,25.8328690794246,23.5215399093014,16.5688993333336,17.107381829157,15.6919782066645,15.3710696278734,21.7245281495642,37.6721853809587,28.2858426394846,16.9942080258588,31.8440659356653,15.8874999066221,18.2705828350335,23.4438955286033,24.9359122936913,28.5202700102915,33.7316398776162,8.24240333298854,22.4561241348822,29.1405630737016,16.8230238475061,93.3644344722597,91.6328666126925,100,40.7961779735693,29.1962387355536,37.1306080608055,32.785755524386,45.910064418114,39.6134238310386,16.9801055098409,33.803898877371,33.8168242236392,45.105887107671,35.0184504269881,51.0077491200484,39.2057069779281,18.3060984859346,37.8956584107396,11.2001000939717,37.6354325030541,29.1182612054121,26.8512171707425,38.6685860944306,22.909825484489,26.3195354422158,34.908448803782,0,23.3980107163676,38.2331322226983,25.2741356773739,12.7338869467126
"CRC.8",37.2261093852964,21.8275591528442,24.3299431207223,13.9976388389577,6.09700640089407,18.4902002009256,7.4819029959338,6.50930878662319,0.896817425790054,4.36739619266868,14.5677002578715,7.78172552566039,12.1944593242972,11.6668469461039,5.75244706678077,4.09039393716614,7.5057498426117,13.1243846804197,5.36461569175451,18.1947383706683,1.20679008884431,7.00726757326908,10.9888610372325,6.82891982374928,14.5643952861468,12.4646153532907,11.9306691771081,13.041678866466,14.4423391876424,2.98951877907953,6.51337203103216,20.8836934855187,12.9498061662317,69.8364110393168,43.512349475397,100,7.72072346861702,15.9367145353722,23.717333597212,11.6942786386782,7.42349226448067,21.2841899662289,4.01512672760213,17.9866096428489,14.8100418596739,30.792233448598,22.9803046994917,14.9365264995722,8.80779838381347,9.55488433229967,2.21185663750548,8.41642023427189,15.3953792801986,12.9547259089009,13.960408831992,8.0912652710226,10.7738892783144,11.620679324719,0,12.128844756928,11.5940982832742,19.1618824829074,8.21538941471425,0.303443435753143
"CRC.9",47.9067156932094,27.4416890560571,29.4012280142045,14.4326796230309,14.6396681815005,19.5708258791566,9.01134503210695,7.44474515750837,15.2288895622165,18.7834226553552,14.2338223946944,23.2868392955541,15.7420749908958,22.3336119343604,3.28880120809608,4.6161753358747,5.83824028760463,7.1350042881312,10.3234228564059,16.6307487318413,0.90711678353677,12.1310345473834,19.3619428186207,9.98397561315385,16.6388857465263,13.0927486109085,21.7626166732464,18.1215410624726,10.4971090773937,15.6846195204659,0,21.8730374817381,20.9214904696436,76.7292995044613,64.8510969390303,100,6.04476980239183,29.7422552932413,26.1113175004327,27.5809711458507,23.9235845225134,33.4976356214272,5.30977032874091,28.4427448775125,13.2955614258967,31.3230274483282,20.4548306295323,17.7795458579148,21.1830516200833,10.0592843735815,14.3546091723379,14.4112299426285,17.7647644865771,12.1312800160174,5.49541088273283,18.1365791181449,13.4596113170882,20.2846409613588,10.8491574608795,19.4117627586578,16.9511299065062,13.3977812884327,18.2817324383561,5.51550179395134
