"","2014_ZellerG_Mean","2015_FengQ_Mean","2016_VogtmannE_Mean","2019_Thom_Mean","2019_WirbelJ_Mean","2019_Yachida_Mean","2021_JunY_1_Mean","2021_JunY_2_Mean","2014_ZellerG_Rank","2015_FengQ_Rank","2016_VogtmannE_Rank","2019_Thom_Rank","2019_WirbelJ_Rank","2019_Yachida_Rank","2021_JunY_1_Rank","2021_JunY_2_Rank","Rank3","Rank5","Rank10"
"Fusobacterium_nucleatum",70.1807981948434,75.3292246783359,90.3191400402282,44.5907869144146,84.995205697208,83.3228644036814,67.3734030837019,100,7,3,2,9,2,2,7,1,"Sel","Sel","Sel"
"Parvimonas_micra",86.545768064847,62.0790785619488,63.4446544294835,100,100,67.3707659432951,79.1489313543481,83.1801564941279,2,5,7,1,1,3,4,2,"Sel","Sel","Sel"
"Gemella_morbillorum",62.8893783430676,79.0443940271185,48.9221380934443,90.9499668639274,60.2350412357345,100,79.2324860749157,41.9869010630371,9,2,11,2,3,1,3,5,"Sel","Sel","Sel"
"Anaerostipes_hadrus",75.4361797592061,21.2992264581143,17.8855000786169,30.3932938663878,12.7897844282575,13.9708762085719,32.7198836797295,43.1686005110987,4,17,30,13,16,27,15,4,"Ign","Sel","Sel"
"Pseudobutyrivibrio_xylanivorans",29.5739480275847,41.2955154657709,52.3176546287972,23.4156888080799,27.2983541088976,25.886053143045,69.8927571273131,28.0212828147118,23,9,10,19,6,7,5,11,"Ign","Sel","Sel"
"Butyrivibrio_proteoclasticus",22.1255865884379,32.8483972925351,47.5380994308845,25.4675382346879,17.4580038899268,25.5723310710318,43.8629142359186,26.4138448104353,26,11,12,18,13,8,13,13,"Ign","Ign","Sel"
"Roseburia_intestinalis",52.2786479566273,15.2560449372203,39.3655949729507,46.4301738575225,38.227493581937,19.4295256764045,51.53517042452,25.8799480685273,14,20,15,7,4,16,10,14,"Ign","Sel","Sel"
"Dialister_pneumosintes",73.3016974863605,50.559357897252,19.1887363079679,73.5199224749388,7.07370002133777,20.2157718094137,24.8138224164724,31.1563576513141,5,8,29,4,20,15,18,10,"Ign","Sel","Sel"
"Lactococcus_garvieae",13.8532203412177,21.5089840322938,58.7385137069495,16.245609864366,22.0211474013175,33.0000898357002,45.3377817044336,9.47271478452037,30,16,8,24,8,4,12,28,"Ign","Sel","Sel"
"Brachyspira_pilosicoli",61.0855245668939,26.0354004024382,97.0453683745729,35.7296134197718,19.4775187770944,15.0928139108723,63.4790965849703,18.8570789497282,10,13,1,10,10,23,8,18,"Sel","Sel","Sel"
"Romboutsia_ilealis",54.1552216982306,8.61112867574778,43.385873131284,12.9283876630509,7.95800463181083,18.2502278835032,68.2338853057922,39.4084521767224,12,29,13,26,19,19,6,6,"Ign","Ign","Sel"
"Porphyromonas_asaccharolytica",71.195613695333,100,57.4701559833559,27.8910369998857,33.866619694658,15.4544156414308,48.1550343918813,10.6701906122227,6,1,9,15,5,22,11,26,"Sel","Sel","Sel"
"Eubacterium_eligens",30.4385526723732,9.25948140084261,39.6260565573452,29.6692375098881,9.10774647605534,32.4256006800043,21.1217175500557,18.3161365733205,22,28,14,14,17,5,21,19,"Ign","Sel","Sel"
"Clostridium_beijerinckii",67.1910121660885,61.9695605820012,66.8704480430799,19.5640764342129,5.07944196187658,29.1175666157815,79.2893486738013,13.0301749309433,8,6,6,22,27,6,2,23,"Sel","Sel","Sel"
"Fusobacterium_periodonticum",43.3249747571104,32.9157975185542,11.7757442798804,33.9145618566068,20.7606529988864,20.5555911618747,34.5925515580086,46.0302578492897,17,10,31,11,9,14,14,3,"Sel","Sel","Sel"
"Streptococcus_anginosus",24.3148550443642,13.4851846288774,71.4557642437184,47.6824121900411,16.8888268394818,24.3654657924644,10.9579112257292,32.3523478714305,24,22,3,6,14,10,27,8,"Sel","Sel","Sel"
"Bifidobacterium_catenulatum",52.3065074842393,24.5101169731706,26.0070388828991,21.8548059120209,3.68030885322067,11.5043099704292,16.0266553707048,7.09092516211035,13,14,24,21,29,29,23,29,"Ign","Ign","Ign"
"Lactobacillus_ruminis",61.0677921675309,31.2506141710753,30.636806619068,16.3040447520941,5.55694209155376,12.5381107581384,98.9731395799882,26.5886271949204,11,12,17,23,26,28,1,12,"Sel","Sel","Sel"
"Bifidobacterium_angulatum",47.4727516491194,9.27813960008579,25.6447148346093,45.7344280046053,3.85435520570327,21.5350173068469,9.38255664267888,13.2134695935182,15,27,25,8,28,12,28,22,"Ign","Ign","Sel"
"Streptococcus_salivarius",100,13.204029445277,25.2609413370892,0,2.5998265193368,19.2581792473928,31.4148539134904,32.2342329776989,1,25,26,31,30,17,16,9,"Sel","Sel","Sel"
"Bifidobacterium_pseudocatenulatum",37.3910478452039,24.410847611636,30.0365140636078,4.03291791697909,2.31350497489858,14.1836836598579,1.27076134461319,17.6846627276539,20,15,18,30,31,25,31,20,"Ign","Ign","Ign"
"Streptococcus_equinus",77.6920813990385,5.6407259783877,24.0901090494871,8.86462879110972,8.75294293865685,15.6266931813931,16.0227067853779,21.8966337743699,3,31,27,27,18,21,24,16,"Sel","Sel","Sel"
"Streptococcus_milleri",31.1562913061724,17.0630965908157,68.8614574075991,74.6635306671824,13.4607124623151,24.6607496292104,4.6380573448153,25.858432265029,21,18,4,3,15,9,30,15,"Sel","Sel","Sel"
"Bifidobacterium_bifidum",43.7074345886195,16.6172323372908,27.6730912554456,25.8426290129977,5.69091793564496,9.52186159611659,23.2362180093418,12.7178554230283,16,19,20,17,25,30,20,24,"Ign","Ign","Ign"
"Prevotella_intermedia",20.1320398643658,72.5875104573278,29.5691476077133,32.1920240642935,6.36935284806715,18.7652530882256,59.5360532758863,2.92105230402677,28,4,19,12,22,18,9,31,"Ign","Sel","Sel"
"Streptococcus_thermophilus",40.5903911894773,60.0865486659885,27.4055889146771,22.2439663449867,6.72525459576473,22.5800763320354,24.3001162391815,19.7711778001799,19,7,22,20,21,11,19,17,"Ign","Ign","Sel"
"Bifidobacterium_adolescentis",42.9950442137159,13.9745025627599,32.2102120082175,6.75689509305366,18.6210140253389,14.0447672416007,14.2946076739939,37.5072196378209,18,21,16,28,12,26,25,7,"Ign","Ign","Sel"
"Adlercreutzia_equolifaciens",20.5649103528589,13.4440024943342,68.8224715387378,13.8005329252654,6.2617907457079,21.2806188577009,8.99106666497932,9.68380499964944,27,23,5,25,24,13,29,27,"Ign","Sel","Sel"
"Ruminococcus_bicirculans",0,11.7315158686231,26.879866051384,26.2321989684792,27.1326794531608,16.7345000743789,17.7945389332663,5.16943639361538,31,26,23,16,7,20,22,30,"Ign","Ign","Sel"
"Bifidobacterium_longum",23.4602316914584,13.3657561035385,27.6246897704532,6.45820200421238,18.9836477642461,14.1958554222315,28.4280287124362,12.3724591746504,25,24,21,29,11,24,17,25,"Ign","Ign","Ign"
"Escherichia_coli",16.6652358230767,8.44293229771792,20.9451249096709,68.9276354988171,6.32324980179108,4.21750522417146,12.4013741583943,14.3909428492655,29,30,28,5,23,31,26,21,"Ign","Sel","Sel"
