"","Fusobacterium_nucleatum","Parvimonas_micra","Gemella_morbillorum","Anaerostipes_hadrus","Pseudobutyrivibrio_xylanivorans","Butyrivibrio_proteoclasticus","Roseburia_intestinalis","Dialister_pneumosintes","Lactococcus_garvieae","Brachyspira_pilosicoli","Romboutsia_ilealis","Porphyromonas_asaccharolytica","Eubacterium_eligens","Clostridium_beijerinckii","Fusobacterium_periodonticum","Streptococcus_anginosus","Bifidobacterium_catenulatum","Lactobacillus_ruminis","Bifidobacterium_angulatum","Streptococcus_salivarius","Bifidobacterium_pseudocatenulatum","Streptococcus_equinus","Streptococcus_milleri","Bifidobacterium_bifidum","Prevotella_intermedia","Streptococcus_thermophilus","Bifidobacterium_adolescentis","Adlercreutzia_equolifaciens","Ruminococcus_bicirculans","Bifidobacterium_longum","Escherichia_coli"
"Mean",70.1807981948434,86.545768064847,62.8893783430676,75.4361797592061,29.5739480275847,22.1255865884379,52.2786479566273,73.3016974863605,13.8532203412177,61.0855245668939,54.1552216982306,71.195613695333,30.4385526723732,67.1910121660885,43.3249747571104,24.3148550443642,52.3065074842393,61.0677921675309,47.4727516491194,100,37.3910478452039,77.6920813990385,31.1562913061724,43.7074345886195,20.1320398643658,40.5903911894773,42.9950442137159,20.5649103528589,0,23.4602316914584,16.6652358230767
"CRC.1",70.1807981948434,86.545768064847,62.8893783430676,75.4361797592061,29.5739480275847,22.1255865884379,52.2786479566273,73.3016974863605,13.8532203412177,61.0855245668939,54.1552216982306,71.195613695333,30.4385526723732,67.1910121660885,43.3249747571104,24.3148550443642,52.3065074842393,61.0677921675309,47.4727516491194,100,37.3910478452039,77.6920813990385,31.1562913061724,43.7074345886195,20.1320398643658,40.5903911894773,42.9950442137159,20.5649103528589,0,23.4602316914584,16.6652358230767
"CRC.2",70.1807981948434,86.545768064847,62.8893783430676,75.4361797592061,29.5739480275847,22.1255865884379,52.2786479566273,73.3016974863605,13.8532203412177,61.0855245668939,54.1552216982306,71.195613695333,30.4385526723732,67.1910121660885,43.3249747571104,24.3148550443642,52.3065074842393,61.0677921675309,47.4727516491194,100,37.3910478452039,77.6920813990385,31.1562913061724,43.7074345886195,20.1320398643658,40.5903911894773,42.9950442137159,20.5649103528589,0,23.4602316914584,16.6652358230767
"CRC.3",70.1807981948434,86.545768064847,62.8893783430676,75.4361797592061,29.5739480275847,22.1255865884379,52.2786479566273,73.3016974863605,13.8532203412177,61.0855245668939,54.1552216982306,71.195613695333,30.4385526723732,67.1910121660885,43.3249747571104,24.3148550443642,52.3065074842393,61.0677921675309,47.4727516491194,100,37.3910478452039,77.6920813990385,31.1562913061724,43.7074345886195,20.1320398643658,40.5903911894773,42.9950442137159,20.5649103528589,0,23.4602316914584,16.6652358230767
"CRC.4",70.1807981948434,86.545768064847,62.8893783430676,75.4361797592061,29.5739480275847,22.1255865884379,52.2786479566273,73.3016974863605,13.8532203412177,61.0855245668939,54.1552216982306,71.195613695333,30.4385526723732,67.1910121660885,43.3249747571104,24.3148550443642,52.3065074842393,61.0677921675309,47.4727516491194,100,37.3910478452039,77.6920813990385,31.1562913061724,43.7074345886195,20.1320398643658,40.5903911894773,42.9950442137159,20.5649103528589,0,23.4602316914584,16.6652358230767
"CRC.5",70.1807981948434,86.545768064847,62.8893783430676,75.4361797592061,29.5739480275847,22.1255865884379,52.2786479566273,73.3016974863605,13.8532203412177,61.0855245668939,54.1552216982306,71.195613695333,30.4385526723732,67.1910121660885,43.3249747571104,24.3148550443642,52.3065074842393,61.0677921675309,47.4727516491194,100,37.3910478452039,77.6920813990385,31.1562913061724,43.7074345886195,20.1320398643658,40.5903911894773,42.9950442137159,20.5649103528589,0,23.4602316914584,16.6652358230767
"CRC.6",70.1807981948434,86.545768064847,62.8893783430676,75.4361797592061,29.5739480275847,22.1255865884379,52.2786479566273,73.3016974863605,13.8532203412177,61.0855245668939,54.1552216982306,71.195613695333,30.4385526723732,67.1910121660885,43.3249747571104,24.3148550443642,52.3065074842393,61.0677921675309,47.4727516491194,100,37.3910478452039,77.6920813990385,31.1562913061724,43.7074345886195,20.1320398643658,40.5903911894773,42.9950442137159,20.5649103528589,0,23.4602316914584,16.6652358230767
"CRC.7",70.1807981948434,86.545768064847,62.8893783430676,75.4361797592061,29.5739480275847,22.1255865884379,52.2786479566273,73.3016974863605,13.8532203412177,61.0855245668939,54.1552216982306,71.195613695333,30.4385526723732,67.1910121660885,43.3249747571104,24.3148550443642,52.3065074842393,61.0677921675309,47.4727516491194,100,37.3910478452039,77.6920813990385,31.1562913061724,43.7074345886195,20.1320398643658,40.5903911894773,42.9950442137159,20.5649103528589,0,23.4602316914584,16.6652358230767
"CRC.8",70.1807981948434,86.545768064847,62.8893783430676,75.4361797592061,29.5739480275847,22.1255865884379,52.2786479566273,73.3016974863605,13.8532203412177,61.0855245668939,54.1552216982306,71.195613695333,30.4385526723732,67.1910121660885,43.3249747571104,24.3148550443642,52.3065074842393,61.0677921675309,47.4727516491194,100,37.3910478452039,77.6920813990385,31.1562913061724,43.7074345886195,20.1320398643658,40.5903911894773,42.9950442137159,20.5649103528589,0,23.4602316914584,16.6652358230767
"CRC.9",70.1807981948434,86.545768064847,62.8893783430676,75.4361797592061,29.5739480275847,22.1255865884379,52.2786479566273,73.3016974863605,13.8532203412177,61.0855245668939,54.1552216982306,71.195613695333,30.4385526723732,67.1910121660885,43.3249747571104,24.3148550443642,52.3065074842393,61.0677921675309,47.4727516491194,100,37.3910478452039,77.6920813990385,31.1562913061724,43.7074345886195,20.1320398643658,40.5903911894773,42.9950442137159,20.5649103528589,0,23.4602316914584,16.6652358230767
