"","Fusobacterium_nucleatum","Parvimonas_micra","Gemella_morbillorum","Anaerostipes_hadrus","Pseudobutyrivibrio_xylanivorans","Butyrivibrio_proteoclasticus","Roseburia_intestinalis","Dialister_pneumosintes","Lactococcus_garvieae","Brachyspira_pilosicoli","Romboutsia_ilealis","Porphyromonas_asaccharolytica","Eubacterium_eligens","Clostridium_beijerinckii","Fusobacterium_periodonticum","Streptococcus_anginosus","Bifidobacterium_catenulatum","Lactobacillus_ruminis","Bifidobacterium_angulatum","Streptococcus_salivarius","Bifidobacterium_pseudocatenulatum","Streptococcus_equinus","Streptococcus_milleri","Bifidobacterium_bifidum","Prevotella_intermedia","Streptococcus_thermophilus","Bifidobacterium_adolescentis","Adlercreutzia_equolifaciens","Ruminococcus_bicirculans","Bifidobacterium_longum","Escherichia_coli"
"Mean",75.3292246783359,62.0790785619488,79.0443940271185,21.2992264581143,41.2955154657709,32.8483972925351,15.2560449372203,50.559357897252,21.5089840322938,26.0354004024382,8.61112867574778,100,9.25948140084261,61.9695605820012,32.9157975185542,13.4851846288774,24.5101169731706,31.2506141710753,9.27813960008579,13.204029445277,24.410847611636,5.6407259783877,17.0630965908157,16.6172323372908,72.5875104573278,60.0865486659885,13.9745025627599,13.4440024943342,11.7315158686231,13.3657561035385,8.44293229771792
"CRC.1",81.4478109081737,62.4909928551216,80.7264891951333,22.1938336031995,51.7736712444778,33.4905916409247,13.177309966419,49.4881854831107,24.1772479176906,29.9062247319912,13.7567797237301,100,10.03144725495,62.5950125004453,24.2475709951221,13.3011913866145,26.8254951159455,38.7562198820085,7.92754509496439,15.4938801463279,24.7924336504233,2.77883349627659,22.4687482913315,9.52969882939824,77.9821874613258,69.223859972017,14.1742676912396,15.4250075415007,17.5450238319341,25.0228508934662,0
"CRC.2",81.2561951003266,62.6655527606382,76.012135764995,18.8347878648987,35.386766310816,23.8126589609582,19.5863441379138,42.1598293226031,20.4515221075733,35.740687263314,11.7131598178261,100,0,65.0194393665069,39.249363207216,18.8106837627299,31.8951059620998,28.0022203906288,14.6736988694488,28.090880648072,28.629560599527,11.3105155748616,16.9047302550188,8.95036958166707,64.4385405521318,58.511640579182,12.6614473039154,9.76584078002351,9.16793812147179,7.43271961104688,6.83986585601639
"CRC.3",78.0896165947765,71.578475860297,84.8332300795932,22.681976610647,35.5965943261218,37.905977541179,8.09210619241331,61.6375335131017,20.842877554208,19.5569612144203,0,100,13.2535086626301,57.5283964071024,30.3384119129061,0.0867683606982851,19.4053611201452,51.4261621004608,14.2882096832281,16.1368861811129,28.3372722257879,6.11125150858221,17.8858346147748,19.1538304062079,86.6107497995098,75.2300674081384,13.4876390387478,16.0867398963759,10.8718386007791,10.2660843676607,13.4334070987043
"CRC.4",67.1545770654161,41.5462786076345,74.3416593858566,23.4258616187494,53.3129284392448,45.7726007275182,8.1090139283343,52.9336054432237,21.019134996188,23.6250437706329,14.0052784296012,100,14.9337472371957,57.4216904287485,28.3545641321642,21.264973782832,23.9904602246977,20.1557594059683,0.356772609399131,0,13.7315189798673,2.29773905420422,18.6178403272817,27.794278827237,69.0155066531277,49.3702796637651,13.3980170979962,7.74297694457133,16.4139916366638,10.8113401555582,6.20722083864505
"CRC.5",68.79373162691,72.0268127732946,81.6656324250833,21.0391954622272,38.6010694750249,28.0991239320786,24.1109333752736,50.2418138044747,22.9170004908677,18.4308537661712,4.6022353605335,100,13.0944274769122,66.0710507741723,34.8881812393158,11.2075596634545,17.8993570198878,23.2897088219998,5.77139485614635,0,24.6448891280227,1.43944921872141,12.2203384838279,17.9476486658092,71.6623912751408,53.4530054032574,16.9075518755627,21.0290306899382,8.84733000749773,22.0908511311702,12.3142347672156
"CRC.6",81.2561951003266,62.6655527606382,76.012135764995,18.8347878648987,35.386766310816,23.8126589609582,19.5863441379138,42.1598293226031,20.4515221075733,35.740687263314,11.7131598178261,100,0,65.0194393665069,39.249363207216,18.8106837627299,31.8951059620998,28.0022203906288,14.6736988694488,28.090880648072,28.629560599527,11.3105155748616,16.9047302550188,8.95036958166707,64.4385405521318,58.511640579182,12.6614473039154,9.76584078002351,9.16793812147179,7.43271961104688,6.83986585601639
"CRC.7",78.0896165947765,71.578475860297,84.8332300795932,22.681976610647,35.5965943261218,37.905977541179,8.09210619241331,61.6375335131017,20.842877554208,19.5569612144203,0,100,13.2535086626301,57.5283964071024,30.3384119129061,0.0867683606982851,19.4053611201452,51.4261621004608,14.2882096832281,16.1368861811129,28.3372722257879,6.11125150858221,17.8858346147748,19.1538304062079,86.6107497995098,75.2300674081384,13.4876390387478,16.0867398963759,10.8718386007791,10.2660843676607,13.4334070987043
"CRC.8",67.1545770654161,41.5462786076345,74.3416593858566,23.4258616187494,53.3129284392448,45.7726007275182,8.1090139283343,52.9336054432237,21.019134996188,23.6250437706329,14.0052784296012,100,14.9337472371957,57.4216904287485,28.3545641321642,21.264973782832,23.9904602246977,20.1557594059683,0.356772609399131,0,13.7315189798673,2.29773905420422,18.6178403272817,27.794278827237,69.0155066531277,49.3702796637651,13.3980170979962,7.74297694457133,16.4139916366638,10.8113401555582,6.20722083864505
"CRC.9",68.79373162691,72.0268127732946,81.6656324250833,21.0391954622272,38.6010694750249,28.0991239320786,24.1109333752736,50.2418138044747,22.9170004908677,18.4308537661712,4.6022353605335,100,13.0944274769122,66.0710507741723,34.8881812393158,11.2075596634545,17.8993570198878,23.2897088219998,5.77139485614635,0,24.6448891280227,1.43944921872141,12.2203384838279,17.9476486658092,71.6623912751408,53.4530054032574,16.9075518755627,21.0290306899382,8.84733000749773,22.0908511311702,12.3142347672156
