"","Fusobacterium_nucleatum","Parvimonas_micra","Gemella_morbillorum","Anaerostipes_hadrus","Pseudobutyrivibrio_xylanivorans","Butyrivibrio_proteoclasticus","Roseburia_intestinalis","Dialister_pneumosintes","Lactococcus_garvieae","Brachyspira_pilosicoli","Romboutsia_ilealis","Porphyromonas_asaccharolytica","Eubacterium_eligens","Clostridium_beijerinckii","Fusobacterium_periodonticum","Streptococcus_anginosus","Bifidobacterium_catenulatum","Lactobacillus_ruminis","Bifidobacterium_angulatum","Streptococcus_salivarius","Bifidobacterium_pseudocatenulatum","Streptococcus_equinus","Streptococcus_milleri","Bifidobacterium_bifidum","Prevotella_intermedia","Streptococcus_thermophilus","Bifidobacterium_adolescentis","Adlercreutzia_equolifaciens","Ruminococcus_bicirculans","Bifidobacterium_longum","Escherichia_coli"
"Mean",90.3191400402282,63.4446544294835,48.9221380934443,17.8855000786169,52.3176546287972,47.5380994308845,39.3655949729507,19.1887363079679,58.7385137069495,97.0453683745729,43.385873131284,57.4701559833559,39.6260565573452,66.8704480430799,11.7757442798804,71.4557642437184,26.0070388828991,30.636806619068,25.6447148346093,25.2609413370892,30.0365140636078,24.0901090494871,68.8614574075991,27.6730912554456,29.5691476077133,27.4055889146771,32.2102120082175,68.8224715387378,26.879866051384,27.6246897704532,20.9451249096709
"CRC.1",91.6212882187819,55.151558945013,55.6430879607592,22.6963505120661,41.3930422105315,46.630159901552,44.9145208789942,24.8624673510898,60.9962278218015,100,38.7324870567512,57.0154072282384,44.4808734969771,78.7268838006065,40.6998754308749,86.1737210202762,22.7745816809531,41.4367384976402,32.8120551826808,42.7398068410721,0,37.8352101515582,75.870988741418,40.6791258306054,28.2328987989575,36.2293133328992,20.3226992808068,59.5637317376816,31.0549486141654,29.0581752874281,25.8208826578389
"CRC.2",82.3140224367,67.3349528085848,40.0172649855877,0,41.1978044069762,39.3377992797356,44.0518642831374,11.2568134507163,51.1190596151326,100,40.356384155474,44.9478997057034,16.42012459465,48.0061075483322,15.4115134735859,69.6856317535841,11.2363353031324,20.8770110727703,8.54602710669531,22.7721429423468,35.4728950917533,15.5252106728745,52.8148817234752,34.6068906415196,13.5916730934012,24.6391092250454,32.4892064195645,73.8540647388618,14.0842930335871,26.7435899608765,15.8895014409525
"CRC.3",100,60.6550553267245,58.3729920114364,39.0396625685257,68.9486205106399,58.0154595021538,32.1205268587064,27.6852071187518,67.6984027930076,92.6134209364321,48.3360808696797,73.2366635192008,67.4197672758061,87.4867647221329,0,69.9889406622469,45.2785326580939,40.136568082297,45.226239407484,24.0022229545215,30.7501662943278,31.3599567447351,87.1672941792993,15.7543333790632,49.8750529527925,28.6577574221613,34.8333471758865,64.8476649888468,41.8305616829349,28.3676931531805,26.0457148085269
"CRC.4",82.3140224367,67.3349528085848,40.0172649855877,0,41.1978044069762,39.3377992797356,44.0518642831374,11.2568134507163,51.1190596151326,100,40.356384155474,44.9478997057034,16.42012459465,48.0061075483322,15.4115134735859,69.6856317535841,11.2363353031324,20.8770110727703,8.54602710669531,22.7721429423468,35.4728950917533,15.5252106728745,52.8148817234752,34.6068906415196,13.5916730934012,24.6391092250454,32.4892064195645,73.8540647388618,14.0842930335871,26.7435899608765,15.8895014409525
"CRC.5",100,60.6550553267245,58.3729920114364,39.0396625685257,68.9486205106399,58.0154595021538,32.1205268587064,27.6852071187518,67.6984027930076,92.6134209364321,48.3360808696797,73.2366635192008,67.4197672758061,87.4867647221329,0,69.9889406622469,45.2785326580939,40.136568082297,45.226239407484,24.0022229545215,30.7501662943278,31.3599567447351,87.1672941792993,15.7543333790632,49.8750529527925,28.6577574221613,34.8333471758865,64.8476649888468,41.8305616829349,28.3676931531805,26.0457148085269
"CRC.6",82.3140224367,67.3349528085848,40.0172649855877,0,41.1978044069762,39.3377992797356,44.0518642831374,11.2568134507163,51.1190596151326,100,40.356384155474,44.9478997057034,16.42012459465,48.0061075483322,15.4115134735859,69.6856317535841,11.2363353031324,20.8770110727703,8.54602710669531,22.7721429423468,35.4728950917533,15.5252106728745,52.8148817234752,34.6068906415196,13.5916730934012,24.6391092250454,32.4892064195645,73.8540647388618,14.0842930335871,26.7435899608765,15.8895014409525
"CRC.7",100,60.6550553267245,58.3729920114364,39.0396625685257,68.9486205106399,58.0154595021538,32.1205268587064,27.6852071187518,67.6984027930076,92.6134209364321,48.3360808696797,73.2366635192008,67.4197672758061,87.4867647221329,0,69.9889406622469,45.2785326580939,40.136568082297,45.226239407484,24.0022229545215,30.7501662943278,31.3599567447351,87.1672941792993,15.7543333790632,49.8750529527925,28.6577574221613,34.8333471758865,64.8476649888468,41.8305616829349,28.3676931531805,26.0457148085269
"CRC.8",82.3140224367,67.3349528085848,40.0172649855877,0,41.1978044069762,39.3377992797356,44.0518642831374,11.2568134507163,51.1190596151326,100,40.356384155474,44.9478997057034,16.42012459465,48.0061075483322,15.4115134735859,69.6856317535841,11.2363353031324,20.8770110727703,8.54602710669531,22.7721429423468,35.4728950917533,15.5252106728745,52.8148817234752,34.6068906415196,13.5916730934012,24.6391092250454,32.4892064195645,73.8540647388618,14.0842930335871,26.7435899608765,15.8895014409525
"CRC.9",100,60.6550553267245,58.3729920114364,39.0396625685257,68.9486205106399,58.0154595021538,32.1205268587064,27.6852071187518,67.6984027930076,92.6134209364321,48.3360808696797,73.2366635192008,67.4197672758061,87.4867647221329,0,69.9889406622469,45.2785326580939,40.136568082297,45.226239407484,24.0022229545215,30.7501662943278,31.3599567447351,87.1672941792993,15.7543333790632,49.8750529527925,28.6577574221613,34.8333471758865,64.8476649888468,41.8305616829349,28.3676931531805,26.0457148085269
