"","Fusobacterium_nucleatum","Parvimonas_micra","Gemella_morbillorum","Anaerostipes_hadrus","Pseudobutyrivibrio_xylanivorans","Butyrivibrio_proteoclasticus","Roseburia_intestinalis","Dialister_pneumosintes","Lactococcus_garvieae","Brachyspira_pilosicoli","Romboutsia_ilealis","Porphyromonas_asaccharolytica","Eubacterium_eligens","Clostridium_beijerinckii","Fusobacterium_periodonticum","Streptococcus_anginosus","Bifidobacterium_catenulatum","Lactobacillus_ruminis","Bifidobacterium_angulatum","Streptococcus_salivarius","Bifidobacterium_pseudocatenulatum","Streptococcus_equinus","Streptococcus_milleri","Bifidobacterium_bifidum","Prevotella_intermedia","Streptococcus_thermophilus","Bifidobacterium_adolescentis","Adlercreutzia_equolifaciens","Ruminococcus_bicirculans","Bifidobacterium_longum","Escherichia_coli"
"Mean",83.3228644036814,67.3707659432951,100,13.9708762085719,25.886053143045,25.5723310710318,19.4295256764045,20.2157718094137,33.0000898357002,15.0928139108723,18.2502278835032,15.4544156414308,32.4256006800043,29.1175666157815,20.5555911618747,24.3654657924644,11.5043099704292,12.5381107581384,21.5350173068469,19.2581792473928,14.1836836598579,15.6266931813931,24.6607496292104,9.52186159611659,18.7652530882256,22.5800763320354,14.0447672416007,21.2806188577009,16.7345000743789,14.1958554222315,4.21750522417146
"CRC.1",82.0598141136053,82.9863193060643,100,17.4522123120648,32.3858134340919,29.7302672253713,25.7102889375877,17.0376099754214,33.385794603666,18.8259712743031,15.7332981200679,21.0251655661888,38.9058799458154,31.8850045320431,24.1854490273786,31.5468336856117,17.2953558432245,18.4435591424389,26.895126691733,22.9134947156802,20.0830247627854,21.6495316738911,34.2434126217635,22.3265945394139,19.1098419822747,26.2140151859324,13.0661032445249,18.877677552432,25.3913491391835,22.3983335780818,0
"CRC.2",84.0907887744597,50.0834650862208,100,9.48438813790181,20.9548891032256,16.8335815212586,15.9419569443073,15.2319814408901,35.7904127938777,13.8038116348775,21.1503856534554,12.773377001578,26.1891453915299,32.862787202663,18.0547108350555,18.3190359670416,6.76645608522849,12.7930515205439,18.2948548248573,15.8521083704239,11.0925311361674,12.1411644636349,15.1553499569067,0,15.3183192470589,22.7863578728295,15.7413905911254,25.5033870179468,13.127291575014,17.4426936088184,5.9107844262296
"CRC.3",83.6897353371952,54.0795931813891,100,15.1215926912008,21.6347899393259,26.1417253841201,11.5775158922541,25.2010048414552,21.8747639997592,15.1695381798251,19.3802466524489,11.3680489587141,27.2421260078019,22.4558480781794,12.2479161315401,16.2495162491456,5.69034204670336,9.59733339918204,18.3230073929708,20.7477052397713,15.89727283958,7.81876003743821,15.0407028675955,0,17.207211498899,21.5595919257224,13.1717098889935,23.8686739490225,7.13812999952831,11.2177363308069,1.43447942495194
"CRC.4",83.6986823491144,83.1695599466587,100,14.3278876767085,27.7844219699231,31.8741568510939,23.0917436669258,27.4734670811461,39.3613740824263,11.3498570107655,16.5453671047821,15.20621539679,37.2433393862017,26.0102973986688,27.1697998841822,30.7790082341965,15.7384899127633,6.23830439703562,21.5671068663784,17.3947863680367,8.25781161128017,19.6286616632385,34.1649014104513,14.1194161714621,24.9768120982289,17.8402301463117,13.8408855655346,15.9628234839137,18.7564093010702,0,10.786870056561
"CRC.5",82.0598141136053,82.9863193060643,100,17.4522123120648,32.3858134340919,29.7302672253713,25.7102889375877,17.0376099754214,33.385794603666,18.8259712743031,15.7332981200679,21.0251655661888,38.9058799458154,31.8850045320431,24.1854490273786,31.5468336856117,17.2953558432245,18.4435591424389,26.895126691733,22.9134947156802,20.0830247627854,21.6495316738911,34.2434126217635,22.3265945394139,19.1098419822747,26.2140151859324,13.0661032445249,18.877677552432,25.3913491391835,22.3983335780818,0
"CRC.6",84.0907887744597,50.0834650862208,100,9.48438813790181,20.9548891032256,16.8335815212586,15.9419569443073,15.2319814408901,35.7904127938777,13.8038116348775,21.1503856534554,12.773377001578,26.1891453915299,32.862787202663,18.0547108350555,18.3190359670416,6.76645608522849,12.7930515205439,18.2948548248573,15.8521083704239,11.0925311361674,12.1411644636349,15.1553499569067,0,15.3183192470589,22.7863578728295,15.7413905911254,25.5033870179468,13.127291575014,17.4426936088184,5.9107844262296
"CRC.7",83.6897353371952,54.0795931813891,100,15.1215926912008,21.6347899393259,26.1417253841201,11.5775158922541,25.2010048414552,21.8747639997592,15.1695381798251,19.3802466524489,11.3680489587141,27.2421260078019,22.4558480781794,12.2479161315401,16.2495162491456,5.69034204670336,9.59733339918204,18.3230073929708,20.7477052397713,15.89727283958,7.81876003743821,15.0407028675955,0,17.207211498899,21.5595919257224,13.1717098889935,23.8686739490225,7.13812999952831,11.2177363308069,1.43447942495194
"CRC.8",83.6986823491144,83.1695599466587,100,14.3278876767085,27.7844219699231,31.8741568510939,23.0917436669258,27.4734670811461,39.3613740824263,11.3498570107655,16.5453671047821,15.20621539679,37.2433393862017,26.0102973986688,27.1697998841822,30.7790082341965,15.7384899127633,6.23830439703562,21.5671068663784,17.3947863680367,8.25781161128017,19.6286616632385,34.1649014104513,14.1194161714621,24.9768120982289,17.8402301463117,13.8408855655346,15.9628234839137,18.7564093010702,0,10.786870056561
"CRC.9",82.0598141136053,82.9863193060643,100,17.4522123120648,32.3858134340919,29.7302672253713,25.7102889375877,17.0376099754214,33.385794603666,18.8259712743031,15.7332981200679,21.0251655661888,38.9058799458154,31.8850045320431,24.1854490273786,31.5468336856117,17.2953558432245,18.4435591424389,26.895126691733,22.9134947156802,20.0830247627854,21.6495316738911,34.2434126217635,22.3265945394139,19.1098419822747,26.2140151859324,13.0661032445249,18.877677552432,25.3913491391835,22.3983335780818,0
