"","2014_ZellerG_Mean","2015_FengQ_Mean","2016_VogtmannE_Mean","2019_Thom_Mean","2019_WirbelJ_Mean","2019_Yachida_Mean","2021_JunY_1_Mean","2021_JunY_2_Mean","2014_ZellerG_Rank","2015_FengQ_Rank","2016_VogtmannE_Rank","2019_Thom_Rank","2019_WirbelJ_Rank","2019_Yachida_Rank","2021_JunY_1_Rank","2021_JunY_2_Rank","Rank3","Rank5","Rank10"
"Aspergillus_rambellii",48.8598899318935,67.3894374924906,100,24.6989137346135,75.1216515540371,100,20.8627668918878,48.7592794300787,3,4,1,20,4,1,23,9,"Sel","Sel","Sel"
"Rhizophagus_irregularis",38.6026833530398,40.6675217350379,46.6770441469839,28.7792830457693,33.1689726650074,54.1639458353608,13.5550867157419,55.5244711928652,5,14,11,15,19,3,31,6,"Sel","Sel","Sel"
"Moniliophthora_perniciosa",54.13611024834,12.6729393945815,37.5010393451675,14.4910769452019,33.448498874158,52.7411974603328,52.2138532610428,38.8098607374261,2,32,16,28,18,4,4,15,"Sel","Sel","Sel"
"Erysiphe_pulchra",3.14908574030921,78.5279816466627,99.2813040250543,56.4564087254732,33.5925397632839,49.4049279375738,11.453073762654,34.2082081935325,32,3,2,4,17,5,32,18,"Sel","Sel","Sel"
"Sphaerulina_musiva",24.1537049754136,42.6872849461846,78.4098682093667,27.9701645633251,19.4821061287897,15.4728293868463,29.9018765882771,56.4081480080274,15,12,4,16,24,20,15,5,"Ign","Sel","Sel"
"Phytophthora_capsici",17.9803683096897,18.2738360661817,38.3994202316897,35.4352066239314,22.151249386795,40.4799903891694,28.1980923276584,15.2129257742964,20,28,15,9,23,7,16,30,"Ign","Ign","Sel"
"Trichophyton_mentagrophytes",13.6467218572853,6.70169523624769,41.0610298126139,17.9537191398059,35.5426517992865,28.7824329123226,15.4876602198021,32.2290094709415,25,33,14,25,14,9,29,19,"Ign","Ign","Sel"
"Aspergillus_kawachii",32.0110377973953,34.56813731961,94.0188155168568,48.0776743160193,17.4295212084445,22.1267169216554,25.2514789514745,23.3363334788186,8,18,3,6,26,11,20,25,"Sel","Sel","Sel"
"Pneumocystis_murina",24.9828914385029,27.1340545206363,71.4501213908889,19.7594460812007,51.5881872362686,13.0339888100769,34.2646113004065,55.2150219908709,12,21,5,23,7,22,11,7,"Ign","Sel","Sel"
"Debaryomyces_hansenii",15.4749102924799,24.8570208335917,41.9897317488653,49.8314275138572,26.919476681439,1.7803350090429,49.6913678154815,87.0026311986252,23,24,12,5,21,33,5,2,"Sel","Sel","Sel"
"Trichoderma_atroviride",23.5027811478493,58.2884240071061,31.0295053184524,9.4015917938177,71.2353518601868,4.72511561332103,16.4215039693547,98.8816471290946,17,6,18,32,6,32,27,1,"Sel","Sel","Sel"
"Pseudocercospora_musae",8.90699075549641,45.7735153341988,47.1553159314852,13.8030731514363,25.8267565848703,9.10236752626203,19.8983551351702,19.9888703903799,28,10,10,29,22,28,24,26,"Ign","Ign","Sel"
"Cordyceps_sp_RAO_2017",42.7595751505296,21.9518018656496,41.963415352529,18.406537145444,27.7902300766407,42.6990147113764,25.5929157970753,62.173524698476,4,27,13,24,20,6,18,4,"Ign","Sel","Sel"
"Rhizophagus_clarus",22.4608103089602,34.8255222728215,49.0110361902637,100,41.268255516196,21.7749365629077,44.6440180671504,30.1522159307403,18,17,9,1,9,13,6,20,"Sel","Sel","Sel"
"Pichia_kudriavzevii",31.3996254723265,16.6209506862844,17.0321385077721,76.1414613049262,10.9158347110689,6.72048254318348,41.8573917503944,71.3522611627992,9,29,30,2,31,31,8,3,"Sel","Sel","Sel"
"Paracoccidioides_brasiliensis",15.4901649120274,25.866563137215,27.3719345354842,9.68554340337867,92.0390168832119,9.03679198937377,52.4377182574177,18.7534864618907,22,22,22,31,3,29,3,27,"Sel","Sel","Sel"
"Albugo_candida",23.6270986787168,24.726118180882,5.2086236313141,40.8104180290462,71.9602653265169,10.5816296176226,24.1783353590783,42.9081239909971,16,25,31,7,5,26,21,10,"Ign","Sel","Sel"
"Lipomyces_starkeyi",6.21061428554672,41.1633127019485,19.9934416053707,12.2967784164831,37.3577735198584,7.52201978773081,26.7761673840247,41.412284485898,29,13,27,30,12,30,17,12,"Ign","Ign","Ign"
"Naumovozyma_dairenensis",2.18082724766999,43.0540587343648,17.5494377925291,61.0795863519379,33.9637713618115,23.2199934203868,30.4363446604572,14.0323648960097,33,11,28,3,16,10,13,31,"Sel","Sel","Sel"
"Phytopythium_vexans",32.894234984785,32.6574911309013,21.8456105570639,24.5134206149894,10.4703418793859,57.8758751486016,33.4378226110647,13.3399227920097,7,19,26,21,32,2,12,32,"Sel","Sel","Sel"
"Aspergillus_ochraceoroseus",11.8226223263424,56.944237453631,57.7454003364041,17.7081104626138,41.2203295713174,10.7343345757546,25.5745615233792,39.5218096572588,26,7,6,27,10,25,19,14,"Ign","Ign","Sel"
"Colletotrichum_fioriniae",9.58952601574522,83.7287934813976,29.3004743869564,31.5428404654713,35.9630810091345,9.80443009533898,16.6257210137581,35.7463105319971,27,2,19,13,13,27,26,17,"Sel","Sel","Sel"
"Coniochaeta_ligniaria",25.0132449070603,15.7784399473974,36.4967104885159,34.8978235715408,14.6503547082808,40.012376750645,15.7903886462974,28.8135648661164,11,30,17,10,28,8,28,23,"Ign","Ign","Sel"
"Leucoagaricus_sp_SymC_cos",16.6665586583065,24.9632288695466,0,25.1486941091596,96.55958280001,12.2740116472994,41.2105155606021,48.8931607067172,21,23,33,19,2,24,9,8,"Sel","Sel","Sel"
"Colletotrichum_salicis",4.94346639511409,54.836538273425,51.7275870438992,7.37346198799123,13.1544882090493,12.702611259117,43.6487359776293,37.5551529452284,31,8,8,33,30,23,7,16,"Ign","Ign","Sel"
"Candida_arabinofermentans",15.4055352516031,28.6107243953752,24.0302515543901,27.8253967343818,13.7973982479132,15.000931550983,30.3106773974248,42.5083024189516,24,20,23,17,29,21,14,11,"Ign","Ign","Ign"
"Baudoinia_panamericana",100,66.8177787047526,55.103858954989,34.2094728118557,1.70962139673376,19.3046874856398,64.1527185237372,29.2056420096973,1,5,7,11,33,14,2,22,"Sel","Sel","Sel"
"Hyaloscypha_variabilis",25.1573140547805,46.5685682672796,29.036780998757,33.2733394033907,40.3866623076618,18.444576622235,14.2745197812368,25.4502817833306,10,9,20,12,11,15,30,24,"Ign","Ign","Sel"
"Schizosaccharomyces_pombe",24.8137494978633,22.7564701667329,22.5680557100386,22.8773961082923,43.0892049516168,21.7892406699149,1.85428756942548,40.6280720635855,13,26,25,22,8,12,33,13,"Ign","Ign","Sel"
"Tuber_magnatum",6.16664234546586,98.1141959789951,27.9880525928764,39.9055683592444,96.8576445239668,18.1605769475596,18.152790165314,18.0536925327479,30,1,21,8,1,16,25,28,"Sel","Sel","Sel"
"Thielaviopsis_punctulata",19.0587047005077,38.70934241655,17.4106186484671,26.2897046814927,18.3652803009081,16.6514128067224,100,16.7963311455872,19,15,29,18,25,17,1,29,"Sel","Sel","Sel"
"Edhazardia_aedis",33.6139998336966,36.7583592553297,22.9855652199197,17.9534263181414,17.1891401258146,16.4690410757241,40.9171635293444,29.372450584474,6,16,24,26,27,18,10,21,"Ign","Ign","Sel"
"Choanephora_cucurbitarum",24.3078982382055,12.9636453527766,4.62878059829604,31.4169245079369,35.508627687814,15.7041632942561,22.1491379978261,4.73059281681758,14,31,32,14,15,19,22,33,"Ign","Ign","Ign"
