"","Aspergillus_rambellii","Rhizophagus_irregularis","Moniliophthora_perniciosa","Erysiphe_pulchra","Sphaerulina_musiva","Phytophthora_capsici","Trichophyton_mentagrophytes","Aspergillus_kawachii","Pneumocystis_murina","Debaryomyces_hansenii","Trichoderma_atroviride","Pseudocercospora_musae","Cordyceps_sp_RAO_2017","Rhizophagus_clarus","Pichia_kudriavzevii","Paracoccidioides_brasiliensis","Albugo_candida","Lipomyces_starkeyi","Naumovozyma_dairenensis","Phytopythium_vexans","Aspergillus_ochraceoroseus","Colletotrichum_fioriniae","Coniochaeta_ligniaria","Leucoagaricus_sp_SymC_cos","Colletotrichum_salicis","Candida_arabinofermentans","Baudoinia_panamericana","Hyaloscypha_variabilis","Schizosaccharomyces_pombe","Tuber_magnatum","Thielaviopsis_punctulata","Edhazardia_aedis","Choanephora_cucurbitarum"
"Mean",67.3894374924906,40.6675217350379,12.6729393945815,78.5279816466627,42.6872849461846,18.2738360661817,6.70169523624769,34.56813731961,27.1340545206363,24.8570208335917,58.2884240071061,45.7735153341988,21.9518018656496,34.8255222728215,16.6209506862844,25.866563137215,24.726118180882,41.1633127019485,43.0540587343648,32.6574911309013,56.944237453631,83.7287934813976,15.7784399473974,24.9632288695466,54.836538273425,28.6107243953752,66.8177787047526,46.5685682672796,22.7564701667329,98.1141959789951,38.70934241655,36.7583592553297,12.9636453527766
"CRC.1",52.3564819142184,13.9836136218863,5.17267574186199,48.4104640909238,40.4946409906681,8.3375067431714,1.1496494647858,21.1916347683045,15.1031541950136,14.8408537055698,49.8844561247161,29.8868520487434,0,2.1251845103856,10.714707435456,25.40146728861,20.6783704207485,37.4286927392192,13.3057379061067,16.7428361454193,54.3266559564591,85.5004789734764,23.7496710483375,17.08521314811,29.9804188282349,4.97544287732798,45.7803174474701,46.6190243005635,17.7688648879241,100,9.60658605580767,26.6341963216382,18.6220164008034
"CRC.2",83.5544846637171,55.0170690616581,0,86.5039533264067,28.5879860231744,43.7651749461451,5.1036496160927,33.0165005560167,24.4830768646807,40.2343448057356,46.2814132395566,63.3113826745718,23.3945987666003,59.0287619412425,13.3195988820414,33.5402674264982,13.4716925521502,49.1707681316947,56.7670815429017,28.3866033235883,77.3831778329644,75.5932615764832,18.4121438391044,18.5197196840504,49.463976195226,35.0290002821232,100,49.9287787925123,45.2269299918418,93.1630784781486,36.7056976408678,31.8301045520813,21.8960165305325
"CRC.3",74.118357471721,48.6855572116085,0,86.8814643632408,40.2010997065414,22.4469582225208,17.2449072732113,35.4609593107343,34.7825158281723,30.5426769934714,71.5590680810795,54.2186329431647,24.1653083304271,35.5254888834391,11.3883138024993,21.1515713115502,24.5187718156297,53.3987781032557,57.4229784883958,38.8720256508478,57.1018813055049,82.6747985781556,33.5570860855213,54.898178240157,54.0070598337246,20.8242497459993,64.3789399184336,44.5674606257383,34.9297366970679,100,38.641492902922,47.1860453397064,27.137008067501
"CRC.4",51.3056959832709,54.1920878283242,31.4998288671263,97.0774612216747,68.5913915533261,40.7414979044789,0,51.1263268693786,42.92541484893,26.7711656304609,71.0625529588432,42.4535042404806,39.8327405092596,38.8894752717318,39.3087265488041,34.5874206286692,22.3130338186804,49.6266294498601,60.3090576891306,46.5779727538345,50.9681513440516,76.8715913986517,25.0553510861059,25.0830206878303,72.3981189375468,31.3348298318364,87.949386479157,54.4127406252914,39.4107346866991,100,48.9784261411172,43.4699000693837,5.12338694938111
"CRC.5",52.3956332833078,34.9776985379116,3.71939971471561,68.2620652444904,42.2399068484803,2.56763606650359,0,41.2377129917483,17.7003227174524,9.08731902278249,44.5598734251843,43.6364424997403,15.1024685012852,16.4587597710173,23.8209790739433,18.4487685960678,21.2272356940819,27.5088165364475,34.7053814286445,27.8925917648888,54.4540048955694,74.5021294275425,7.70802952246765,24.3121786012227,48.9091418734814,32.3972928147988,83.141653068031,50.2570906921174,40.8518179715539,100,35.8439386878128,31.7764091321972,14.7966121555515
"CRC.6",85.3962931597368,52.2545666230505,20.1742511976385,100,38.5862661243141,30.7091196393279,3.82110143397826,40.6363597767505,31.3319938712081,32.0176875445738,77.5502334782218,65.2793467878057,22.9680123505327,51.8310681283509,10.0178638289364,39.7464482260475,37.8021352930689,52.1623274463353,50.7478201662051,46.2100996103602,71.4295295535249,92.1053740181327,11.647089492491,37.0992871768314,78.1040564189432,40.0704341646501,68.6905743792268,46.647880552626,0,94.9396231664505,55.9637609464217,32.5214251088871,5.16870313165782
"CRC.7",60.2242044422378,31.3171016098222,16.285406790902,67.4348385500943,38.6696795853123,0,13.7949594957816,29.129973171587,20.5536177814469,24.0338758935811,43.6091488806995,31.2493826516766,25.8761010360278,26.7961880482379,15.1724001739282,9.81290889514985,22.2643729783733,29.1147999595632,34.9185385223391,24.4362341982114,39.2856542144607,78.9674634117006,3.66155616940053,7.83805746004661,50.3518234107255,29.7159331567104,50.719253425982,37.4963331360846,24.6883087161211,100,37.8239152169502,39.6262348835626,11.2074876439284
"CRC.8",68.9227264047223,32.6758546232453,13.4181736450301,63.2747311197022,52.2459329204034,3.46134750034177,8.28662414886736,24.1155728032426,32.5748374468045,14.9907213015876,57.2181115238388,31.1708800563222,19.334675775803,38.9730399972212,17.2766531143705,26.4174218783595,24.9190609646452,31.9451872472103,36.6976329113807,26.8102140532913,53.7781356657899,100,18.6848265686544,19.859289060339,36.6949074066991,21.9736937589452,48.1078345240171,51.6121602591516,0,98.0996349789018,29.7419304102284,42.3916171533905,9.30903187282435
"CRC.9",85.3962931597368,52.2545666230505,20.1742511976385,100,38.5862661243141,30.7091196393279,3.82110143397826,40.6363597767505,31.3319938712081,32.0176875445738,77.5502334782218,65.2793467878057,22.9680123505327,51.8310681283509,10.0178638289364,39.7464482260475,37.8021352930689,52.1623274463353,50.7478201662051,46.2100996103602,71.4295295535249,92.1053740181327,11.647089492491,37.0992871768314,78.1040564189432,40.0704341646501,68.6905743792268,46.647880552626,0,94.9396231664505,55.9637609464217,32.5214251088871,5.16870313165782
