"","Aspergillus_rambellii","Rhizophagus_irregularis","Moniliophthora_perniciosa","Erysiphe_pulchra","Sphaerulina_musiva","Phytophthora_capsici","Trichophyton_mentagrophytes","Aspergillus_kawachii","Pneumocystis_murina","Debaryomyces_hansenii","Trichoderma_atroviride","Pseudocercospora_musae","Cordyceps_sp_RAO_2017","Rhizophagus_clarus","Pichia_kudriavzevii","Paracoccidioides_brasiliensis","Albugo_candida","Lipomyces_starkeyi","Naumovozyma_dairenensis","Phytopythium_vexans","Aspergillus_ochraceoroseus","Colletotrichum_fioriniae","Coniochaeta_ligniaria","Leucoagaricus_sp_SymC_cos","Colletotrichum_salicis","Candida_arabinofermentans","Baudoinia_panamericana","Hyaloscypha_variabilis","Schizosaccharomyces_pombe","Tuber_magnatum","Thielaviopsis_punctulata","Edhazardia_aedis","Choanephora_cucurbitarum"
"Mean",100,46.6770441469839,37.5010393451675,99.2813040250543,78.4098682093667,38.3994202316897,41.0610298126139,94.0188155168568,71.4501213908889,41.9897317488653,31.0295053184524,47.1553159314852,41.963415352529,49.0110361902637,17.0321385077721,27.3719345354842,5.2086236313141,19.9934416053707,17.5494377925291,21.8456105570639,57.7454003364041,29.3004743869564,36.4967104885159,0,51.7275870438992,24.0302515543901,55.103858954989,29.036780998757,22.5680557100386,27.9880525928764,17.4106186484671,22.9855652199197,4.62878059829604
"CRC.1",100,46.6770441469839,37.5010393451675,99.2813040250543,78.4098682093667,38.3994202316897,41.0610298126139,94.0188155168568,71.4501213908889,41.9897317488653,31.0295053184524,47.1553159314852,41.963415352529,49.0110361902637,17.0321385077721,27.3719345354842,5.2086236313141,19.9934416053707,17.5494377925291,21.8456105570639,57.7454003364041,29.3004743869564,36.4967104885159,0,51.7275870438992,24.0302515543901,55.103858954989,29.036780998757,22.5680557100386,27.9880525928764,17.4106186484671,22.9855652199197,4.62878059829604
"CRC.2",100,46.6770441469839,37.5010393451675,99.2813040250543,78.4098682093667,38.3994202316897,41.0610298126139,94.0188155168568,71.4501213908889,41.9897317488653,31.0295053184524,47.1553159314852,41.963415352529,49.0110361902637,17.0321385077721,27.3719345354842,5.2086236313141,19.9934416053707,17.5494377925291,21.8456105570639,57.7454003364041,29.3004743869564,36.4967104885159,0,51.7275870438992,24.0302515543901,55.103858954989,29.036780998757,22.5680557100386,27.9880525928764,17.4106186484671,22.9855652199197,4.62878059829604
"CRC.3",100,46.6770441469839,37.5010393451675,99.2813040250543,78.4098682093667,38.3994202316897,41.0610298126139,94.0188155168568,71.4501213908889,41.9897317488653,31.0295053184524,47.1553159314852,41.963415352529,49.0110361902637,17.0321385077721,27.3719345354842,5.2086236313141,19.9934416053707,17.5494377925291,21.8456105570639,57.7454003364041,29.3004743869564,36.4967104885159,0,51.7275870438992,24.0302515543901,55.103858954989,29.036780998757,22.5680557100386,27.9880525928764,17.4106186484671,22.9855652199197,4.62878059829604
"CRC.4",100,46.6770441469839,37.5010393451675,99.2813040250543,78.4098682093667,38.3994202316897,41.0610298126139,94.0188155168568,71.4501213908889,41.9897317488653,31.0295053184524,47.1553159314852,41.963415352529,49.0110361902637,17.0321385077721,27.3719345354842,5.2086236313141,19.9934416053707,17.5494377925291,21.8456105570639,57.7454003364041,29.3004743869564,36.4967104885159,0,51.7275870438992,24.0302515543901,55.103858954989,29.036780998757,22.5680557100386,27.9880525928764,17.4106186484671,22.9855652199197,4.62878059829604
"CRC.5",100,46.6770441469839,37.5010393451675,99.2813040250543,78.4098682093667,38.3994202316897,41.0610298126139,94.0188155168568,71.4501213908889,41.9897317488653,31.0295053184524,47.1553159314852,41.963415352529,49.0110361902637,17.0321385077721,27.3719345354842,5.2086236313141,19.9934416053707,17.5494377925291,21.8456105570639,57.7454003364041,29.3004743869564,36.4967104885159,0,51.7275870438992,24.0302515543901,55.103858954989,29.036780998757,22.5680557100386,27.9880525928764,17.4106186484671,22.9855652199197,4.62878059829604
"CRC.6",100,46.6770441469839,37.5010393451675,99.2813040250543,78.4098682093667,38.3994202316897,41.0610298126139,94.0188155168568,71.4501213908889,41.9897317488653,31.0295053184524,47.1553159314852,41.963415352529,49.0110361902637,17.0321385077721,27.3719345354842,5.2086236313141,19.9934416053707,17.5494377925291,21.8456105570639,57.7454003364041,29.3004743869564,36.4967104885159,0,51.7275870438992,24.0302515543901,55.103858954989,29.036780998757,22.5680557100386,27.9880525928764,17.4106186484671,22.9855652199197,4.62878059829604
"CRC.7",100,46.6770441469839,37.5010393451675,99.2813040250543,78.4098682093667,38.3994202316897,41.0610298126139,94.0188155168568,71.4501213908889,41.9897317488653,31.0295053184524,47.1553159314852,41.963415352529,49.0110361902637,17.0321385077721,27.3719345354842,5.2086236313141,19.9934416053707,17.5494377925291,21.8456105570639,57.7454003364041,29.3004743869564,36.4967104885159,0,51.7275870438992,24.0302515543901,55.103858954989,29.036780998757,22.5680557100386,27.9880525928764,17.4106186484671,22.9855652199197,4.62878059829604
"CRC.8",100,46.6770441469839,37.5010393451675,99.2813040250543,78.4098682093667,38.3994202316897,41.0610298126139,94.0188155168568,71.4501213908889,41.9897317488653,31.0295053184524,47.1553159314852,41.963415352529,49.0110361902637,17.0321385077721,27.3719345354842,5.2086236313141,19.9934416053707,17.5494377925291,21.8456105570639,57.7454003364041,29.3004743869564,36.4967104885159,0,51.7275870438992,24.0302515543901,55.103858954989,29.036780998757,22.5680557100386,27.9880525928764,17.4106186484671,22.9855652199197,4.62878059829604
"CRC.9",100,46.6770441469839,37.5010393451675,99.2813040250543,78.4098682093667,38.3994202316897,41.0610298126139,94.0188155168568,71.4501213908889,41.9897317488653,31.0295053184524,47.1553159314852,41.963415352529,49.0110361902637,17.0321385077721,27.3719345354842,5.2086236313141,19.9934416053707,17.5494377925291,21.8456105570639,57.7454003364041,29.3004743869564,36.4967104885159,0,51.7275870438992,24.0302515543901,55.103858954989,29.036780998757,22.5680557100386,27.9880525928764,17.4106186484671,22.9855652199197,4.62878059829604
