"","Aspergillus_rambellii","Rhizophagus_irregularis","Moniliophthora_perniciosa","Erysiphe_pulchra","Sphaerulina_musiva","Phytophthora_capsici","Trichophyton_mentagrophytes","Aspergillus_kawachii","Pneumocystis_murina","Debaryomyces_hansenii","Trichoderma_atroviride","Pseudocercospora_musae","Cordyceps_sp_RAO_2017","Rhizophagus_clarus","Pichia_kudriavzevii","Paracoccidioides_brasiliensis","Albugo_candida","Lipomyces_starkeyi","Naumovozyma_dairenensis","Phytopythium_vexans","Aspergillus_ochraceoroseus","Colletotrichum_fioriniae","Coniochaeta_ligniaria","Leucoagaricus_sp_SymC_cos","Colletotrichum_salicis","Candida_arabinofermentans","Baudoinia_panamericana","Hyaloscypha_variabilis","Schizosaccharomyces_pombe","Tuber_magnatum","Thielaviopsis_punctulata","Edhazardia_aedis","Choanephora_cucurbitarum"
"Mean",75.1216515540371,33.1689726650074,33.448498874158,33.5925397632839,19.4821061287897,22.151249386795,35.5426517992865,17.4295212084445,51.5881872362686,26.919476681439,71.2353518601868,25.8267565848703,27.7902300766407,41.268255516196,10.9158347110689,92.0390168832119,71.9602653265169,37.3577735198584,33.9637713618115,10.4703418793859,41.2203295713174,35.9630810091345,14.6503547082808,96.55958280001,13.1544882090493,13.7973982479132,1.70962139673376,40.3866623076618,43.0892049516168,96.8576445239668,18.3652803009081,17.1891401258146,35.508627687814
"CRC.1",73.8168066081871,46.442022148277,76.7307681875744,38.275003636425,32.6402740165717,44.308472133031,36.1076995424339,29.0586588560958,77.7461259795371,43.6815042268696,82.0907160257121,57.1419704840557,33.8816955550569,32.9064665465308,27.4988064515698,60.1162214849174,45.1617588502017,51.8890156632978,35.9256424791428,33.4390006032346,41.3298186855469,53.3445984501144,24.874204992646,93.8184036082561,51.0641024617949,43.9438041203473,0,49.9179208702648,33.6485046017931,100,41.7581509411772,30.4369570514287,24.2521277465846
"CRC.2",73.0655520699988,9.5403153888801,28.5721004480009,43.8843374651549,51.2221346930447,28.8273436126702,31.4359209524975,25.8368260089758,49.6913959843102,20.7172316292742,72.124565279209,20.4532378102254,25.4051526761713,59.0410378297681,0,100,58.571242586228,49.9765633030777,38.1370091436189,11.9147609644687,44.2060703455823,44.6084374398731,16.6389134674761,94.2525509021681,25.966888177669,10.7594034739513,16.7672138778546,25.8189927688499,46.3946776674674,89.367641117145,20.957975904306,38.9419390947695,24.3558750018693
"CRC.3",87.8430184139142,37.6313132178838,19.3845840232808,22.107133275081,22.1064974217347,15.7420431251365,30.1532332649583,12.76040521168,45.0705695199441,20.3544557219982,52.0343487967655,30.0247693897959,0,13.0823981227154,2.41333408834584,95.7515242470617,100,45.0619871119876,42.593654136504,26.0158877732238,42.9547937456013,18.267105083108,12.4637742372434,99.5380304124083,26.1638440313511,9.4967255369855,0.329000089482993,41.466120883052,24.1070547263225,79.208804122523,29.022204128433,25.8966627695423,25.3353270375358
"CRC.4",73.784448349753,34.0108679850048,29.9710765832463,33.0941318937397,12.6931650223637,18.9478049995874,36.8185234618536,15.2341888582419,49.0533972684135,26.3487964623212,72.3005555000259,21.5210840235179,31.230778933597,43.9503789518494,11.3208866529676,94.9317747285914,73.6956645469628,32.3785955886029,31.8544868369784,4.76196706470459,40.5303732766348,34.7729527311785,13.2180934836346,96.8552632967525,4.0500067742397,10.5391499068354,0,40.9519412220645,46.6774017886551,100,13.1306388621663,10.9451203346294,40.1632781560215
"CRC.5",73.784448349753,34.0108679850048,29.9710765832463,33.0941318937397,12.6931650223637,18.9478049995874,36.8185234618536,15.2341888582419,49.0533972684135,26.3487964623212,72.3005555000259,21.5210840235179,31.230778933597,43.9503789518494,11.3208866529676,94.9317747285914,73.6956645469628,32.3785955886029,31.8544868369784,4.76196706470459,40.5303732766348,34.7729527311785,13.2180934836346,96.8552632967525,4.0500067742397,10.5391499068354,0,40.9519412220645,46.6774017886551,100,13.1306388621663,10.9451203346294,40.1632781560215
"CRC.6",73.784448349753,34.0108679850048,29.9710765832463,33.0941318937397,12.6931650223637,18.9478049995874,36.8185234618536,15.2341888582419,49.0533972684135,26.3487964623212,72.3005555000259,21.5210840235179,31.230778933597,43.9503789518494,11.3208866529676,94.9317747285914,73.6956645469628,32.3785955886029,31.8544868369784,4.76196706470459,40.5303732766348,34.7729527311785,13.2180934836346,96.8552632967525,4.0500067742397,10.5391499068354,0,40.9519412220645,46.6774017886551,100,13.1306388621663,10.9451203346294,40.1632781560215
"CRC.7",73.784448349753,34.0108679850048,29.9710765832463,33.0941318937397,12.6931650223637,18.9478049995874,36.8185234618536,15.2341888582419,49.0533972684135,26.3487964623212,72.3005555000259,21.5210840235179,31.230778933597,43.9503789518494,11.3208866529676,94.9317747285914,73.6956645469628,32.3785955886029,31.8544868369784,4.76196706470459,40.5303732766348,34.7729527311785,13.2180934836346,96.8552632967525,4.0500067742397,10.5391499068354,0,40.9519412220645,46.6774017886551,100,13.1306388621663,10.9451203346294,40.1632781560215
"CRC.8",73.784448349753,34.0108679850048,29.9710765832463,33.0941318937397,12.6931650223637,18.9478049995874,36.8185234618536,15.2341888582419,49.0533972684135,26.3487964623212,72.3005555000259,21.5210840235179,31.230778933597,43.9503789518494,11.3208866529676,94.9317747285914,73.6956645469628,32.3785955886029,31.8544868369784,4.76196706470459,40.5303732766348,34.7729527311785,13.2180934836346,96.8552632967525,4.0500067742397,10.5391499068354,0,40.9519412220645,46.6774017886551,100,13.1306388621663,10.9451203346294,40.1632781560215
"CRC.9",73.784448349753,34.0108679850048,29.9710765832463,33.0941318937397,12.6931650223637,18.9478049995874,36.8185234618536,15.2341888582419,49.0533972684135,26.3487964623212,72.3005555000259,21.5210840235179,31.230778933597,43.9503789518494,11.3208866529676,94.9317747285914,73.6956645469628,32.3785955886029,31.8544868369784,4.76196706470459,40.5303732766348,34.7729527311785,13.2180934836346,96.8552632967525,4.0500067742397,10.5391499068354,0,40.9519412220645,46.6774017886551,100,13.1306388621663,10.9451203346294,40.1632781560215
