"","Aspergillus_rambellii","Rhizophagus_irregularis","Moniliophthora_perniciosa","Erysiphe_pulchra","Sphaerulina_musiva","Phytophthora_capsici","Trichophyton_mentagrophytes","Aspergillus_kawachii","Pneumocystis_murina","Debaryomyces_hansenii","Trichoderma_atroviride","Pseudocercospora_musae","Cordyceps_sp_RAO_2017","Rhizophagus_clarus","Pichia_kudriavzevii","Paracoccidioides_brasiliensis","Albugo_candida","Lipomyces_starkeyi","Naumovozyma_dairenensis","Phytopythium_vexans","Aspergillus_ochraceoroseus","Colletotrichum_fioriniae","Coniochaeta_ligniaria","Leucoagaricus_sp_SymC_cos","Colletotrichum_salicis","Candida_arabinofermentans","Baudoinia_panamericana","Hyaloscypha_variabilis","Schizosaccharomyces_pombe","Tuber_magnatum","Thielaviopsis_punctulata","Edhazardia_aedis","Choanephora_cucurbitarum"
"Mean",20.8627668918878,13.5550867157419,52.2138532610428,11.453073762654,29.9018765882771,28.1980923276584,15.4876602198021,25.2514789514745,34.2646113004065,49.6913678154815,16.4215039693547,19.8983551351702,25.5929157970753,44.6440180671504,41.8573917503944,52.4377182574177,24.1783353590783,26.7761673840247,30.4363446604572,33.4378226110647,25.5745615233792,16.6257210137581,15.7903886462974,41.2105155606021,43.6487359776293,30.3106773974248,64.1527185237372,14.2745197812368,1.85428756942548,18.152790165314,100,40.9171635293444,22.1491379978261
"CRC.1",27.9005743813712,19.9060522310444,59.5419986509407,35.5063951076172,35.9702559470112,32.0690889788252,21.2530366001801,26.643896686311,36.2414542882344,80.4305417524822,25.6938501085888,28.0723794385394,36.7654322571201,57.9277597430465,54.5657358005753,52.6966674239445,32.2605728226697,45.1527803999101,13.3403144100769,35.4378533911023,36.7007218378546,21.7871676030967,22.5712411261315,60.1511639199931,48.2601507933702,24.4791800103474,88.9206813139561,34.8663814707976,0,19.3258375680773,100,53.5748474282211,30.1640999817778
"CRC.2",24.1920858363581,4.6297876987379,51.8606698971463,15.1124716506859,27.4529431316993,16.4619309162095,19.7821715302194,24.5923064888063,42.4527728132469,40.6546689851087,1.64832544358447,14.0570899092285,9.66461072857463,34.2981386877076,26.4467202857637,51.7102456661272,23.4630376963195,10.095151690038,31.7860764345278,38.0342176603479,9.64633763339677,21.1626187466935,0,29.1089267942994,42.9345729852395,33.5176333175038,60.8214863125741,6.81658918156966,1.57944275867944,9.37271304709921,100,30.2242208732393,22.1163178828891
"CRC.3",42.9266891400025,0.161692650785141,55.1118254145822,24.3320512416055,40.9953656172855,48.2851288082308,0,37.1778581677286,30.6798872311252,58.677456710946,34.9269903263979,30.2401029030083,23.8351113453124,56.6285032104589,44.4209419967074,52.4943475943581,25.6596835201026,19.8827900948977,33.7492889502316,24.3317765492261,32.6367553450057,25.756318707079,27.177005688904,52.6651557523795,31.4250540908662,36.9208888034992,66.6631204191188,16.0406056092352,14.2986112140428,4.87672063245432,100,48.9117567713486,22.7050905026795
"CRC.4",5.34936466134401,17.8763865196521,44.749802649631,8.71177321875606,36.8701799589082,37.9464057822842,19.0401138533984,27.5265840247067,46.2835124006751,49.5693890153633,23.0114196198389,17.9360585132243,58.2669340914777,31.4338393230383,44.3337067651065,61.4742478543368,14.2456648124835,57.2615202664209,39.343882761208,23.0857712858671,18.7439727569093,30.6562977949692,34.060420848878,29.5933008290658,45.5055475078062,30.1455892214099,62.7134093973267,14.423802972334,0,29.1862998655332,100,45.4881970024105,30.4043359225706
"CRC.5",11.9215857078959,10.5592858398083,45.0125713621934,0,19.2875621656538,18.5168811400226,13.3957772637309,13.6031838267623,27.6849745460827,32.8835590425721,11.0495424033984,13.9405035261154,18.4806683900465,37.1682612558993,37.7773621790785,46.2502873309001,18.2416428531107,13.2546139106288,27.4646322988852,28.9166525433011,13.9999151067898,12.4857482381449,7.212001189681,38.2521776325158,39.3807874812222,22.7596960316336,52.0843516484372,9.2300072389136,0.888273907177518,21.5046309091485,100,26.9050634958803,10.1758904411759
"CRC.6",24.1647325920382,20.4330301792581,58.6121739705157,10.2893488026251,33.2891115769685,30.5559084569889,18.2046494743434,31.9215308889685,34.6445208775117,56.3103148543995,15.2619423283139,22.2854700031184,23.985021459376,51.5490519798516,45.1582420395186,55.7502706809034,30.4764887266251,31.8685298856981,34.5833290506241,42.2462165314002,38.6726941134188,9.81252085710268,17.4864050766724,41.9433584709119,50.0732239851148,36.5881315088622,68.7184776163616,14.302598953897,0,18.08414593751,100,50.0858075768613,28.5246214549389
"CRC.7",11.9215857078959,10.5592858398083,45.0125713621934,0,19.2875621656538,18.5168811400226,13.3957772637309,13.6031838267623,27.6849745460827,32.8835590425721,11.0495424033984,13.9405035261154,18.4806683900465,37.1682612558993,37.7773621790785,46.2502873309001,18.2416428531107,13.2546139106288,27.4646322988852,28.9166525433011,13.9999151067898,12.4857482381449,7.212001189681,38.2521776325158,39.3807874812222,22.7596960316336,52.0843516484372,9.2300072389136,0.888273907177518,21.5046309091485,100,26.9050634958803,10.1758904411759
"CRC.8",24.1647325920382,20.4330301792581,58.6121739705157,10.2893488026251,33.2891115769685,30.5559084569889,18.2046494743434,31.9215308889685,34.6445208775117,56.3103148543995,15.2619423283139,22.2854700031184,23.985021459376,51.5490519798516,45.1582420395186,55.7502706809034,30.4764887266251,31.8685298856981,34.5833290506241,42.2462165314002,38.6726941134188,9.81252085710268,17.4864050766724,41.9433584709119,50.0732239851148,36.5881315088622,68.7184776163616,14.302598953897,0,18.08414593751,100,50.0858075768613,28.5246214549389
"CRC.9",11.9215857078959,10.5592858398083,45.0125713621934,0,19.2875621656538,18.5168811400226,13.3957772637309,13.6031838267623,27.6849745460827,32.8835590425721,11.0495424033984,13.9405035261154,18.4806683900465,37.1682612558993,37.7773621790785,46.2502873309001,18.2416428531107,13.2546139106288,27.4646322988852,28.9166525433011,13.9999151067898,12.4857482381449,7.212001189681,38.2521776325158,39.3807874812222,22.7596960316336,52.0843516484372,9.2300072389136,0.888273907177518,21.5046309091485,100,26.9050634958803,10.1758904411759
"CRC.10",24.1647325920382,20.4330301792581,58.6121739705157,10.2893488026251,33.2891115769685,30.5559084569889,18.2046494743434,31.9215308889685,34.6445208775117,56.3103148543995,15.2619423283139,22.2854700031184,23.985021459376,51.5490519798516,45.1582420395186,55.7502706809034,30.4764887266251,31.8685298856981,34.5833290506241,42.2462165314002,38.6726941134188,9.81252085710268,17.4864050766724,41.9433584709119,50.0732239851148,36.5881315088622,68.7184776163616,14.302598953897,0,18.08414593751,100,50.0858075768613,28.5246214549389
