"","2014_ZellerG_Mean","2015_FengQ_Mean","2016_VogtmannE_Mean","2019_Thom_Mean","2019_WirbelJ_Mean","2019_Yachida_Mean","2021_JunY_1_Mean","2021_JunY_2_Mean","2014_ZellerG_Rank","2015_FengQ_Rank","2016_VogtmannE_Rank","2019_Thom_Rank","2019_WirbelJ_Rank","2019_Yachida_Rank","2021_JunY_1_Rank","2021_JunY_2_Rank","Rank3","Rank5","Rank10"
"Albugo_candida",26.7885144483579,27.5489836486232,20.6069706878326,22.7258872294513,38.6001514784584,22.7750891909929,12.6833848797723,48.2995425188371,48,189,188,41,65,49,174,23,"Ign","Ign","Ign"
"Aphanomyces_astaci",22.0948698047892,30.4693250151968,33.4298002036282,18.0991981002828,35.012268230698,19.0492623429533,12.0541121763766,35.6037666144361,109,145,36,123,107,122,200,100,"Ign","Ign","Ign"
"Saprolegnia_diclina",15.6631071690276,18.2550665156061,15.3473703114994,51.3024036091987,24.467092559192,17.727980919539,21.0224231821339,40.6301645141795,256,290,265,4,278,160,35,53,"Ign","Sel","Sel"
"Saprolegnia_parasitica",18.864864469876,32.3530983067162,27.3004803187984,20.1372613350141,32.1167775662362,29.8152467417634,12.4920594061673,32.3936956938065,184,119,83,77,155,14,182,147,"Ign","Ign","Ign"
"Phytopythium_vexans",23.9599410095063,32.7941974396745,21.9943786637918,13.1739694103572,33.6158337639998,34.5633232827891,14.68541812675,27.673567495616,84,112,162,245,131,8,122,214,"Ign","Ign","Sel"
"Globisporangium_ultimum",21.3653204731446,21.6602268000054,43.7444328528087,23.9367642837024,29.7628123098969,23.0984447726349,12.0915154665911,31.5798152592269,130,268,11,33,199,43,199,160,"Ign","Ign","Ign"
"Pythium_irregulare",18.6006468170935,25.8320233526208,20.0628263739595,16.5025533512212,29.2808771233086,14.1189520591836,14.6951346249464,17.5020618004379,196,215,197,164,212,263,121,291,"Ign","Ign","Ign"
"Pythium_arrhenomanes",18.4324110696649,40.7816149507798,19.4119991119796,19.3779171954815,32.6599785839612,15.8405917548609,12.7582126610817,33.9010125639349,205,33,207,85,148,217,170,129,"Ign","Ign","Ign"
"Pythium_iwayamai",23.0773930310481,38.237992998894,12.7368130077826,26.3422566396907,33.1866272802246,13.7501168695342,15.855021843376,39.9760566625032,93,53,283,25,143,270,93,56,"Ign","Ign","Ign"
"Pythium_aphanidermatum",33.6273194716507,38.2946867036092,21.9436913360509,15.1936685767714,28.7473963329666,20.9339096550339,13.2238714380622,46.9963273936759,14,52,165,202,227,83,152,24,"Ign","Ign","Ign"
"Hyaloperonospora_arabidopsidis",28.9583616676034,28.1035056851275,28.1611399035383,14.221200202329,42.1785657603148,19.8113944198923,14.615726866429,29.4299738203856,24,183,72,221,40,101,125,187,"Ign","Ign","Ign"
"Phytophthora_parasitica",24.149701650812,30.5020628091636,26.0820468990418,16.6633648392777,39.2384242374841,21.5768750415733,12.7222769252934,28.3196850786119,82,144,96,158,59,72,172,204,"Ign","Ign","Ign"
"Phytophthora_palmivora",11.2431529706378,24.322759672199,19.254985079884,15.8042365135463,29.0226046327079,19.4312176289068,12.4076241871049,43.1277403351358,292,239,212,180,216,114,186,33,"Ign","Ign","Ign"
"Phytophthora_capsici",28.7052148712316,21.5697833444956,26.5424682643581,18.648065368428,28.847678501697,21.5831141289514,14.0549829580103,24.617184383639,26,270,90,103,223,71,134,249,"Ign","Ign","Ign"
"Phytophthora_ramorum",23.4496545280076,20.2493334020365,15.181408978335,20.4695187920513,32.8649472252228,19.4246941387417,13.2211796862154,43.0937673657795,89,282,269,71,145,115,153,34,"Ign","Ign","Ign"
"Phytophthora_cinnamomi",25.3524145511178,24.0493064066881,36.296339857595,17.2523736669014,37.8884768377597,13.5101510968462,11.9582562064217,32.3751856317549,66,244,25,145,70,275,202,148,"Ign","Ign","Ign"
"Phytophthora_infestans",20.3534849858987,29.2170265872465,18.2673269082115,16.7043426258896,31.0413331283711,20.5824722666645,24.609866886533,38.5318077478024,151,171,221,157,172,90,17,66,"Ign","Ign","Ign"
"Phytophthora_sojae",25.9350035516102,33.3208088850685,20.4290436436279,16.5104827493296,30.3684505371314,36.2247870668285,12.1836954984954,30.5540907307795,59,101,192,163,184,7,197,173,"Ign","Ign","Sel"
"Allomyces_macrogynus",14.6750355910718,25.8343655142243,34.5534406200101,12.9792942164093,28.5347397623964,50.5430181119298,13.2692177205282,32.0023042129694,267,214,31,248,233,4,149,153,"Ign","Sel","Sel"
"Rozella_allomycis",19.9665931955005,23.6624519794403,20.9495058684685,16.6110045817866,32.4267664317089,13.9685672614841,17.4879268835564,33.3721639104528,156,251,181,159,153,267,65,136,"Ign","Ign","Ign"
"Basidiobolus_meristosporus",22.9507757269725,29.6669399953003,29.0996937494992,15.4127515150218,35.1039206122595,18.4234723805639,8.72789366104143,41.6333805475877,94,162,56,193,105,141,289,42,"Ign","Ign","Ign"
"Conidiobolus_coronatus",20.7429224941619,27.1612827570513,21.9546591845495,25.3779288725242,49.4491141084498,28.6333956800095,17.1898621640043,36.4388526558928,140,194,164,27,16,15,73,84,"Ign","Ign","Ign"
"Gonapodya_prolifera",16.653617095974,24.0308763314804,25.9124925259139,18.5956299105799,28.8051730144812,16.977641404082,11.1036574810936,32.4514409718489,244,246,100,104,224,185,239,146,"Ign","Ign","Ign"
"Spizellomyces_punctatus",14.2139504008591,38.1761183260731,18.324283684333,13.9521737570547,26.0375854330857,14.3213738876398,12.5002631989272,48.7448059230695,273,54,218,230,259,261,181,22,"Ign","Ign","Ign"
"Batrachochytrium_salamandrivorans",22.439364263961,30.2890685080821,24.1032103610689,11.8626201421931,24.5666457462213,15.6542400381047,11.8899836125886,36.613433740093,105,149,127,268,277,226,207,81,"Ign","Ign","Ign"
"Batrachochytrium_dendrobatidis",18.7238710817288,28.1070827148246,28.337820914027,21.4852405783312,31.5893908413089,21.9062776355343,10.288883106123,21.0573810655272,192,181,67,57,165,65,259,281,"Ign","Ign","Ign"
"Rhizoclosmatium_globosum",20.7140718140404,20.5014098387503,26.7035877646948,19.1686602066111,23.5771040824147,19.7854891131803,15.304379139219,38.0300932923314,141,278,88,87,283,102,106,70,"Ign","Ign","Ign"
"Anaeromyces_robustus",26.506781638541,20.2546792379033,23.398891919174,26.3609365644898,25.6634231224321,15.1133850672654,14.9746074522303,34.9830848576193,53,281,140,24,264,246,112,107,"Ign","Ign","Ign"
"Piromyces_sp_E2",27.044658057869,22.2085225933145,25.5273477440496,20.0767070034202,26.9105632039745,19.0220870775103,19.9608576469144,29.0065237885536,41,261,106,79,248,124,39,197,"Ign","Ign","Ign"
"Piromyces_finnis",25.9858954024794,32.627956862209,21.1704296188542,16.9511486474575,36.4262347117804,21.3860911931487,15.6554304887188,30.5793691226202,58,115,176,152,87,75,99,172,"Ign","Ign","Ign"
"Neocallimastix_californiae",41.1798038095995,29.1721849722037,43.0260030838672,18.2625737395831,24.4376894310335,15.6341312193171,12.7909081923741,29.361143857297,7,174,14,118,279,227,168,189,"Ign","Ign","Sel"
"Mortierella_elongata",19.2355221214979,33.6025045549191,24.6808368146518,7.05921082409955,42.2195943487937,16.1827069506111,11.7236544695375,38.0211658855661,171,99,117,296,39,207,214,71,"Ign","Ign","Ign"
"Mortierella_verticillata",17.5414444323807,30.582669720504,33.6680351533863,18.0286771263704,34.0217662746365,17.7449854282639,12.3024021973518,31.2631765837983,226,143,35,128,123,158,192,162,"Ign","Ign","Ign"
"Rhizophagus_irregularis",33.6460071036903,40.795143287842,38.5955120980167,17.4737997189777,33.5844122504255,28.2984906070065,16.0483018826109,50.5504369242982,13,32,18,140,133,16,90,15,"Ign","Ign","Ign"
"Rhizophagus_clarus",30.8740513045578,34.5071694200497,22.8729453416427,40.2550302564632,27.6721426900229,22.7743470864928,24.5992465100589,34.205290212501,21,83,146,8,237,50,18,119,"Ign","Ign","Sel"
