"","Aspergillus_rambellii","Rhizophagus_irregularis","Moniliophthora_perniciosa","Erysiphe_pulchra","Sphaerulina_musiva","Phytophthora_capsici","Trichophyton_mentagrophytes","Aspergillus_kawachii","Pneumocystis_murina","Debaryomyces_hansenii","Trichoderma_atroviride","Pseudocercospora_musae","Cordyceps_sp_RAO_2017","Rhizophagus_clarus","Pichia_kudriavzevii","Paracoccidioides_brasiliensis","Albugo_candida","Lipomyces_starkeyi","Naumovozyma_dairenensis","Phytopythium_vexans","Aspergillus_ochraceoroseus","Colletotrichum_fioriniae","Coniochaeta_ligniaria","Leucoagaricus_sp_SymC_cos","Colletotrichum_salicis","Candida_arabinofermentans","Baudoinia_panamericana","Hyaloscypha_variabilis","Schizosaccharomyces_pombe","Tuber_magnatum","Thielaviopsis_punctulata","Edhazardia_aedis","Choanephora_cucurbitarum","Fusobacterium_nucleatum","Parvimonas_micra","Gemella_morbillorum","Anaerostipes_hadrus","Pseudobutyrivibrio_xylanivorans","Butyrivibrio_proteoclasticus","Roseburia_intestinalis","Dialister_pneumosintes","Lactococcus_garvieae","Brachyspira_pilosicoli","Romboutsia_ilealis","Porphyromonas_asaccharolytica","Eubacterium_eligens","Clostridium_beijerinckii","Fusobacterium_periodonticum","Streptococcus_anginosus","Bifidobacterium_catenulatum","Lactobacillus_ruminis","Bifidobacterium_angulatum","Streptococcus_salivarius","Bifidobacterium_pseudocatenulatum","Streptococcus_equinus","Streptococcus_milleri","Bifidobacterium_bifidum","Prevotella_intermedia","Streptococcus_thermophilus","Bifidobacterium_adolescentis","Adlercreutzia_equolifaciens","Ruminococcus_bicirculans","Bifidobacterium_longum","Escherichia_coli"
"Seed_1",62.74,55.45,57.97,43.41,55.43,54.46,52.91,67.98,55.55,51.76,53.66,53.5,60.94,60.13,55.03,44.33,61.31,56.14,46.62,47.33,53.29,55.1,57.89,54.08,56.69,56.5,55.28,49.38,51.37,55.79,51.65,48.78,62.83,70.09,63.91,62.06,60.71,64.27,61.76,51.8,54.38,49.38,63.72,61.49,64.45,53.93,53.44,52.99,49.85,48.36,59.57,51.77,55.79,47.6,53.63,51.88,55.49,58.09,52.19,48.56,51.41,56.12,54.64,56.98
"Seed_2",63.57,55.37,57.7,43.67,56.96,53.57,52.88,68.77,57.07,51.91,53.83,52.51,60.34,60.5,54.8,45,61.42,54.23,46.88,46.88,54.1,55.18,58.73,53.53,56.44,56.54,55.37,49.85,51.53,56.35,51.01,48.18,63.13,70.96,63.78,61.07,61.03,63.63,60.02,51.67,55.01,48.95,63.63,62.29,63.66,54.17,52.99,52.63,49.88,48.05,59.14,52.45,57.28,47.94,53.56,50.59,55.33,58.4,52.3,49.31,51.14,56.95,55.27,58.15
"Seed_3",62.08,55.45,57.88,43.32,55.27,54.05,53.32,68.98,56.23,52.04,53.8,51.94,59.86,60.11,54.41,44.73,60.55,55,46.86,46.34,54.2,55.4,58.27,53.71,56.66,56.2,55.42,49.11,51.4,55.84,51.77,48.66,62.8,70.89,64.17,61.3,61.22,63.7,60.65,51.47,55.24,49.64,63.93,62.02,64.66,54.17,52.87,52.94,51.46,48.03,58.72,52.55,57.19,47.34,53.03,52.03,56.95,58.79,53.06,49.53,51.49,55.76,55.19,57.46
"Seed_4",62.83,54.88,58.4,41.58,56.48,53.57,52.72,67.3,56.29,51.94,53.14,52.36,60.62,60.2,54.97,44.39,61.33,55.36,45.59,47.07,53.6,56.39,57.49,54.67,56.32,55.3,55.64,49.64,51.22,56.68,50.9,48.14,63.13,70.29,63.67,61.15,62.12,63.82,60.32,52.66,53.78,49.19,63.28,62.18,63.97,53.75,53.02,52.51,50.38,47.42,58.61,52.55,55.9,47.34,53.51,50.87,54.61,58.27,53.66,49.19,51.61,55.93,54.86,57.58
"Seed_5",63.78,55.67,58.06,42.26,55.75,53.92,53.02,68.17,57.19,51.29,53.89,51.56,60.97,59.72,54.89,44.21,61.43,54.79,47.13,46.88,53.8,54.8,58.78,54.38,56.56,56.39,54.47,49.71,50.59,56.09,51.71,47.82,62.92,69.79,64.53,61.1,61.06,63.27,60.97,51.67,54.41,49.1,63.81,61.93,64.44,53.87,53.17,52.96,50.86,47.3,58.9,52,55.42,46.68,53.57,52.85,56.05,57.91,51.88,49.23,51.29,55.1,54.68,57.62
"Seed_6",63.93,55.48,58.49,43.05,56.9,54.41,52.31,69.04,56.35,52.09,53.65,52.9,60.58,60.91,54.64,45.62,61.61,55.6,46.62,46.38,53.63,55.36,59.11,53.87,56.26,56.54,54.58,50.74,51.08,57.11,52.42,48.42,63.03,69.99,63.13,61.73,61.36,63.28,61.16,52.16,54.55,48.6,64.54,62.09,64,53.89,52.94,52.64,50.41,47.75,59.09,52.13,56.51,47.73,52.87,51.98,55.37,58.78,52.85,49.85,50.59,55.66,55.04,57.67
"Seed_7",63.63,54.85,58.09,43.46,56.09,53.42,52.4,68.26,55.46,51.92,53.59,53.14,60.85,61.03,54.92,44.6,61.55,54.73,46.43,48.14,53.59,55.76,57.86,54.11,56.74,55.97,56.6,48.87,52.18,56.42,50.9,49.29,62.33,71.46,64.05,61.66,61.55,64.11,60.95,51.68,54.01,50.06,64.03,62.05,63.78,54.01,53.48,51.59,50.26,47.43,59.38,52.94,56.35,47.63,54.01,50.41,54.8,58.75,52.43,48.72,52.3,55.9,54.59,56.86
"Seed_8",62.97,54.77,58.33,42.3,55.34,53.41,52.88,68.47,56.63,52.19,53.6,53.26,61.07,59.56,54.92,44.84,61.45,55.46,46.49,47.31,53.54,56.12,58.61,54.46,57.43,56.03,55.46,48.65,52.37,56.44,51.37,48.15,63.04,70.86,63.55,61.54,60.25,63.81,60.65,52.27,54.29,48.84,64.24,61.51,64.24,53.68,52.45,53.32,49.74,47.6,59.56,51.55,56.86,48.38,53.87,51.44,56.53,58.52,52.66,48.74,51.56,56.35,54.85,57.31
"Seed_9",62.76,54.14,58.58,43.83,55.69,52.99,51.76,67.87,57.43,51.59,53.65,53.06,60.68,60.68,55.39,43.61,61.27,55.43,46.46,46.28,53.5,55.25,58.25,53.26,56.38,56.35,54.86,50.12,51.23,56.11,51.52,47.33,63.49,70.89,63.9,61.22,61.25,64.09,61.06,51.35,54.16,49.55,63.15,61.79,63.99,54.22,52.94,53.09,50.29,47.3,59.24,53.35,55.46,47.03,54.43,51.25,56.09,58.97,51.44,49.08,51.28,55.49,55.76,57.4
"Seed_10",62.47,55.18,57.76,42.84,55.6,54.16,52.66,66.81,57.28,52.85,54.17,52.3,61.18,60.44,54.68,45.78,61.18,54.8,46.22,47.24,52.76,55.85,58.63,54.31,56.57,56.54,54.98,49.11,51.7,55.73,51.52,48.92,63.48,71.89,64.39,60.38,61.16,63.9,60.07,51.61,53.83,50.09,62.97,63.07,64.32,54.07,52.84,53.39,51.14,47.45,59.56,52.18,56.53,47.4,54.01,51.65,55.34,57.56,52.64,49.44,51.04,56.14,54.04,57.1
"Seed_11",63.73,55.27,57.67,42.56,55.58,53.62,52.97,68.04,56.62,51.94,53.95,52.31,60.74,60.25,55.21,45.56,61.82,55.27,46.89,46.19,52.36,55.37,58.07,54.25,56.38,56.5,55.78,49.2,51.25,56.35,52.39,48.71,63.21,71.29,63.9,61.75,61.96,62.94,60.31,51.53,55.04,49.58,64.2,61.72,64.41,54.05,53.3,52.31,50.62,47.87,59.3,52.15,56.6,48.05,53.66,51.74,55.19,57.71,52.28,48.78,51.13,56.23,54.88,57.02
"Seed_12",62.52,55.93,58.55,42.39,56.45,54.44,52.15,68.22,55.12,52.13,53.51,53.11,60.88,60.25,55.1,44.34,61.22,54.83,47.13,46.68,54.1,56.02,58.72,54.28,56.36,56.12,55.66,49.37,51.35,56.32,51.49,47.99,63.57,69.97,65.08,61.34,61.04,64.33,60.71,51.2,55.01,48.78,63.72,61.57,64.15,54.7,53.57,52.93,50.63,47.76,60.05,52.43,55.87,47.1,53.86,51.47,54.56,58.4,52.49,49.08,51.53,55.64,53.99,58.34
"Seed_13",64.11,55.94,57.86,43.08,56.09,54.16,52.19,69.07,56.54,52.57,53.86,52.22,60.98,60.85,55.07,44.81,60.4,55.15,47.16,47.31,54.26,55.49,58.55,53.81,55.37,55.07,56.69,49.83,52.21,56.11,53.2,48.92,63.07,69.64,64.83,61.48,61.22,63.78,61.52,52.66,54.56,49.04,62.64,62.06,64.24,53.45,51.89,53.24,50.93,48.3,58.7,52.37,58.18,46.64,53.39,52.34,55.25,57.85,52.24,49.49,51.5,55.58,56.05,56.89
"Seed_14",63.19,54.86,58.15,42.68,55.45,53.98,53.3,68.01,56.33,52.25,53.83,53.71,60.58,59.47,55.42,45.15,61.36,55.93,46.68,46.26,54.61,55.31,56.98,54.02,56.65,56.33,55.34,49.56,52.91,56.84,51.82,47.6,62.64,70.78,63.58,61.94,61.21,64.69,60.89,52.07,54.5,49.5,64.24,61.99,63.3,53.83,52.9,53.5,50.3,47.1,58.82,52.81,57.19,47.39,53.15,52.03,54.7,59.05,52.16,50.05,50.9,55.42,54.46,56.65
"Seed_15",62.95,54.68,58.81,42.72,55.81,53.2,52.57,67.33,56.38,52.06,53.62,52.48,61.37,59.96,55.15,45.09,62.05,54.44,46.08,46.07,52.76,55.22,58.73,53.18,56.5,56.59,55.7,50.11,52.07,55.64,52.6,48.27,63.58,70.87,64.53,61.36,61.94,64.36,60.47,51.53,54.4,48.08,64.42,62.8,63.78,54.43,52.75,52.7,50.72,47.97,59.23,52.27,56.65,46.85,53.8,51.8,56.41,58.3,53.36,48.89,52.25,54.8,54.47,56.93
