"","Aspergillus_rambellii","Rhizophagus_irregularis","Moniliophthora_perniciosa","Erysiphe_pulchra","Sphaerulina_musiva","Phytophthora_capsici","Trichophyton_mentagrophytes","Aspergillus_kawachii","Pneumocystis_murina","Debaryomyces_hansenii","Trichoderma_atroviride","Pseudocercospora_musae","Cordyceps_sp_RAO_2017","Rhizophagus_clarus","Pichia_kudriavzevii","Paracoccidioides_brasiliensis","Albugo_candida","Lipomyces_starkeyi","Naumovozyma_dairenensis","Phytopythium_vexans","Aspergillus_ochraceoroseus","Colletotrichum_fioriniae","Coniochaeta_ligniaria","Leucoagaricus_sp_SymC_cos","Colletotrichum_salicis","Candida_arabinofermentans","Baudoinia_panamericana","Hyaloscypha_variabilis","Schizosaccharomyces_pombe","Tuber_magnatum","Thielaviopsis_punctulata","Edhazardia_aedis","Choanephora_cucurbitarum","Fusobacterium_nucleatum","Parvimonas_micra","Gemella_morbillorum","Anaerostipes_hadrus","Pseudobutyrivibrio_xylanivorans","Butyrivibrio_proteoclasticus","Roseburia_intestinalis","Dialister_pneumosintes","Lactococcus_garvieae","Brachyspira_pilosicoli","Romboutsia_ilealis","Porphyromonas_asaccharolytica","Eubacterium_eligens","Clostridium_beijerinckii","Fusobacterium_periodonticum","Streptococcus_anginosus","Bifidobacterium_catenulatum","Lactobacillus_ruminis","Bifidobacterium_angulatum","Streptococcus_salivarius","Bifidobacterium_pseudocatenulatum","Streptococcus_equinus","Streptococcus_milleri","Bifidobacterium_bifidum","Prevotella_intermedia","Streptococcus_thermophilus","Bifidobacterium_adolescentis","Adlercreutzia_equolifaciens","Ruminococcus_bicirculans","Bifidobacterium_longum","Escherichia_coli"
"Seed_1",62.35,51.14,55.13,57.71,50.16,50.52,63.59,58.79,54.31,42.06,55.78,52.22,46.86,49.8,48.69,39.64,42.58,48.66,58.37,41.96,58.46,54.48,52.35,55.16,49.15,47.58,55.46,60.07,40.75,51.11,43.33,53.33,53.66,64.84,73.73,63.69,56.41,51.8,45.82,60.07,59.22,58.66,56.05,47.42,60.92,50.62,60.78,62.09,50.72,54.25,50.29,56.21,58.37,60.2,48.79,55.75,49.28,51.44,46.86,53.92,41.73,55.62,54.31,56.24
"Seed_2",62.68,50.85,55.23,57.19,50.2,49.22,63.14,59.64,53.14,42.61,56.18,52.84,47.22,48.66,48.1,39.74,40.69,48.46,58.2,41.83,59.08,52.16,51.67,54.97,49.87,47.42,55.23,59.58,42.06,51.18,43.73,52.84,52.22,66.37,72.81,62.81,56.76,51.96,47.19,59.58,60.13,58.82,57.09,49.18,60.26,51.93,61.24,62.58,51.31,54.38,49.48,57.29,58.76,61.21,48.46,53.33,48.73,50.39,46.18,53.56,41.11,54.97,55.52,56.44
"Seed_3",61.83,51.47,54.58,56.11,50.13,49.87,64.41,59.18,54.67,43.14,56.63,51.21,46.31,49.41,49.18,40.03,40.42,48.92,58.86,40.46,57.88,53.01,51.93,53.76,50.03,48.37,54.28,59.67,40.03,50.92,44.48,52.71,52.68,65.39,73.2,62.55,56.11,53.17,47.55,59.02,60.26,59.02,56.76,48.66,61.24,51.76,62.03,62.88,50.42,53.95,51.41,57.09,58.92,61.01,48.59,55.65,47.71,51.37,44.93,53.89,41.37,55.2,55.16,56.37
"Seed_4",62.19,50.69,54.25,57.32,50.56,49.9,64.25,58.73,54.28,42.06,55.33,53.17,46.67,49.12,49.61,40.33,40.13,48.53,60.33,43.07,58.92,52.52,51.47,53.76,50.1,48.5,53.63,60.23,40.65,49.84,43.92,53.07,53.33,65.62,73.53,63.3,55.85,52.84,46.5,57.88,61.21,58.56,55.95,47.81,59.31,52.48,61.8,63.5,50.29,54.8,49.84,56.96,58.04,60.92,47.61,54.22,48.63,51.05,45.85,53.53,42.03,55.33,56.54,57.32
"Seed_5",62.97,51.18,54.61,56.93,49.58,50.52,64.02,59.71,53.92,41.73,55.95,51.54,45.49,49.18,48.4,40.49,40.2,48.37,59.08,41.18,58.59,53.14,51.96,54.22,48.76,48.14,55.33,59.93,41.93,51.21,44.48,52.97,51.76,66.34,73.89,62.91,55.78,49.58,47.35,58.73,59.41,58.5,55.1,48.14,61.14,52.48,61.18,63.37,50.78,54.48,49.54,58.4,56.99,59.58,49.08,55.36,49.22,51.73,46.24,53.99,41.83,55.39,56.14,55.52
"Seed_6",62.32,52.39,52.48,56.9,50.69,50.62,64.22,59.74,53.82,42.65,55.82,52.55,46.24,49.77,48.46,39.67,39.54,47.25,58.53,42.71,57.32,53.24,51.63,54.31,50.23,47.81,55.62,61.34,40.39,50.95,43.56,52.42,53.24,65.16,73.17,62.42,56.6,51.47,46.01,58.37,60.03,58.82,57.84,47.61,60.33,51.73,61.01,61.86,51.05,53.53,49.97,57.32,57.97,60.82,49.18,54.54,49.28,52.42,47.19,51.7,42.16,55.13,56.14,56.08
"Seed_7",62.19,50.46,52.68,56.67,50.1,49.41,64.41,58.73,52.42,42.25,56.9,50.75,46.6,48.24,49.48,40.82,40.95,47.65,59.8,41.86,59.22,53.63,51.41,53.59,49.93,47.39,55.23,59.87,40.78,50.92,43.76,54.31,52.88,65.39,73.37,63.04,56.31,53.07,47.68,58.73,59.35,58.95,56.6,47.97,60.69,52.84,60.88,63.01,51.14,53.07,51.7,57.06,58.89,61.73,48.76,54.84,49.48,51.99,46.6,52.39,42.71,55.1,55.29,57.03
"Seed_8",62.09,50.82,55.33,57.09,50.75,49.58,64.54,58.63,53.99,41.73,55.72,52.42,47.09,48.95,48.73,41.08,41.08,48.2,59.74,41.14,57.45,52.32,51.67,55.13,49.44,47.84,54.64,60.26,40.52,50.16,44.54,54.08,52.97,64.54,72.68,62.61,56.21,53.2,46.96,59.48,60.65,58.24,57.84,47.32,60.92,50.88,61.14,62.25,51.47,54.9,51.08,57.52,58.01,59.48,50.23,55.2,48.4,51.27,46.8,53.04,40.92,55.29,56.34,56.8
"Seed_9",62.22,51.9,54.35,57.03,49.25,50.59,63.17,58.89,53.5,41.76,55.95,52.06,46.18,48.66,49.74,40.78,40.52,47.81,59.64,42.25,59.38,52.61,52.09,53.86,50.59,47.16,54.87,59.25,40.1,50.26,44.15,54.28,52.61,65.56,73.43,63.2,56.5,51.8,48.01,59.25,60.29,58.14,57.78,47.45,60.2,51.44,60.26,62.48,50.46,53.95,50.29,57.06,58.07,59.97,49.51,55,48.27,51.6,46.67,51.99,42.16,55.52,56.31,56.05
"Seed_10",62.71,51.08,54.61,57.25,50.72,49.64,62.91,60.03,54.02,41.7,56.63,51.63,45.49,48.69,48.56,39.97,40.65,48.5,58.89,42.12,58.86,52.03,51.27,53.07,49.61,48.2,55.33,59.84,40.59,51.57,43.99,52.61,52.91,65.23,74.02,63.14,56.31,51.73,46.44,59.31,59.15,58.2,56.99,47.97,60.59,51.18,61.63,61.5,50.29,53.82,51.63,56.67,57.52,60.07,49.02,54.71,48.53,52.06,47.19,53.3,41.8,55.98,55.75,57.84
"Seed_11",62.19,50.36,54.12,58.14,49.51,50.52,64.41,58.46,53.59,41.47,57.52,51.31,45.95,49.08,49.58,40.49,39.77,47.68,58.53,41.24,60.2,53.82,50.75,55.29,49.41,48.17,55.2,61.05,40.29,50.75,44.05,53.5,52.88,66.14,73.92,62.81,57.12,53.4,47.55,58.14,59.44,57.52,56.99,48.17,61.37,51.76,61.44,62.68,51.54,53.73,50.33,56.93,57.97,60.36,50,54.84,48.86,50.75,45.26,53.46,42.29,55.33,56.41,57.32
"Seed_12",61.76,51.93,55.07,56.57,50.23,48.89,63.66,59.28,53.73,41.57,57.06,50.52,46.27,49.8,47.71,41.05,40.46,47.25,59.67,42.42,58.76,52.91,52.25,53.07,50.69,47.81,54.02,59.84,41.05,51.05,44.44,53.4,52.65,66.05,73.14,62.03,56.05,53.63,46.63,58.82,60.46,58.04,56.57,48.76,60.33,51.86,61.83,62.06,50.39,53.3,50.39,56.93,58.4,61.08,49.58,56.01,49.41,50.16,46.14,53.4,41.34,56.01,56.11,56.14
"Seed_13",62.55,51.27,56.05,55.62,50.46,49.9,63.79,59.77,54.67,43.07,56.37,52.32,46.21,48.3,48.82,41.83,39.74,48.43,58.69,42.42,58.76,53.82,51.8,54.67,50.62,47.65,54.31,60.03,41.83,49.61,43.43,53.53,52.58,65.52,72.68,62.81,56.5,52.42,46.76,58.99,59.67,58.95,57.65,47.25,60.62,51.57,61.5,60.88,50.62,55.72,50.52,56.54,58.46,60.59,49.08,54.12,49.87,51.54,46.08,54.22,41.31,55.36,55.75,57.32
"Seed_14",62.61,49.58,55.92,56.44,51.21,49.9,63.46,58.89,53.63,41.47,56.27,50.62,46.8,49.58,49.28,39.97,40.98,48.79,58.73,43.4,59.51,52.39,52.25,54.18,49.97,48.76,54.05,59.74,40.36,51.01,44.44,53.04,53.95,66.76,73.37,61.93,56.57,53.1,48.07,59.74,60.26,58.07,56.31,47.52,61.14,51.73,61.21,62.29,51.05,54.48,50.1,57.68,57.78,61.01,49.08,54.93,47.35,50.92,46.73,52.42,41.18,56.01,56.73,56.18
"Seed_15",62.39,50.75,54.54,57.06,50.82,49.97,63.76,59.05,53.79,41.01,56.54,50.98,47.06,49.02,49.74,39.15,41.67,47.97,57.35,41.08,58.76,54.31,51.5,55.59,50,48.69,54.84,59.28,41.8,52.35,44.8,53.95,52.65,66.44,73.86,61.93,56.83,52.03,47.65,59.58,60.2,58.37,56.31,47.35,61.05,52.45,62.29,63.17,50.59,54.74,50.39,57.06,59.18,60.36,48.56,55.72,48.66,51.54,46.14,54.38,41.27,53.95,56.6,56.5
"Seed_16",62.81,51.57,53.95,57.52,51.47,50.26,64.71,60.03,54.51,41.73,56.76,51.37,45.88,48.4,49.25,40.2,40.98,48.99,59.25,43.63,58.17,53.43,51.73,54.35,49.9,48.17,54.48,60.26,41.18,50.72,43.86,53.43,52.32,65.46,73.43,62.29,57.42,53.89,47.65,58.69,59.18,59.08,57.65,47.55,60.56,52.19,60.36,61.83,49.9,54.97,49.9,57.12,58.07,62.29,48.53,54.31,49.15,51.63,46.08,53.17,42.25,55.16,55.07,55
"Seed_17",62.94,50.59,53.73,56.86,50.49,50.2,64.71,58.27,53.66,42.29,55.65,52.61,46.18,50.16,49.77,39.97,40.92,47.97,59.12,41.86,58.56,53.59,52.39,53.69,50.59,47.06,55.07,59.51,39.74,50.95,43.24,53.53,52.81,65.42,72.75,62.91,56.41,53.4,46.9,58.79,60.16,58.3,55.62,47.91,60.26,51.9,60.65,62.42,50.03,53.59,50.07,56.96,57.81,59.58,48.14,54.08,50.39,51.57,46.18,54.28,41.57,55.62,54.48,56.27
