"","Aspergillus_rambellii","Rhizophagus_irregularis","Moniliophthora_perniciosa","Erysiphe_pulchra","Sphaerulina_musiva","Phytophthora_capsici","Trichophyton_mentagrophytes","Aspergillus_kawachii","Pneumocystis_murina","Debaryomyces_hansenii","Trichoderma_atroviride","Pseudocercospora_musae","Cordyceps_sp_RAO_2017","Rhizophagus_clarus","Pichia_kudriavzevii","Paracoccidioides_brasiliensis","Albugo_candida","Lipomyces_starkeyi","Naumovozyma_dairenensis","Phytopythium_vexans","Aspergillus_ochraceoroseus","Colletotrichum_fioriniae","Coniochaeta_ligniaria","Leucoagaricus_sp_SymC_cos","Colletotrichum_salicis","Candida_arabinofermentans","Baudoinia_panamericana","Hyaloscypha_variabilis","Schizosaccharomyces_pombe","Tuber_magnatum","Thielaviopsis_punctulata","Edhazardia_aedis","Choanephora_cucurbitarum","Fusobacterium_nucleatum","Parvimonas_micra","Gemella_morbillorum","Anaerostipes_hadrus","Pseudobutyrivibrio_xylanivorans","Butyrivibrio_proteoclasticus","Roseburia_intestinalis","Dialister_pneumosintes","Lactococcus_garvieae","Brachyspira_pilosicoli","Romboutsia_ilealis","Porphyromonas_asaccharolytica","Eubacterium_eligens","Clostridium_beijerinckii","Fusobacterium_periodonticum","Streptococcus_anginosus","Bifidobacterium_catenulatum","Lactobacillus_ruminis","Bifidobacterium_angulatum","Streptococcus_salivarius","Bifidobacterium_pseudocatenulatum","Streptococcus_equinus","Streptococcus_milleri","Bifidobacterium_bifidum","Prevotella_intermedia","Streptococcus_thermophilus","Bifidobacterium_adolescentis","Adlercreutzia_equolifaciens","Ruminococcus_bicirculans","Bifidobacterium_longum","Escherichia_coli"
"Seed_1",65.29,54.46,51.25,55.04,46.52,57.44,51.43,56.6,47.37,57.8,57.17,61.59,52.01,56.86,51.92,64.66,59.63,54.23,54.32,58.78,51.16,48.89,51.07,65.02,58.38,42.91,37.17,32.89,60.7,61.01,50.62,59.85,55.21,62.39,54.41,54.59,49.91,51.78,47.15,50.49,51.87,60.25,62.12,50,54.28,57.49,46.7,54.01,42.65,59.18,67.16,57.58,33.11,48.04,57.84,57.89,56.73,41.8,62.12,60.07,49.11,52.09,44.3,48.04
"Seed_2",66.67,53.48,52.45,55.7,47.5,57.35,51.83,56.11,46.61,59.45,58.42,60.96,51.16,57.04,51.78,64.97,59.94,52.58,55.97,59.67,50.18,48.53,49.87,64.35,57.35,43.23,37.57,33.42,61.19,60.96,50.89,59.8,57.26,61.99,54.81,53.34,51.25,51.69,46.84,51.02,51.2,60.87,61.81,48.75,55.97,56.06,46.48,51.87,41.84,60.56,67.83,57.09,33.16,49.29,57.8,56.6,57.89,41.35,62.88,61.14,48.35,50.36,49.47,49.33
"Seed_3",66.44,53.21,50.49,54.59,46.03,57.89,51.2,56.37,46.84,57.17,58.51,62.17,52.05,56.28,52.81,63.73,60.38,53.12,53.48,59.54,50.18,49.78,50.36,63.86,57.35,42.16,36.63,33.69,61.23,60.78,52.27,59.67,56.24,61.94,55.04,53.57,47.5,51.69,47.15,49.91,51.96,61.27,60.74,49.78,55.93,55.61,46.17,52.63,42.42,59.67,67.42,56.73,33.78,47.99,58.24,57.17,56.95,41.4,63.24,60.16,49.24,51.47,42.78,48.44
"Seed_4",65.95,52.81,52.41,55.61,45.99,56.37,52.01,56.02,47.55,56.42,56.37,60.65,50.67,56.51,52.81,63.37,60.29,52.67,55.48,59.09,50.8,48.93,51.69,65.02,57.8,42.74,37.12,34.4,60.52,62.7,50.94,61.01,57,61.99,54.81,53.97,50.04,50.94,46.84,49.69,50.85,62.03,60.74,49.47,56.33,55.44,45.45,52.94,42.87,59.4,68,56.51,33.51,46.79,57.62,57.44,56.77,44.74,62.03,60.56,49.87,50.76,45.72,49.02
"Seed_5",65.6,53.7,51.52,54.77,47.24,57.53,51.43,55.97,47.01,57.04,56.11,62.66,52.01,56.82,50.58,63.9,60.43,53.97,53.92,59.89,50.31,50.45,49.91,64.93,57.35,42.42,36.99,34.71,60.87,60.87,50.04,60.7,55.39,61.99,53.83,54.37,48.48,51.11,47.06,49.11,52.27,61.59,61.5,48.62,54.5,55.39,46.48,52.09,42.87,59.45,68.05,57.44,33.47,47.99,58.42,57.13,57,42.02,61.85,59.89,48.66,51.6,45.99,48.98
"Seed_6",65.42,52.67,51.92,55.7,47.5,56.46,51.65,56.06,47.37,57.75,57.35,60.38,51.52,56.02,50.94,64.93,60.16,53.65,54.19,59.18,50.67,49.78,50.18,64.8,59.09,43.67,36.19,34.36,60.12,61.72,51.02,60.83,56.55,62.79,54.5,53.21,49.73,52.01,46.84,50.53,51.25,62.48,63.15,49.47,54.63,55.97,47.82,53.16,43.09,60.2,68.05,56.73,33.47,48.57,58.96,57.26,57.44,42.96,61.81,61.41,50.58,50.85,46.3,49.29
"Seed_7",65.15,53.61,52.32,55.57,46.43,56.42,51.43,57.13,46.48,57.35,57.04,60.7,50.85,57.04,51.43,63.15,59.94,53.07,54.68,60.2,51.16,49.11,50.36,64.93,56.55,40.51,37.17,33.2,61.85,61.45,51.78,59.31,56.42,62.57,53.34,53.79,50.27,50.76,46.52,49.82,50.45,61.45,61.76,49.24,55.17,54.99,44.34,52.32,41.49,59.58,66.98,57.31,33.82,48.22,56.82,57.75,57.09,42.38,62.66,61.41,48.66,51.6,45.19,49.78
"Seed_8",66.4,53.92,51.25,54.46,46.12,56.55,51.6,56.06,46.88,58.11,56.51,62.21,51.65,56.77,51.2,62.57,60.52,53.21,54.5,59.8,52.23,48.48,52.01,65.95,57,41.4,35.92,33.96,60.87,61.1,50.94,60.56,56.86,63.37,54.63,53.88,48.89,51.56,46.79,51.25,50.67,61.68,60.87,49.6,55.88,54.59,47.42,51.47,42.65,58.96,68.36,56.6,33.56,47.99,56.19,56.6,56.51,44.21,61.85,59.18,49.02,51.38,44.12,48.66
"Seed_9",65.95,53.79,50.98,56.02,45.14,57.09,51.6,55.97,46.61,57.53,57.75,61.41,51.25,56.51,50.71,62.79,60.7,52.76,53.88,59.09,49.6,47.73,49.87,66.44,57.22,40.73,37.34,34.94,62.43,62.39,52.01,59.45,55.44,62.3,54.28,53.65,49.78,52.9,46.7,50.8,49.73,60.78,59.85,49.47,55.17,56.64,46.61,53.16,42.38,58.29,66.67,57.31,33.29,47.55,56.91,57.8,58.2,43.4,62.12,60.52,49.55,51.02,43.85,50.09
"Seed_10",64.8,53.48,50.62,54.72,45.81,57.58,51.25,56.37,46.61,57,58.33,60.87,51.29,56.33,51.29,63.41,60.16,53.52,55.39,59.67,50.45,49.6,49.42,64.53,57.35,42.6,37.52,34.36,59,61.76,51.25,61.01,56.24,62.12,54.32,53.3,49.96,50.62,47.28,49.6,50.8,61.32,60.07,49.82,55.08,55.97,45.54,51.96,43.98,59.67,68.09,56.64,33.51,48.48,57,57.17,57.62,43.14,63.01,61.14,49.02,52.32,45.28,49.2
