"","Aspergillus_rambellii","Rhizophagus_irregularis","Moniliophthora_perniciosa","Erysiphe_pulchra","Sphaerulina_musiva","Phytophthora_capsici","Trichophyton_mentagrophytes","Aspergillus_kawachii","Pneumocystis_murina","Debaryomyces_hansenii","Trichoderma_atroviride","Pseudocercospora_musae","Cordyceps_sp_RAO_2017","Rhizophagus_clarus","Pichia_kudriavzevii","Paracoccidioides_brasiliensis","Albugo_candida","Lipomyces_starkeyi","Naumovozyma_dairenensis","Phytopythium_vexans","Aspergillus_ochraceoroseus","Colletotrichum_fioriniae","Coniochaeta_ligniaria","Leucoagaricus_sp_SymC_cos","Colletotrichum_salicis","Candida_arabinofermentans","Baudoinia_panamericana","Hyaloscypha_variabilis","Schizosaccharomyces_pombe","Tuber_magnatum","Thielaviopsis_punctulata","Edhazardia_aedis","Choanephora_cucurbitarum","Fusobacterium_nucleatum","Parvimonas_micra","Gemella_morbillorum","Anaerostipes_hadrus","Pseudobutyrivibrio_xylanivorans","Butyrivibrio_proteoclasticus","Roseburia_intestinalis","Dialister_pneumosintes","Lactococcus_garvieae","Brachyspira_pilosicoli","Romboutsia_ilealis","Porphyromonas_asaccharolytica","Eubacterium_eligens","Clostridium_beijerinckii","Fusobacterium_periodonticum","Streptococcus_anginosus","Bifidobacterium_catenulatum","Lactobacillus_ruminis","Bifidobacterium_angulatum","Streptococcus_salivarius","Bifidobacterium_pseudocatenulatum","Streptococcus_equinus","Streptococcus_milleri","Bifidobacterium_bifidum","Prevotella_intermedia","Streptococcus_thermophilus","Bifidobacterium_adolescentis","Adlercreutzia_equolifaciens","Ruminococcus_bicirculans","Bifidobacterium_longum","Escherichia_coli"
"Seed_1",49.44,49.35,59.72,56.39,43.52,55.09,53.52,44.54,50.74,51.57,54.07,42.78,42.13,35.46,47.13,48.33,39.07,70.74,55.83,55.93,60.65,46.48,50.37,48.8,56.2,38.15,39.54,32.13,63.61,55.65,48.52,27.59,47.78,50.65,69.44,73.98,45.56,28.61,44.54,36.57,60,35.65,19.44,38.33,67.78,33.8,43.8,71.3,65.93,58.7,40.37,30.74,53.24,52.78,41.48,51.02,48.33,43.61,47.96,44.72,53.24,56.76,67.96,48.7
"Seed_2",52.69,50.09,59.54,56.3,41.85,53.43,52.69,45,51.85,51.3,52.78,42.5,43.98,33.89,46.76,48.61,38.8,70.93,56.02,54.81,62.87,45.93,49.63,50.37,56.94,39.35,40.09,34.72,65.09,56.02,47.5,27.41,48.61,49.81,70.74,74.07,46.3,30.09,44.17,34.17,59.44,35.83,20.19,37.59,68.43,34.07,43.33,71.67,64.26,58.15,40.37,31.11,55.28,53.7,40.74,48.43,50.19,40.83,48.89,43.8,53.7,57.04,67.96,47.59
"Seed_3",51.02,49.63,61.76,56.48,43.52,55.09,52.96,43.06,52.31,52.59,55.56,43.24,41.39,32.78,45.83,46.85,39.35,67.69,56.02,56.02,62.78,48.24,49.81,49.63,56.2,39.81,41.02,34.17,63.43,55.19,48.43,28.43,48.89,50.09,71.02,74.35,46.3,29.07,44.72,37.22,59.72,34.35,19.72,36.94,67.41,35,43.8,72.69,65,57.04,39.35,31.57,55.09,53.89,42.31,48.89,49.26,42.96,46.67,46.76,56.67,57.78,67.96,48.61
"Seed_4",49.35,50,60.56,55.93,42.04,52.69,51.57,42.41,51.76,50.65,54.44,42.31,42.87,35.28,46.76,46.3,39.91,70.09,56.67,55.65,61.48,46.94,52.04,49.91,57.59,39.81,39.26,34.63,64.72,54.81,47.59,27.04,48.52,51.39,70.65,74.72,46.67,30.46,44.35,36.02,60.56,34.72,19.44,38.43,67.96,34.63,44.17,69.81,64.07,56.48,38.61,31.57,54.35,52.31,42.04,50.83,48.24,41.67,47.96,43.43,52.87,57.87,68.52,47.13
"Seed_5",50.74,50.37,59.63,56.67,41.76,53.24,53.89,43.61,52.59,51.39,55.09,43.06,41.39,35.65,45.46,48.52,38.43,70.74,56.39,55.37,60.74,46.2,48.98,48.7,56.85,39.63,40.83,36.2,63.15,55.19,47.96,28.61,48.33,50.28,70.65,74.63,46.11,29.44,44.81,36.67,59.26,36.76,20,38.7,67.69,33.15,44.44,71.76,65.28,56.48,39.35,30.09,53.52,54.54,41.94,48.7,48.8,42.41,48.33,44.17,53.06,55.56,68.61,49.07
"Seed_6",51.85,49.17,59.26,57.31,42.69,53.61,53.61,42.22,54.91,52.22,54.63,43.06,42.13,33.43,46.3,47.69,38.15,71.48,56.67,56.57,61.57,46.3,50.28,47.96,57.04,40.65,39.44,35.37,63.33,55.37,49.91,28.33,48.52,51.39,68.8,73.52,47.13,28.33,44.44,36.57,58.7,34.26,19.44,38.8,68.52,32.96,45.09,72.04,63.98,57.59,40.56,30.74,52.69,52.41,42.31,50.37,49.72,41.76,49.54,44.54,52.59,57.13,67.41,50.09
"Seed_7",50.74,48.89,60.74,56.85,42.13,52.78,52.31,43.7,52.5,50.28,53.33,41.39,41.39,33.52,47.5,46.02,38.24,71.57,57.87,55.09,61.67,44.91,51.02,49.44,56.85,40.28,40.74,34.63,64.44,55.09,49.07,29.35,47.87,50.37,69.17,74.26,45.93,29.35,45.74,36.11,59.44,35.09,19.91,39.35,67.04,34.63,43.24,71.67,64.35,57.59,39.72,31.94,55.65,54.26,41.67,47.59,50.37,41.48,47.96,44.17,53.89,57.04,68.06,47.59
"Seed_8",49.81,50,61.3,57.04,43.06,54.17,51.3,43.24,54.07,51.48,52.59,43.43,43.24,33.8,46.02,48.06,40.28,69.91,56.85,54.44,62.31,47.5,50.46,48.98,58.06,39.26,39.54,35.56,63.89,56.85,47.69,28.61,48.06,50.19,70.37,74.72,46.48,28.98,43.33,37.5,58.89,35.74,18.98,38.8,68.8,33.24,44.81,72.22,64.26,57.96,40.65,28.98,54.17,54.54,42.22,49.44,50.37,41.57,47.22,44.81,54.07,56.48,67.78,48.89
"Seed_9",53.24,47.78,62.13,55.93,43.24,53.06,52.96,43.61,51.85,51.94,54.07,43.15,42.96,33.43,47.87,49.63,37.96,70.65,56.48,57.31,62.04,47.31,48.7,50,58.52,38.89,39.91,35,63.15,55.46,47.13,28.15,47.59,51.2,71.76,73.33,45.56,28.7,44.72,35.28,59.17,34.81,19.07,38.52,67.69,34.17,45.56,70.74,64.91,58.15,39.44,31.76,53.8,54.26,42.22,48.61,50.83,41.39,47.59,44.26,55.09,57.13,67.59,47.22
"Seed_10",51.67,49.63,59.35,57.78,42.31,52.78,52.22,42.87,50.56,51.11,56.02,41.85,41.2,35.83,46.2,47.31,38.89,70.56,55.65,57.31,62.59,47.04,50.37,50.19,57.78,39.07,40.46,31.3,62.13,55.74,48.24,27.41,47.13,50,70,73.89,47.41,29.91,44.81,38.43,59.44,34.81,20,38.7,68.33,33.8,44.07,72.13,65.28,58.06,41.2,30.74,55,53.33,41.39,51.11,50,41.2,47.04,43.15,56.02,57.31,67.31,50.19
