"","Aspergillus_rambellii","Rhizophagus_irregularis","Moniliophthora_perniciosa","Erysiphe_pulchra","Sphaerulina_musiva","Phytophthora_capsici","Trichophyton_mentagrophytes","Aspergillus_kawachii","Pneumocystis_murina","Debaryomyces_hansenii","Trichoderma_atroviride","Pseudocercospora_musae","Cordyceps_sp_RAO_2017","Rhizophagus_clarus","Pichia_kudriavzevii","Paracoccidioides_brasiliensis","Albugo_candida","Lipomyces_starkeyi","Naumovozyma_dairenensis","Phytopythium_vexans","Aspergillus_ochraceoroseus","Colletotrichum_fioriniae","Coniochaeta_ligniaria","Leucoagaricus_sp_SymC_cos","Colletotrichum_salicis","Candida_arabinofermentans","Baudoinia_panamericana","Hyaloscypha_variabilis","Schizosaccharomyces_pombe","Tuber_magnatum","Thielaviopsis_punctulata","Edhazardia_aedis","Choanephora_cucurbitarum","Fusobacterium_nucleatum","Parvimonas_micra","Gemella_morbillorum","Anaerostipes_hadrus","Pseudobutyrivibrio_xylanivorans","Butyrivibrio_proteoclasticus","Roseburia_intestinalis","Dialister_pneumosintes","Lactococcus_garvieae","Brachyspira_pilosicoli","Romboutsia_ilealis","Porphyromonas_asaccharolytica","Eubacterium_eligens","Clostridium_beijerinckii","Fusobacterium_periodonticum","Streptococcus_anginosus","Bifidobacterium_catenulatum","Lactobacillus_ruminis","Bifidobacterium_angulatum","Streptococcus_salivarius","Bifidobacterium_pseudocatenulatum","Streptococcus_equinus","Streptococcus_milleri","Bifidobacterium_bifidum","Prevotella_intermedia","Streptococcus_thermophilus","Bifidobacterium_adolescentis","Adlercreutzia_equolifaciens","Ruminococcus_bicirculans","Bifidobacterium_longum","Escherichia_coli"
"Seed_1",65.15,49.29,44.83,51.43,53.03,59.8,46.79,73.62,57.4,66.84,58.56,63.1,70.59,67.65,71.75,64.17,48.75,53.57,56.51,51.07,64.71,56.33,59.18,72.99,52.41,46.79,41.18,43.76,54.99,36.19,51.6,56.33,49.91,61.5,74.15,61.41,52.94,66.67,59.71,62.3,36.81,34.58,57.31,50.36,69.52,37.61,59.63,48.13,44.03,42.6,48.93,32.71,60.61,58.91,67.65,73.26,53.21,56.33,52.41,64.08,57.49,65.06,74.51,41.27
"Seed_2",64.97,49.91,46.52,51.6,55.17,61.05,47.95,74.33,57.31,65.51,57.04,62.75,69.52,66.67,70.5,61.41,49.2,52.58,56.6,51.78,67.38,54.28,56.95,73.62,51.43,49.29,42.25,43.4,54.81,37.61,54.46,58.65,49.38,62.75,73.08,60.52,54.28,63.9,60.78,60.78,37.08,34.94,57.13,49.64,69.96,37.88,58.91,48.13,45.54,46.43,49.29,31.19,60.07,59.27,68.98,71.03,50.62,55.44,51.16,62.75,58.91,63.1,73.89,41.18
"Seed_3",64.62,50.18,45.37,50.62,53.39,59.36,46.61,74.06,57.31,65.24,59.27,61.85,70.41,68.45,71.75,63.55,47.68,52.05,55.79,51.34,65.15,58.02,58.2,73.8,51.96,47.24,42.34,42.6,55.7,36.99,53.65,58.56,49.2,60.7,71.39,60.43,54.55,65.24,59.98,61.68,36.45,34.67,56.51,50.36,70.05,36.27,59.27,46.17,45.99,43.85,47.86,32.44,60.61,57.93,66.93,71.39,52.94,55.44,51.78,65.42,58.38,67.11,75.22,43.32
"Seed_4",66.22,49.64,45.01,50.71,55.08,60.52,47.24,72.19,56.68,66.58,58.47,62.75,70.41,67.47,71.3,62.3,46.43,52.14,55.79,50.8,66.84,56.86,61.05,74.15,53.03,49.02,41.18,42.34,54.46,37.52,54.1,57.93,49.91,60.96,72.28,61.32,52.05,64.97,61.41,59.18,36.63,36.01,56.77,51.87,72.1,36.72,59.89,46.97,45.1,44.39,48.75,31.37,61.85,58.38,65.95,71.93,52.14,56.51,51.34,62.12,58.91,63.55,74.78,40.02
"Seed_5",64.97,51.69,46.7,51.16,53.57,60.07,47.15,73.8,59.89,64.97,57.58,61.94,70.5,67.91,71.03,61.23,47.33,53.48,56.06,50.71,65.24,56.77,59.27,74.06,50.09,50.09,41.27,45.63,54.19,36.72,53.74,57.31,52.23,63.01,73.8,61.85,53.65,64.62,60.07,60.7,36.45,33.87,57.22,51.43,70.68,38.32,59.63,47.95,45.54,41.53,50.27,32.09,60.16,59.8,66.93,72.28,50.62,55.88,52.5,65.06,59.63,64.71,74.69,41
"Seed_6",64.88,46.97,44.92,52.05,51.6,60.52,46.35,73.26,58.73,67.65,58.65,63.19,70.77,67.2,69.96,62.92,47.59,53.83,54.63,50.53,65.86,56.68,59,72.91,52.5,46.08,40.55,43.4,56.42,37.61,52.67,57.58,53.12,62.12,74.24,61.05,51.07,64.26,59.98,60.87,34.85,35.83,55.7,52.14,70.32,38.15,59.8,48.22,45.19,42.87,48.57,33.42,58.65,59,66.93,72.73,50.53,57.31,52.23,63.37,59.36,65.78,74.51,42.87
"Seed_7",63.19,49.64,45.72,51.87,54.63,60.87,47.86,73.08,58.73,66.31,59,64.35,70.05,65.69,69.79,61.32,48.75,51.96,55.79,50,65.69,57.49,60.16,72.01,51.69,49.02,41.35,45.81,56.86,37.34,53.12,56.51,49.38,62.12,73.89,60.61,51.07,63.37,59.63,59.36,35.92,36.27,57.58,51.52,70.59,38.68,58.65,48.13,45.45,44.12,50.89,31.91,60.61,58.56,67.91,70.94,53.12,56.06,50.89,66.04,59.8,64.97,75.13,41.09
"Seed_8",64.8,49.91,45.99,51.69,56.24,60.16,47.24,73.62,57.84,67.91,58.02,64.62,70.05,66.67,72.46,59.45,46.08,53.3,53.83,51.25,66.22,56.68,59.36,73.44,51.25,48.57,40.82,43.23,55.08,37.52,52.76,57.58,50.36,61.14,73.26,61.32,54.1,65.06,58.2,59.89,36.27,35.03,57.31,50.45,70.94,34.85,58.56,47.33,44.03,41.8,50.71,31.91,60.43,60.43,68.54,72.99,50.27,56.33,52.58,63.55,58.47,63.99,75.76,43.05
"Seed_9",64.26,49.47,45.81,49.29,55.26,61.32,48.22,72.37,59.8,66.13,58.91,62.21,71.48,67.11,70.32,62.75,46.88,53.39,55.35,50.8,67.29,56.15,59,74.6,53.21,47.24,41,45.63,55.79,37.52,53.74,56.77,51.78,62.12,73.08,61.14,54.19,65.69,58.38,62.03,36.72,34.49,56.51,50.09,69.43,37.79,58.47,47.68,43.58,41.09,50.36,31.55,60.25,57.84,67.11,70.77,51.43,56.42,51.78,63.55,58.91,65.06,74.69,41.09
"Seed_10",65.06,49.47,45.72,50,52.58,59.54,46.7,74.24,59.54,67.29,58.91,64.35,71.75,66.67,71.3,61.32,48.84,52.32,57.13,52.32,66.31,56.33,58.91,72.73,51.87,48.75,41,43.67,53.21,37.52,53.3,55.97,53.03,61.94,73.62,62.3,52.41,64.62,60.61,61.94,37.08,34.58,56.15,50.53,68.98,36.63,58.2,47.77,45.37,41.53,48.93,31.82,60.52,56.6,66.49,70.23,52.32,55.26,53.3,63.37,59.71,64.53,73.44,41.8
