"","Aspergillus_rambellii","Rhizophagus_irregularis","Moniliophthora_perniciosa","Erysiphe_pulchra","Sphaerulina_musiva","Phytophthora_capsici","Trichophyton_mentagrophytes","Aspergillus_kawachii","Pneumocystis_murina","Debaryomyces_hansenii","Trichoderma_atroviride","Pseudocercospora_musae","Cordyceps_sp_RAO_2017","Rhizophagus_clarus","Pichia_kudriavzevii","Paracoccidioides_brasiliensis","Albugo_candida","Lipomyces_starkeyi","Naumovozyma_dairenensis","Phytopythium_vexans","Aspergillus_ochraceoroseus","Colletotrichum_fioriniae","Coniochaeta_ligniaria","Leucoagaricus_sp_SymC_cos","Colletotrichum_salicis","Candida_arabinofermentans","Baudoinia_panamericana","Hyaloscypha_variabilis","Schizosaccharomyces_pombe","Tuber_magnatum","Thielaviopsis_punctulata","Edhazardia_aedis","Choanephora_cucurbitarum","Fusobacterium_nucleatum","Parvimonas_micra","Gemella_morbillorum","Anaerostipes_hadrus","Pseudobutyrivibrio_xylanivorans","Butyrivibrio_proteoclasticus","Roseburia_intestinalis","Dialister_pneumosintes","Lactococcus_garvieae","Brachyspira_pilosicoli","Romboutsia_ilealis","Porphyromonas_asaccharolytica","Eubacterium_eligens","Clostridium_beijerinckii","Fusobacterium_periodonticum","Streptococcus_anginosus","Bifidobacterium_catenulatum","Lactobacillus_ruminis","Bifidobacterium_angulatum","Streptococcus_salivarius","Bifidobacterium_pseudocatenulatum","Streptococcus_equinus","Streptococcus_milleri","Bifidobacterium_bifidum","Prevotella_intermedia","Streptococcus_thermophilus","Bifidobacterium_adolescentis","Adlercreutzia_equolifaciens","Ruminococcus_bicirculans","Bifidobacterium_longum","Escherichia_coli"
"Seed_1",59.67,58.21,56,50.05,52.98,48.21,50.83,55.1,51.29,52.25,47.81,45.67,53.81,45.66,45.38,49.3,47.83,54.3,51.11,47.17,50.35,47.28,51.07,50.68,54.83,50.48,47.05,43.45,51.65,47.78,49.36,46.2,51.75,64.44,66.08,63.76,56.08,53.96,55.86,52.52,53.38,50.08,51.65,53.33,56.5,56.19,56.1,52.46,47.48,49.64,50.68,48.04,48.91,49.18,48.72,52.14,53.34,55.02,48,48.39,50.74,48.69,56.8,44.16
"Seed_2",59.7,58.72,56.31,49.49,52.78,47.83,50.84,54.79,50.83,52.46,47.67,45.51,53.34,45.54,45.52,49.64,47.06,53.74,50.49,47.34,50.31,46.84,51,51.05,54.13,49.98,46.8,43.14,51.5,47.78,49.38,46.07,51.48,64.52,65.76,63.35,56.77,54.44,55.49,52.67,52.74,49.73,51.44,52.71,56.44,56.54,55.96,52.32,48.63,50.06,51.22,48,48.38,49.7,49.64,52.81,53.84,55.31,48.1,48.1,50.75,47.99,57.47,44.49
"Seed_3",60.07,58.25,55.92,49.57,53.03,47.51,50.46,55.02,50.37,52.37,47.73,45.6,53.73,46.03,45.53,49.01,47.8,53.81,50.32,47.56,50.55,46.79,51.38,50.88,54.96,50.8,47.34,43.48,51.43,47.78,49.66,46.42,51.58,64.34,66.03,63.29,56.46,54.29,55.62,52.62,53.05,49.89,51.72,53.6,56.52,55.62,56.11,52.75,48.04,50.14,51.38,48,48.77,49.7,49.22,51.79,53.5,55.67,47.4,48.46,51.14,47.83,56.81,44.79
"Seed_4",59.44,58.53,55.81,49.81,52.1,47.93,49.88,54.1,50.56,52.7,47.9,46.07,53.85,45.91,45.71,48.68,47.29,54.01,50.8,47.84,50.97,46.42,51.74,50.71,54.65,50.49,46.96,43.23,51.73,47.31,49.36,46.24,52.42,64.16,65.83,63.86,56.78,54.63,55.94,52.21,53.51,49.92,51.79,53.67,56.63,56.6,55.88,53.06,47.54,49.75,51.05,47.8,48.6,49.41,49.01,52.31,53.76,55.39,47,47.72,50.19,48.38,56.68,44.53
"Seed_5",59.64,58.45,56.24,49.58,53.05,47.78,50.81,54.34,50.52,52.35,47.78,45.28,53.51,45.6,44.81,49.26,47.84,54.04,50.34,47.18,50.57,46.92,51.2,50.89,54.72,50.58,46.99,43.28,51.33,47.53,49.59,46.23,51.92,64.38,65.39,63.77,56.63,54.13,55.48,52.24,53.24,50.09,51.99,53.48,56.01,55.72,56.18,52.47,48.11,50.15,51.18,47.79,48.88,49.88,49.02,52.47,53.5,55.34,47.19,48.45,50.35,47.61,57.3,44.63
"Seed_6",59.53,58.23,56.44,50.01,53.36,47.78,49.98,55.32,50.67,52.44,47.67,45.57,53.56,46.01,45.35,49.44,47.31,54.4,50.96,47.54,50.2,47.17,51.7,51.33,53.97,50.46,47.11,43.95,51.31,48.18,49.18,46.24,51.33,64.24,65.93,63.62,56.54,54.3,55.3,52.19,53.42,50.14,51.96,53.52,55.98,56.15,55.68,52.83,47.82,50.56,50.66,48.66,48.46,49.81,48.35,52.66,53.74,55.79,47.72,48.74,50.53,48.3,57.39,44.44
"Seed_7",59.69,58.86,55.64,49.81,53.48,48.09,50.5,55.19,50.99,52.38,48.19,44.97,53.58,46.18,45.26,48.96,47.53,54.02,50.51,46.66,50.26,47.49,51.92,51.22,54.28,50.08,47.55,43.77,51.62,47.49,48.67,45.91,51.95,64.29,65.92,63.42,56.41,54.22,56.16,52.61,53.51,50.24,51.53,52.86,56.08,56.54,55.99,52.17,48.02,50.21,51.24,47.66,48.74,49.8,49.37,52.32,53.92,55.09,47.99,48.21,50.48,47.75,57.19,44.89
"Seed_8",59.49,58.4,55.88,49.42,52.44,47.97,50.1,54.91,50.98,51.52,47.71,45.26,53.44,45.79,45.31,49.04,47.43,53.8,50.79,46.9,50.56,47.34,51.67,51.09,53.83,50.62,47.3,43.05,51.28,48.11,49.58,46.71,52.08,64.18,66.06,63.55,56.26,53.56,55.59,51.88,52.88,49.8,51.57,53.05,56.57,56.14,55.69,52.4,48.22,49.6,50.7,48.48,48.99,49.42,49.27,52.6,53.87,55.47,47.79,48.56,50.74,48.57,56.85,44.51
"Seed_9",59.73,58.45,55.97,50.02,52.39,47.98,50.64,55.46,50.92,52.76,48.05,45.38,53.54,44.94,45.36,48.95,47.82,54.22,50.63,47.37,49.91,46.9,51.94,50.83,54.61,50.72,46.42,43.65,51.78,48.04,48.83,45.74,51.86,64.24,65.93,63.52,56.61,53.87,55.88,52.33,53.28,50.23,51.96,53.45,56.15,56.16,56.18,52.11,47.85,50.05,50.86,47.59,48.53,49.71,49.25,52.42,53.44,55.93,47.32,48.58,50.85,48.12,57.18,44.13
"Seed_10",59.49,58.37,56.39,50.29,53.04,47.57,50.26,54.04,50.58,52.6,47.49,45.53,53.82,45.88,46.07,49.72,47.88,54.04,50.33,47.35,50.89,46.81,51.82,51.09,54.44,50.21,47.05,43.64,51.26,47.66,49.46,46.29,51.13,64.67,66.06,63.88,56.23,53.87,55.44,52.22,53.02,50.46,51.18,53.52,56.33,55.97,56.07,52.46,47.69,50.01,51.36,46.87,49.02,49.39,49.16,52.19,53.19,55.69,48.23,48.13,50.48,48.24,57.04,44.66
