"","Aspergillus_rambellii","Rhizophagus_irregularis","Moniliophthora_perniciosa","Erysiphe_pulchra","Sphaerulina_musiva","Phytophthora_capsici","Trichophyton_mentagrophytes","Aspergillus_kawachii","Pneumocystis_murina","Debaryomyces_hansenii","Trichoderma_atroviride","Pseudocercospora_musae","Cordyceps_sp_RAO_2017","Rhizophagus_clarus","Pichia_kudriavzevii","Paracoccidioides_brasiliensis","Albugo_candida","Lipomyces_starkeyi","Naumovozyma_dairenensis","Phytopythium_vexans","Aspergillus_ochraceoroseus","Colletotrichum_fioriniae","Coniochaeta_ligniaria","Leucoagaricus_sp_SymC_cos","Colletotrichum_salicis","Candida_arabinofermentans","Baudoinia_panamericana","Hyaloscypha_variabilis","Schizosaccharomyces_pombe","Tuber_magnatum","Thielaviopsis_punctulata","Edhazardia_aedis","Choanephora_cucurbitarum","Fusobacterium_nucleatum","Parvimonas_micra","Gemella_morbillorum","Anaerostipes_hadrus","Pseudobutyrivibrio_xylanivorans","Butyrivibrio_proteoclasticus","Roseburia_intestinalis","Dialister_pneumosintes","Lactococcus_garvieae","Brachyspira_pilosicoli","Romboutsia_ilealis","Porphyromonas_asaccharolytica","Eubacterium_eligens","Clostridium_beijerinckii","Fusobacterium_periodonticum","Streptococcus_anginosus","Bifidobacterium_catenulatum","Lactobacillus_ruminis","Bifidobacterium_angulatum","Streptococcus_salivarius","Bifidobacterium_pseudocatenulatum","Streptococcus_equinus","Streptococcus_milleri","Bifidobacterium_bifidum","Prevotella_intermedia","Streptococcus_thermophilus","Bifidobacterium_adolescentis","Adlercreutzia_equolifaciens","Ruminococcus_bicirculans","Bifidobacterium_longum","Escherichia_coli"
"Seed_1",58.97,50.86,62.9,57.55,47.5,38.81,47.32,52.72,49.14,58.16,53.42,53.2,57.81,53.29,53.29,64.02,57.28,48.86,54.06,42.34,47.89,48.88,47.02,57.7,51.6,56.65,52.7,41.88,59.96,50.18,68.03,43.2,64.35,66.85,68.91,64.24,50.68,62.2,64.77,48.09,61.32,69.11,48.82,68.19,58.56,52,58.75,55.95,56.85,62.59,51.86,46.16,59.37,46.07,59.17,36.02,57.33,52.57,54.56,49.34,50.35,63.01,58.42,50.81
"Seed_2",58.14,50.66,63.38,56.69,47.32,38.53,46.38,54.34,48.42,59.06,53.53,52.57,57.11,54.17,54.17,64.04,56.25,47.94,54.85,42.41,47.78,47.76,45.9,59.37,52,57.04,53.49,40.54,60.05,49.61,66.7,43.42,64.04,66.85,67.86,63.84,50.48,62.66,64.33,49.54,60.49,69.24,47.08,69.11,58.75,52.85,58.34,56.69,55.59,60.97,52.17,46.09,58.38,46.16,59.68,36.44,57.9,52.96,54.78,49.85,50.44,64.17,58.14,51.08
"Seed_3",58.42,51.51,61.94,57.79,47.7,38.13,46.71,53.82,48.05,58.21,53.69,52.61,57.22,53.66,54.12,63.03,56.19,48.38,54.19,41.11,46.99,47.89,46.18,58.29,54.17,58.14,54.26,41.79,60.6,49.54,66.43,44.41,64,66.76,68.01,63.93,50.57,62.33,63.76,49.1,61.76,69.26,46.97,68.87,58.38,51.78,57.92,55.84,56.85,61.36,51.51,45.79,58.58,46.36,60,35.23,57.15,51.8,54.12,50.9,50.53,63.51,57.85,50.37
"Seed_4",58.38,51.93,62.53,57.85,47.37,38.5,47.13,52.5,48.77,58.64,54.12,52.94,56.71,53.44,55.2,63.41,57.37,48.95,54.83,42.3,47.3,48.31,46.95,58.51,52.41,57.61,54.15,40.83,60.33,49.52,67.44,43.33,64.52,66.56,67.97,64.06,51.54,62.33,64.7,50.07,61.04,69.24,47.13,68.49,59.26,52.08,57.42,56.19,55,61.65,53.18,46.47,59.04,45.61,59.59,34.88,57.39,52.63,54.21,50.46,50.33,63.91,58.73,51.32
"Seed_5",58.29,52.41,61.72,57.35,48.2,37.85,47.15,54.01,48.38,58.49,53.64,52.37,56.58,53.91,53.82,63.78,56.3,49.03,54.74,42.47,46.84,47.13,46.07,58.18,53.12,58.23,54.94,42.04,59.85,48.86,67.24,43.55,64.04,66.08,67.57,64.33,51.43,61.58,63.84,48.9,61.01,69.9,48.44,69.31,56.78,52.15,57.88,56.43,56.38,62.62,52.02,45.3,57.61,45.59,60.03,35.48,57.9,53.66,54.15,51.1,51.1,65.47,58.91,50.77
"Seed_6",57.26,51.84,61.8,57.37,47.06,37.63,46.73,52.33,48.53,58.36,53.25,52.61,56.8,53.6,54.19,64.09,56.82,48.64,54.15,41.29,47.41,48.68,46.47,58.38,52.15,57.63,53.88,41.2,60.09,49.89,67.51,43.88,65.14,66.81,68.74,63.76,51.27,62.33,64.13,49.36,60.95,69.22,48.2,67.68,58.47,52.41,57.99,56.34,56.36,60.99,52.02,44.65,58.58,45.77,59.92,35.91,58.32,52.48,53.51,50.61,50.18,63.67,57.99,51.56
"Seed_7",57.99,51.62,62.57,57.81,47.08,37.74,47.1,53.27,48.46,57.96,54.63,52.35,57.04,53.66,53.51,64.17,56.14,48.82,53.44,43.48,46.73,47.7,46.31,59.21,51.82,58.6,52.74,41.22,59.24,50.02,67.09,44.27,63.43,66.7,68.06,64.98,51.76,62.33,63.47,49.25,60.71,69.96,47.52,69.22,57.83,52,57.44,56.8,56.27,61.17,51.45,45.94,59.7,46.14,59.59,35.91,57.17,52.61,54.23,50.42,50.44,62.48,58.21,51.18
"Seed_8",58.03,52.35,62.04,56.91,47.17,38.53,46.56,55.79,48.33,59.13,53.82,52.26,56.54,54.26,53.75,64.66,55.46,48.46,54.06,41.86,46.88,48.38,45.52,59.08,51.73,57.5,54.41,41.9,59.28,49.96,68.49,42.98,63.82,66.78,67.88,64.44,52,62.86,63.93,48.6,60.9,68.91,48.16,68.01,58.8,51.82,57.5,55.81,55.84,61.25,51.86,45.48,59.54,46.51,58.91,35.54,56.38,51.12,54.83,49.52,50.29,63.87,58.53,51.27
"Seed_9",57.83,49.87,61.36,57.31,47.83,39.12,46.8,54.23,48.97,57.83,53.84,53.33,57.68,54.45,53.71,63.62,55.38,48.64,53.77,42.54,47.74,48.09,46.23,58.86,52,57.79,51.03,41.07,59.3,49.98,67.77,42.61,64.87,66.39,68.78,63.87,51.23,61.91,64.11,49.08,61.45,69.75,46.07,68.41,58.23,51.25,57.59,55.95,56.43,62.2,51.73,46.12,58.51,45.63,59.85,35.91,58.25,52.35,54.56,50.55,50.02,63.45,58.8,51.03
"Seed_10",59.81,50.61,62.79,57.33,48.05,38.44,46.75,51.91,49.25,57.96,53.71,51.58,56.43,52.85,53.73,63.34,56.76,48.88,54.67,43.37,47.3,47.96,47.19,58.49,52.28,56.47,53.51,40.87,60.05,50.55,67.53,44.25,63.27,66.32,68.39,63.89,51.27,61.98,64.04,48.95,61.78,69.79,47.48,69.31,58.53,52.15,57.83,56.6,56.45,61.25,52.54,46.84,58.05,46.29,59.43,34.71,56.47,52.57,54.41,51.49,51.69,63.69,57.99,50.2
