"","Cohort","Feature","Seed","AUC","MeanAUC","Kingdoms"
"1","2014_ZellerG","Albugo_candida","6","61.61",51.78,"fungi"
"2","2014_ZellerG","Aphanomyces_astaci","10","46.88",51.25,"fungi"
"3","2014_ZellerG","Saprolegnia_diclina","2","53.92",52.38,"fungi"
"4","2014_ZellerG","Saprolegnia_parasitica","2","50.02",46.64,"fungi"
"5","2014_ZellerG","Phytopythium_vexans","7","48.14",50.42,"fungi"
"6","2014_ZellerG","Globisporangium_ultimum","10","46.17",59.91,"fungi"
"7","2014_ZellerG","Pythium_irregulare","4","49.86",49.53,"fungi"
"8","2014_ZellerG","Pythium_arrhenomanes","1","50.08",49.48,"fungi"
"9","2014_ZellerG","Pythium_iwayamai","1","49.7",50.05,"fungi"
"10","2014_ZellerG","Pythium_aphanidermatum","5","54.01",50.98,"fungi"
"11","2014_ZellerG","Hyaloperonospora_arabidopsidis","8","55.4",54.57,"fungi"
"12","2014_ZellerG","Phytophthora_parasitica","7","54.28",52.79,"fungi"
"13","2014_ZellerG","Phytophthora_palmivora","5","39.36",47.8,"fungi"
"14","2014_ZellerG","Phytophthora_capsici","1","54.46",52.24,"fungi"
"15","2014_ZellerG","Phytophthora_ramorum","10","57.98",54.64,"fungi"
"16","2014_ZellerG","Phytophthora_cinnamomi","1","44.4",52.47,"fungi"
"17","2014_ZellerG","Phytophthora_infestans","5","58.97",53.94,"fungi"
"18","2014_ZellerG","Phytophthora_sojae","1","56.18",53.28,"fungi"
"19","2014_ZellerG","Allomyces_macrogynus","10","45.6",54.52,"fungi"
"20","2014_ZellerG","Rozella_allomycis","8","54.79",54.52,"fungi"
"21","2014_ZellerG","Basidiobolus_meristosporus","2","45.99",52.79,"fungi"
"22","2014_ZellerG","Conidiobolus_coronatus","7","47.94",52.16,"fungi"
"23","2014_ZellerG","Gonapodya_prolifera","4","46.5",49.84,"fungi"
"24","2014_ZellerG","Spizellomyces_punctatus","8","45.83",56.68,"fungi"
"25","2014_ZellerG","Batrachochytrium_salamandrivorans","10","61.46",56.43,"fungi"
"26","2014_ZellerG","Batrachochytrium_dendrobatidis","6","55.97",51.17,"fungi"
