"","Cohort","Feature","Seed","AUC","MeanAUC","Kingdoms"
"1","2014_ZellerG","Cloacibacillus_porcorum","81","53.38",52.49,"fungi"
"2","2014_ZellerG","Fusobacterium_necrophorum","6","52.87",56.95,"fungi"
"3","2014_ZellerG","Fusobacterium_periodonticum","85","54.16",57.95,"fungi"
"4","2014_ZellerG","Fusobacterium_mortiferum","88","49.29",51.11,"fungi"
"5","2014_ZellerG","Fusobacterium_varium","6","49.07",52.65,"fungi"
"6","2014_ZellerG","Fusobacterium_ulcerans","90","56.11",56.76,"fungi"
"7","2014_ZellerG","Fusobacterium_nucleatum","3","71.76",65.08,"fungi"
"8","2014_ZellerG","Brachyspira_pilosicoli","38","64.71",52.92,"fungi"
"9","2014_ZellerG","Akkermansia_muciniphila","80","50",56.42,"fungi"
"10","2014_ZellerG","Campylobacter_jejuni","60","58.16",51.92,"fungi"
"11","2014_ZellerG","Campylobacter_coli","97","56.17",54.85,"fungi"
"12","2014_ZellerG","Desulfovibrio_fairfieldensis","38","47.58",51.39,"fungi"
"13","2014_ZellerG","Desulfovibrio_desulfuricans","71","55.55",54,"fungi"
"14","2014_ZellerG","Desulfovibrio_piger","72","60.1",53.33,"fungi"
"15","2014_ZellerG","Sutterella_sp_KGMB03119","38","48.77",57.55,"fungi"
"16","2014_ZellerG","Sutterella_megalosphaeroides","86","53.81",54.34,"fungi"
"17","2014_ZellerG","Oxalobacter_formigenes","59","51.62",53.19,"fungi"
"18","2014_ZellerG","Ralstonia_pickettii","2","53.5",50.23,"fungi"
"19","2014_ZellerG","Burkholderia_dolosa","40","54.61",52.65,"fungi"
"20","2014_ZellerG","Photobacterium_damselae","1","56.57",55.77,"fungi"
"21","2014_ZellerG","Haemophilus_parainfluenzae","6","63.88",59.19,"fungi"
"22","2014_ZellerG","Succinivibrio_dextrinosolvens","68","54.41",52.14,"fungi"
"23","2014_ZellerG","Aeromonas_hydrophila","9","55.73",56.02,"fungi"
"24","2014_ZellerG","Aeromonas_veronii","33","45.51",51.11,"fungi"
"25","2014_ZellerG","Aeromonas_salmonicida","9","59.02",56.77,"fungi"
"26","2014_ZellerG","Acinetobacter_johnsonii","48","53.47",49.64,"fungi"
"27","2014_ZellerG","Pseudomonas_aeruginosa","75","56.99",51.93,"fungi"
"28","2014_ZellerG","Hafnia_alvei","79","57.92",53.25,"fungi"
"29","2014_ZellerG","Raoultella_planticola","13","49.58",52.37,"fungi"
"30","2014_ZellerG","Raoultella_ornithinolytica","79","49.19",50.34,"fungi"
"31","2014_ZellerG","Kosakonia_cowanii","41","46.05",48.94,"fungi"
"32","2014_ZellerG","Shigella_sp_PAMC_28760","36","65.34",66.32,"fungi"
"33","2014_ZellerG","Shigella_sonnei","26","43.16",53.04,"fungi"
"34","2014_ZellerG","Shigella_flexneri","61","51.28",51.38,"fungi"
"35","2014_ZellerG","Citrobacter_sp_TSA_1","11","59.24",53.89,"fungi"
"36","2014_ZellerG","Citrobacter_koseri","46","54.7",52.12,"fungi"
"37","2014_ZellerG","Citrobacter_braakii","61","45.08",54.46,"fungi"
"38","2014_ZellerG","Citrobacter_freundii_complex_sp_CFNIH3","24","58.39",54.07,"fungi"
"39","2014_ZellerG","Citrobacter_portucalensis","46","50.71",49.49,"fungi"
"40","2014_ZellerG","Citrobacter_freundii","53","49.19",49.5,"fungi"
"41","2014_ZellerG","Enterobacter_cloacae_complex_sp_ECNIH7","25","41.36",51.83,"fungi"
"42","2014_ZellerG","Enterobacter_kobei","5","58.13",53.47,"fungi"
"43","2014_ZellerG","Enterobacter_roggenkampii","57","55.19",56.62,"fungi"
"44","2014_ZellerG","Enterobacter_hormaechei","93","49.91",51.87,"fungi"
"45","2014_ZellerG","Enterobacter_ludwigii","47","50.11",52.43,"fungi"
"46","2014_ZellerG","Enterobacter_asburiae","61","50.23",55.78,"fungi"
"47","2014_ZellerG","Enterobacter_cloacae","49","64.48",56.17,"fungi"
"48","2014_ZellerG","Klebsiella_grimontii","93","52.55",53.83,"fungi"
"49","2014_ZellerG","Klebsiella_michiganensis","79","57.43",56.52,"fungi"
"50","2014_ZellerG","Klebsiella_variicola","44","44.15",49.62,"fungi"
"51","2014_ZellerG","Klebsiella_quasipneumoniae","32","60.4",52.78,"fungi"
"52","2014_ZellerG","Klebsiella_aerogenes","68","47.87",50.51,"fungi"
"53","2014_ZellerG","Klebsiella_pneumoniae","97","44",49.4,"fungi"
"54","2014_ZellerG","Klebsiella_oxytoca","25","52.94",54.23,"fungi"
"55","2014_ZellerG","Salmonella_enterica","39","53.56",51.35,"fungi"
"56","2014_ZellerG","Escherichia_coli","64","58.16",51.29,"fungi"
