"","p_values","adj_pvalue","mFC","AbsLog2FC"
"Gemella morbillorum",4.0195532768818e-19,1.09733804458873e-16,2.8060815521483,1.48855693809902
"Parvimonas micra",8.42197228628552e-18,1.14959921707797e-15,2.58943604728684,1.37263792788314
"Fusobacterium nucleatum",1.22176116731628e-16,1.11180266225781e-14,2.2635271453956,1.17857260823929
"Streptococcus anginosus",2.18387013696483e-11,1.49049136847849e-09,2.02842896822648,1.02036278295747
"Streptococcus milleri",8.06288931767771e-08,3.66861463954336e-06,1.83049284870176,0.872232137388616
"Bifidobacterium adolescentis",0.0061399876582148,0.0229618716533238,1.82840894958621,0.870588785688823
"Dialister pneumosintes",7.92448864148397e-07,2.16338539912512e-05,1.80025331514769,0.848199923662893
"[Eubacterium] eligens",1.18636219531455e-05,0.000215917919547249,0.593566569209617,0.752518255950358
"Adlercreutzia equolifaciens",0.000363368668573897,0.00329854908768906,0.599835634540663,0.737360863697691
"Prevotella ruminicola",0.00190870995053876,0.00983165691503927,0.636564176272258,0.651622125737276
"Citrobacter portucalensis",0.00315244446605462,0.0140470720468144,0.639172782287906,0.645722119184512
"Erysipelatoclostridium ramosum",0.000289903186048338,0.00304398345350755,1.54135541012452,0.624199560946847
"Roseburia intestinalis",2.17790664158446e-07,8.49383590217939e-06,0.654246517401485,0.612093755157008
"Alistipes sp. 3BBH6",0.00318070587306947,0.0140470720468144,1.52043898663569,0.604487923935806
"Prevotella sp. oral taxon 299",0.00353832364621642,0.0146357932638952,0.658407462256684,0.602947407822077
"Prevotella dentalis",0.00441188029657514,0.0172892905903421,0.661769746198671,0.595598756707482
"Citrobacter braakii",0.000329504236938543,0.00329854908768906,0.665078301816919,0.588403891126473
"Bifidobacterium longum",0.00526860082001497,0.0199767781092234,1.49655029273309,0.581640762536274
"Pseudobutyrivibrio xylanivorans",4.92604025025871e-09,2.68961797664125e-07,0.670147494653508,0.577449437545756
"Alloprevotella sp. E39",0.000284793158409183,0.00304398345350755,0.670952933124865,0.575716528952172
"Prevotella fusca",0.00693214414481157,0.0252330046871141,0.681613248362761,0.552974717713426
"Fusobacterium periodonticum",0.000800021333792378,0.00581787831118099,1.42861876095208,0.514620972371483
"Porphyromonas asaccharolytica",0.00180658101887071,0.00967052192454321,1.41822605742844,0.504087508556106
"Prevotella jejuni",0.0115835577612701,0.0376465627241277,0.710707233211474,0.492672712507691
"Ruminococcus bicirculans",0.032215815039845,0.0767707467851696,0.711855632424317,0.490343409178806
"Prevotella melaninogenica",0.0139905464085217,0.0449343431708992,0.713408562153097,0.487199564109712
"Prevotella denticola",0.0203418254239385,0.058455982534055,0.723842951803123,0.466251377181292
"Lactococcus garvieae",3.82346914436424e-05,0.000521903538205719,0.726009817969476,0.461939036693746
"Butyrivibrio proteoclasticus",4.286989652775e-07,1.46293521900947e-05,0.729544854774243,0.454931412465956
"Brachyspira pilosicoli",2.38513100488434e-05,0.000361744869074126,0.731709613453554,0.450656881281995
"Succinivibrio dextrinosolvens",3.31061482206922e-05,0.000475683077065735,0.732524610049655,0.449050865454629
"Bifidobacterium pseudocatenulatum",0.101895291892313,0.201575468743488,1.36397937797528,0.447821832398961
"Prevotella enoeca",0.0222193550778816,0.0631862910027258,0.733152554158289,0.447814669750644
"Acinetobacter johnsonii",0.000359147979385366,0.00329854908768906,0.738194871668701,0.437926379850348
"Megamonas hypermegale",0.000491945713557022,0.00408840714947129,0.739063941136579,0.43622890836428
"Streptococcus salivarius",0.0468832777647401,0.104910941227656,0.739384125698177,0.435604025154959
"Prevotella scopos",0.0257721920618197,0.0670076993607312,0.740300374764755,0.433817335961275
"Sutterella sp. KGMB03119",0.00793658310271774,0.0282924538993275,0.740676346825889,0.43308482878293
"Streptococcus mutans",0.00312441213835686,0.0140470720468144,1.34984622705208,0.432795066457433
"Longibaculum sp. KGMB06250",0.00308125775247722,0.0140470720468144,0.743192170028439,0.428192792737098
"Pseudomonas aeruginosa",0.00176936499824471,0.00966073289041609,0.745850114533502,0.423042358167407
"Paraprevotella xylaniphila",0.00881294442742298,0.0308453054959804,0.749144070523639,0.41668489977804
"Muribaculum sp. TLL-A4",0.00158695324362267,0.00966073289041609,0.750064781790188,0.41491289083708
"Enterobacter ludwigii",0.00242117809043434,0.0120178476125196,0.750606585038496,0.413871147906931
"Butyrivibrio hungatei",5.70046486335304e-06,0.000111159064835384,0.752252083630912,0.410711897263851
"Bacteroides intestinalis",0.00168819182356583,0.00966073289041609,0.753045921241511,0.409190250803754
"Butyrivibrio fibrisolvens",3.89627125762713e-06,8.57731459733288e-05,0.755085396730266,0.405288278963236
"Raoultella planticola",0.00475220360938578,0.0182725575403143,0.755344109886052,0.40479405637439
"[Clostridium] saccharolyticum",7.44160343616044e-07,2.16338539912512e-05,0.757833305303976,0.400047549998478
"Enterobacter roggenkampii",0.0155276561794534,0.0481710242839861,0.758741530680753,0.398319587259499
"Photobacterium damselae",2.03854566085751e-05,0.000327366450243588,0.759435729691223,0.397000218875138
"Prevotella oris",0.0651370447602455,0.138925103277711,0.760736678410206,0.394530929584636
"Klebsiella oxytoca",0.000882513242561476,0.00602315288048207,0.76284889269023,0.39053078272432
"Lactobacillus ruminis",0.000959126149600484,0.00638637655709591,0.763334732134232,0.389612258676749
"Bacteroides fragilis",4.06945418744857e-05,0.000529029044368314,1.3096138341841,0.389141467000586
"Veillonella parvula",0.0383616091196029,0.0880060444508536,0.763919760228407,0.388506984898541
"Dialister sp. Marseille-P5638",0.0300840331214918,0.0739904598393448,0.764552374142502,0.387312760956536
"Lachnoclostridium phytofermentans",4.08443552253947e-06,8.57731459733288e-05,0.766684789327109,0.383294537164545
"Anaerocolumna cellulosilytica",2.30507789269825e-06,5.72078422460567e-05,0.766743041279895,0.383184926784755
"Veillonella dispar",0.0351078771043983,0.0812241563517011,0.768911491917778,0.379110553293389
"Citrobacter freundii",0.00080981456346109,0.00581787831118099,0.77074748155559,0.375669824603821
"Raoultella ornithinolytica",0.00282504748492523,0.0137721064890105,0.770776083800554,0.375616287547496
"Lactococcus lactis",0.001889043581611,0.00983165691503927,0.770836031211761,0.375504085739967
"Veillonella atypica",0.0234842749693275,0.0647596673396606,0.771141997358211,0.374931553784546
"Ruminococcus albus",0.000494203062024002,0.00408840714947129,0.771211401566241,0.37480171440159
"Campylobacter jejuni",0.000374560519114875,0.00329854908768906,0.774728058535832,0.368238103791325
"Enterobacter asburiae",0.00176384378165213,0.00966073289041609,0.775497919907846,0.366805183313502
"Bacteroides cellulosilyticus",0.0265556237808414,0.0677540681511188,0.77635620101259,0.365209365764592
"Muribaculum intestinale",0.00360136437317914,0.0146742160280284,0.777721866816967,0.36267379199719
"Streptococcus sp. HSISS1",0.147794293429546,0.268985614041773,0.777805327986991,0.362518977582349
"Herbinix luporum",1.2654835135421e-05,0.000215923124498121,0.777826012810464,0.362480611304345
"Sutterella megalosphaeroides",0.024284444379416,0.0649966011331429,0.778634084706729,0.360982594845038
"Hafnia alvei",0.000354143672637745,0.00329854908768906,0.780210092994225,0.358065433337843
"Citrobacter koseri",0.0323393255688443,0.0767707467851696,0.782092717588187,0.35458844480293
"Klebsiella aerogenes",0.00443315143342105,0.0172892905903421,0.782410180894794,0.354002951807249
"Anaerostipes hadrus",0.0101813760106831,0.0342578210576011,0.783492265394776,0.352009062348638
"Enterobacter cloacae",0.0016206277216467,0.00966073289041609,0.783955536661912,0.351156263067835
"Bacteroides salanitronis",0.00353138126426203,0.0146357932638952,0.784760920714361,0.349674894430304
"Enterococcus durans",0.000682319484136683,0.00517425608803651,0.785545578368739,0.348233109910348
"Streptococcus sp. FDAARGOS 192",0.136159343155533,0.25459931973603,0.786373860211777,0.346712728917947
"Megamonas funiformis",0.0239386657676282,0.0649966011331429,0.787691174767025,0.344297982922576
"Enterobacter kobei",0.03354580949999,0.078948327530149,0.789159156348721,0.341611804890237
"[Eubacterium] cellulosolvens",4.45793864647979e-05,0.000553189659313174,0.789475806519316,0.341033039504083
"Citrobacter sp. TSA-1",0.0944883625504182,0.188287029023826,0.790792087521285,0.338629659013606
"Haemophilus parainfluenzae",0.134716198369208,0.25459931973603,0.791758637993722,0.336867392914634
"Acidaminococcus intestini",0.0552108699701563,0.122541199202054,0.792895489042206,0.33479737697453
"Clostridium butyricum",0.00122879864976805,0.00780144259038787,0.793280319185541,0.334097337864883
"Ruminococcus sp. JE7A12",0.0166749289936698,0.0505806179474652,0.793410814261507,0.333860033205631
"Klebsiella michiganensis",0.0197367479412786,0.0573205551911602,0.795487454823173,0.330088916068448
"Duncaniella sp. H5",0.00319017753444136,0.0140470720468144,0.797974090807722,0.325586190131511
