"","2014_ZellerG","2015_FengQ","2019_Thom","2019_Yachida","2021_JunY_2","Mean"
"Seed_1",81.21,82.31,68.52,68.02,79.14,75.84
"Seed_2",81.62,83.66,68.98,68.92,78.74,76.384
"Seed_3",80.03,83.54,65.05,68.57,79.47,75.332
"Seed_4",81,83.54,67.59,68.42,78.91,75.892
"Seed_5",81.48,83.05,67.59,68.28,78.69,75.818
"Seed_6",80.1,84.03,68.75,68.25,79.7,76.166
"Seed_7",80.65,84.89,67.13,68.74,79.7,76.222
"Seed_8",80.34,82.97,68.29,69.12,79.06,75.956
"Seed_9",80.86,84.64,65.97,68.19,79.58,75.848
"Seed_10",81.1,84.76,67.13,68.25,78.6,75.968
"Seed_11",81.36,85.25,66.67,68.6,78.49,76.074
"Seed_12",80.55,82.76,65.28,68.38,79,75.194
"Seed_13",80.88,83.46,67.82,68.67,79.8,76.126
"Seed_14",81.48,84.03,65.74,68.04,78.72,75.602
"Seed_15",80.88,83.54,64.81,68.43,79.34,75.4
"Seed_16",81.52,83.62,71.06,67.24,79.43,76.574
"Seed_17",79.98,82.92,66.9,68.42,78.83,75.41
"Seed_18",79.84,85.29,68.98,67.83,79.03,76.194
"Seed_19",80.53,82.76,68.98,68.9,78.57,75.948
"Seed_20",81.52,84.4,65.74,67.73,78.91,75.66
"Seed_21",79.89,84.07,68.98,69.07,79.48,76.298
"Seed_22",81.31,83.5,66.67,68.89,79.01,75.876
"Seed_23",81.85,83.58,66.67,68.77,79.61,76.096
"Seed_24",81.05,82.8,68.52,68.62,78.63,75.924
"Seed_25",79.77,83.86,66.2,68.62,79.58,75.606
"Seed_26",80.91,84.52,64.35,68.53,79.22,75.506
"Seed_27",80.29,85.21,67.36,68.44,78.95,76.05
"Seed_28",80.91,83.42,65.51,69.19,78.66,75.538
"Seed_29",81.14,84.4,69.44,68.53,78.74,76.45
"Seed_30",79.81,83.09,67.59,68.44,78.98,75.582
"Seed_31",81.31,84.48,65.74,68.1,79.48,75.822
"Seed_32",81.29,84.84,65.51,68.9,78.67,75.842
"Seed_33",80.36,83.74,66.67,68.32,79.55,75.728
"Seed_34",79.79,83.7,68.06,69.05,78.69,75.858
"Seed_35",81.55,83.66,67.13,68.12,78.78,75.848
"Seed_36",80.86,82.07,67.82,68.28,78.52,75.51
"Seed_37",80.93,83.37,65.74,68.01,78.33,75.276
"Seed_38",80.55,84.19,68.75,68.15,78.73,76.074
"Seed_39",80.98,84.84,67.13,68.21,78.61,75.954
"Seed_40",80.91,82.43,66.9,68.64,78.7,75.516
"Seed_41",80.69,83.05,64.58,68.96,79.65,75.386
"Seed_42",80.69,83.46,67.13,69.06,78.87,75.842
"Seed_43",81.36,82.39,66.9,67.82,79.42,75.578
"Seed_44",80.43,83.86,68.52,67.91,78.76,75.896
"Seed_45",80.86,83.62,66.9,69.06,79.1,75.908
"Seed_46",81.36,83.05,64.81,68.97,79.31,75.5
"Seed_47",80.62,83.25,66.9,68.37,78.33,75.494
"Seed_48",80.38,84.56,67.13,67.95,79.55,75.914
"Seed_49",79.72,84.11,68.06,68.35,79.61,75.97
"Seed_50",80.79,83.13,65.74,68.18,78.72,75.312
"Seed_51",80.72,85.83,64.58,68.8,78.8,75.746
"Seed_52",80.88,83.17,67.13,68.45,78.74,75.674
"Seed_53",81.19,82.72,66.9,68.31,79.64,75.752
"Seed_54",80.24,84.23,67.59,68.03,78.63,75.744
"Seed_55",80.55,82.97,65.51,68.36,78.61,75.2
"Seed_56",81.78,84.23,66.67,67.97,79.47,76.024
"Seed_57",81.19,83.78,67.82,68.54,78.89,76.044
"Seed_58",81.67,85.54,66.44,68.49,79.33,76.294
"Seed_59",81.57,84.64,68.06,68.81,78.65,76.346
"Seed_60",80.72,83.25,65.28,68.58,78.88,75.342
"Seed_61",80.65,84.4,68.98,68.71,79.34,76.416
"Seed_62",81.78,84.11,68.75,68.26,78.71,76.322
"Seed_63",81.83,82.11,67.13,68.04,78.98,75.618
"Seed_64",80.46,83.86,69.91,68.63,78.49,76.27
"Seed_65",80.67,82.27,69.44,68.94,79.5,76.164
"Seed_66",80.38,84.64,66.67,68.78,79.48,75.99
"Seed_67",80.31,83.29,65.97,69.21,78.34,75.424
"Seed_68",80.91,84.4,66.2,68.76,78.83,75.82
"Seed_69",81,83.37,66.2,68.15,79,75.544
"Seed_70",79.91,85.09,67.13,69.24,78.95,76.064
"Seed_71",80,84.07,65.51,68.58,78.93,75.418
