"","2014_ZellerG","2015_FengQ","2019_Thom","2019_Yachida","2021_JunY_2","Mean"
"Seed_1",80.88,83.82,67.13,68.36,79.17,75.872
"Seed_2",80.83,84.03,67.13,68.7,79.17,75.972
"Seed_3",80.55,84.4,66.2,68.45,79.29,75.778
"Seed_4",80.65,84.31,66.9,68.58,79.02,75.892
"Seed_5",80.38,83.91,69.21,68.55,78.56,76.122
"Seed_6",81.45,84.11,67.36,68.21,79.29,76.084
"Seed_7",80.88,85.46,65.74,68.42,79.29,75.958
"Seed_8",81.1,84.31,67.59,68.71,78.94,76.13
"Seed_9",80.83,83.95,67.13,68.62,79.25,75.956
"Seed_10",81.07,84.97,68.06,68.59,79.13,76.364
"Seed_11",80.55,84.15,67.59,68.29,79.21,75.958
"Seed_12",80.41,83.7,66.2,68.53,79.29,75.626
"Seed_13",80.88,84.76,68.98,68.49,79.14,76.45
"Seed_14",81.05,84.31,66.9,68.32,79.14,75.944
"Seed_15",81.1,84.6,68.52,68.29,79.57,76.416
"Seed_16",80.74,84.31,67.13,68.19,79.25,75.924
"Seed_17",80.91,84.44,67.13,68.67,79.08,76.046
"Seed_18",80.6,84.27,66.67,68.22,79.12,75.776
"Seed_19",80.53,84.19,66.2,68.41,79.07,75.68
"Seed_20",80.72,84.23,67.36,68.32,79.29,75.984
"Seed_21",80.81,84.44,69.21,69.04,79.36,76.572
"Seed_22",80.88,85.25,67.59,68.78,79.15,76.33
"Seed_23",81.21,84.19,66.67,68.71,79.39,76.034
"Seed_24",80.29,83.62,66.67,68.2,79.34,75.624
"Seed_25",80.81,84.31,64.81,68.31,79.37,75.522
"Seed_26",80.91,83.74,64.81,68.32,79.15,75.386
"Seed_27",80.69,85.05,68.06,68.31,79.06,76.234
"Seed_28",80.91,84.4,67.13,68.77,79.16,76.074
"Seed_29",81.36,84.8,68.06,68.67,79.28,76.434
"Seed_30",80.69,84.03,67.59,68.49,78.99,75.958
"Seed_31",80.76,83.46,65.28,68.13,79.16,75.358
"Seed_32",81.1,84.11,66.2,68.63,78.93,75.794
"Seed_33",80.5,84.44,65.74,68.35,78.93,75.592
"Seed_34",81.02,84.07,67.59,68.71,79.01,76.08
"Seed_35",80.95,84.35,68.52,68.5,79.28,76.32
"Seed_36",80.95,83.13,67.13,68.11,79.2,75.704
"Seed_37",81.33,85.25,66.2,68.08,78.98,75.968
"Seed_38",80.69,84.35,68.98,68.34,78.85,76.242
"Seed_39",81.1,84.93,67.59,68.72,78.8,76.228
"Seed_40",80.83,82.68,66.67,68.47,78.92,75.514
"Seed_41",80.83,84.4,66.2,68.41,79.13,75.794
"Seed_42",80.55,84.6,65.74,68.93,79.08,75.78
"Seed_43",80.74,84.8,68.98,68.25,79.11,76.376
"Seed_44",80.93,83.66,67.13,68.63,79.14,75.898
"Seed_45",80.79,84.23,68.98,68.6,79.11,76.342
"Seed_46",80.81,84.19,67.13,68.88,78.92,75.986
"Seed_47",80.86,84.27,67.59,68.68,78.75,76.03
"Seed_48",81.1,83.82,67.59,68.32,79.05,75.976
"Seed_49",80.41,84.27,67.59,68.59,79.33,76.038
"Seed_50",80.38,83.74,65.05,68.4,78.86,75.286
"Seed_51",80.27,84.68,66.2,68.57,78.95,75.734
"Seed_52",80.91,84.68,65.97,68.86,79.17,75.918
"Seed_53",81.14,84.03,67.59,68.38,79.06,76.04
"Seed_54",80.86,85.09,67.59,68.28,78.84,76.132
"Seed_55",80.03,84.15,66.44,68.61,78.84,75.614
"Seed_56",81.21,84.31,66.44,68.57,79.24,75.954
"Seed_57",81.05,84.11,65.74,68.44,79.13,75.694
"Seed_58",81.38,84.03,66.2,68.48,79.22,75.862
"Seed_59",80.36,83.74,68.52,68.57,79.3,76.098
"Seed_60",80.79,83.42,65.74,68.33,79.07,75.47
"Seed_61",80.93,84.19,67.59,68.3,79.26,76.054
