"","2014_ZellerG","2015_FengQ","2019_Thom","2019_Yachida","2021_JunY_2","Mean"
"Seed_1",73.2,80.76,75.23,70.11,75.5,74.96
"Seed_2",74.41,79.53,76.62,70.37,75.15,75.216
"Seed_3",74.5,80.31,75.46,71.02,76.5,75.558
"Seed_4",73.77,80.23,76.16,70.24,75.76,75.232
"Seed_5",73.72,80.23,75.46,71.3,75.75,75.292
"Seed_6",74.43,80.11,75,70.7,76.86,75.42
"Seed_7",74.05,79.9,76.85,70.53,75.17,75.3
"Seed_8",74.1,79.41,76.39,71.1,75.65,75.33
"Seed_9",73.84,80.23,77.78,71.23,75.93,75.802
"Seed_10",74.43,79.74,76.16,70.53,75.55,75.282
"Seed_11",74.43,79.58,75.93,70.46,75.63,75.206
"Seed_12",74.03,80.35,78.47,70.88,75.53,75.852
"Seed_13",73.39,79.82,74.77,70.86,75.46,74.86
"Seed_14",73.51,80.51,75.46,70.27,75.02,74.954
"Seed_15",74.74,81.9,75.69,71.08,75.52,75.786
"Seed_16",74.76,79.41,77.31,70.6,74.84,75.384
"Seed_17",74.38,80.11,76.16,70.61,75.31,75.314
"Seed_18",73.62,80.72,77.31,70.81,75.59,75.61
"Seed_19",74.93,79.62,74.77,70.52,76.09,75.186
"Seed_20",74.26,80.15,75.46,71.02,76.09,75.396
"Seed_21",74.24,79.45,76.39,70.66,75.85,75.318
"Seed_22",73.93,79.9,76.85,70.96,75.66,75.46
"Seed_23",74.38,80.11,76.39,70.98,75.91,75.554
"Seed_24",73.43,78.76,76.16,70.64,76.49,75.096
"Seed_25",74.72,79.53,78.24,70.61,76.05,75.83
"Seed_26",75.02,80.35,77.78,70.81,75.87,75.966
"Seed_27",73.79,79.21,76.39,70.31,75.56,75.052
"Seed_28",73.89,80.31,75.93,70.71,75.88,75.344
"Seed_29",73.86,81.54,74.31,70.36,76.68,75.35
"Seed_30",74.67,80.39,75.46,70.25,76.4,75.434
"Seed_31",73.51,79.98,78.01,70.56,75.46,75.504
"Seed_32",73.51,79.41,77.78,70.64,76.35,75.538
"Seed_33",72.3,80.35,76.85,70.21,76.21,75.184
"Seed_34",74.12,81.66,75.93,70.94,75.7,75.67
"Seed_35",74.22,79.98,77.78,71.16,76.7,75.968
"Seed_36",74.24,80.31,75.46,70.69,75.77,75.294
"Seed_37",74.26,80.56,76.16,70.79,76.35,75.624
"Seed_38",74.41,79.98,76.39,70.93,75.32,75.406
"Seed_39",72.94,79.29,73.61,70.56,75.5,74.38
"Seed_40",74.31,81.05,75.46,70.8,75.67,75.458
"Seed_41",73.51,81.21,75.23,70.73,75.41,75.218
"Seed_42",74.19,80.64,76.16,70.67,76.04,75.54
"Seed_43",73.43,79.98,75,70.53,74.44,74.676
"Seed_44",74.64,80.31,76.85,70.94,76.35,75.818
"Seed_45",73.7,80.23,74.31,70.5,75.93,74.934
"Seed_46",74.22,79.58,74.77,70.7,76.44,75.142
"Seed_47",73.7,80.96,75.93,70.58,75.68,75.37
"Seed_48",75.05,81.13,73.84,70.96,76.14,75.424
"Seed_49",73.01,80.76,76.16,70.28,75.3,75.102
"Seed_50",74.05,80.07,76.39,70.99,76.43,75.586
"Seed_51",73.91,79,77.78,70.76,76.24,75.538
"Seed_52",72.75,80.6,75.93,70.79,75.9,75.194
"Seed_53",74.88,80.11,76.16,70.8,76.02,75.594
"Seed_54",73.98,80.19,75.46,71.27,75.81,75.342
"Seed_55",73.77,81.09,74.54,70.65,76.2,75.25
"Seed_56",74.12,79.37,78.24,70.59,75.05,75.474
"Seed_57",73.22,81,75.23,70.48,75.58,75.102
"Seed_58",74.81,81.62,74.54,70.74,75.69,75.48
"Seed_59",74.5,79.58,76.16,71.25,75.73,75.444
"Seed_60",74.36,80.8,74.54,70.74,76.44,75.376
"Seed_61",73.53,80.43,75.46,70.91,75.55,75.176
"Seed_62",74.41,80.76,75.69,70.7,75.81,75.474
