"","2014_ZellerG","2015_FengQ","2019_Thom","2019_Yachida","2021_JunY_2","Mean"
"Seed_1",77.73,82.97,64.81,69.76,78.11,74.676
"Seed_2",76.35,82.84,62.04,69.42,78.75,73.88
"Seed_3",77.4,83.99,64.58,70.03,78.13,74.826
"Seed_4",79.15,82.56,65.51,69.51,78.82,75.11
"Seed_5",77.47,82.48,64.12,69.61,78.94,74.524
"Seed_6",77.47,82.72,63.19,69.73,78.52,74.326
"Seed_7",77.96,82.97,64.81,69.3,78.73,74.754
"Seed_8",77.94,83.01,62.5,69.59,78.93,74.394
"Seed_9",77.73,83.01,62.5,69.51,78.84,74.318
"Seed_10",79.13,83.37,62.73,69.94,78.18,74.67
"Seed_11",78.61,83.91,66.2,69.49,78.08,75.258
"Seed_12",78.18,83.01,64.35,69.96,77.95,74.69
"Seed_13",77.85,83.25,61.34,69.34,78.46,74.048
"Seed_14",77.37,82.76,62.96,68.86,78.5,74.09
"Seed_15",77.96,84.03,65.97,69.53,78.83,75.264
"Seed_16",77.25,83.82,64.12,69.19,78.24,74.524
"Seed_17",79.03,83.33,64.35,68.77,78,74.696
"Seed_18",78.89,83.82,61.57,69.86,78.99,74.626
"Seed_19",77.11,83.5,64.35,69.54,77.87,74.474
"Seed_20",78.13,82.97,64.35,69.32,77.88,74.53
"Seed_21",77.73,82.88,63.89,70.36,78.29,74.63
"Seed_22",78.01,82.52,62.04,69.02,78.2,73.958
"Seed_23",78.15,83.99,63.89,69.48,78.23,74.748
"Seed_24",76.99,82.56,62.5,69.62,78.43,74.02
"Seed_25",77.51,82.64,62.5,69.47,78.25,74.074
"Seed_26",76.57,82.52,65.51,69.56,78.47,74.526
"Seed_27",77.49,82.8,62.27,69.19,77.56,73.862
"Seed_28",77.99,83.58,63.43,69.62,78.4,74.604
"Seed_29",77.89,82.64,62.04,69.09,78.75,74.082
"Seed_30",77.78,82.92,64.81,69.38,78.37,74.652
"Seed_31",78.11,83.66,63.43,69.48,77.9,74.516
"Seed_32",78.01,82.27,63.19,69.37,78.42,74.252
"Seed_33",77.82,84.4,63.19,68.92,78.88,74.642
"Seed_34",77.56,83.7,65.51,69.43,78.68,74.976
"Seed_35",77.35,83.95,64.81,69.58,78.21,74.78
"Seed_36",78.18,83.09,63.43,69.51,79.11,74.664
"Seed_37",78.61,83.74,62.27,69.64,78.34,74.52
"Seed_38",78.01,82.92,62.04,69.69,78.85,74.302
"Seed_39",78.56,81.74,63.43,69.54,78.57,74.368
"Seed_40",78.18,83.37,61.57,69.58,78.75,74.29
"Seed_41",77.09,82.68,64.35,69.62,79.11,74.57
"Seed_42",76.78,83.01,61.81,69.13,78.12,73.77
"Seed_43",77.09,82.88,66.2,69.76,78.8,74.946
"Seed_44",77.66,82.48,64.58,69.68,77.87,74.454
"Seed_45",78.34,82.84,63.66,69.05,79.03,74.584
"Seed_46",77.85,83.7,62.5,69.22,78.47,74.348
"Seed_47",78.32,82.88,63.43,69.7,78.85,74.636
"Seed_48",77.11,83.82,62.96,69.21,78.34,74.288
"Seed_49",77.13,82.43,65.74,69.5,78.16,74.592
"Seed_50",77.7,83.5,62.27,69.96,78.4,74.366
"Seed_51",77.96,82.56,65.28,69.3,78.67,74.754
"Seed_52",77.32,82.64,66.9,68.97,78.73,74.912
"Seed_53",77.56,83.42,62.04,69.56,78.56,74.228
"Seed_54",77.78,82.68,62.5,69.52,77.77,74.05
"Seed_55",77.51,82.88,62.73,68.99,78.3,74.082
"Seed_56",78.11,83.29,60.65,69.34,78.32,73.942
"Seed_57",78.06,83.29,63.66,69.13,78.17,74.462
"Seed_58",78.56,82.84,64.35,69.44,78.46,74.73
"Seed_59",77.32,82.92,61.11,69.32,78.48,73.83
"Seed_60",77.85,82.84,66.2,68.69,77.74,74.664
"Seed_61",77.8,82.56,64.81,69.66,78.31,74.628
"Seed_62",76.19,82.8,63.43,69.05,78.13,73.92
"Seed_63",78.04,82.84,62.27,69.58,78.35,74.216
"Seed_64",77.51,83.62,63.43,70.06,78.17,74.558
"Seed_65",78.53,83.21,63.89,69.51,79.22,74.872
"Seed_66",77.92,83.99,64.12,69.83,78.54,74.88
"Seed_67",77.16,82.92,64.35,69.39,78.55,74.474
"Seed_68",77.99,83.54,62.27,69.62,78.61,74.406
"Seed_69",77.75,83.01,63.89,68.84,78.92,74.482
"Seed_70",77.78,83.01,63.89,69.47,78.58,74.546
"Seed_71",78.75,83.01,64.58,69.64,78.33,74.862
"Seed_72",78.68,82.92,64.81,69.51,78.42,74.868
"Seed_73",78.3,83.01,66.67,69.94,78.1,75.204
"Seed_74",77.16,82.97,64.35,69.51,78.42,74.482
"Seed_75",77.61,83.21,64.58,69.99,78.02,74.682
"Seed_76",78.63,83.01,64.12,69.85,79.33,74.988
"Seed_77",78.27,82.31,61.57,69.44,78.34,73.986
"Seed_78",76.83,82.56,62.04,69.22,77.83,73.696
"Seed_79",77.82,83.29,63.19,69.23,79.13,74.532
"Seed_80",77.44,84.72,67.59,69.24,78.04,75.406
"Seed_81",77.13,82.43,64.35,70,78.96,74.574
"Seed_82",77.04,83.78,62.96,70.1,78.69,74.514
"Seed_83",77.82,83.82,65.51,69.91,78.97,75.206
"Seed_84",78.3,83.21,65.28,69.18,78.18,74.83
"Seed_85",77.25,81.86,65.28,69.92,78.39,74.54
"Seed_86",77.75,82.03,63.66,69.24,78.37,74.21
"Seed_87",77.75,83.13,65.74,69.12,77.39,74.626
"Seed_88",77.13,83.42,65.97,69.36,79.14,75.004
"Seed_89",78.06,83.66,63.43,69.43,78.43,74.602
"Seed_90",78.01,83.62,64.81,69.43,78,74.774
"Seed_91",77.66,83.82,63.89,69.45,78.58,74.68
"Seed_92",78.89,82.64,63.43,69.33,78.39,74.536
"Seed_93",76.9,82.68,65.05,69.45,78.03,74.422
"Seed_94",77.75,83.21,61.57,68.85,78.43,73.962
"Seed_95",78.13,83.01,65.28,69.01,78.32,74.75
"Seed_96",78.2,82.39,66.2,69.49,78.35,74.926
"Seed_97",78.53,82.68,66.67,69.48,78.13,75.098
"Seed_98",77.54,83.05,64.35,69.37,78.07,74.476
"Seed_99",77.87,84.23,64.12,69.83,78.46,74.902
"Seed_100",77.89,82.92,62.27,69.68,78.87,74.326
