"","2014_ZellerG","2015_FengQ","2019_Thom","2019_Yachida","2021_JunY_2","Mean"
"Seed_1",65.04,62.99,28.24,59.63,66.54,56.488
"Seed_2",64.16,61.97,28.24,60.2,64.52,55.818
"Seed_3",65.35,61.07,35.65,58.52,65.94,57.306
"Seed_4",65.75,60.5,29.17,59.74,65.56,56.144
"Seed_5",65.39,61.27,32.87,58.92,65.5,56.79
"Seed_6",63.88,59.44,32.87,59.82,66.42,56.486
"Seed_7",62.67,63.93,31.48,58.66,64.75,56.298
"Seed_8",64.92,59.23,29.17,59.6,64.63,55.51
"Seed_9",63.28,61.36,32.87,58.99,66.79,56.658
"Seed_10",64.9,58.7,31.94,59.44,64.74,55.944
"Seed_11",64.18,59.48,31.02,58.79,64.41,55.576
"Seed_12",63.35,60.33,31.02,58.55,64.58,55.566
"Seed_13",63.8,61.07,29.17,59.76,64.56,55.672
"Seed_14",65.28,61.81,29.63,59,65.29,56.202
"Seed_15",64.8,61.15,30.09,58.82,66.24,56.22
"Seed_16",63.66,61.11,31.02,59.03,64.77,55.918
"Seed_17",62.71,59.97,31.71,60.16,65.72,56.054
"Seed_18",63.99,58.91,29.86,58.78,65.34,55.376
"Seed_19",65.8,61.64,33.8,58.78,65.46,57.096
"Seed_20",65.35,59.68,30.56,59.81,64.69,56.018
"Seed_21",64.56,58.5,31.02,58.13,66.72,55.786
"Seed_22",64.16,58.86,30.56,58.92,63.33,55.166
"Seed_23",64.02,60.58,31.02,58.89,64.08,55.718
"Seed_24",65.8,61.89,34.49,59.18,66.59,57.59
"Seed_25",63.52,61.93,33.1,59.32,64.8,56.534
"Seed_26",64.94,59.8,29.63,59.27,65.28,55.784
"Seed_27",63.97,58.54,31.02,59.42,65.71,55.732
"Seed_28",65.87,61.68,32.41,59.27,64.34,56.714
"Seed_29",66.46,60.09,28.7,58.76,63.81,55.564
"Seed_30",66.72,58.29,32.87,58.38,63.77,56.006
"Seed_31",65.06,58.99,31.71,59.77,65.2,56.146
"Seed_32",65.32,61.11,26.16,58.62,64.93,55.228
"Seed_33",64.21,63.07,30.56,59.3,65.38,56.504
"Seed_34",63.57,60.99,31.25,58.93,64.93,55.934
"Seed_35",64.82,62.05,29.63,59.28,63.44,55.844
"Seed_36",65.51,61.56,30.56,59.09,65.31,56.406
"Seed_37",64.33,62.13,30.56,59.33,65.44,56.358
"Seed_38",65.3,59.52,32.41,59.23,64.16,56.124
"Seed_39",65.42,57.76,31.02,59.06,65.22,55.696
"Seed_40",64.28,60.62,29.17,59.07,63.9,55.408
"Seed_41",65.2,58.58,31.94,58.83,64.51,55.812
"Seed_42",64.61,60.87,30.32,59.22,63.61,55.726
"Seed_43",64.04,60.99,30.32,59.75,64.47,55.914
"Seed_44",65.13,62.75,30.09,58.69,65.57,56.446
"Seed_45",63.85,61.11,30.09,58.74,63.47,55.452
"Seed_46",64.97,62.54,32.41,59.24,65.09,56.85
"Seed_47",64.78,58.54,29.4,59.29,64.49,55.3
"Seed_48",63.9,61.6,35.65,59.16,63.86,56.834
"Seed_49",65.75,59.44,31.94,59.02,65.04,56.238
"Seed_50",64.73,59.64,31.94,58.81,65.95,56.214
"Seed_51",64.87,63.56,31.94,58.69,64.68,56.748
"Seed_52",64.94,62.87,29.17,59.23,64.77,56.196
"Seed_53",65.39,62.5,31.94,57.21,67.51,56.91
"Seed_54",63.64,60.99,30.09,59.54,67.08,56.268
"Seed_55",62.88,60.66,33.1,59.7,66.73,56.614
"Seed_56",65.09,61.4,27.08,59.43,66.64,55.928
"Seed_57",64.94,62.17,32.87,58.74,65.92,56.928
"Seed_58",63.8,59.76,29.63,58.89,66.39,55.694
"Seed_59",65.42,60.33,28.94,59.15,65.71,55.91
"Seed_60",64.85,58.66,25.69,58.64,65.85,54.738
"Seed_61",63.61,60.99,29.17,59.24,64.85,55.572
"Seed_62",65.13,60.46,31.94,59.48,66.07,56.616
"Seed_63",64.61,59.89,28.7,58.33,64.29,55.164
"Seed_64",64.21,64.38,28.7,58.44,65.68,56.282
"Seed_65",64.49,62.05,31.02,58.5,64.56,56.124
"Seed_66",64.78,60.99,32.41,57.85,64.77,56.16
"Seed_67",65.37,60.09,29.63,59.41,65.26,55.952
"Seed_68",63.57,63.03,31.02,58.9,64.47,56.198
"Seed_69",63.85,62.54,31.02,58.34,64.61,56.072
"Seed_70",65.32,60.54,29.63,58.69,66.19,56.074
"Seed_71",63.69,59.76,30.09,58.9,66.58,55.804
"Seed_72",66.25,59.93,30.32,60.56,64.76,56.364
"Seed_73",64.8,63.07,30.32,58.82,63.54,56.11
"Seed_74",64.63,63.44,28.24,58.82,65.29,56.084
"Seed_75",65.94,60.05,27.31,59.49,66.01,55.76
"Seed_76",64.85,59.64,35.65,59.28,63.98,56.68
"Seed_77",65.94,60.83,31.25,58.53,65.88,56.486
"Seed_78",65.01,61.19,31.94,58.6,66.16,56.58
"Seed_79",63.85,61.27,28.7,58.88,65.33,55.606
"Seed_80",65.2,61.19,34.72,59.58,65.62,57.262
"Seed_81",64.94,60.13,30.56,59.15,66.05,56.166
"Seed_82",65.23,60.78,28.01,58.57,66.06,55.73
"Seed_83",63.4,64.42,32.41,58.85,65.62,56.94
"Seed_84",63.78,58.09,30.09,58.28,67.18,55.484
"Seed_85",64.97,60.83,34.03,58.52,65.76,56.822
"Seed_86",63.66,63.56,31.02,58.74,65.03,56.402
"Seed_87",63.88,60.21,31.02,58.18,65.15,55.688
"Seed_88",64.75,61.03,30.79,58.91,65.38,56.172
"Seed_89",63.4,58.58,31.48,59.66,64.48,55.52
"Seed_90",64.73,63.6,31.02,58.48,64.89,56.544
"Seed_91",63.43,62.09,30.09,58.51,66.24,56.072
"Seed_92",64.42,60.62,31.48,58.66,65.71,56.178
"Seed_93",64.23,61.19,25.93,59.5,65.14,55.198
"Seed_94",64.71,62.17,27.08,59.19,64.08,55.446
"Seed_95",63.47,63.48,32.18,58.63,65.13,56.578
"Seed_96",64.92,61.07,32.18,58.67,66.6,56.688
"Seed_97",64.52,61.07,35.19,59.57,65,57.07
"Seed_98",65.54,63.68,32.87,58.71,64.99,57.158
"Seed_99",63.92,61.48,32.41,59.2,66.09,56.62
"Seed_100",64.73,62.25,32.87,58.57,65.24,56.732
