"","Mean","CRC.1","CRC.2","CRC.3","CRC.4","CRC.5","CRC.6","CRC.7","CRC.8","CRC.9","CRC.10","Rank"
"Gemella_morbillorum",69.3621823126345,58.0966495329728,81.0949507105279,60.5540743832521,70.6828392139956,58.0966495329728,81.0949507105279,81.0949507105279,58.0966495329728,73.5297943447925,71.2803144538024,2
"Parvimonas_micra",100,100,100,100,100,100,100,100,100,100,100,1
"Fusobacterium_nucleatum",67.2637458443795,65.2887599761734,68.419969163321,69.632760593942,72.0473875452105,65.2887599761734,68.419969163321,68.419969163321,65.2887599761734,64.8205286887144,65.010594197445,3
"Streptococcus_anginosus",28.4392230493066,23.5077863540368,39.1654425715906,19.3929046696585,26.9078725227173,23.5077863540368,39.1654425715906,39.1654425715906,23.5077863540368,28.1656215147241,21.9061450090841,6
"Pseudobutyrivibrio_xylanivorans",29.6537208730863,23.4830043997525,39.4702954213392,27.0964690101401,30.2399380760074,23.4830043997525,39.4702954213392,39.4702954213392,23.4830043997525,26.2615919773483,24.0793102040924,5
"Streptococcus_milleri",8.51155315754772,5.56509322679225,15.1960906214309,3.3895261741229,0,5.56509322679225,15.1960906214309,15.1960906214309,5.56509322679225,9.14814796967261,10.2943058870122,14
"Roseburia_intestinalis",27.9625862324501,29.8123215100821,34.105145838325,30.0705637746914,27.9868766958326,29.8123215100821,34.105145838325,34.105145838325,29.8123215100821,12.1611897825413,17.6548300262142,7
"Dialister_pneumosintes",35.1904517474307,27.9194328605175,45.0193104083674,34.8140983951751,28.9706102949312,27.9194328605175,45.0193104083674,45.0193104083674,27.9194328605175,36.1739245704477,33.1296544070981,4
"Eubacterium_eligens",16.5547394105633,15.3745693102434,22.5402586415331,11.3528110455627,10.6252168300114,15.3745693102434,22.5402586415331,22.5402586415331,15.3745693102434,18.3479769191684,11.476905455561,11
"Erysipelatoclostridium_ramosum",13.8435181392945,14.4875196724481,17.797051230619,18.7108619355712,11.9406574442289,14.4875196724481,17.797051230619,17.797051230619,14.4875196724481,7.9486904309505,2.98125887299277,13
"Adlercreutzia_equolifaciens",0.627036539196399,0,0,0,6.27036539196399,0,0,0,0,0,0,15
"Citrobacter_braakii",19.7225153915862,17.2623506473076,30.1673860958699,11.992539797255,16.8040128933397,17.2623506473076,30.1673860958699,30.1673860958699,17.2623506473076,16.7688035042669,9.37058749146811,10
"Fusobacterium_periodonticum",24.8242113804387,22.7702418888956,29.3443369930333,25.7466180239086,26.8966124234065,22.7702418888956,29.3443369930333,29.3443369930333,22.7702418888956,27.1570890960471,12.0980576152378,8
"Porphyromonas_asaccharolytica",16.224509116402,13.8009502170364,28.8588478837189,11.2558709728428,8.12189208709219,13.8009502170364,28.8588478837189,28.8588478837189,13.8009502170364,10.5145587559526,4.37337504586641,12
"Prevotella_ruminicola",21.805794258857,20.8135437062932,26.7324533977716,15.4162800561682,21.7267365325728,20.8135437062932,26.7324533977716,26.7324533977716,20.8135437062932,19.1072167490207,19.1697179386139,9
