"","2014_ZellerG_Mean","2015_FengQ_Mean","2019_Thom_Mean","2019_Yachida_Mean","2021_JunY_2_Mean","2014_ZellerG_Rank","2015_FengQ_Rank","2019_Thom_Rank","2019_Yachida_Rank","2021_JunY_2_Rank","Rank3","Rank5","Rank10"
"Aspergillus_rambellii",98.487527007256,33.8015430945007,6.15125728814519,16.6701266099997,62.5706807746847,1,10,26,13,6,"Sel","Sel","Sel"
"Erysiphe_pulchra",21.9366743861988,36.000412568029,100,11.2175216324652,8.99396944487445,19,8,1,20,27,"Sel","Sel","Sel"
"Blumeria_graminis",30.1409970789267,28.3323219060324,23.9182531487471,18.1117777820239,21.8972281135911,15,15,7,12,18,"Ign","Ign","Sel"
"Rosellinia_necatrix",26.8222433979312,33.04969512903,9.80082253707584,35.1446327101745,33.8589546612358,17,11,18,4,12,"Ign","Sel","Sel"
"Pseudocercospora_eumusae",32.3592170287748,9.00470397320196,8.69961616486398,14.1559690340768,16.9772974029485,14,26,19,17,21,"Ign","Ign","Ign"
"Thielaviopsis_punctulata",19.7772572488622,14.9685411463168,6.57279825554572,4.00732473735728,29.8298664544293,21,22,24,28,14,"Ign","Ign","Ign"
"Colletotrichum_incanum",16.466301358381,25.1334714657434,8.47677495794824,24.8072763450471,23.6734938691974,23,16,20,9,17,"Ign","Ign","Sel"
"Cryptococcus_neoformans",22.8379528008177,28.9528835563726,3.40369661484197,11.8930224746585,0.277669951675451,18,13,29,19,29,"Ign","Ign","Ign"
"Moniliophthora_perniciosa",50.2296987799934,28.6837677042626,29.5727081514065,15.2533860418572,8.42954606299589,6,14,4,15,28,"Ign","Sel","Sel"
"Sphaerulina_musiva",28.4293579805192,21.5681491812307,7.74429761222326,11.0879299035642,34.1919336075771,16,17,22,22,11,"Ign","Ign","Ign"
"Grosmannia_clavigera",5.01763883489259,13.3481432822713,10.3391748688469,13.5373637859095,48.7034195733774,29,23,16,18,7,"Ign","Ign","Sel"
"Aspergillus_ochraceoroseus",19.9564531475372,50.2505275581359,8.19809862857537,5.78354757985498,20.6373848389275,20,6,21,25,20,"Ign","Ign","Sel"
"Peniophora_sp_CONT",15.3169451766374,20.1246329681688,10.174315398094,45.9319810791378,12.5820035961606,26,19,17,3,26,"Sel","Sel","Sel"
"Lentinula_edodes",39.7489821299159,3.576719018424,5.51332633020268,8.82313510235891,16.8283537454571,9,29,28,24,22,"Ign","Ign","Sel"
"Gemella_morbillorum",46.6334950820742,96.0323479885236,41.0064695686109,54.3177828379409,71.3063608874624,7,2,2,2,3,"Sel","Sel","Sel"
"Parvimonas_micra",66.7293064529113,97.0703098799577,16.6761644620146,100,100,3,1,10,1,1,"Sel","Sel","Sel"
"Fusobacterium_nucleatum",33.2778658507673,63.9069899002807,12.6423962166578,34.3983924712795,83.3220115928141,12,4,13,5,2,"Sel","Sel","Sel"
"Streptococcus_anginosus",18.0291245422155,9.82931962988486,33.3684011094969,4.93190696857932,44.1687127672654,22,25,3,26,9,"Sel","Sel","Sel"
"Pseudobutyrivibrio_xylanivorans",43.2364385096464,31.071291627768,20.8052196423258,11.1878241230778,65.7226421057711,8,12,9,21,5,"Ign","Sel","Sel"
"Streptococcus_milleri",16.4289166942363,9.91118848572883,25.61549825728,4.25764252585885,26.2707822819172,24,24,5,27,16,"Ign","Sel","Sel"
"Roseburia_intestinalis",37.2833249863472,5.11003350916104,24.0346240430264,28.5821859572663,68.2671777537932,10,27,6,8,4,"Ign","Sel","Sel"
"Dialister_pneumosintes",63.6631138222903,42.6601241992546,6.26558381631737,29.1432073648883,46.2851332516356,4,7,25,7,8,"Ign","Sel","Sel"
"Eubacterium_eligens",68.073584942028,19.1156068847198,13.2639647194915,3.29461546484322,41.923598759033,2,20,12,29,10,"Sel","Sel","Sel"
"Erysipelatoclostridium_ramosum",15.3959201216081,16.7602637953076,12.2157502505972,15.0716086590028,16.2982537782047,25,21,14,16,24,"Ign","Ign","Ign"
"Adlercreutzia_equolifaciens",15.1508158324079,51.9787519645001,5.60799299944431,15.3702377630026,27.9348995397393,27,5,27,14,15,"Ign","Sel","Sel"
"Citrobacter_braakii",15.0998782195817,35.8816796443539,11.7496206106056,31.7740868203238,15.2879235509106,28,9,15,6,25,"Ign","Ign","Sel"
"Fusobacterium_periodonticum",32.5964088762306,21.1275693732729,15.4236036538125,9.22408620681466,33.7381230287046,13,18,11,23,13,"Ign","Ign","Ign"
"Porphyromonas_asaccharolytica",51.6418450738789,88.0427909973984,7.29472881529713,21.8305803513487,21.2418441764727,5,3,23,10,19,"Sel","Sel","Sel"
"Prevotella_ruminicola",37.0829816473277,5.08634692598668,21.1321817083327,19.8000984394728,16.7873676739386,11,28,8,11,23,"Ign","Ign","Sel"
