"","2014_ZellerG_Mean","2015_FengQ_Mean","2019_Thom_Mean","2019_Yachida_Mean","2021_JunY_2_Mean","2014_ZellerG_Rank","2015_FengQ_Rank","2019_Thom_Rank","2019_Yachida_Rank","2021_JunY_2_Rank","Rank3","Rank5","Rank10"
"Gemella_morbillorum",72.2246122403098,90.7104626708385,100,73.867549281088,41.132129416455,4,3,1,2,6,"Sel","Sel","Sel"
"Parvimonas_micra",100,98.65974863944,37.2643099152868,100,100,1,1,9,1,1,"Sel","Sel","Sel"
"Fusobacterium_nucleatum",54.4348152912986,64.5415560073559,31.0670774980898,47.0102750817755,78.2211616231711,6,4,11,3,2,"Sel","Sel","Sel"
"Streptococcus_anginosus",16.4510952440852,12.999983870493,76.8987526724838,11.7537796383601,34.1144324964456,12,10,4,10,7,"Ign","Sel","Sel"
"Pseudobutyrivibrio_xylanivorans",47.9729442123275,33.6384631035152,67.0520081365848,15.8894664841753,52.8978127399234,7,6,6,8,3,"Sel","Sel","Sel"
"Streptococcus_milleri",30.8604819220453,1.2411789407563,78.6909959937652,2.00953423680641,19.1097491277413,11,15,3,15,11,"Sel","Sel","Sel"
"Roseburia_intestinalis",43.3606982535731,7.9323769884006,68.3333113544067,29.9255717033655,52.0898122442064,8,13,5,6,4,"Ign","Sel","Sel"
"Dialister_pneumosintes",75.2342808096023,26.5134000099135,10.7514877839153,32.727352683037,24.5853967146259,2,8,13,5,9,"Sel","Sel","Sel"
"Eubacterium_eligens",39.3853527189099,12.2332081564777,43.5309234879936,8.38454659171901,41.9621185778107,9,11,8,14,5,"Ign","Sel","Sel"
"Erysipelatoclostridium_ramosum",8.82556589303682,17.2968285887185,32.8655337816528,12.2821458611894,10.7287995800995,14,9,10,9,14,"Ign","Ign","Sel"
"Adlercreutzia_equolifaciens",12.1542127922508,41.6769534839412,20.2173765726307,9.23227901013627,23.3262657391451,13,5,12,13,10,"Ign","Sel","Sel"
"Citrobacter_braakii",1.10111649685162,33.6244253472671,6.88917156371788,35.175047278222,0,15,7,15,4,15,"Ign","Sel","Sel"
"Fusobacterium_periodonticum",32.0012557064277,8.85394723197008,45.9709114113666,11.330707425668,29.9096213145112,10,12,7,11,8,"Ign","Ign","Sel"
"Porphyromonas_asaccharolytica",73.3579167636293,95.4549921306168,8.38798290041682,9.69448874751033,11.2927377763585,3,2,14,12,13,"Sel","Sel","Sel"
"Prevotella_ruminicola",60.9707938852621,2.17429371504544,78.8776111472626,23.2409584881526,12.3426338517089,5,14,2,7,12,"Sel","Sel","Sel"
