"","2014_ZellerG_Mean","2015_FengQ_Mean","2019_Thom_Mean","2019_Yachida_Mean","2021_JunY_2_Mean","2014_ZellerG_Rank","2015_FengQ_Rank","2019_Thom_Rank","2019_Yachida_Rank","2021_JunY_2_Rank","Rank3","Rank5","Rank10"
"Aspergillus_rambellii",100,74.9533619866677,5.14345449842489,5.18343471741887,100,1,2,12,14,1,"Sel","Sel","Sel"
"Erysiphe_pulchra",15.4965002132595,97.9573274843794,100,11.5123684483129,25.6144823306819,11,1,1,13,9,"Sel","Sel","Sel"
"Blumeria_graminis",42.2326639452514,61.5240191959753,15.8612702567157,77.1229773731151,39.743128101406,3,4,3,2,6,"Sel","Sel","Sel"
"Rosellinia_necatrix",13.4549457219271,73.5275255468983,12.6181456225551,66.4643767563733,62.0591062101737,12,3,4,4,2,"Sel","Sel","Sel"
"Pseudocercospora_eumusae",18.9004981042344,10.5839321266247,8.69426165711136,34.0150028974787,32.8285357070247,9,14,6,8,8,"Ign","Ign","Sel"
"Thielaviopsis_punctulata",21.7462471355302,42.2226446348846,7.43443599533604,14.3874725477207,34.9841375189896,7,6,7,11,7,"Ign","Ign","Sel"
"Colletotrichum_incanum",5.30945797522855,36.380251731791,0.334564113516228,55.4185372978219,15.3115655680578,13,8,14,6,12,"Ign","Ign","Sel"
"Cryptococcus_neoformans",39.6176013916709,16.8939419100457,6.79376734847537,23.6209093785504,1.82060185691699,4,12,8,10,14,"Ign","Sel","Sel"
"Moniliophthora_perniciosa",58.997851608795,58.15750813268,19.4140010522698,73.1847891493666,21.417635579743,2,5,2,3,10,"Sel","Sel","Sel"
"Sphaerulina_musiva",26.4957314287746,24.0893910273436,5.70635912132529,24.9304579378666,61.0945493638373,6,10,11,9,3,"Sel","Sel","Sel"
"Grosmannia_clavigera",4.86528021022055,39.5568114740888,6.45906109684588,57.0971087702241,49.645727322417,14,7,9,5,4,"Ign","Sel","Sel"
"Aspergillus_ochraceoroseus",20.2091152324975,35.9500255643487,8.90264356421009,12.6130296130609,48.1424351302124,8,9,5,12,5,"Ign","Sel","Sel"
"Peniophora_sp_CONT",18.1087927725399,21.057364735456,3.59611439377477,92.9931875274269,7.32683641570851,10,11,13,1,13,"Sel","Sel","Sel"
"Lentinula_edodes",33.0464608639739,12.2952722974245,5.93002200882854,40.4467683994858,20.8880266360519,5,13,10,7,11,"Ign","Sel","Sel"
