"","Aspergillus_rambellii","Erysiphe_pulchra","Blumeria_graminis","Rosellinia_necatrix","Pseudocercospora_eumusae","Thielaviopsis_punctulata","Colletotrichum_incanum","Cryptococcus_neoformans","Moniliophthora_perniciosa","Sphaerulina_musiva","Grosmannia_clavigera","Aspergillus_ochraceoroseus","Peniophora_sp_CONT","Lentinula_edodes","Gemella_morbillorum","Parvimonas_micra","Fusobacterium_nucleatum","Streptococcus_anginosus","Pseudobutyrivibrio_xylanivorans","Streptococcus_milleri","Roseburia_intestinalis","Dialister_pneumosintes","Eubacterium_eligens","Erysipelatoclostridium_ramosum","Adlercreutzia_equolifaciens","Citrobacter_braakii","Fusobacterium_periodonticum","Porphyromonas_asaccharolytica","Prevotella_ruminicola"
"Mean",33.8015430945007,36.000412568029,28.3323219060324,33.04969512903,9.00470397320196,14.9685411463168,25.1334714657434,28.9528835563726,28.6837677042626,21.5681491812307,13.3481432822713,50.2505275581359,20.1246329681688,3.576719018424,96.0323479885236,97.0703098799577,63.9069899002807,9.82931962988486,31.071291627768,9.91118848572883,5.11003350916104,42.6601241992546,19.1156068847198,16.7602637953076,51.9787519645001,35.8816796443539,21.1275693732729,88.0427909973984,5.08634692598668
"CRC.1",29.7010792739059,36.7520403047518,26.039922807138,42.4856804510396,6.59485188380905,7.27302848881547,27.2138877587104,41.7985826557638,37.4656734510754,19.7036276972164,13.8563542468757,51.2545472332449,29.3051797131246,8.32559664637587,97.6337096479122,100,57.7398394024232,13.4353895968734,36.8738194924897,22.0411346739589,0,48.8403274938573,22.1689125232293,18.2281591268959,57.1814549572077,40.7596473172722,20.0956638810713,88.9961254797299,2.92885365184699
"CRC.2",29.7010792739059,36.7520403047518,26.039922807138,42.4856804510396,6.59485188380905,7.27302848881547,27.2138877587104,41.7985826557638,37.4656734510754,19.7036276972164,13.8563542468757,51.2545472332449,29.3051797131246,8.32559664637587,97.6337096479122,100,57.7398394024232,13.4353895968734,36.8738194924897,22.0411346739589,0,48.8403274938573,22.1689125232293,18.2281591268959,57.1814549572077,40.7596473172722,20.0956638810713,88.9961254797299,2.92885365184699
"CRC.3",21.5571699578093,27.8004739580018,32.7342062473537,38.0040147803377,15.4694916345755,8.21588072468085,21.4560613924138,29.1974799231369,14.7652994025931,36.8155442662114,11.2385278137178,60.9477226772486,22.6520637178815,0.392225763691175,90.5038174519547,100,68.4397269719033,8.71082831285671,21.8989611963246,2.91408115934262,6.23255883635095,36.8499131613797,9.30254562360764,10.9896947593348,44.2289880660468,21.033848623828,14.5267464151648,88.5257804105253,0
"CRC.4",29.7010792739059,36.7520403047518,26.039922807138,42.4856804510396,6.59485188380905,7.27302848881547,27.2138877587104,41.7985826557638,37.4656734510754,19.7036276972164,13.8563542468757,51.2545472332449,29.3051797131246,8.32559664637587,97.6337096479122,100,57.7398394024232,13.4353895968734,36.8738194924897,22.0411346739589,0,48.8403274938573,22.1689125232293,18.2281591268959,57.1814549572077,40.7596473172722,20.0956638810713,88.9961254797299,2.92885365184699
"CRC.5",41.9230387520672,23.1252630530942,31.3727849135752,33.8600205816806,0,19.4530445913161,32.4261759360544,21.5957420305692,18.88211809594,9.3272708826783,16.3210836225333,42.0070777259927,1.74739008828051,5.1990872407106,96.9455030961118,100,56.5753100553564,5.65721684559191,16.2280769504923,5.87373926160186,1.81356173346742,30.7570790981737,26.7244448465161,8.449367532901,62.7058518862692,23.3599521619099,17.2451749104246,89.2563480423278,7.73951374303151
"CRC.6",19.1616493834356,31.8423479650112,19.4081880068378,35.2874553855561,8.26662349655751,17.9180508141937,18.4741945862979,25.3009823283832,43.6036736405565,14.3064461603524,5.76684450054654,49.0135328363152,14.884948982591,0,91.5137636486607,100,66.5441216337376,8.15118629075251,29.3761307737944,3.30823192704649,5.05994010312078,33.3445149189727,18.8399992922742,16.0243050885622,44.404054782018,46.0787084113306,27.4938639609212,96.4250663742866,1.17457329693996
"CRC.7",52.592823447237,56.0061543859108,35.4536492753653,13.370471611185,19.129872726451,22.4541272305105,23.2181244720921,20.5710794776963,17.351886906907,36.2438151841925,18.2489930111043,52.87634503988,28.707024341345,0,100,85.3515493997886,75.5858952227232,10.8296964613414,43.4920405776566,5.85522864938618,15.5603862910415,57.5135791576508,12.1089486881612,26.4905602850637,44.8971766853782,38.3133423607068,23.4919389658293,76.7754621455201,12.1243671121915
"CRC.8",52.592823447237,56.0061543859108,35.4536492753653,13.370471611185,19.129872726451,22.4541272305105,23.2181244720921,20.5710794776963,17.351886906907,36.2438151841925,18.2489930111043,52.87634503988,28.707024341345,0,100,85.3515493997886,75.5858952227232,10.8296964613414,43.4920405776566,5.85522864938618,15.5603862910415,57.5135791576508,12.1089486881612,26.4905602850637,44.8971766853782,38.3133423607068,23.4919389658293,76.7754621455201,12.1243671121915
"CRC.9",19.1616493834356,31.8423479650112,19.4081880068378,35.2874553855561,8.26662349655751,17.9180508141937,18.4741945862979,25.3009823283832,43.6036736405565,14.3064461603524,5.76684450054654,49.0135328363152,14.884948982591,0,91.5137636486607,100,66.5441216337376,8.15118629075251,29.3761307737944,3.30823192704649,5.05994010312078,33.3445149189727,18.8399992922742,16.0243050885622,44.404054782018,46.0787084113306,27.4938639609212,96.4250663742866,1.17457329693996
"CRC.10",41.9230387520672,23.1252630530942,31.3727849135752,33.8600205816806,0,19.4530445913161,32.4261759360544,21.5957420305692,18.88211809594,9.3272708826783,16.3210836225333,42.0070777259927,1.74739008828051,5.1990872407106,96.9455030961118,100,56.5753100553564,5.65721684559191,16.2280769504923,5.87373926160186,1.81356173346742,30.7570790981737,26.7244448465161,8.449367532901,62.7058518862692,23.3599521619099,17.2451749104246,89.2563480423278,7.73951374303151
