"","Aspergillus_rambellii","Erysiphe_pulchra","Blumeria_graminis","Rosellinia_necatrix","Pseudocercospora_eumusae","Thielaviopsis_punctulata","Colletotrichum_incanum","Cryptococcus_neoformans","Moniliophthora_perniciosa","Sphaerulina_musiva","Grosmannia_clavigera","Aspergillus_ochraceoroseus","Peniophora_sp_CONT","Lentinula_edodes","Gemella_morbillorum","Parvimonas_micra","Fusobacterium_nucleatum","Streptococcus_anginosus","Pseudobutyrivibrio_xylanivorans","Streptococcus_milleri","Roseburia_intestinalis","Dialister_pneumosintes","Eubacterium_eligens","Erysipelatoclostridium_ramosum","Adlercreutzia_equolifaciens","Citrobacter_braakii","Fusobacterium_periodonticum","Porphyromonas_asaccharolytica","Prevotella_ruminicola"
"Mean",16.6701266099997,11.2175216324652,18.1117777820239,35.1446327101745,14.1559690340768,4.00732473735728,24.8072763450471,11.8930224746585,15.2533860418572,11.0879299035642,13.5373637859095,5.78354757985498,45.9319810791378,8.82313510235891,54.3177828379409,100,34.3983924712795,4.93190696857932,11.1878241230778,4.25764252585885,28.5821859572663,29.1432073648883,3.29461546484322,15.0716086590028,15.3702377630026,31.7740868203238,9.22408620681466,21.8305803513487,19.8000984394728
"CRC.1",20.5002642360257,17.1841374430827,19.2165645471463,37.5862467848404,20.4580815003975,2.4738362290595,22.6543112957553,14.6436620029549,20.1896525792637,17.1002238400315,9.35188352515118,6.59402633250059,46.9587572150169,14.0048941684754,62.231546167163,100,36.3007106312114,0.515614865999273,6.11706397747907,0,30.4872605198678,28.4596858327494,2.16486967234374,20.5247609266895,18.4454503932469,38.3600708027423,18.8209542764684,21.5388803880237,19.796211634447
"CRC.2",20.5002642360257,17.1841374430827,19.2165645471463,37.5862467848404,20.4580815003975,2.4738362290595,22.6543112957553,14.6436620029549,20.1896525792637,17.1002238400315,9.35188352515118,6.59402633250059,46.9587572150169,14.0048941684754,62.231546167163,100,36.3007106312114,0.515614865999273,6.11706397747907,0,30.4872605198678,28.4596858327494,2.16486967234374,20.5247609266895,18.4454503932469,38.3600708027423,18.8209542764684,21.5388803880237,19.796211634447
"CRC.3",20.5946661205629,5.54995243903762,17.7872906335635,35.5721270554609,4.56300124960365,5.64230263251782,28.6616698809606,13.0546845101127,10.0329896902517,5.9693264850024,11.1053217048617,8.77686419044167,54.9046492167601,5.36350645728421,51.6226252870209,100,31.9317102949038,2.92025503606596,6.6756335638056,4.23616884412645,26.8236792721429,20.9951327765195,0,10.0247945109888,14.5082163848941,32.4877242873368,8.48394631139494,18.4904928032213,9.13014969875181
"CRC.4",17.9665830498421,7.40230464778485,20.0556294327799,33.9783851743102,14.501203735552,0,29.0903402694972,7.76225066754262,14.6847240986927,4.1367922407099,18.0705900759586,2.03863496059777,51.1501496159995,12.067173299007,55.6621481090598,100,36.5062959089141,4.99830905522714,14.7972464444177,13.5149594653371,33.7482533971164,35.2738847356108,7.29725271542832,15.8043382217307,10.5504803609723,29.2296895453956,4.58576110157412,29.2374563171012,27.0516731802564
"CRC.5",20.5002642360257,17.1841374430827,19.2165645471463,37.5862467848404,20.4580815003975,2.4738362290595,22.6543112957553,14.6436620029549,20.1896525792637,17.1002238400315,9.35188352515118,6.59402633250059,46.9587572150169,14.0048941684754,62.231546167163,100,36.3007106312114,0.515614865999273,6.11706397747907,0,30.4872605198678,28.4596858327494,2.16486967234374,20.5247609266895,18.4454503932469,38.3600708027423,18.8209542764684,21.5388803880237,19.796211634447
"CRC.6",18.634790812373,15.3247054136828,17.1745706314386,35.6425616791135,10.2672879459326,11.6895824435896,19.2989727516133,14.4882000819725,11.8597030586831,11.5213524671769,13.3893816499092,0,39.1345127540305,1.82745980660558,40.9889071948806,100,30.2900935768674,8.90685795059218,8.36434678246655,0.322219144954832,22.2112462753867,28.4496650062739,1.36949889691805,10.5505498348055,22.6108030297705,23.9646945339567,6.71689666103982,19.3082343596417,11.3350797189947
"CRC.7",10.0657833167439,11.8002001143235,21.9168693397833,35.3935720472325,13.2433749944416,10.3659645691471,22.1153585514053,14.0559044086691,12.653582908905,13.5629322691997,19.258632042218,13.1938536656885,38.2971111988117,3.52868481015266,58.7099708879945,100,38.1666709066976,14.9375842987127,24.7587581218431,0,23.9123164841262,27.4658154619515,9.3244145768035,15.1989675503249,19.1552742465611,33.3659494236541,3.55874569139761,19.0245047844219,18.4901395931143
"CRC.8",10.1159686842325,10.124956937677,13.1843303136424,32.4308453721295,11.5888823621354,4.95388904113979,23.3873233473722,4.75849371764638,14.0986667863731,11.3805334635,15.2583624318705,3.08674569940733,42.4391991013655,2.2600715410859,47.016116365027,100,30.6056491366367,0,13.1044635782924,5.30775717241924,26.9805474895946,25.2050025777902,0.37653083343344,12.4564679368381,12.8990600611113,24.3434099366664,2.28209095748228,20.2413270623248,16.4822041734454
"CRC.9",17.9665830498421,7.40230464778485,20.0556294327799,33.9783851743102,14.501203735552,0,29.0903402694972,7.76225066754262,14.6847240986927,4.1367922407099,18.0705900759586,2.03863496059777,51.1501496159995,12.067173299007,55.6621481090598,100,36.5062959089141,4.99830905522714,14.7972464444177,13.5149594653371,33.7482533971164,35.2738847356108,7.29725271542832,15.8043382217307,10.5504803609723,29.2296895453956,4.58576110157412,29.2374563171012,27.0516731802564
"CRC.10",9.85609835832387,3.01837979511324,13.2937643948126,31.6917102446667,11.5204918163586,0,28.4658244928593,13.1174546842344,13.9505120391825,8.87089834924836,12.1651093028649,8.91866332431496,41.3677676433604,9.10259930502075,46.8212739248777,100,31.0750770862271,11.0109096919702,11.0293543630973,5.68036116641374,26.9357816975762,33.3896308568776,0.78659589338932,9.30234753354062,8.09171200600365,30.0394985226056,5.56479741427859,18.1496907056041,29.0714299465685
