"","Aspergillus_rambellii","Erysiphe_pulchra","Blumeria_graminis","Rosellinia_necatrix","Pseudocercospora_eumusae","Thielaviopsis_punctulata","Colletotrichum_incanum","Cryptococcus_neoformans","Moniliophthora_perniciosa","Sphaerulina_musiva","Grosmannia_clavigera","Aspergillus_ochraceoroseus","Peniophora_sp_CONT","Lentinula_edodes","Gemella_morbillorum","Parvimonas_micra","Fusobacterium_nucleatum","Streptococcus_anginosus","Pseudobutyrivibrio_xylanivorans","Streptococcus_milleri","Roseburia_intestinalis","Dialister_pneumosintes","Eubacterium_eligens","Erysipelatoclostridium_ramosum","Adlercreutzia_equolifaciens","Citrobacter_braakii","Fusobacterium_periodonticum","Porphyromonas_asaccharolytica","Prevotella_ruminicola"
"Mean",62.5706807746847,8.99396944487445,21.8972281135911,33.8589546612358,16.9772974029485,29.8298664544293,23.6734938691974,0.277669951675451,8.42954606299589,34.1919336075771,48.7034195733774,20.6373848389275,12.5820035961606,16.8283537454571,71.3063608874624,100,83.3220115928141,44.1687127672654,65.7226421057711,26.2707822819172,68.2671777537932,46.2851332516356,41.923598759033,16.2982537782047,27.9348995397393,15.2879235509106,33.7381230287046,21.2418441764727,16.7873676739386
"CRC.1",60.5953400770467,17.1850682621743,25.0218440818779,41.0679817669789,20.323429513992,43.2958225882642,20.9521378800126,0,16.6157232419323,43.0065654978914,43.8272338107805,30.6499849759961,15.7666925147004,22.4541040834909,83.692714219779,100,87.8388366830743,51.6970238834138,70.6044223054605,37.2066260088417,77.3234498717784,41.9799832679083,51.4609559114503,20.0008503327384,38.6126151587492,4.85655426294914,53.1798121885882,27.446920224888,18.1870213126155
"CRC.2",56.471713643056,0.625489564785495,11.484165987252,29.8167050347183,12.6761316796798,20.0552600551802,14.5839367066497,0,3.8052849355687,21.4060294228947,50.3503321555132,10.1633331780981,11.8651873434419,17.2106120117856,58.0136467080631,100,75.0146237679802,29.4223721340257,53.8376069444913,15.4876537566704,65.4060307043872,33.5843521839668,29.3973056192677,10.1209411665625,16.8725961103151,7.54600506981627,26.856209012911,11.5838668179264,8.78018870203242
"CRC.3",73.733560884182,20.6088274243307,16.9302721189553,42.9957305396764,20.5804410063532,25.85556274246,37.4654033678896,0,9.39184901079552,44.8529245327989,47.6230597545825,27.2020265605474,22.4423492645311,25.1484328368221,88.6571883720449,100,91.566434833341,58.8905748715925,72.2213947907459,44.0949517399612,76.7120684192717,57.2364312009857,41.7634034440631,29.1531056662741,39.2134387275192,25.666621425985,38.9806217463476,32.6503198913506,22.5694982815471
"CRC.4",61.1176919327297,14.2562507527197,30.6098614065706,33.9418144585348,22.7010095333283,39.9589615864003,16.9669275552624,2.77669951675451,5.91480078329961,36.9699484364279,43.7694974559236,33.6867489839624,0,5.09048176979983,71.7083232317777,100,91.3440447909038,65.3004782607293,75.1645046283674,27.4363109671183,61.9482013894229,64.4977864410765,59.7131147935563,20.0146705570627,30.873528258649,17.5357404553609,47.4015258815196,33.1693028107672,28.2466858729696
"CRC.5",56.471713643056,0.625489564785495,11.484165987252,29.8167050347183,12.6761316796798,20.0552600551802,14.5839367066497,0,3.8052849355687,21.4060294228947,50.3503321555132,10.1633331780981,11.8651873434419,17.2106120117856,58.0136467080631,100,75.0146237679802,29.4223721340257,53.8376069444913,15.4876537566704,65.4060307043872,33.5843521839668,29.3973056192677,10.1209411665625,16.8725961103151,7.54600506981627,26.856209012911,11.5838668179264,8.78018870203242
"CRC.6",65.146055914509,1.42345188810398,25.1933165494987,22.6013854711743,4.84480462503122,28.5585329606937,15.8069567734296,0,1.29858905133019,18.2795654210695,58.5782013290431,13.7598209372357,3.03026482172347,12.7452235391282,47.4318449288679,100,82.3172343800271,22.5403116315953,54.8986064097672,9.68427144011361,60.1249969980983,22.8024934367173,28.2594007812611,1.29605058488333,11.8362987824474,5.30739893364123,23.6453135743883,10.5413071077216,7.42775278360512
"CRC.7",66.8192364942938,13.9572946919145,27.6253092734269,35.5184200886663,19.5070053140584,34.9906749604307,33.4468017139696,0,13.9434468355937,40.9280804877863,47.6647736257346,24.0679517365226,17.2510593256038,15.2811970249717,78.780528794049,100,79.2242543943319,49.75369499485,71.0243899758119,37.5973061765421,66.4112849306053,54.6694564906174,47.3092075615055,18.8704610800534,36.3886691321903,30.5839403563123,25.2842387931123,28.0497987062894,20.788759291157
"CRC.8",56.471713643056,0.625489564785495,11.484165987252,29.8167050347183,12.6761316796798,20.0552600551802,14.5839367066497,0,3.8052849355687,21.4060294228947,50.3503321555132,10.1633331780981,11.8651873434419,17.2106120117856,58.0136467080631,100,75.0146237679802,29.4223721340257,53.8376069444913,15.4876537566704,65.4060307043872,33.5843521839668,29.3973056192677,10.1209411665625,16.8725961103151,7.54600506981627,26.856209012911,11.5838668179264,8.78018870203242
"CRC.9",66.8192364942938,13.9572946919145,27.6253092734269,35.5184200886663,19.5070053140584,34.9906749604307,33.4468017139696,0,13.9434468355937,40.9280804877863,47.6647736257346,24.0679517365226,17.2510593256038,15.2811970249717,78.780528794049,100,79.2242543943319,49.75369499485,71.0243899758119,37.5973061765421,66.4112849306053,54.6694564906174,47.3092075615055,18.8704610800534,36.3886691321903,30.5839403563123,25.2842387931123,28.0497987062894,20.788759291157
