"","Gemella_morbillorum","Parvimonas_micra","Fusobacterium_nucleatum","Streptococcus_anginosus","Pseudobutyrivibrio_xylanivorans","Streptococcus_milleri","Roseburia_intestinalis","Dialister_pneumosintes","Eubacterium_eligens","Erysipelatoclostridium_ramosum","Adlercreutzia_equolifaciens","Citrobacter_braakii","Fusobacterium_periodonticum","Porphyromonas_asaccharolytica","Prevotella_ruminicola"
"Mean",72.2246122403098,100,54.4348152912986,16.4510952440852,47.9729442123275,30.8604819220453,43.3606982535731,75.2342808096023,39.3853527189099,8.82556589303682,12.1542127922508,1.10111649685162,32.0012557064277,73.3579167636293,60.9707938852621
"CRC.1",56.2588937701268,100,57.1331692438843,22.8831702811806,56.4170018417452,34.3077691711165,59.1576379543158,69.8476494265251,47.1154030693231,11.1621276663865,21.1820027651604,0,43.3400879260818,66.1054499603975,78.302691424678
"CRC.2",85.4597354260526,100,79.4386282464367,25.1394422698393,75.4351935050082,44.3392415486594,47.9520790972819,87.6963085630923,69.7950563231126,21.9915637895615,19.2566112497179,0,55.6294361382023,86.4457185281762,57.536012228194
"CRC.3",43.190950068113,100,31.5525596859804,6.09828938012261,42.2449665129615,12.9261009238226,30.4520890722608,63.0922345587706,34.1128266419435,0.40029919236405,7.96739891097372,0,36.2503842989585,66.4937939779891,35.5819137023962
"CRC.4",98.9342816948773,100,50.6708016835621,12.2210706121126,33.6560367057196,39.7745802552998,40.979980666124,79.5147183315076,45.759482786016,7.88964448640524,7.13974866964602,0,22.0704090012276,75.4047590723391,69.4942184726421
"CRC.5",56.2588937701268,100,57.1331692438843,22.8831702811806,56.4170018417452,34.3077691711165,59.1576379543158,69.8476494265251,47.1154030693231,11.1621276663865,21.1820027651604,0,43.3400879260818,66.1054499603975,78.302691424678
"CRC.6",98.9342816948773,100,50.6708016835621,12.2210706121126,33.6560367057196,39.7745802552998,40.979980666124,79.5147183315076,45.759482786016,7.88964448640524,7.13974866964602,0,22.0704090012276,75.4047590723391,69.4942184726421
"CRC.7",85.7308994715527,100,69.3497226708046,14.2336424480115,49.9511756037724,11.9053445101579,39.2588364351488,78.1933082972933,0,5.21041996251582,16.3118849784699,11.0111649685162,18.7390133520756,73.9371956123875,57.8316230409769
"CRC.8",55.3529547443807,100,66.1759390853285,30.5117365640569,56.0510261879223,38.5687522058581,44.2366709517752,82.029268270523,24.3235630854053,14.259888001574,6.25558233311399,0,20.2519361202359,81.7834884019388,58.088437911375
"CRC.9",98.9342816948773,100,50.6708016835621,12.2210706121126,33.6560367057196,39.7745802552998,40.979980666124,79.5147183315076,45.759482786016,7.88964448640524,7.13974866964602,0,22.0704090012276,75.4047590723391,69.4942184726421
"CRC.10",43.190950068113,100,31.5525596859804,6.09828938012261,42.2449665129615,12.9261009238226,30.4520890722608,63.0922345587706,34.1128266419435,0.40029919236405,7.96739891097372,0,36.2503842989585,66.4937939779891,35.5819137023962
