"","Gemella_morbillorum","Parvimonas_micra","Fusobacterium_nucleatum","Streptococcus_anginosus","Pseudobutyrivibrio_xylanivorans","Streptococcus_milleri","Roseburia_intestinalis","Dialister_pneumosintes","Eubacterium_eligens","Erysipelatoclostridium_ramosum","Adlercreutzia_equolifaciens","Citrobacter_braakii","Fusobacterium_periodonticum","Porphyromonas_asaccharolytica","Prevotella_ruminicola"
"Mean",90.7104626708385,98.65974863944,64.5415560073559,12.999983870493,33.6384631035152,1.2411789407563,7.9323769884006,26.5134000099135,12.2332081564777,17.2968285887185,41.6769534839412,33.6244253472671,8.85394723197008,95.4549921306168,2.17429371504544
"CRC.1",73.306512008925,98.0599747153165,65.2639183545368,18.2128745265152,24.5474249669032,2.78423219457128,5.75721664061584,37.9545481613926,9.62456042958029,16.589192901396,46.3769027747354,30.2575079734934,6.91556830205381,100,0
"CRC.2",96.9677157817355,100,60.6869375812065,0,38.4476150387011,1.09193239784065,1.72955170978291,15.2966951542143,11.7015247964691,14.6832869963747,37.9248513365404,33.9618841493275,3.89542749846849,98.0207830461985,1.38027022035875
"CRC.3",73.306512008925,98.0599747153165,65.2639183545368,18.2128745265152,24.5474249669032,2.78423219457128,5.75721664061584,37.9545481613926,9.62456042958029,16.589192901396,46.3769027747354,30.2575079734934,6.91556830205381,100,0
"CRC.4",87.9441923007501,100,58.4270458462577,24.4554261564036,44.6851672642394,0.254877297462391,18.712168826121,24.2662482340927,18.6118481971189,23.8228216741584,54.8613452162754,36.485740384044,4.35533742825968,96.3757208603908,0
"CRC.5",96.9677157817355,100,60.6869375812065,0,38.4476150387011,1.09193239784065,1.72955170978291,15.2966951542143,11.7015247964691,14.6832869963747,37.9248513365404,33.9618841493275,3.89542749846849,98.0207830461985,1.38027022035875
"CRC.6",87.9441923007501,100,58.4270458462577,24.4554261564036,44.6851672642394,0.254877297462391,18.712168826121,24.2662482340927,18.6118481971189,23.8228216741584,54.8613452162754,36.485740384044,4.35533742825968,96.3757208603908,0
"CRC.7",100,90.4775369637672,74.861111167359,5.09400540373959,21.9547378733706,0,17.7086248319942,30.9654354188595,19.1194046654104,9.59009177125901,30.4199887823063,35.3245251223977,6.21573611087231,92.5655492328078,2.74259675022614
"CRC.8",96.0312856352273,100,75.1648204296271,26.7341756259581,27.3782040990512,0,5.12298196009272,40.6539825215232,10.6078377166864,21.3275211943575,39.9266525367838,46.7595129553183,26.5144938101285,88.1789814449428,14.859529739152
"CRC.9",97.6687851086009,100,65.9468873313642,12.835056309395,33.2436594843419,3.05777322997368,2.36473702909668,23.1829039051386,1.02744753987437,17.1767827813357,30.1718435286791,18.7880662318974,21.5811484426675,86.9915997690401,0
"CRC.10",96.9677157817355,100,60.6869375812065,0,38.4476150387011,1.09193239784065,1.72955170978291,15.2966951542143,11.7015247964691,14.6832869963747,37.9248513365404,33.9618841493275,3.89542749846849,98.0207830461985,1.38027022035875
