"","Gemella_morbillorum","Parvimonas_micra","Fusobacterium_nucleatum","Streptococcus_anginosus","Pseudobutyrivibrio_xylanivorans","Streptococcus_milleri","Roseburia_intestinalis","Dialister_pneumosintes","Eubacterium_eligens","Erysipelatoclostridium_ramosum","Adlercreutzia_equolifaciens","Citrobacter_braakii","Fusobacterium_periodonticum","Porphyromonas_asaccharolytica","Prevotella_ruminicola"
"Mean",100,37.2643099152868,31.0670774980898,76.8987526724838,67.0520081365848,78.6909959937652,68.3333113544067,10.7514877839153,43.5309234879936,32.8655337816528,20.2173765726307,6.88917156371788,45.9709114113666,8.38798290041682,78.8776111472626
"CRC.1",100,47.2363555418539,40.3132267145545,60.2807227047096,73.8060012942098,83.0555165040022,66.8681972788805,21.8237754313004,60.6303007004824,38.158013501639,14.7121994595181,10.7581763297505,34.5378085436236,0,74.3905590625046
"CRC.2",100,51.7748548618597,42.1292714187474,93.250088263196,85.636694647239,94.3511370009323,88.1603618669275,19.0071344624318,53.2537232669163,25.0923488868232,26.7105672722046,0,71.1760539650674,7.9360224970856,78.0116842056172
"CRC.3",100,49.6400010961424,52.3068731896973,84.5814494976504,75.4667315144942,77.7721711458941,84.4612676955119,0,51.1353664198864,52.0188771810011,31.878238077489,8.08865032826648,40.8410964018814,5.9773680407433,85.8014067694377
"CRC.4",100,38.2176630788912,42.3863771908411,77.1889480933195,76.3793495623191,91.573441076236,77.047828864574,17.075307427091,48.0737533578623,46.51834691179,31.8147626898376,0,57.1309913478726,17.1210151050569,88.7601623553087
"CRC.5",100,30.8080391229539,39.5574290958122,87.5114742822255,57.2463333125076,70.1386236063313,67.6697570501085,0,42.3542309576899,48.1950496235231,18.1357448078079,23.3124243473435,37.9446391764512,19.0582649419952,75.7379879163454
"CRC.6",100,30.4618571193466,9.13832410899113,69.8912742974353,46.6552086550581,62.749125228883,51.1025819009538,2.54884953451249,38.7665818573655,12.0027722097774,3.75682400864642,15.5100633347932,29.6332731966669,0,88.4874398654771
"CRC.7",100,22.8409647725875,0,60.4945046069173,46.0905679846385,68.5986484201971,51.9725342308397,6.89118851837672,26.4290935252271,17.5963934311766,7.34711508701848,11.222401297025,35.3435402361104,5.9749605056347,60.9736361202534
"CRC.8",100,38.2176630788912,42.3863771908411,77.1889480933195,76.3793495623191,91.573441076236,77.047828864574,17.075307427091,48.0737533578623,46.51834691179,31.8147626898376,0,57.1309913478726,17.1210151050569,88.7601623553087
"CRC.9",100,11.6708456184823,0.323624652665504,65.3500286228686,47.2231501858236,52.746718878008,30.8423939247696,4.08618057591818,13.3387081697277,17.4628402721839,9.29298436174274,0,24.7946659330523,2.75516031151006,69.8413886167558
"CRC.10",100,51.7748548618597,42.1292714187474,93.250088263196,85.636694647239,94.3511370009323,88.1603618669275,19.0071344624318,53.2537232669163,25.0923488868232,26.7105672722046,0,71.1760539650674,7.9360224970856,78.0116842056172
