"","Gemella_morbillorum","Parvimonas_micra","Fusobacterium_nucleatum","Streptococcus_anginosus","Pseudobutyrivibrio_xylanivorans","Streptococcus_milleri","Roseburia_intestinalis","Dialister_pneumosintes","Eubacterium_eligens","Erysipelatoclostridium_ramosum","Adlercreutzia_equolifaciens","Citrobacter_braakii","Fusobacterium_periodonticum","Porphyromonas_asaccharolytica","Prevotella_ruminicola"
"Mean",73.867549281088,100,47.0102750817755,11.7537796383601,15.8894664841753,2.00953423680641,29.9255717033655,32.727352683037,8.38454659171901,12.2821458611894,9.23227901013627,35.175047278222,11.330707425668,9.69448874751033,23.2409584881526
"CRC.1",68.873278018115,100,56.3378289302779,9.74665709086062,26.1492028875615,0,34.3767491685774,29.0802075936221,1.43319173792633,7.43086432485315,19.3157416703401,28.1321564750041,5.68654462643058,13.503835084023,28.2638384328965
"CRC.2",54.4099892525861,100,48.2133274940018,17.0543155233568,8.81726527752009,0,28.0321076885608,29.6297213724764,10.567251708618,4.46111519279471,6.44550393112616,16.5264476299294,2.5613921336472,10.8130115958207,9.37030644872677
"CRC.3",86.8588067627075,100,38.3645757947668,14.9210079132438,13.0138981059106,0,24.4314595552612,40.7942617003432,14.6686288483766,17.5294173307445,7.38837798294244,44.3856903234239,19.6344318884061,8.66671647732462,28.9785364099013
"CRC.4",63.1491328973751,100,59.1758390967003,12.3609353321719,20.2175629760353,8.4311439209578,43.6920702866738,30.1186770570322,11.1869562171729,12.0474178972297,0,33.0106293084479,6.80200249315745,11.7848860594333,25.4341583727168
"CRC.5",86.8588067627075,100,38.3645757947668,14.9210079132438,13.0138981059106,0,24.4314595552612,40.7942617003432,14.6686288483766,17.5294173307445,7.38837798294244,44.3856903234239,19.6344318884061,8.66671647732462,28.9785364099013
"CRC.6",86.8588067627075,100,38.3645757947668,14.9210079132438,13.0138981059106,0,24.4314595552612,40.7942617003432,14.6686288483766,17.5294173307445,7.38837798294244,44.3856903234239,19.6344318884061,8.66671647732462,28.9785364099013
"CRC.7",63.7188597471603,100,54.7786465575282,4.97963158365576,15.5663366565277,5.97452118109559,36.0660344456807,13.7303791199076,0.55035912204013,1.85813143509525,3.3983783380679,29.5713669635945,1.43277234717929,0,10.3280932018261
"CRC.8",68.873278018115,100,56.3378289302779,9.74665709086062,26.1492028875615,0,34.3767491685774,29.0802075936221,1.43319173792633,7.43086432485315,19.3157416703401,28.1321564750041,5.68654462643058,13.503835084023,28.2638384328965
"CRC.9",72.2157278266983,100,41.8009766299019,3.96556810971973,9.93950173290521,5.68967726601073,24.9861680545405,32.4572872923365,0,19.47539611409,14.2939125597186,38.8349546365445,12.6000904762107,12.6724537425049,14.8352043528579
"CRC.10",86.8588067627075,100,38.3645757947668,14.9210079132438,13.0138981059106,0,24.4314595552612,40.7942617003432,14.6686288483766,17.5294173307445,7.38837798294244,44.3856903234239,19.6344318884061,8.66671647732462,28.9785364099013
