"","Gemella_morbillorum","Parvimonas_micra","Fusobacterium_nucleatum","Streptococcus_anginosus","Pseudobutyrivibrio_xylanivorans","Streptococcus_milleri","Roseburia_intestinalis","Dialister_pneumosintes","Eubacterium_eligens","Erysipelatoclostridium_ramosum","Adlercreutzia_equolifaciens","Citrobacter_braakii","Fusobacterium_periodonticum","Porphyromonas_asaccharolytica","Prevotella_ruminicola"
"Mean",41.132129416455,100,78.2211616231711,34.1144324964456,52.8978127399234,19.1097491277413,52.0898122442064,24.5853967146259,41.9621185778107,10.7287995800995,23.3262657391451,0,29.9096213145112,11.2927377763585,12.3426338517089
"CRC.1",51.4844123595869,100,92.1137475760279,35.6262377489136,59.9919820617611,17.1913719619317,51.079214178543,23.1817536976676,36.9153955614877,4.01814966315044,19.6307427457413,0,22.2539080969675,12.9387990830518,8.48899606299669
"CRC.2",44.3066283475915,100,78.8712165062403,32.6227285500626,53.0856092509086,20.3917193992031,52.2167395344362,25.3991187052018,43.9235292512296,7.12575352386945,26.1102562734665,0,29.1633882712742,2.33954085041256,10.519870666527
"CRC.3",39.8873348386894,100,84.8726872213726,42.4175151822063,59.2148013731364,15.5307652028818,55.8525601857207,26.1766947351997,45.7283262233212,10.8439430342062,28.4105777383907,0,30.8416990646153,16.5802834487099,12.1498929007033
"CRC.4",34.8589156388812,100,71.4907183056642,34.0386269899977,49.8178670186014,21.1154050252163,49.38822499627,23.7101683979256,39.8596868738383,18.6295812036887,19.388448291338,0,34.9953221283079,20.7670011550922,16.0636685646568
"CRC.5",44.3066283475915,100,78.8712165062403,32.6227285500626,53.0856092509086,20.3917193992031,52.2167395344362,25.3991187052018,43.9235292512296,7.12575352386945,26.1102562734665,0,29.1633882712742,2.33954085041256,10.519870666527
"CRC.6",34.8589156388812,100,71.4907183056642,34.0386269899977,49.8178670186014,21.1154050252163,49.38822499627,23.7101683979256,39.8596868738383,18.6295812036887,19.388448291338,0,34.9953221283079,20.7670011550922,16.0636685646568
"CRC.7",44.3066283475915,100,78.8712165062403,32.6227285500626,53.0856092509086,20.3917193992031,52.2167395344362,25.3991187052018,43.9235292512296,7.12575352386945,26.1102562734665,0,29.1633882712742,2.33954085041256,10.519870666527
"CRC.8",34.8589156388812,100,71.4907183056642,34.0386269899977,49.8178670186014,21.1154050252163,49.38822499627,23.7101683979256,39.8596868738383,18.6295812036887,19.388448291338,0,34.9953221283079,20.7670011550922,16.0636685646568
"CRC.9",38.1462866592642,100,75.2681604923565,30.4937768630928,47.9753059048977,13.462261440138,56.934714951245,23.7685386988073,41.7042863668653,8.03414539709467,22.6149669394386,0,24.3610865135087,11.7491283648963,12.5169611933107
"CRC.10",44.3066283475915,100,78.8712165062403,32.6227285500626,53.0856092509086,20.3917193992031,52.2167395344362,25.3991187052018,43.9235292512296,7.12575352386945,26.1102562734665,0,29.1633882712742,2.33954085041256,10.519870666527
