"","Aspergillus_rambellii","Erysiphe_pulchra","Blumeria_graminis","Rosellinia_necatrix","Pseudocercospora_eumusae","Thielaviopsis_punctulata","Colletotrichum_incanum","Cryptococcus_neoformans","Moniliophthora_perniciosa","Sphaerulina_musiva","Grosmannia_clavigera","Aspergillus_ochraceoroseus","Peniophora_sp_CONT","Lentinula_edodes"
"Mean",100,15.4965002132595,42.2326639452514,13.4549457219271,18.9004981042344,21.7462471355302,5.30945797522855,39.6176013916709,58.997851608795,26.4957314287746,4.86528021022055,20.2091152324975,18.1087927725399,33.0464608639739
"CRC.1",100,10.9803710894914,51.7649234033538,23.8863714101243,10.2933013248495,15.32054839383,10.5008677060385,26.6744565961319,62.1929690531197,18.2927531562381,0,25.1410931907152,18.5507354980115,47.2888304317952
"CRC.2",100,5.32389789519315,34.2596427004574,2.68111834517418,19.4167461757665,21.5628838908539,3.62914783138096,32.5125286020898,60.8087684877317,28.0958975063012,0,5.9806910393147,15.0978224254349,24.0154374597605
"CRC.3",100,34.4352790939132,53.225581095384,23.3432861295134,28.3643220664596,30.142127238897,0,34.0288428532653,76.3854674840367,9.53803643249462,11.4918704409279,34.0709094376582,14.2530799973045,46.3423562604048
"CRC.4",100,11.7842052787036,33.1788452675134,3.21880088998492,21.0473342119269,16.2455481415539,9.48789883627584,50.9967482062673,51.0664401442147,29.9265072771252,0,16.8196824972671,20.7666263067865,30.542920788567
"CRC.5",100,31.6000898946581,43.2729613875587,28.3489855069459,20.7968405614262,14.4693339020052,0,45.2441560084726,53.0124662384951,33.0833629524445,20.5857122812233,36.7014450471368,15.8177267490316,23.4999553087229
"CRC.6",100,15.2155504390209,51.1310248335408,8.73712055752982,30.5772713499186,35.0935622110666,0,35.5366381787383,63.9659408411798,32.4975077752303,15.7143971866625,6.86216841005696,34.1388652505285,24.9463436601283
"CRC.7",100,10.9803710894914,51.7649234033538,23.8863714101243,10.2933013248495,15.32054839383,10.5008677060385,26.6744565961319,62.1929690531197,18.2927531562381,0,25.1410931907152,18.5507354980115,47.2888304317952
"CRC.8",100,11.0768267947156,37.3710468263255,14.0098011899043,6.1211956032934,36.8168229001572,0,42.5146904630772,58.2206144976233,35.377481477424,0.860822193391892,17.7347045175767,2.37908338671679,25.4540927214316
"CRC.9",100,11.7842052787036,33.1788452675134,3.21880088998492,21.0473342119269,16.2455481415539,9.48789883627584,50.9967482062673,51.0664401442147,29.9265072771252,0,16.8196824972671,20.7666263067865,30.542920788567
"CRC.10",100,11.7842052787036,33.1788452675134,3.21880088998492,21.0473342119269,16.2455481415539,9.48789883627584,50.9967482062673,51.0664401442147,29.9265072771252,0,16.8196824972671,20.7666263067865,30.542920788567
