"","Aspergillus_rambellii","Erysiphe_pulchra","Blumeria_graminis","Rosellinia_necatrix","Pseudocercospora_eumusae","Thielaviopsis_punctulata","Colletotrichum_incanum","Cryptococcus_neoformans","Moniliophthora_perniciosa","Sphaerulina_musiva","Grosmannia_clavigera","Aspergillus_ochraceoroseus","Peniophora_sp_CONT","Lentinula_edodes"
"Mean",74.9533619866677,97.9573274843794,61.5240191959753,73.5275255468983,10.5839321266247,42.2226446348846,36.380251731791,16.8939419100457,58.15750813268,24.0893910273436,39.5568114740888,35.9500255643487,21.057364735456,12.2952722974245
"CRC.1",40.4385226926466,100,49.7795482260402,91.9083178891684,0,58.1819852706006,29.0657502571513,16.8042414834672,38.5540453886302,39.2711847538346,56.3492255288259,35.8313630462931,38.1047199273958,9.40451955686919
"CRC.2",40.4385226926466,100,49.7795482260402,91.9083178891684,0,58.1819852706006,29.0657502571513,16.8042414834672,38.5540453886302,39.2711847538346,56.3492255288259,35.8313630462931,38.1047199273958,9.40451955686919
"CRC.3",70.7322608810121,100,47.6916655062809,62.5286992061957,4.01694706952076,23.0911369247371,39.9807581047359,33.988266993832,37.824738287423,9.01610790748627,12.3270037235636,42.6023348646694,26.910258677083,0
"CRC.4",78.2714683368283,100,58.7756519105706,58.9087205233631,9.38600299349982,54.0093802139092,58.3693343737328,11.1344004667881,34.3846411161352,37.3998643618622,27.6725999933411,36.3457853980723,35.4175225500259,0
"CRC.5",87.1178342898492,89.786637421897,89.7800666725177,89.8727988972795,30.9699250598616,19.4202001191402,26.032077279814,0,100,11.2999229440711,63.2382288212534,24.168457669186,1.97360550469886,15.4595613886488
"CRC.6",70.7322608810121,100,47.6916655062809,62.5286992061957,4.01694706952076,23.0911369247371,39.9807581047359,33.988266993832,37.824738287423,9.01610790748627,12.3270037235636,42.6023348646694,26.910258677083,0
"CRC.7",91.0745614807107,100,62.5797570176199,60.1642675538177,0,55.4525134381624,39.4948430886614,7.68462993841009,69.1808554268427,16.8226395333089,43.2326481855363,46.5167436449789,20.5894782930892,20.6151834006594
"CRC.8",87.1178342898492,89.786637421897,89.7800666725177,89.8727988972795,30.9699250598616,19.4202001191402,26.032077279814,0,100,11.2999229440711,63.2382288212534,24.168457669186,1.97360550469886,15.4595613886488
"CRC.9",91.0745614807107,100,62.5797570176199,60.1642675538177,0,55.4525134381624,39.4948430886614,7.68462993841009,69.1808554268427,16.8226395333089,43.2326481855363,46.5167436449789,20.5894782930892,20.6151834006594
"CRC.10",92.535792841411,100,56.8024652042652,67.4183678526976,26.4795740139824,55.9253946296568,36.2863254834518,40.8507418022506,56.0711620048727,50.6743356341718,17.6013022291891,24.9166717951602,0,31.9941942818903
