"","Aspergillus_rambellii","Erysiphe_pulchra","Blumeria_graminis","Rosellinia_necatrix","Pseudocercospora_eumusae","Thielaviopsis_punctulata","Colletotrichum_incanum","Cryptococcus_neoformans","Moniliophthora_perniciosa","Sphaerulina_musiva","Grosmannia_clavigera","Aspergillus_ochraceoroseus","Peniophora_sp_CONT","Lentinula_edodes"
"Mean",5.14345449842489,100,15.8612702567157,12.6181456225551,8.69426165711136,7.43443599533604,0.334564113516228,6.79376734847537,19.4140010522698,5.70635912132529,6.45906109684588,8.90264356421009,3.59611439377477,5.93002200882854
"CRC.1",1.57286831540387,100,11.7134793364678,7.88183225193992,8.89818834661702,6.31496892176998,0,5.26228337458978,12.7836375256366,3.72117903538376,5.26228337458978,7.73575223252788,0.278469048044205,1.42135466324296
"CRC.2",6.62666698711739,100,12.3117545186381,8.26847021916889,6.29450604646144,6.21413180005587,0,1.58698732451283,15.2233106725178,4.34606609962579,5.11818652803584,7.92391871032182,1.551531486795,5.11818652803584
"CRC.3",7.33988581191275,100,11.5580494298814,8.649097328093,4.6843295909431,6.19711330906606,0,8.15530085169049,15.9564547528226,5.27838370158863,4.50917471897796,5.04738060492154,5.89880469221106,5.64002042751774
"CRC.4",1.57286831540387,100,11.7134793364678,7.88183225193992,8.89818834661702,6.31496892176998,0,5.26228337458978,12.7836375256366,3.72117903538376,5.26228337458978,7.73575223252788,0.278469048044205,1.42135466324296
"CRC.5",4.151232244484,100,21.9148013853961,19.2978815127173,7.23584787811561,9.23366063124119,0,15.0881609704509,30.7555230076239,5.3625986550975,8.30005112981147,13.1244280198369,4.06970408702316,12.9346535507368
"CRC.6",8.80179225085116,100,23.9618035821085,18.4976088101949,20.7057429220172,14.3860580820948,0,10.9127964325036,23.2169023198197,13.9397986846311,13.0584395386688,9.88080877761367,7.89914941143881,5.19050610320712
"CRC.7",6.50230293895337,100,14.5638553702419,10.3144918397283,10.0839088253438,2.88846458750936,0,1.89172593351963,13.3459344409371,8.08154163328578,6.50230293895337,6.48115503287289,3.18189663687596,3.72653070928814
"CRC.8",4.44879744410782,100,17.2906617077888,14.8183470649192,8.66678779847506,8.9368515081559,3.34564113516228,0,23.0862431188103,1.64592946532528,2.01093980348974,10.9047878061411,6.55082857777086,4.82268916694231
"CRC.9",4.151232244484,100,21.9148013853961,19.2978815127173,7.23584787811561,9.23366063124119,0,15.0881609704509,30.7555230076239,5.3625986550975,8.30005112981147,13.1244280198369,4.06970408702316,12.9346535507368
"CRC.10",6.26689843153065,100,11.6700165147705,11.2740134341325,4.2392689384078,4.62448156045608,0,4.68997425244577,16.2328441512691,5.60431624783388,6.26689843153065,7.06802420550033,2.18258686252131,6.09027072533479
