"","Aspergillus_rambellii","Erysiphe_pulchra","Blumeria_graminis","Rosellinia_necatrix","Pseudocercospora_eumusae","Thielaviopsis_punctulata","Colletotrichum_incanum","Cryptococcus_neoformans","Moniliophthora_perniciosa","Sphaerulina_musiva","Grosmannia_clavigera","Aspergillus_ochraceoroseus","Peniophora_sp_CONT","Lentinula_edodes"
"Mean",5.18343471741887,11.5123684483129,77.1229773731151,66.4643767563733,34.0150028974787,14.3874725477207,55.4185372978219,23.6209093785504,73.1847891493666,24.9304579378666,57.0971087702241,12.6130296130609,92.9931875274269,40.4467683994858
"CRC.1",1.94777746863064,2.16078537651417,73.4018967510017,53.319188348912,35.0498099106308,0,43.1970045403233,40.9423451459638,67.5620371548791,39.3888105979424,59.0568736237018,23.4543297790563,100,52.1583739861422
"CRC.2",0,31.7184994216462,84.8793183834933,64.022677518937,22.4997135473848,24.8825446184617,47.2008898138159,22.5088449227306,100,15.7851901004973,52.7515419257728,36.8583936371906,93.2694831163734,53.6818649222357
"CRC.3",10.2541051689546,31.4904298986157,100,67.3817459045187,57.9902138790921,32.9295013451234,77.3097350583548,24.7399011761928,94.5061705357022,48.3496002329159,71.4443572280201,0,69.1786030700246,31.9193975210231
"CRC.4",10.2541051689546,31.4904298986157,100,67.3817459045187,57.9902138790921,32.9295013451234,77.3097350583548,24.7399011761928,94.5061705357022,48.3496002329159,71.4443572280201,0,69.1786030700246,31.9193975210231
"CRC.5",4.91693720776959,0.236024250628482,68.985672218558,59.8430193230672,18.3634879293163,2.07211577678851,58.0243452745853,9.19076235040456,47.0960511276099,3.70571247927297,46.241600445565,0,100,54.0198448822112
"CRC.6",0,6.07776447623718,51.7978953589215,74.8167203790915,40.807042557927,10.7033484350391,50.9010678873111,5.1667056895108,66.2692095081574,6.06683242778413,44.3976436804045,25.3431752580032,100,16.674332326196
"CRC.7",4.91693720776959,0.236024250628482,68.985672218558,59.8430193230672,18.3634879293163,2.07211577678851,58.0243452745853,9.19076235040456,47.0960511276099,3.70571247927297,46.241600445565,0,100,54.0198448822112
"CRC.8",17.5967074834791,0,60.6922152012878,100,19.6921137007552,34.5888995410443,27.8906186104547,36.4375684750321,76.5393786643615,25.288896367775,75.1428681407309,5.4738938622217,98.3051860178462,35.0603656777465
"CRC.9",0,9.55294153372919,89.0852068483292,64.7164625127085,34.3441357306412,3.69669863883789,71.1306269201112,22.3499573531082,70.7107856847644,19.2754138623474,45.193371360759,11.546173815081,100,22.8558882899265
"CRC.10",1.94777746863064,2.16078537651417,73.4018967510017,53.319188348912,35.0498099106308,0,43.1970045403233,40.9423451459638,67.5620371548791,39.3888105979424,59.0568736237018,23.4543297790563,100,52.1583739861422
