"","Aspergillus_rambellii","Erysiphe_pulchra","Blumeria_graminis","Rosellinia_necatrix","Pseudocercospora_eumusae","Thielaviopsis_punctulata","Colletotrichum_incanum","Cryptococcus_neoformans","Moniliophthora_perniciosa","Sphaerulina_musiva","Grosmannia_clavigera","Aspergillus_ochraceoroseus","Peniophora_sp_CONT","Lentinula_edodes"
"Mean",100,25.6144823306819,39.743128101406,62.0591062101737,32.8285357070247,34.9841375189896,15.3115655680578,1.82060185691699,21.417635579743,61.0945493638373,49.645727322417,48.1424351302124,7.32683641570851,20.8880266360519
"CRC.1",100,30.2717912358685,34.6126974335651,74.1585297441941,37.9689995782081,32.4825804223519,24.0816103594767,0,21.0358704339405,65.6893121348109,48.4759559062325,50.5216415004896,14.625183166002,18.8933377368334
"CRC.2",100,30.2717912358685,34.6126974335651,74.1585297441941,37.9689995782081,32.4825804223519,24.0816103594767,0,21.0358704339405,65.6893121348109,48.4759559062325,50.5216415004896,14.625183166002,18.8933377368334
"CRC.3",100,12.1217140077521,43.0355072994777,63.282338845393,16.1351743669425,42.1402985444829,15.5398962391606,0,17.0911214099506,60.97024749519,44.7219097942982,53.930398824503,0.367025971159096,16.9899967435154
"CRC.4",100,40.7258641544708,47.1416197302808,70.3140113390313,51.8716460934548,41.9040426465015,19.1340365538019,0,26.7386513948074,68.4146333660764,49.8876106284791,58.4311308968117,7.84170715345383,28.8205714441232
"CRC.5",100,12.1217140077521,43.0355072994777,63.282338845393,16.1351743669425,42.1402985444829,15.5398962391606,0,17.0911214099506,60.97024749519,44.7219097942982,53.930398824503,0.367025971159096,16.9899967435154
"CRC.6",100,25.9041321274319,33.515607201,60.9657312111985,26.9060915219089,28.5952444554511,22.9609832178108,0,17.5663582226264,59.4956763044066,52.6609106173025,43.7329844865338,21.4160376239181,21.8690768709058
"CRC.7",100,25.0320284412758,39.20740374027,52.7920356821787,33.9797557924386,27.7776295439726,1.25810020696825,5.55415338947247,23.1355991057342,60.4202662616827,59.1759725712949,35.7319834549572,0,20.6542541347028
"CRC.8",100,21.2209850787666,32.1492370697575,56.0756174151964,28.083177300467,41.4437012317856,10.173243816792,7.09771179022495,16.998375276913,54.6217394943072,39.9684027681585,44.2296911592781,0,18.1575168539824
"CRC.9",100,25.0320284412758,39.20740374027,52.7920356821787,33.9797557924386,27.7776295439726,1.25810020696825,5.55415338947247,23.1355991057342,60.4202662616827,59.1759725712949,35.7319834549572,0,20.6542541347028
"CRC.10",100,33.442774576357,50.913600066396,52.7698935927788,45.2565826792376,33.0973698345432,19.0881784809619,0,30.3477890038329,54.2537926902155,49.1926726665784,54.6624971996011,14.026201105391,26.9579239614041
