"","Cohort","Feature","Seed","AUC","MeanAUC","Kingdoms"
"1","2014_ZellerG","Albugo_candida","5","47.3",50.72,"fungi"
"2","2014_ZellerG","Aphanomyces_astaci","5","45.3",49.06,"fungi"
"3","2014_ZellerG","Saprolegnia_diclina","8","50.76",51.43,"fungi"
"4","2014_ZellerG","Saprolegnia_parasitica","3","59.63",53.57,"fungi"
"5","2014_ZellerG","Phytopythium_vexans","6","52.28",51.06,"fungi"
"6","2014_ZellerG","Globisporangium_ultimum","5","52.13",51.83,"fungi"
"7","2014_ZellerG","Pythium_irregulare","9","48.29",55.94,"fungi"
"8","2014_ZellerG","Pythium_arrhenomanes","10","60.48",51.89,"fungi"
"9","2014_ZellerG","Pythium_iwayamai","9","48.51",53.47,"fungi"
"10","2014_ZellerG","Pythium_aphanidermatum","5","47.56",53.88,"fungi"
"11","2014_ZellerG","Hyaloperonospora_arabidopsidis","3","53.89",52.16,"fungi"
"12","2014_ZellerG","Phytophthora_parasitica","3","33.92",43.63,"fungi"
"13","2014_ZellerG","Phytophthora_palmivora","6","60.2",57.33,"fungi"
"14","2014_ZellerG","Phytophthora_capsici","2","49.55",51.89,"fungi"
"15","2014_ZellerG","Phytophthora_ramorum","9","50.74",49.28,"fungi"
"16","2014_ZellerG","Phytophthora_cinnamomi","3","52.02",51.09,"fungi"
"17","2014_ZellerG","Phytophthora_infestans","9","57.45",57.53,"fungi"
"18","2014_ZellerG","Phytophthora_sojae","5","59.7",53.9,"fungi"
"19","2014_ZellerG","Allomyces_macrogynus","8","45.99",45.2,"fungi"
"20","2014_ZellerG","Rozella_allomycis","9","46.2",49.61,"fungi"
"21","2014_ZellerG","Basidiobolus_meristosporus","5","43.19",46.8,"fungi"
"22","2014_ZellerG","Conidiobolus_coronatus","3","53.32",54.33,"fungi"
"23","2014_ZellerG","Gonapodya_prolifera","5","40.13",43.4,"fungi"
"24","2014_ZellerG","Spizellomyces_punctatus","4","46.28",46.95,"fungi"
"25","2014_ZellerG","Batrachochytrium_salamandrivorans","3","41.22",48.41,"fungi"
"26","2014_ZellerG","Batrachochytrium_dendrobatidis","8","54.86",54.74,"fungi"
