log2mFC	p_values	adj_pvalue	Group
Aspergillus rambellii	1.563284416	1.73E-20	5.12809E-18	core
Rhizophagus irregularis	-0.344798552	7.24409E-10	1.07212E-07	core
Moniliophthora perniciosa	0.577441198	7.38096E-08	7.28255E-06	core
Erysiphe pulchra	0.38128313	1.41821E-07	1.04948E-05	core
Sphaerulina musiva	0.447916419	3.10E-07	1.83427E-05	core
Phytophthora capsici	0.308711802	1.58456E-06	7.81715E-05	core
Trichophyton mentagrophytes	-0.702460824	1.5445E-05	0.000571464	core
Aspergillus kawachii	-1.024312386	1.45651E-05	0.000571464	core
Debaryomyces hansenii	-0.372011791	2.41105E-05	0.000720886	core
Pneumocystis murina	-0.443783647	2.43543E-05	0.000720886	core
Trichoderma atroviride	-0.318667357	4.90247E-05	0.00131921	core
Pseudocercospora musae	-0.269017159	5.34901E-05	0.001319422	core
Cordyceps sp. RAO-2017	0.335568536	6.05671E-05	0.001379065	core
Rhizophagus clarus	-0.215906639	8.76637E-05	0.001853461	core
Pichia kudriavzevii	-0.321039264	0.00011828	0.00233406	core
Paracoccidioides brasiliensis	-0.275260504	0.000210589	0.003895898	core
Albugo candida	-0.288008712	0.000224568	0.003910133	core
Naumovozyma dairenensis	-0.277514137	0.00028891	0.004628905	core
Lipomyces starkeyi	-0.289469684	0.000297126	0.004628905	core
Aspergillus ochraceoroseus	0.654192745	0.000393235	0.005290797	core
Phytopythium vexans	0.25002649	0.000365457	0.005290797	core
Colletotrichum fioriniae	-0.248132929	0.000388027	0.005290797	core
Coniochaeta ligniaria	0.240736783	0.000441439	0.005681132	core
Leucoagaricus sp. SymC.cos	-0.241637184	0.000550647	0.006519662	core
Colletotrichum salicis	-0.264108781	0.000543744	0.006519662	core
Hyaloscypha variabilis	-0.200620055	0.000623788	0.006594333	core
Baudoinia panamericana	-0.27047156	0.000612448	0.006594333	core
[Candida] arabinofermentans	-0.295832173	0.000582488	0.006594333	core
Tuber magnatum	-0.182735438	0.000765871	0.007556593	core
Schizosaccharomyces pombe	-0.263325122	0.000750292	0.007556593	core
Thielaviopsis punctulata	0.236496176	0.000794021	0.007581623	core
Edhazardia aedis	-0.214736363	0.000904682	0.008368308	core
Choanephora cucurbitarum	-0.223185138	0.001001708	0.00898502	core
Elsinoe australis	0.280366882	0.001668687	0.014527392	main
Amorphotheca resinae	0.230046546	0.00176552	0.014814326	main
Mucor circinelloides	-0.175223095	0.001851791	0.014814326	main
Piromyces sp. E2	-0.207813435	0.001840445	0.014814326	main
Colletotrichum tofieldiae	-0.206608712	0.00213275	0.016613001	main
Sporisorium reilianum	0.262645257	0.002342402	0.017778233	main
Periconia macrospinosa	-0.19164176	0.002817247	0.020339149	main
Blastomyces gilchristii	-0.195204718	0.002753172	0.020339149	main
Cyberlindnera fabianii	-0.277685304	0.002897647	0.020421511	main
Rhizoctonia solani	-0.130729702	0.00313772	0.021599187	main
Pseudocercospora eumusae	0.20391294	0.003581025	0.023589401	main
Spizellomyces punctatus	-0.278513178	0.003586226	0.023589401	main
Blumeria graminis	0.186208257	0.003729298	0.023997223	main
Pseudocercospora fijiensis	-0.176759666	0.004130621	0.026014124	main
Aureobasidium namibiae	-0.238932351	0.005378132	0.03316515	main
Calocera cornea	0.186566225	0.006645412	0.039882521	main
Polytolypa hystricis	-0.190501784	0.006736912	0.039882521	main
Rhizopus delemar	-0.181527487	0.007206725	0.041827268	main
Pythium aphanidermatum	-0.206652295	0.007561552	0.043042682	main
Aspergillus steynii	-0.165462286	0.008560783	0.044838503	main
Rhizoclosmatium globosum	-0.167482679	0.008436069	0.044838503	main
Cercospora zeina	-0.168549506	0.008274158	0.044838503	main
Pezoloma ericae	-0.185596169	0.008785923	0.044838503	main
Batrachochytrium salamandrivorans	-0.199420074	0.008436069	0.044838503	main
Rozella allomycis	-0.22732469	0.008704502	0.044838503	main
