"","Median","low-CI","high-CI"
"Catenaria anguillulae",2.25003768864669,2.16669611972888,2.33338972519873
"Allomyces macrogynus",2.02810605768955,1.94720588387981,2.11113187726298
"Paramicrosporidium saccamoebae",1.49996260771267,1.38463322033835,1.54994710663991
"Rozella allomycis",1.00006914521752,0.956480780137955,1.04277679025963
"Basidiobolus meristosporus",1.17045314498363,1.13461985419208,1.20710317860586
"Conidiobolus coronatus",1.10755772669453,1.0647815535116,1.15183197392377
"Gonapodya prolifera",1.30876877676796,1.26111957308675,1.35953042897285
"Spizellomyces punctatus",1.31664549037488,1.26385543768093,1.37146056136257
"Batrachochytrium salamandrivorans",0.98753935690125,0.956023045712219,1.02042614955893
"Batrachochytrium dendrobatidis",1.12501740770845,1.03570049516307,1.2367272812204
"Rhizoclosmatium globosum",1.04398834817077,1.00970197038724,1.07991164344208
"Anaeromyces robustus",0.777094367499295,0.751950186919108,0.803270055459246
"Piromyces sp. E2",0.844800826618113,0.81660443994821,0.873659852176791
"Piromyces finnis",0.900578536828563,0.866297999014606,0.936341350402372
"Neocallimastix californiae",0.834130185421794,0.806169144514142,0.862655436465991
"Mortierella elongata",1.20244487817134,1.15908536203274,1.24913767948934
"Mortierella verticillata",1.42421762496489,1.37501357198866,1.47499825676929
"Rhizophagus irregularis",0.695173632178329,0.673328317614928,0.718117757403104
"Rhizophagus clarus",0.737495559489974,0.713915263233684,0.761745636683688
"Bifiguratus adelaidae",1.35412070510593,1.28879554163691,1.42233320842052
"Syncephalastrum racemosum",1.11992318464942,1.08046460673533,1.16124570160326
"Lichtheimia corymbifera",1.20766745625019,1.16428332503756,1.25442933913437
"Lichtheimia ramosa",1.00325033243037,0.969214809094549,1.03842883547199
"Phycomyces blakesleeanus",1.0420557452716,1.01194167492691,1.07310627080929
"Hesseltinella vesiculosa",1.72324937866377,1.65887119560495,1.78955529305281
"Absidia glauca",1.05314052644263,1.02093460237132,1.08577629844223
"Absidia repens",1.04025501278775,1.00974755647907,1.07175088153339
"Choanephora cucurbitarum",0.845233584405072,0.81451025580062,0.876460589767185
"Mucor ambiguus",1.16206623997706,1.11591089518481,1.20974647302372
"Mucor circinelloides",0.980762131776187,0.953660264372715,1.00860051173052
"Rhizopus microsporus",0.999975150089236,0.999918617099584,1.00001597007428
"Rhizopus delemar",0.900548369679574,0.870289654788839,0.932134850823728
"Trachipleistophora hominis",1.20836810555808,1.16658985780961,1.26428046136955
"Vavraia culicis",1.16673244675142,1.12504248413487,1.26782914431733
"Anncaliia algerae",0.839776463587055,0.808030356152201,0.873175095653585
"Amphiamblys sp. WSBS2006",2.24998544653583,2.08337704805518,2.49997535104551
"Ordospora colligata",1.52502373910752,1.49999071488009,1.75003601722276
"Pseudoloma neurophilia",1.06405968550767,1.00838564262537,1.12154124932397
"Nematocida parisii",1.00003022040717,1.00006318382659,1.00004395075784
"Nematocida displodere",1.49995759451768,1.16674889809625,1.50000088613145
"Nematocida sp. 1",1.75455344639981,1.62503576550497,1.90629758599582
"Nematocida sp. ERTm5",0.95004906925918,0.861176683243603,1.00554461527155
"Edhazardia aedis",0.727154528248414,0.698585217929353,0.756517801992447
"Spraguea lophii",0.983355891669478,0.927747793116482,1.03575090213931
"Encephalitozoon intestinalis",1.08821651021625,1.00004667221535,1.25000715183641
"Encephalitozoon cuniculi",0.999976136648202,0.99999941342221,0.999968790920576
"Encephalitozoon hellem",0.99996581181473,0.999988251155977,0.99997852434273
"Encephalitozoon romaleae",1.19994786256509,1.0678054879484,1.3399051361962
"Vittaforma corneae",1.05556722163616,1.00003948319171,1.24996586989869
"Nosema apis",0.662805800655141,0.631252534614526,0.693712799944931
"Nosema ceranae",0.922097329613537,0.866633630042839,0.989212635332449
"Nosema bombycis",0.886324845385096,0.845197132069464,0.92863582028981
"Enterospora canceri",1.00004318590461,0.999978511511309,1.02496174546807
"Hepatospora eriocheir",1.01432157721953,0.968182290313575,1.06256377522621
"Enterocytozoon hepatopenaei",0.88335977418938,0.83331431514695,0.995111728106068
"Enterocytozoon bieneusi",0.988663537141811,0.952375123509329,1.02556100753444
"Wallemia mellicola",1.54381582304952,1.47522600367167,1.62100896265213
"Wallemia ichthyophaga",1.08039963834258,1.03628623810129,1.12497371727321
"Mixia osmundae",2.16669345397985,2.05003331117182,2.28568931352398
"Microbotryum intermedium",2.44441094148273,2.29991737236496,2.58007515094184
"Leucosporidium creatinivorum",1.75830004084079,1.68884969747406,1.83338819501334
"Rhodotorula taiwanensis",2.81252443461261,2.66958948692348,2.96665864760558
"Rhodotorula graminis",2.44695995739831,2.31940847276633,2.58642385409339
"Rhodotorula toruloides",2.26561252558465,2.15865395693154,2.37604360849281
"Rhodotorula sp. JG-1b",2.30553591295174,2.18746134771025,2.44051313176575
"Puccinia coronata",0.961870416302507,0.939344549790399,0.984900569907267
"Puccinia striiformis",1.40520560822694,1.35095506546829,1.4623086159645
"Puccinia graminis",1.05352480477499,1.01924111323369,1.089230857
"Puccinia sorghi",1.11029156651313,1.06883647516138,1.15262349874764
"Malassezia globosa",1.23511958848747,1.17255550296817,1.29998115453703
"Malassezia restricta",1.83326907772104,1.68754159927818,2.00001927144393
"Malassezia sympodialis",2.28328478588948,2.15547806971326,2.43333416787785
"Malassezia vespertilionis",1.52088669336966,1.45835240219578,1.58330087637193
"Tilletiaria anomala",1.57718542194688,1.51475292468297,1.63882082055917
"Ceraceosorus bombacis",1.67301151974632,1.6042197744872,1.74998395358282
"Tilletia controversa",6.1250003492551,5.01879210099945,7.87496477497596
"Tilletia walkeri",1.88057850483877,1.75000540182199,2.01311968683041
"Tilletia indica",1.48251041220824,1.39173888223595,1.55447036496017
"Tilletia caries",2.5714356192414,2.07137441913328,3.40905831912725
"Violaceomyces palustris",1.5312958389317,1.4666140932508,1.59995472453623
"Testicularia cyperi",2.64289038934537,2.5000034104922,2.79915016871001
"Pseudozyma hubeiensis",2.18180190445458,2.08338366540111,2.29163844306113
"Kalmanozyma brasiliensis",2.02937875113757,1.92727036664351,2.13330255497706
"Moesziomyces aphidis",3.16661514312785,2.89158376031266,3.50006310907568
"Moesziomyces antarcticus",3.70087458628413,3.41968042551209,4.02385792693618
"Ustilago hordei",1.74246046551567,1.65621431490287,1.83338317895532
"Ustilago bromivora",2.93753852649347,2.70458944157025,3.24995378715786
"Ustilago maydis",2.11636149753619,2.0259134894331,2.20838295656799
