"","Median","low-CI","high-CI"
"Catenaria anguillulae",1.34526471382378,1.25754860912152,1.43333270451566
"Allomyces macrogynus",1.244591739049,1.17422655724284,1.32142984882559
"Paramicrosporidium saccamoebae",1.54766827780261,1.44289585684436,1.66665537316888
"Rozella allomycis",1.31670291681147,1.2406395504213,1.39810608893312
"Basidiobolus meristosporus",1.07995925032686,1.01856063967479,1.14658013997773
"Conidiobolus coronatus",1.31061164644836,1.24251840193271,1.380471253341
"Gonapodya prolifera",1.05915472558556,1.00471069219841,1.11608021574936
"Spizellomyces punctatus",1.05089076954304,0.977818663056997,1.1420035320528
"Batrachochytrium salamandrivorans",1.20001808400687,1.14478502883259,1.26039211459056
"Batrachochytrium dendrobatidis",1.676100996618,1.50715536409052,1.87433515781343
"Rhizoclosmatium globosum",1.11389563607236,1.06783612117628,1.16041443757833
"Anaeromyces robustus",1.0774084450613,1.02773482499331,1.12960516188883
"Piromyces sp. E2",0.983790312422321,0.937089889332207,1.03345768534607
"Piromyces finnis",1.26635105075838,1.21124789483075,1.32444596829941
"Neocallimastix californiae",1.02872538126211,0.983309469445083,1.07623717958879
"Mortierella elongata",0.998102259119349,0.94642968645887,1.05088148100324
"Mortierella verticillata",1.02495596932363,0.972880446741615,1.07984381445519
"Rhizophagus irregularis",0.931515123655456,0.89320580296346,0.971700474840396
"Rhizophagus clarus",1.01767114996516,0.979262606433869,1.05776237142975
"Bifiguratus adelaidae",1.15792525812256,1.09521432543226,1.2362641794515
"Syncephalastrum racemosum",0.985163381361436,0.920701905055281,1.05380320775185
"Lichtheimia corymbifera",1.39288050386257,1.3188834726494,1.47785205098918
"Lichtheimia ramosa",1.1450102330156,1.08330443044058,1.21251139373668
"Phycomyces blakesleeanus",1.11283228410136,1.05712349790039,1.17154741106106
"Hesseltinella vesiculosa",1.43217247359931,1.36111069811596,1.50814537250572
"Absidia glauca",0.892631627946042,0.853633193023425,0.933249976145992
"Absidia repens",1.21959802888239,1.15595512541109,1.28604182367493
"Choanephora cucurbitarum",1.00003827098495,0.951877746549443,1.05048992171628
"Mucor ambiguus",1.193774756613,1.13365016777486,1.25615970954855
"Mucor circinelloides",0.965215389863811,0.927260303678641,1.00518832768613
"Rhizopus microsporus",0.99996844168991,0.999951118075059,0.999988459888557
"Rhizopus delemar",1.21187271552489,1.15462093192343,1.27289130928556
"Trachipleistophora hominis",1.08329697332173,1.0099720625059,1.16657386903575
"Vavraia culicis",2.83338751310753,2.50003218744671,3.12505112734838
"Anncaliia algerae",1.55888143697695,1.4719026716554,1.65334535130395
"Amphiamblys sp. WSBS2006",1.50004588644188,1.35000499132319,1.5999342963348
"Ordospora colligata",1.52776564726802,1.50003578370514,1.75002639429079
"Pseudoloma neurophilia",1.00002883452057,0.947049287551082,1.05717716095164
"Nematocida parisii",1,1,1
"Nematocida displodere",2.08341733227264,1.99995983344326,2.50000704497912
"Nematocida sp. 1",1.50310885569979,1.33340234907502,1.74993997453701
"Nematocida sp. ERTm5",1.1666810352196,1.01251310129207,1.49995448157021
"Edhazardia aedis",1.11052745495269,1.06323238379752,1.15942865516023
"Spraguea lophii",2.04171302872744,1.86671723141925,2.2142613114276
"Encephalitozoon intestinalis",1.00000152934794,1.00001558162444,1.00002331651302
"Encephalitozoon cuniculi",0.999967857934466,0.999960500241604,0.999935426185399
"Encephalitozoon hellem",0.999972256919778,0.999992297086523,1.00003209269321
"Encephalitozoon romaleae",1.00007642100325,1.00005518853518,1.02775199683648
"Vittaforma corneae",1.50005796668606,1.09998109391568,2.00007806478941
"Nosema apis",1.04997578869034,0.983074959864165,1.12502804766017
"Nosema ceranae",1.09800404758802,1.0250972795861,1.17852267194971
"Nosema bombycis",0.806227356444434,0.75759297465356,0.851196915808432
"Enterospora canceri",2.01674458923751,1.83324877857847,2.37501668895469
"Hepatospora eriocheir",1.8334124960659,1.66669889254909,2.03843933351153
"Enterocytozoon hepatopenaei",2.50292576545905,2.00003456688928,2.99998373145916
"Enterocytozoon bieneusi",1.05006710966612,0.994287006606518,1.10943962112798
"Wallemia mellicola",1.14335557670463,1.06058251459629,1.23080487317666
"Wallemia ichthyophaga",1.06246217706324,0.999951295438913,1.1363072152675
"Mixia osmundae",1.06251801383897,1.00005607324052,1.12507833980912
"Microbotryum intermedium",1.25754557114936,1.18183923865552,1.34848479769528
"Leucosporidium creatinivorum",1.09313785294689,1.0249544469652,1.17019244074058
"Rhodotorula taiwanensis",1.06675046567277,1.00340860749799,1.14282272621202
"Rhodotorula graminis",1.35157470986771,1.27713031734451,1.43052729362553
"Rhodotorula toruloides",1.08045872809452,1.01705694730872,1.14930469464601
"Rhodotorula sp. JG-1b",1.27222160116415,1.18549853888316,1.36137577958424
"Puccinia coronata",1.05164895880122,1.01184254196016,1.09350141628036
"Puccinia striiformis",1.13159242908541,1.07727192923208,1.18990287638542
"Puccinia graminis",1.07498212071014,1.02780932371646,1.12543078403032
"Puccinia sorghi",1.39291875129916,1.33524793313152,1.45312757596652
"Malassezia globosa",1.29168752399504,1.20832717309315,1.38534562621166
"Malassezia restricta",0.904741295822497,0.82146015011078,1.00232343114841
"Malassezia sympodialis",2.1750153079904,2.00179017399197,2.40281605900885
"Malassezia vespertilionis",1.07495228261747,1.00812554901153,1.14014990462247
"Tilletiaria anomala",1.25877631484568,1.19435692728086,1.32689686601365
"Ceraceosorus bombacis",0.940584761181533,0.885673622474505,1.00003712455285
"Tilletia controversa",6.50004872591482,5.00359567526546,11.2499778469033
"Tilletia walkeri",1.50006099958493,1.30447909466487,1.73338245805633
"Tilletia indica",1.48712477459568,1.37874211110795,1.58570959170759
"Tilletia caries",1.06627486415205,1.00008824498425,1.28568380544173
"Violaceomyces palustris",1.06242723111576,1.00785507607471,1.11615967870294
"Testicularia cyperi",1.70622145541393,1.58328392275977,1.84121082977301
"Pseudozyma hubeiensis",1.67500675488385,1.55762116741944,1.83328579763797
"Kalmanozyma brasiliensis",1.31774699867973,1.23497576911769,1.40911260913265
