"","Median","low-CI","high-CI"
"Catenaria anguillulae",1.91668061971315,1.8281627555208,2.01666157127595
"Allomyces macrogynus",1.39305314118209,1.32094944457619,1.468731329949
"Paramicrosporidium saccamoebae",2.24997044944489,2.01243605940556,2.5000174778982
"Rozella allomycis",3.00297414085614,2.69339544289691,3.30771265711726
"Basidiobolus meristosporus",1.17212341906993,1.11534425578394,1.23002860078847
"Conidiobolus coronatus",2.45389058533004,2.32735741343687,2.5875078663326
"Gonapodya prolifera",1.57147682687769,1.49517112593562,1.65111350361084
"Spizellomyces punctatus",2.04479350743676,1.9222007904668,2.1666958715357
"Batrachochytrium salamandrivorans",1.39999132973699,1.33332183574162,1.47435024047449
"Batrachochytrium dendrobatidis",10.5000275446575,5.50002349502047,17.6428196968594
"Rhizoclosmatium globosum",1.29993317527487,1.2360756613537,1.36458355938151
"Anaeromyces robustus",1.74994190757106,1.66067432496642,1.84284515406295
"Piromyces sp. E2",2.27182199098702,2.15688475265187,2.39469694629675
"Piromyces finnis",1.68749636833495,1.59021750686492,1.79757897600219
"Neocallimastix californiae",1.75777223057468,1.67085243216912,1.84552405183234
"Mortierella elongata",1.64294545821297,1.55849197106739,1.7361062969205
"Mortierella verticillata",1.57242959041271,1.49562102454765,1.65621142596113
"Rhizophagus irregularis",1.58510982385051,1.51333203377761,1.66053670804212
"Rhizophagus clarus",1.5490562283767,1.47839780984242,1.62231459879153
"Bifiguratus adelaidae",2.1666549798477,2.00005236498153,2.34542408483572
"Syncephalastrum racemosum",1.45480113365445,1.37496958774253,1.5397035468741
"Lichtheimia corymbifera",2.0499782124963,1.91997575770355,2.19999543268835
"Lichtheimia ramosa",1.42102473724412,1.33527417314321,1.51090453216575
"Phycomyces blakesleeanus",2.12096281173562,2.0051479828926,2.24012548502606
"Hesseltinella vesiculosa",1.89997531634581,1.77495041887924,2.04164010361081
"Absidia glauca",1.95059213860036,1.83335250969118,2.07572442123654
"Absidia repens",1.67428803884616,1.59424997699995,1.75900606421129
"Choanephora cucurbitarum",1.91672482022091,1.80952269018548,2.03701768613441
"Mucor ambiguus",1.24351267164726,1.16808678318405,1.32143607836982
"Mucor circinelloides",1.20085447516624,1.15550430238331,1.24878443648054
"Rhizopus microsporus",1.00000202731128,1.00001077833035,1.00007386593166
"Rhizopus delemar",1.84934607115184,1.75000877410306,1.95455729666345
"Trachipleistophora hominis",2.83334895834991,2.51244694483057,3.01248925148613
"Vavraia culicis",2.33332305028865,1.99995032091657,3.00003899829217
"Anncaliia algerae",3.24998051180736,3.02507172370004,3.46873038766167
"Amphiamblys sp. WSBS2006",5.5000183851176,5.49999871622358,6.00004516037654
"Ordospora colligata",2.12500020023089,1.58328465691088,2.99995985621673
"Pseudoloma neurophilia",1.74994910230866,1.59993132306028,1.83337340212801
"Nematocida parisii",1,1,1
"Nematocida displodere",1.54997317453674,1.02499884145427,2.99997631083678
"Nematocida sp. 1",5.49993353689353,5.04996584560809,6.49998097861028
"Nematocida sp. ERTm5",5.49996148004499,5.12498916519135,5.50001884573034
"Edhazardia aedis",1.33122732124112,1.27372631111896,1.39165446694113
"Spraguea lophii",3.12494912740128,2.599984740447,3.74998862891343
"Encephalitozoon intestinalis",1.00003494056688,1.00001912451087,1.00001087503516
"Encephalitozoon cuniculi",1.00003239336574,0.999998945018825,1.00006461789033
"Encephalitozoon hellem",0.999958692784768,0.999956246895404,0.999975983364808
"Encephalitozoon romaleae",5.49994568645039,4.01252213933233,9.13883608262975
"Vittaforma corneae",5.00003883452597,1.50002343445504,5.0166071805871
"Nosema apis",2.12500934557482,1.99997874215124,2.3392229665666
"Nosema ceranae",4.16668272798782,3.75001818043623,4.75000536675401
"Nosema bombycis",2.12498786835296,1.99994640196939,2.29994828964193
"Enterospora canceri",5.49999060833985,5.16671572184629,5.49998946820177
"Hepatospora eriocheir",2.71426803696048,2.5050525488702,3.0000465712137
"Enterocytozoon hepatopenaei",5.05003779498068,5.01249801764417,5.49999616346434
"Enterocytozoon bieneusi",1.20117623928372,1.13935772233388,1.26740468208079
"Wallemia mellicola",2.33330901967478,2.1150645288526,2.5500452283102
"Wallemia ichthyophaga",4.41666741064079,3.84724300322762,5.06248841995244
"Mixia osmundae",1.60001298828658,1.50002957642259,1.74995664453881
"Microbotryum intermedium",1.24992007499593,1.1666439204513,1.33324913897874
"Leucosporidium creatinivorum",1.60720538282145,1.51432825588692,1.71054885026163
"Rhodotorula taiwanensis",1.91663687129248,1.80713828479474,2.02373375114545
"Rhodotorula graminis",1.56823215582935,1.4767056607777,1.66667971357303
"Rhodotorula toruloides",1.5948346143313,1.50895409520385,1.68459116234197
"Rhodotorula sp. JG-1b",2.21425331545642,2.07147483940316,2.37497961985786
"Puccinia coronata",1.45785043340754,1.40457288553279,1.51141161402717
"Puccinia striiformis",1.1722758265685,1.11869062994214,1.22853660689185
"Puccinia graminis",1.43691216248381,1.37993699328986,1.49726791630072
"Puccinia sorghi",1.96524571758451,1.88540771363939,2.04999799731257
"Malassezia globosa",1.7857058878593,1.66672301686468,1.88748236765459
"Malassezia restricta",2.07412514910243,1.90327801477363,2.26212594946566
"Malassezia sympodialis",3.37505655317502,3.11104794236497,3.64290261902805
"Malassezia vespertilionis",1.14285238561166,1.08337965287567,1.19161217724668
"Tilletiaria anomala",1.69047618794797,1.60060424550855,1.78572154990466
"Ceraceosorus bombacis",1.16760050709041,1.10363194584688,1.24176230968234
"Tilletia controversa",1.00001138282233,0.999992852184241,1.00001444972139
"Tilletia walkeri",2.15517144795207,1.93747449911258,2.41524113129126
"Tilletia indica",1.99093261292728,1.7857393171614,2.1875776788613
"Tilletia caries",1.00004035508467,1.00002470652174,1.00003111661417
"Violaceomyces palustris",1.84527778266692,1.75009078310923,1.96659962262
"Testicularia cyperi",2.24998084016838,2.10004458114129,2.36111751199774
"Pseudozyma hubeiensis",2.11534662341379,2.0000641842825,2.25554987276006
"Kalmanozyma brasiliensis",1.5263552849373,1.44445581619225,1.61054919498561
"Moesziomyces aphidis",5.916698771802,5.03842215905531,10.0014926551777
"Moesziomyces antarcticus",5.04897938189662,4.07685815870194,6.25587442830485
"Ustilago hordei",1.51927361213824,1.37496043461383,1.7115004113735
"Ustilago bromivora",2.09620060470137,1.82142701518795,2.50997576945778
"Ustilago maydis",1.45754375011649,1.38175355532067,1.53568917336746
"Anthracocystis flocculosa",1.70344927907485,1.61358841825559,1.79877624059318
"Sporisorium graminicola",1.69997026042615,1.58339954649111,1.82505771968448
"Sporisorium reilianum",2.19229173684277,2.05628334437809,2.33485573046056
"Dacryopinax primogenitus",2.54345967298563,2.33328741862454,2.78569897704369
"Calocera viscosa",1.29157699033724,1.21668703196482,1.36360110721613
"Calocera cornea",1.55554331875593,1.4823017385173,1.63289452349861
"Xanthophyllomyces dendrorhous",1.60712883123665,1.50001337054973,1.72726116493162
"Trichosporon asahii",2.26248863108736,2.11925087586587,2.42726662976782
"Naematelia encephala",1.66662251760849,1.53336928417887,1.79760583285889
"Tremella mesenterica",2.75002293596095,2.55002497065768,2.99998858007966
"Kwoniella heveanensis",5.08329694788266,4.17118292013927,6.35714436458989
"Kwoniella bestiolae",1.59993865274503,1.50759393887321,1.68752634955549
"Kwoniella dejecticola",2.12498105332529,1.97230206582539,2.33336010084239
"Kwoniella pini",2.42851080845609,2.25002997481618,2.58337293324036
"Kwoniella mangrovensis",1.00002969231386,1.00007587513671,1.0000168702982
"Cryptococcus wingfieldii",1.66661408271245,1.51664166638276,1.79995644063157
"Cryptococcus amylolentus",1.00004920070043,1.00003680777868,1.00003152803943
"Cryptococcus gattii VGII",1.00004995013621,1.00000578357987,1.00003867614564
"Cryptococcus gattii VGIII",1.00003839079737,0.999982182139757,1.00001967593961
"Cryptococcus gattii VGIV",3.49997547402556,2.76666883085946,4.00002936843103
"Cryptococcus gattii VGI",1.00004670577191,1.00003846015811,1.00007488785437
"Cryptococcus depauperatus",3.76250169166746,2.72142806315516,5.50002615630274
"Cryptococcus neoformans",1.16663187832626,1.08104975347336,1.24996808323689
"Sphaerobolus stellatus",1.54544191452915,1.48267462024329,1.60997589313238
"Punctularia strigosozonata",1.51929646026184,1.44227770754783,1.60099031140113
"Gloeophyllum trabeum",1.55554790243412,1.47921526686908,1.63886622636213
"Neolentinus lepideus",1.64289378979074,1.54759539589667,1.75002913244729
"Sistotremastrum niveocremeum",2.66671439897448,2.47494322220553,3.00001400705148
"Sistotremastrum suecicum",1.81252602790127,1.69159815170547,2.00004961877136
"Serendipita vermifera",1.87499745947596,1.74996436472189,2.00720645796457
"Serendipita indica",1.37498612653107,1.28337581696512,1.49999882587128
"Exidia glandulosa",1.57645645533356,1.48935691163173,1.67080380906212
"Schizopora paradoxa",1.32930281933817,1.27392889570661,1.38885295555504
"Fomitiporia mediterranea",1.98329072813549,1.86112774287708,2.08468591873015
"Pyrrhoderma noxium",1.74993936062979,1.66248236401386,1.84288586916713
"Botryobasidium botryosum",1.15388304664559,1.09994811477918,1.21379418153436
"Rhizoctonia solani",1.13907808915893,1.10025481337328,1.17964487422526
"Peniophora sp. CONT",1.40004206965271,1.3403286594417,1.46249409453819
"Stereum hirsutum",1.28924568211377,1.21431283829356,1.36662370167116
"Heterobasidion irregulare",1.9891397633552,1.85508717297928,2.11110940351814
"Phlebia centrifuga",1.49171019413868,1.39291228984532,1.583391872918
"Gelatoporia subvermispora",1.26668726314758,1.18681070079517,1.35505007066027
"Fomitopsis pinicola",1.84375136788024,1.74999014321036,1.95839427701185
"Daedalea quercina",2.24996150603933,2.09995224840323,2.39995022792852
"Grifola frondosa",2.10296856449726,1.9999633004782,2.24990560490512
"Postia placenta",1.8566111926975,1.66158409331243,2.07957665072917
"Phlebiopsis gigantea",1.71436912294342,1.62505338117305,1.802980685605
"Phanerochaete carnosa",1.34094144342724,1.2833126760879,1.40718070911896
"Phanerochaete chrysosporium",1.5834015207069,1.49991998611835,1.67857281400462
"Wolfiporia cocos",1.29162959902829,1.2044809120259,1.38457948453722
"Laetiporus sulphureus",1.30906832336468,1.25000170966662,1.3721566048043
"Ganoderma sinense",1.43272250018709,1.36111353221595,1.50489111690073
"Dichomitus squalens",1.67860294790519,1.58335532387018,1.7857091682857
"Trametes pubescens",1.33335558827536,1.26669758204297,1.41662587340686
"Trametes coccinea",2.08338657014176,1.9500506791959,2.24110488356648
"Trametes cinnabarina",1.94993033760012,1.80556713713239,2.07405735382764
"Trametes versicolor",1.57146737331277,1.49404190289201,1.65550361162041
"Jaapia argillacea",2.01789731258533,1.90185266476472,2.16671072034635
"Plicaturopsis crispa",1.37497076084956,1.28648258349486,1.47722163985425
"Piloderma croceum",1.33541079536661,1.27503292899431,1.40914369482399
"Fibularhizoctonia sp. CBS 109695",1.33338358898433,1.27588339931299,1.39568745525355
"Serpula lacrymans",1.00004891708353,0.99996928369838,1.00003072241075
"Coniophora puteana",1.47500800043963,1.40134642857018,1.55426916774626
"Hydnomerulius pinastri",1.99997511525435,1.8666487292586,2.11538816966536
"Paxillus involutus",1.32504800094412,1.25000114763491,1.40445191127142
"Paxillus rubicundulus",2.01093832634041,1.91272773720198,2.1249237890374
"Pisolithus tinctorius",1.60006836061078,1.52782226641849,1.68742629931018
"Pisolithus microcarpus",1.22999250555839,1.17036520764332,1.29367131356405
"Scleroderma citrinum",1.51389590759757,1.45002626061358,1.59370111470229
"Suillus luteus",1.89995815863387,1.79996283036955,2.00967648372344
"Rhizopogon vinicolor",2.25005181808291,2.08336342090021,2.49997279866088
"Rhizopogon vesiculosus",1.95457322539032,1.81666890328343,2.08340056237241
"Schizophyllum commune",1.87862036827866,1.77199875196676,2.00002871268525
"Amanita muscaria",1.87500711586699,1.70837738957462,2.02770916345917
"Amanita thiersii",1.44440217655121,1.37142344821312,1.52379557229989
"Hebeloma cylindrosporum",1.36533030277717,1.2916267788947,1.44441345800377
"Fistulina hepatica",1.41666157554992,1.33332161090687,1.50913279008817
"Laccaria bicolor",1.79164863398683,1.69316797018806,1.89586302651161
"Laccaria amethystina",1.75003665058495,1.642805140612,1.87499541850424
"Pleurotus ostreatus",1.91247523975328,1.79758791976406,2.02775810468376
"Coprinopsis cinerea",1.52887697943511,1.44998671897763,1.61369312930442
"Moniliophthora perniciosa",3.33340096471156,3.03329758336942,3.66667328222496
"Moniliophthora roreri",1.53444390611546,1.45447556756813,1.61890983647703
"Hypsizygus marmoreus",2.04997341805344,1.92221063045468,2.1750079131094
"Termitomyces sp. J132",1.57706983595267,1.49992236891712,1.66382435530692
"Gymnopus luxurians",1.64286136834457,1.56254618228673,1.73805142580722
"Lentinula edodes",1.20829015536939,1.15001709224728,1.26786509839241
"Cylindrobasidium torrendii",1.428415540024,1.35854103334411,1.49997265202386
"Armillaria solidipes",1.09090763732024,1.00496738785199,1.174932507879
