"","2014_ZellerG-Median","2014_ZellerG-low-CI","2014_ZellerG-high-CI","2015_FengQ-Median","2015_FengQ-low-CI","2015_FengQ-high-CI","2016_VogtmannE-Median","2016_VogtmannE-low-CI","2016_VogtmannE-high-CI","2019_Thom-Median","2019_Thom-low-CI","2019_Thom-high-CI","2019_WirbelJ-Median","2019_WirbelJ-low-CI","2019_WirbelJ-high-CI","2019_Yachida-Median","2019_Yachida-low-CI","2019_Yachida-high-CI","2021_JunY_1-Median","2021_JunY_1-low-CI","2021_JunY_1-high-CI","2021_JunY_2-Median","2021_JunY_2-low-CI","2021_JunY_2-high-CI"
"Catenaria anguillulae",2.25003768864669,2.16669611972888,2.33338972519873,1.36111153757847,1.28468212470406,1.44450812234551,1.34526471382378,1.25754860912152,1.43333270451566,1.91668061971315,1.8281627555208,2.01666157127595,0.886392897863093,0.814392605727421,0.967079940194155,1.82632997045076,1.79168408426057,1.86244122598162,1.58753164077871,1.52495345191223,1.65474792939942,1.80679520764488,1.74912003969684,1.86902936021071
"Allomyces macrogynus",2.02810605768955,1.94720588387981,2.11113187726298,1.00577873443782,0.961557409990581,1.05282814975092,1.244591739049,1.17422655724284,1.32142984882559,1.39305314118209,1.32094944457619,1.468731329949,0.802660978682618,0.740515498472875,0.871844154586434,1.57721765306371,1.5518496329986,1.60324823463929,1.45283776590645,1.3975725980695,1.51039278212983,1.45937457869313,1.42018632564843,1.49994407798214
"Paramicrosporidium saccamoebae",1.49996260771267,1.38463322033835,1.54994710663991,1.66663648897596,1.5044962078726,1.87506069411418,1.54766827780261,1.44289585684436,1.66665537316888,2.24997044944489,2.01243605940556,2.5000174778982,1.33326678592098,1.16669586475146,1.50837315995615,1.96431578798977,1.88495574728642,2.00001512997304,1.33336839983037,1.25004280994921,1.41561925731154,1.60581146791239,1.53846480659619,1.66666775104886
"Rozella allomycis",1.00006914521752,0.956480780137955,1.04277679025963,1.40436892928697,1.32134758449184,1.49182789476534,1.31670291681147,1.2406395504213,1.39810608893312,3.00297414085614,2.69339544289691,3.30771265711726,0.492471499458012,0.455361513609454,0.527744290457358,1.38945718678072,1.36512329771044,1.41508123349461,0.97643960699275,0.933654615029749,1.02026817003097,1.15001580798195,1.11798841586678,1.1834652795339
"Basidiobolus meristosporus",1.17045314498363,1.13461985419208,1.20710317860586,1.03227285124535,1.00003692179874,1.06615321451115,1.07995925032686,1.01856063967479,1.14658013997773,1.17212341906993,1.11534425578394,1.23002860078847,0.59130077179663,0.554641501447909,0.630977591824527,1.17113606891221,1.15550312497068,1.1871226406127,1.22479650287629,1.18271558799783,1.26828966987008,1.16156949973967,1.13305320924341,1.19083758581952
"Conidiobolus coronatus",1.10755772669453,1.0647815535116,1.15183197392377,1.22114459510189,1.1691777492507,1.27595957056248,1.31061164644836,1.24251840193271,1.380471253341,2.45389058533004,2.32735741343687,2.5875078663326,0.422929487215505,0.391323533470853,0.456721441869225,1.46952021878348,1.44874734351297,1.49046932491039,1.07171208058521,1.03653997561429,1.10831782400883,1.17635227048765,1.14586637734272,1.20807344877228
"Gonapodya prolifera",1.30876877676796,1.26111957308675,1.35953042897285,1.47119202578898,1.39280904592386,1.55627267880949,1.05915472558556,1.00471069219841,1.11608021574936,1.57147682687769,1.49517112593562,1.65111350361084,0.523392633745842,0.492979414360766,0.555518911900769,1.5745673177084,1.54952535194717,1.60004342007658,1.01488060733576,0.980204916626409,1.05051729010614,1.23401079992725,1.20306322420363,1.26620232814255
"Spizellomyces punctatus",1.31664549037488,1.26385543768093,1.37146056136257,1.53487964743454,1.44410576925873,1.6363790312792,1.05089076954304,0.977818663056997,1.1420035320528,2.04479350743676,1.9222007904668,2.1666958715357,0.572514388329049,0.518568775967089,0.626162540181845,1.48430072627363,1.44622387116738,1.5119011831064,1.19449080765236,1.13999385327931,1.25060995313333,1.45642957286744,1.39318780637221,1.52098504025563
"Batrachochytrium salamandrivorans",0.98753935690125,0.956023045712219,1.02042614955893,0.864998804090978,0.82936101160746,0.90233525526322,1.20001808400687,1.14478502883259,1.26039211459056,1.39999132973699,1.33332183574162,1.47435024047449,0.638916206612168,0.610128209049786,0.667309111949279,1.17106679244004,1.15521284278736,1.1875009987815,1.00247405304774,0.972218748334774,1.03545326894152,1.01012412360743,0.985073629973091,1.03584494378814
"Batrachochytrium dendrobatidis",1.12501740770845,1.03570049516307,1.2367272812204,5.00628135538577,3.63335586436288,9.12504537888799,1.676100996618,1.50715536409052,1.87433515781343,10.5000275446575,5.50002349502047,17.6428196968594,0.849159190454027,0.716915062789683,0.999913596095273,3.28207246731249,3.04710927822512,3.58336433329952,1.41754286544218,1.30881654650762,1.54543718789495,1.9754998882936,1.85343441144206,2.10693166586539
